gameId,rowid,trialNum,name,pResp,text,span,normalized_span,referent,flowers,color
3S6bXnp5NWyGgmBxD,795,10,Laju,9,i selected middle top row,middle top row,middle top row,9,"6:10, 7:7, 9:5, 11:3, 4:2, 12:1",white
3S6bXnp5NWyGgmBxD,796,10,Repi,11,i did bottom right,bottom right,bottom right,11,"6:10, 7:7, 9:5, 11:3, 4:2, 12:1",white
3S6bXnp5NWyGgmBxD,797,10,Laju,9,need another image,,,,"6:10, 7:7, 9:5, 11:3, 4:2, 12:1",white
3S6bXnp5NWyGgmBxD,798,10,Repi,11,oval flowers,oval flowers,oval flowers,11,"6:10, 7:7, 9:5, 11:3, 4:2, 12:1",white
3S6bXnp5NWyGgmBxD,799,10,Laju,9,ok,,,,"6:10, 7:7, 9:5, 11:3, 4:2, 12:1",white
3S6bXnp5NWyGgmBxD,800,10,Laju,9,3rd person to make a selection,,,,"6:10, 7:7, 9:5, 11:3, 4:2, 12:1",white
5etSp4RTD85pHPt96,5288,0,Laju,6,the two small purple flowers are best for me,the two small purple flowers,the two small purple flowers,6,"6:11, 5:9, 2:8, 1:7, 4:5, 10:4",purple
5etSp4RTD85pHPt96,5289,0,Minu,10,purple one with bells,purple one with bells,purple one with bells,10,"6:11, 5:9, 2:8, 1:7, 4:5, 10:4",purple
5etSp4RTD85pHPt96,5290,0,Repi,5,the purple droopy ones is good for me,the purple droopy ones,the purple droopy ones,5,"6:11, 5:9, 2:8, 1:7, 4:5, 10:4",purple
5etSp4RTD85pHPt96,5291,0,Repi,5,three in a row,three in a row,three in a row,5,"6:11, 5:9, 2:8, 1:7, 4:5, 10:4",purple
5etSp4RTD85pHPt96,5293,0,Repi,5,a horizontal row,a horizontal row,a horizontal row,5,"6:11, 5:9, 2:8, 1:7, 4:5, 10:4",purple
5etSp4RTD85pHPt96,5295,1,Laju,11,the cluster of many flowers is best for me,the cluster of many flowers,the cluster of many flowers,11,"3:11, 11:9, 4:8, 2:5, 7:3, 12:1",purple
5etSp4RTD85pHPt96,5296,1,Repi,3,the wispy purple is good for me,the wispy purple,the wispy purple,3,"3:11, 11:9, 4:8, 2:5, 7:3, 12:1",purple
5etSp4RTD85pHPt96,5297,1,Minu,12,individual flower on its onwn 5 leaves yellow dot,individual flower on its onwn 5 leaves yellow dot,individual flower on its own 5 leaves yellow dot,12,"3:11, 11:9, 4:8, 2:5, 7:3, 12:1",purple
5etSp4RTD85pHPt96,5298,1,Repi,3,with lots of strings,with lots of strings,with lots of strings,3,"3:11, 11:9, 4:8, 2:5, 7:3, 12:1",purple
5etSp4RTD85pHPt96,5302,2,Laju,9,the single flower with bits of red is best,the single flower with bits of red,the single flower with bits of red,9,"9:10, 2:8, 7:6, 12:4, 6:3, 3:1",purple
5etSp4RTD85pHPt96,5303,2,Minu,6,the two flowers spread apart,the two flowers spread apart,the two flowers spread apart,6,"9:10, 2:8, 7:6, 12:4, 6:3, 3:1",purple
5etSp4RTD85pHPt96,5307,3,Laju,2,the tall flower with bells is best,the tall flower with bells,the tall flower with bells,10,"10:12, 2:9, 11:6, 3:4, 12:3, 4:1",purple
5etSp4RTD85pHPt96,5308,3,Repi,11,the bells is best for me,the bells,the bells,10,"10:12, 2:9, 11:6, 3:4, 12:3, 4:1",purple
5etSp4RTD85pHPt96,5309,3,Minu,4,wispy ball,wispy ball,wispy ball,4,"10:12, 2:9, 11:6, 3:4, 12:3, 4:1",purple
5etSp4RTD85pHPt96,5311,3,Repi,11,ah I can pick second best Laju,,,,"10:12, 2:9, 11:6, 3:4, 12:3, 4:1",purple
5etSp4RTD85pHPt96,5314,4,Minu,4,wispy ball again,wispy ball,wispy ball,4,"4:10, 2:7, 5:5, 11:4, 3:3, 8:1",purple
5etSp4RTD85pHPt96,5315,4,Laju,5,one large flower is best for me,one large flower,one large flower,4,"4:10, 2:7, 5:5, 11:4, 3:3, 8:1",purple
5etSp4RTD85pHPt96,5317,4,Repi,2,two flowers is best for me,two flowers,two flowers,2,"4:10, 2:7, 5:5, 11:4, 3:3, 8:1",purple
5etSp4RTD85pHPt96,5320,5,Laju,1,the one that looks like just petals is best for me,the one that looks like just petals,the one that looks like just petals,1,"1:11, 5:7, 3:6, 9:3, 2:2, 4:1",purple
5etSp4RTD85pHPt96,5321,5,Laju,1,like the close up,like the close up,like the close up,1,"1:11, 5:7, 3:6, 9:3, 2:2, 4:1",purple
5etSp4RTD85pHPt96,5322,5,Minu,5,3 flowers for me,3 flowers,3 flowers,5,"1:11, 5:7, 3:6, 9:3, 2:2, 4:1",purple
5etSp4RTD85pHPt96,5324,5,Repi,9,I will pick the best for me that isn't those ones,,,,"1:11, 5:7, 3:6, 9:3, 2:2, 4:1",purple
5etSp4RTD85pHPt96,5327,6,Repi,4,wispy ball for me!,wispy ball,wispy ball,4,"3:11, 4:8, 2:5, 1:4, 10:2, 12:1",purple
5etSp4RTD85pHPt96,5328,6,Minu,3,fuzzy flower thats distanced,fuzzy flower thats distanced,fuzzy flower thats distanced,3,"3:11, 4:8, 2:5, 1:4, 10:2, 12:1",purple
5etSp4RTD85pHPt96,5330,6,Laju,1,the single flower with the prongs,the single flower with the prongs,the single flower with the prongs,3,"3:11, 4:8, 2:5, 1:4, 10:2, 12:1",purple
5etSp4RTD85pHPt96,5333,7,Minu,7,close up of one flower,close up of one flower,close up of one flower,7,"7:11, 11:9, 6:8, 2:6, 12:3, 4:2",purple
5etSp4RTD85pHPt96,5335,7,Laju,2,singlewispy or not?,singlewispy,singlewispy,4,"7:11, 11:9, 6:8, 2:6, 12:3, 4:2",purple
5etSp4RTD85pHPt96,5336,7,Minu,7,not,,,,"7:11, 11:9, 6:8, 2:6, 12:3, 4:2",purple
5etSp4RTD85pHPt96,5337,7,Laju,2,two flowers is good then for me,two flowers,two flowers,2,"7:11, 11:9, 6:8, 2:6, 12:3, 4:2",purple
5etSp4RTD85pHPt96,5338,7,Laju,2,the ones close to eachother,the ones close to eachother,the ones close to each other,2,"7:11, 11:9, 6:8, 2:6, 12:3, 4:2",purple
5etSp4RTD85pHPt96,5339,7,Repi,11,the flower with yellow circles in the middle is good for me,the flower with yellow circles in the middle,the flower with yellow circles in the middle,11,"7:11, 11:9, 6:8, 2:6, 12:3, 4:2",purple
5etSp4RTD85pHPt96,5341,7,Repi,11,theres a bunch kind of close up,theres a bunch kind of close up,there's a bunch kind of close up,11,"7:11, 11:9, 6:8, 2:6, 12:3, 4:2",purple
5etSp4RTD85pHPt96,5343,8,Laju,4,wispy is good for me,wispy,wispy,4,"9:11, 4:9, 1:6, 12:5, 3:4, 8:1",purple
