rowid	trialNum	name	pResp	text	span	referent	flowers	color
5	1	Repi	9	I like the speckled purple flower			9:12, 3:9, 11:8, 12:7, 8:6, 1:3	purple
6	1	Minu	3	I'm going to select the flower that looks a little frilly			9:12, 3:9, 11:8, 12:7, 8:6, 1:3	purple
7	1	Repi	9	I'll select that one			9:12, 3:9, 11:8, 12:7, 8:6, 1:3	purple
10	2	Laju	9	I’ll pick the single flower one			9:10, 3:8, 6:6, 8:5, 1:2, 11:1	purple
12	2	Repi	6	I'll select the swirly flower			9:10, 3:8, 6:6, 8:5, 1:2, 11:1	purple
13	2	Minu	3	I'm going to stick with the frilly flower this round as well			9:10, 3:8, 6:6, 8:5, 1:2, 11:1	purple
16	3	Minu	6	i will choose the swirly flower			8:10, 6:8, 9:5, 5:4, 11:3, 1:1	purple
20	4	Repi	6	I'll select the swirly one			6:11, 11:8, 12:7, 10:5, 2:4, 9:2	purple
22	4	Laju	10	I’ll pick the tall one			6:11, 11:8, 12:7, 10:5, 2:4, 9:2	purple
26	5	Repi	7	I'll do the big one			12:10, 3:8, 7:6, 9:5, 6:4, 8:1	purple
28	5	Laju	7	I’ll pick the big circle kne			12:10, 3:8, 7:6, 9:5, 6:4, 8:1	purple
30	6	Repi	7	I'll do the big one that I selected in the last round			7:12, 2:8, 4:7, 10:5, 6:4, 12:3	purple
32	6	Minu	2	i will choose the double flower			7:12, 2:8, 4:7, 10:5, 6:4, 12:3	purple
35	7	Minu	5	i will choose the triple flower			10:11, 5:9, 2:6, 4:4, 6:3, 3:2	purple
36	7	Repi	2	I'll do the tall stem of flowers here			10:11, 5:9, 2:6, 4:4, 6:3, 3:2	purple
37	7	Laju	4	I’ll pick the tall one			10:11, 5:9, 2:6, 4:4, 6:3, 3:2	purple
41	8	Minu	9	speckled			9:12, 7:7, 1:6, 12:5, 5:4, 11:3	purple
43	8	Repi	7	I'll choose the big round one			9:12, 7:7, 1:6, 12:5, 5:4, 11:3	purple
45	8	Laju	5	3 with dark purple			9:12, 7:7, 1:6, 12:5, 5:4, 11:3	purple
