_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
RG426WNe3sA3Sdnw3,1,simple,true,2021-07-19T17:55:28Z,2021-07-19T18:23:25Z,finished,,woWsWsG64iWMYwDus,2021-07-19T17:54:43Z,
HLxhfwHbDZLheTno8,2,simple,true,2021-07-19T17:55:29Z,2021-07-19T19:31:31Z,finished,,sTX6ksbxqfnfsmzxe,2021-07-19T17:55:16Z,
ikCrbS3887ACSKe4w,3,simple,true,2021-07-19T17:55:29Z,2021-07-19T18:18:00Z,finished,,qFsHNsbrf5Mu6WnQM,2021-07-19T17:55:16Z,
mogJMJgwi9BmABR2y,4,simple,true,2021-07-19T17:55:29Z,2021-07-19T18:44:22Z,finished,,9TpHt9H5Ny6HzH8x7,2021-07-19T17:55:17Z,
sQ5PgjiLdxY5fap62,5,simple,true,2021-07-19T17:55:30Z,2021-07-19T18:54:14Z,finished,,2yX3k7DkPSWGee3q9,2021-07-19T17:55:19Z,
7jYY2Gg5NqjR8dPEe,6,simple,true,2021-07-19T17:55:30Z,2021-07-19T18:19:24Z,finished,,L4kC4a6Nbzrj5Ke5L,2021-07-19T17:55:20Z,
fhzRXRxgE5FmjZwSD,7,simple,true,2021-07-19T17:55:31Z,2021-07-19T18:19:08Z,finished,,N5htAi8ezBg3neBKP,2021-07-19T17:55:20Z,
KScmaZAGkzoq45CsM,8,simple,true,2021-07-19T17:55:31Z,2021-07-19T18:57:31Z,finished,,ojE6tc9tdnASfLGDs,2021-07-19T17:55:21Z,
ExFQv5mBJyzDqoHw5,9,simple,true,2021-07-19T17:55:31Z,2021-07-19T18:21:58Z,finished,,ZRbnTDRALnkiCv2fD,2021-07-19T17:55:22Z,
Pf8Egy6ud8G6vNMH3,10,simple,true,2021-07-19T17:55:32Z,2021-07-19T19:35:17Z,finished,,ExXQbCn35Xznf9tM5,2021-07-19T17:55:22Z,
YKuASoAHNxp2DMbXe,11,simple,true,2021-07-19T17:55:32Z,2021-07-19T18:36:00Z,finished,,xtbRh6y3JMmrerDvx,2021-07-19T17:55:25Z,
zFFBNtvknQ95nKZzk,12,simple,true,2021-07-19T17:55:33Z,2021-07-19T18:23:00Z,finished,,Cigs3SXFkL23Nx7Ga,2021-07-19T17:55:25Z,
RB7de7ZjNgAWLGsvo,13,simple,true,2021-07-19T17:59:46Z,2021-07-19T19:02:52Z,finished,,67qxzPDuhEbrkhDLF,2021-07-19T17:59:40Z,
v7Btxxw6k6nZGDQCB,14,simple,true,2021-07-19T17:59:47Z,2021-07-19T18:26:52Z,finished,,5oqcuFaDgbZ4pAnvK,2021-07-19T17:59:41Z,
NLetkjBJXw3LYBqQQ,15,simple,true,2021-07-19T17:59:47Z,2021-07-19T18:17:27Z,finished,,BnjjYk9ZdKgDLA4S6,2021-07-19T17:59:42Z,
asZ76jyuXWs5aEcFB,16,simple,true,2021-07-19T17:59:47Z,2021-07-19T18:37:56Z,finished,,sdRkHdBCdbxeAehFd,2021-07-19T17:59:42Z,
8kpeNmZcMF4jva2q9,17,simple,true,2021-07-19T17:59:48Z,2021-07-19T19:37:37Z,cancelled,,bJL8HJjyykG9B4k9C,2021-07-19T17:59:43Z,
rptzi2GpxiHirvbue,18,simple,true,2021-07-19T17:59:49Z,2021-07-19T19:11:33Z,finished,,cSQKJg27EPsQNjHWs,2021-07-19T17:59:43Z,
QxDPEhfGT7TeD8spe,19,simple,false,2021-07-19T17:59:49Z,2021-07-19T18:59:24Z,cancelled,,MwCypD6DFEEyAEMD3,2021-07-19T17:59:44Z,
cN8HTuxrtKGDezHbh,20,simple,false,2021-07-19T17:59:49Z,2021-07-19T18:59:22Z,cancelled,,kvpmL8ELNgJBMGSbv,2021-07-19T17:59:44Z,
GPdfEHx6Khcfw3kmY,21,simple,false,2021-07-19T17:59:51Z,,cancelled,,TB7PdQYNJymboWApq,2021-07-19T17:59:50Z,
wzDzyyYhQFZwXbtFx,22,simple,false,2021-07-19T18:02:29Z,,cancelled,,4YRXGaiGD4z2fxwoS,2021-07-19T18:02:27Z,
trJ5WX9wpd7r5SAMu,23,simple,false,2021-07-19T18:20:51Z,,cancelled,,eDWcuf3uuk7RDRr9p,2021-07-19T18:20:49Z,
Ciu9JzWTbMxEC2d8c,24,simple,false,2021-07-19T19:02:50Z,2021-07-19T19:12:26Z,cancelled,,YRkhrLedvz4WeL6og,2021-07-19T19:02:37Z,
