_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.chatUseful,data.feedback,data.time
hR2N6G3tNJdTqvJAM,aZ4LjhRDtYDMe6Mp7,qFsHNsbrf5Mu6WnQM,2021-07-19T18:18:42Z,21,Male,English,true,false,,,,,someCollege,yes,yes,stronglyDisagree,,,,
JDBDiBDGX8rorJRtb,hYn4YgbBpPcGAQYgK,qFsHNsbrf5Mu6WnQM,2021-07-19T18:18:46Z,46,M,English,true,,,,,,bachelor,yes,yes,stronglyDisagree,yes,no,none,no
Ea2pyLsMBn4dax6Cw,d5YFZ82ezNvBdjX8D,qFsHNsbrf5Mu6WnQM,2021-07-19T18:19:30Z,34,Male,Enlgish,true,,,,,,bachelor,yes,no,stronglyDisagree,Pay could always be more.,It was pointless as my partners chose options before I could ever type anything.,No,yes
B8yQs9fkKQY32SSt9,ga7mdcuNmWBHAoR9k,L4kC4a6Nbzrj5Ke5L,2021-07-19T18:19:43Z,31,female,english,true,,,,,,highSchool,,,,Yes,Yes,No,Yes
qYZ762fgQuqyssPHP,TFC5ZPh7SSsrqs4vn,N5htAi8ezBg3neBKP,2021-07-19T18:19:51Z,62,Female,English,true,,,,,,bachelor,yes,yes,stronglyAgree,yes,I didn t use it,"no, it was so much fun",yes
yM9unkhyzbY9ZsBe3,Ngb2MQcFPDdE425hz,N5htAi8ezBg3neBKP,2021-07-19T18:19:57Z,50,male,english,true,,,,,,bachelor,yes,no,neutral,sure,yes,no,yes
7WXErpRK6gXFYBMpu,MWdc5C6Rqz7rCartu,N5htAi8ezBg3neBKP,2021-07-19T18:19:59Z,22,non-binary,english,true,,,,,,bachelor,yes,yes,neutral,Yes,Yes,No,Yes
bQP3rCYZFQ9kZE5ub,jgkvxoeQGQNM3PduY,L4kC4a6Nbzrj5Ke5L,2021-07-19T18:20:12Z,45,FEMALE,ENGLISH,true,,,,,,highSchool,yes,yes,agree,YES,YES,NO,YES PLENTY OF TIME
PMaDzdyCYMDnZbaqw,XhNyocPsCc5jyxym2,L4kC4a6Nbzrj5Ke5L,2021-07-19T18:20:36Z,21,Female,English,true,,,,,,highSchool,yes,no,stronglyDisagree,Yes very fair,Yes but no one used it,No one else tried to discuss each round,Yes plenty
t8YWjQFFeGBRaeX4e,odNTGwKGZuTEr3ruF,Cigs3SXFkL23Nx7Ga,2021-07-19T18:23:42Z,26,male,english,true,,,,,,bachelor,yes,yes,agree,yes,yes,no,yes
CphEz7eHT2Q7s5xim,w2TfbfFTrf9LJh6hd,Cigs3SXFkL23Nx7Ga,2021-07-19T18:24:01Z,57,Male,English,true,,,,,,someCollege,yes,yes,agree,Yes,"Yes, but it seemed like there was not time",No,Yes
3ofabgfSs3XZiDfk5,YyHKq9EYbJumA3ANL,woWsWsG64iWMYwDus,2021-07-19T18:24:02Z,22,female,English,true,,,,,,bachelor,yes,no,disagree,yes,yes,no,yes
hBDyjf8djuuf2NuQ4,qNNHZG4JCrXM4zqZq,woWsWsG64iWMYwDus,2021-07-19T18:24:05Z,46,female,english,true,,,,,,bachelor,yes,no,disagree,yes,yes but no one else seemed to use it so I stopped,,yes
YHHwZWYoHL9wAbNfT,qGkNWcXfDCrofhKcj,Cigs3SXFkL23Nx7Ga,2021-07-19T18:24:15Z,39,female,english,true,,,,,,master,yes,no,disagree,"for clicking a button, of course yes. ",I didn't use it as no-one else did. ,the pages at the start kept glitching and taking me to the top of the screen when I was trying to read the instructions. ,yes
dM27u4MiYCobK72CP,n9GBgFk6Hxa9zipd7,woWsWsG64iWMYwDus,2021-07-19T18:25:18Z,25,male,english,,true,,,,,master,yes,no,disagree,yes,yes but I don't feel like it was used,about halfway through there was an error loading a new round of the game but reloading the page corrected that,yes
qbonoKZcXRRfPdMzf,Ci4KgAcHF2SSLgkKo,5oqcuFaDgbZ4pAnvK,2021-07-19T18:27:38Z,50,male,english,true,,,,,,bachelor,yes,no,agree,yes,yes,no,yes
JvJFXvcTqBPehkbjM,eP5tq28Zot8RGtYhS,5oqcuFaDgbZ4pAnvK,2021-07-19T18:28:02Z,53,Male,English,true,,,,,,highSchool,yes,no,agree,Yes,Yes,No,Yes
Bt96joCPvZun9iyxJ,7hqPQd4z7K3puDdS4,5oqcuFaDgbZ4pAnvK,2021-07-19T18:28:25Z,54,Female,English ,true,,,,,,someCollege,yes,yes,agree,Yes,I never used it,No,Yes
SgiPoSD2E5xvYmkzA,J4r6Sgiyiv6GaE4w8,xtbRh6y3JMmrerDvx,2021-07-19T18:36:38Z,42,female,english,true,,,,,,highSchool,yes,no,disagree,no,yes,no,yes
LLkfbKqS7ubz2KtBL,gEWrSTxqnhsBmLCRC,xtbRh6y3JMmrerDvx,2021-07-19T18:36:55Z,40,female,english,true,,,,,,someCollege,yes,yes,stronglyDisagree,yes,yes,,too much
ACa92bdSw4etyPk4u,uYJYEi4uCvmvaswYa,xtbRh6y3JMmrerDvx,2021-07-19T18:37:21Z,46,Female,English,true,,,,,,someCollege,yes,no,neutral,Yes,Very easy,"No, all good! It was fun.","Yes, plenty"
