condition,languageCondition,trial,agent,choice_rank,collision_rate,deference_rate,reward,reward_initial,reward_max,reward_no_collision,reward_normed,unknown_choice_rate,condition_raw,languageConditionRaw,rl_agent
Shared Utilities,Lang,trial10,agent_0,0.032812499,0.035,0.032812499,8.26312542,10.32593727,9.189790726,8.625419617,0.900261164,0,joint,contcomm,TRUE
Shared Utilities,Lang,trial10,agent_1,1.306249976,0.068750001,0.672812522,8.26312542,7.076250076,NA,8.625419617,0.900261164,0.055624999,joint,contcomm,TRUE
Shared Utilities,Lang,trial10,agent_2,0.785312474,0.066249996,0.389375001,8.26312542,8.474061966,NA,8.625419617,0.900261164,0.039375,joint,contcomm,TRUE
Shared Utilities,Lang,trial9,agent_0,0.789687455,0.05125,0.400312513,8.291982651,8.398749352,9.163227081,8.630105019,0.905564785,0.032499999,joint,contcomm,TRUE
Shared Utilities,Lang,trial9,agent_1,1.228437424,0.065624997,0.644999981,8.291982651,7.206562519,NA,8.630105019,0.905564785,0.049062498,joint,contcomm,TRUE
Shared Utilities,Lang,trial9,agent_2,0.036562499,0.039999999,0.036562499,8.291982651,10.28499985,NA,8.630105019,0.905564785,0,joint,contcomm,TRUE
Shared Utilities,Lang,trial8,agent_0,4.501874924,3.125e-4,1,6.41541481,6.455312252,9.173438072,6.415623665,0.697862983,0.999687493,joint,contcomm,TRUE
Shared Utilities,Lang,trial8,agent_1,4.50906229,0,1,6.41541481,6.398124695,NA,6.415623665,0.697862983,1,joint,contcomm,TRUE
Shared Utilities,Lang,trial8,agent_2,4.5009374619999996,3.125e-4,1,6.41541481,6.3934373860000004,NA,6.415623665,0.697862983,1,joint,contcomm,TRUE
Shared Utilities,Lang,trial7,agent_0,0.043749999,0.063749999,0.043749999,8.093542099,10.26593685,9.185832024,8.53364563,0.881536901,0,joint,contcomm,TRUE
Shared Utilities,Lang,trial7,agent_1,1.269999981,0.083437495,0.612187505,8.093542099,7.153437138,NA,8.53364563,0.881536901,0.064062499,joint,contcomm,TRUE
Shared Utilities,Lang,trial7,agent_2,0.915937483,0.053124998,0.455000013,8.093542099,8.1815624239999991,NA,8.53364563,0.881536901,0.03875,joint,contcomm,TRUE
Shared Utilities,Lang,trial6,agent_0,1.532812476,0.080624998,0.863437474,8.228541374,6.541562557,9.170832634,8.637498856,0.898504674,0.0590625,joint,contcomm,TRUE
Shared Utilities,Lang,trial6,agent_1,0.028437499,0.037187498,0.028437501,8.228541374,10.23124981,NA,8.637498856,0.898504674,0,joint,contcomm,TRUE
Shared Utilities,Lang,trial6,agent_2,0.466250002,0.084062502,0.395937502,8.228541374,9.139687538,NA,8.637498856,0.898504674,0.0015625,joint,contcomm,TRUE
Shared Utilities,Lang,trial5,agent_0,0.725624979,0.0584375,0.360937506,8.237915039,8.617812157,9.171145439,8.605938911,0.899466097,0.036562499,joint,contcomm,TRUE
Shared Utilities,Lang,trial5,agent_1,1.412812471,0.05125,0.670312524,8.237915039,6.962812424,NA,8.605938911,0.899466097,0.082499996,joint,contcomm,TRUE
Shared Utilities,Lang,trial5,agent_2,0.037812497,0.049062498,0.037812501,8.237915039,10.23718739,NA,8.605938911,0.899466097,0,joint,contcomm,TRUE
Shared Utilities,Lang,trial4,agent_0,0.044999998,0.044062499,0.0428125,8.190729141,10.23062515,9.144269943,8.552814484,0.896550119,3.125e-4,joint,contcomm,TRUE
Shared Utilities,Lang,trial4,agent_1,0.782499969,0.059374999,0.380937487,8.190729141,8.459374428,NA,8.552814484,0.896550119,0.0465625,joint,contcomm,TRUE
Shared Utilities,Lang,trial4,agent_2,1.375625014,0.068437502,0.667500019,8.190729141,6.968437195,NA,8.552814484,0.896550119,0.071249999,joint,contcomm,TRUE
Shared Utilities,Lang,trial3,agent_0,0.036249999,0.0471875,0.036249999,8.030312538,10.22249985,9.17062664,8.491145134,0.876954317,0,joint,contcomm,TRUE
Shared Utilities,Lang,trial3,agent_1,1.337187529,0.088749997,0.639999986,8.030312538,7.115312576,NA,8.491145134,0.876954317,0.065937497,joint,contcomm,TRUE
Shared Utilities,Lang,trial3,agent_2,0.949999988,0.084062502,0.46656251,8.030312538,8.135624886,NA,8.491145134,0.876954317,0.0428125,joint,contcomm,TRUE
Shared Utilities,Lang,trial2,agent_0,0.421562493,0.118437499,0.384375006,8.034791946,9.171875,9.14781189,8.60021019,0.879772425,6.25e-4,joint,contcomm,TRUE
Shared Utilities,Lang,trial2,agent_1,1.5703125,0.087499999,0.899687529,8.034791946,6.368750095,NA,8.60021019,0.879772425,0.042187501,joint,contcomm,TRUE
Shared Utilities,Lang,trial2,agent_2,0.0390625,0.063749999,0.038125001,8.034791946,10.26000023,NA,8.60021019,0.879772425,0,joint,contcomm,TRUE
Shared Utilities,Lang,trial1,agent_0,1.358124971,0.103749998,0.801562488,8.110417366,6.959374905,9.1832304,8.827500343,0.884382606,0.043749999,joint,contcomm,TRUE
Shared Utilities,Lang,trial1,agent_1,0.412187487,0.119999997,0.356875002,8.110417366,9.222812653,NA,8.827500343,0.884382606,9.375e-4,joint,contcomm,TRUE
Shared Utilities,Lang,trial1,agent_2,0.035,0.077187501,0.035,8.110417366,10.30031204,NA,8.827500343,0.884382606,0,joint,contcomm,TRUE
Individual Utilities,Lang,trial10,agent_0,0.70093751,0.0584375,0.368437499,8.189062119,8.55406189,9.183436394,8.55406189,0.891341865,0.025937499,ind,contcomm,TRUE
Individual Utilities,Lang,trial10,agent_1,1.391250014,0.068750001,0.691562474,6.583749771,6.986562252,NA,6.986562252,0.71413374,0.076250002,ind,contcomm,TRUE
Individual Utilities,Lang,trial10,agent_2,0.030312499,0.042187501,0.030312501,9.9921875,10.29624939,NA,10.29624939,1.092707396,0,ind,contcomm,TRUE
Individual Utilities,Lang,trial9,agent_0,0.0353125,0.042187501,0.0353125,9.944062233,10.24937439,9.158227921,10.24937439,1.089823842,0,ind,contcomm,TRUE
Individual Utilities,Lang,trial9,agent_1,0.75,0.056562498,0.356875002,8.192500114,8.5409374239999991,NA,8.5409374239999991,0.895285606,0.037499998,ind,contcomm,TRUE
Individual Utilities,Lang,trial9,agent_2,1.396875024,0.059374999,0.689999998,6.578749657,6.910624981,NA,6.910624981,0.714960635,0.069062501,ind,contcomm,TRUE
Individual Utilities,Lang,trial8,agent_0,4.504062176,0,1,6.498749733,6.498749733,9.152706146,6.498749733,0.708751917,1,ind,contcomm,TRUE
Individual Utilities,Lang,trial8,agent_1,4.506249905,0,1,6.418437481,6.418437481,NA,6.418437481,0.700062633,1,ind,contcomm,TRUE
Individual Utilities,Lang,trial8,agent_2,4.4893751139999996,0,1,6.315624714,6.315624714,NA,6.315624714,0.688878775,1,ind,contcomm,TRUE
Individual Utilities,Lang,trial7,agent_0,4.498749733,0,0.999687493,6.444062233,6.444062233,9.17250061,6.444062233,0.700464845,0.999687493,ind,contcomm,TRUE
Individual Utilities,Lang,trial7,agent_1,4.514374733,0,1,6.5225000380000004,6.5225000380000004,NA,6.5225000380000004,0.710614085,1,ind,contcomm,TRUE
Individual Utilities,Lang,trial7,agent_2,4.496874809,0,1,6.431562424,6.431562424,NA,6.431562424,0.699876368,0.999687493,ind,contcomm,TRUE
Individual Utilities,Lang,trial6,agent_0,4.4931249619999996,0,1,6.403437138,6.403437138,9.181145668,6.403437138,0.697092354,1,ind,contcomm,TRUE
Individual Utilities,Lang,trial6,agent_1,4.496874809,0,1,6.421562195,6.421562195,NA,6.421562195,0.697566509,1,ind,contcomm,TRUE
Individual Utilities,Lang,trial6,agent_2,4.504374981,0,1,6.440937519,6.440937519,NA,6.440937519,0.699291289,1,ind,contcomm,TRUE
Individual Utilities,Lang,trial5,agent_0,0.035625,0.041249998,0.035625,9.939062119,10.25,9.180208206,10.25,1.086691856,0,ind,contcomm,TRUE
Individual Utilities,Lang,trial5,agent_1,0.777499974,0.043125,0.392500013,8.211249352,8.489375114,NA,8.489375114,0.895652115,0.0390625,ind,contcomm,TRUE
Individual Utilities,Lang,trial5,agent_2,1.313125014,0.057812497,0.654375017,6.82156229,7.186874866,NA,7.186874866,0.740207195,0.067499995,ind,contcomm,TRUE
Individual Utilities,Lang,trial4,agent_0,0.419375002,0.100625001,0.362500012,8.528124809,9.1934375760000009,9.168540001,9.1934375760000009,0.932059765,6.25e-4,ind,contcomm,TRUE
Individual Utilities,Lang,trial4,agent_1,1.409687519,0.083749995,0.836250007,6.435312271,6.944999695,NA,6.944999695,0.69913125,0.055312499,ind,contcomm,TRUE
Individual Utilities,Lang,trial4,agent_2,0.036874998,0.050625,0.036874998,9.848124504,10.23374939,NA,10.23374939,1.077153444,0,ind,contcomm,TRUE
Individual Utilities,Lang,trial3,agent_0,0.859062493,0.0428125,0.407187492,7.981249809,8.256249428,9.160310745,8.256249428,0.871658742,0.047499999,ind,contcomm,TRUE
Individual Utilities,Lang,trial3,agent_1,0.031874999,0.055937499,0.031874999,9.83843708,10.26281261,NA,10.26281261,1.07833302,0,ind,contcomm,TRUE
Individual Utilities,Lang,trial3,agent_2,1.279374957,0.072187498,0.640625,6.7059373860000004,7.182812214,NA,7.182812214,0.728527963,0.064062499,ind,contcomm,TRUE
Individual Utilities,Lang,trial2,agent_0,1.62718749,0.057187498,0.848749995,6.149062157,6.453437328,9.184168816,6.453437328,0.667231977,0.085625,ind,contcomm,TRUE
Individual Utilities,Lang,trial2,agent_1,0.0390625,0.037812497,0.0390625,10.03343773,10.31531239,NA,10.31531239,1.096388698,0,ind,contcomm,TRUE
Individual Utilities,Lang,trial2,agent_2,0.464687496,0.073124997,0.355312496,8.61187458,9.069375038,NA,9.069375038,0.937517345,6.25e-4,ind,contcomm,TRUE
Individual Utilities,Lang,trial1,agent_0,0.764062464,0.0465625,0.383749992,8.2012500760000009,8.473437309,9.156147003,8.473437309,0.896413684,0.029999999,ind,contcomm,TRUE
Individual Utilities,Lang,trial1,agent_1,0.033124998,0.025625,0.032812499,10.05968761,10.24843693,NA,10.24843693,1.102201462,0,ind,contcomm,TRUE
Individual Utilities,Lang,trial1,agent_2,1.347812414,0.060312498,0.670000017,6.620312214,6.987499714,NA,6.987499714,0.719973266,0.068437502,ind,contcomm,TRUE
Shared Utilities,Nonlang,trial10,agent_0,0.463749975,0.248125002,0.401874989,7.220416069,9.105312347,9.148958206,8.502708435,0.790164948,0.0021875,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial10,agent_1,1.6328125,0.138437495,0.930625022,7.220416069,6.154062271,NA,8.502708435,0.790164948,0.02125,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial10,agent_2,0.048749998,0.189999998,0.048124999,7.220416069,10.24874973,NA,8.502708435,0.790164948,0,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial9,agent_0,1.559999943,0.107812494,0.925937474,7.814375401,6.289687157,9.148020744,8.558751106,0.855157614,0.023125,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial9,agent_1,0.433437496,0.144374996,0.314375013,7.814375401,9.166874886,NA,8.558751106,0.855157614,0.0025,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial9,agent_2,0.042187501,0.099687494,0.040312499,7.814375401,10.21968746,NA,8.558751106,0.855157614,3.125e-4,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial8,agent_0,1.6640625,0.094687499,0.962499976,7.35395813,6.1865625380000004,9.181249619,8.690728188,0.804576933,0.030312499,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial8,agent_1,0.34937498,0.221249998,0.205312505,7.35395813,9.635937691,NA,8.690728188,0.804576933,0.032187499,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial8,agent_2,0.052812498,0.211249992,0.045312501,7.35395813,10.24968719,NA,8.690728188,0.804576933,0.00125,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial7,agent_0,0.0390625,0.130937502,0.0390625,7.293959141,10.27124977,9.163646698,8.120624542,0.797714531,0,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial7,agent_1,1.853437424,0.095624998,0.956875026,7.293959141,5.4990625380000004,NA,8.120624542,0.797714531,0.049999997,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial7,agent_2,0.800937474,0.173749998,0.604375005,7.293959141,8.591562271,NA,8.120624542,0.797714531,0.0109375,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial6,agent_0,4.5068750380000004,0,1,6.386456966,6.362499714,9.135625839,6.386456966,0.697860479,1,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial6,agent_1,4.5243749619999996,0,1,6.386456966,6.419687271,NA,6.386456966,0.697860479,1,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial6,agent_2,4.492812634,0,1,6.386456966,6.377187252,NA,6.386456966,0.697860479,1,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial5,agent_0,1.593124986,0.099062495,0.917187512,7.073750973,6.274062157,9.16583252,8.733647346,0.775259554,0.0425,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial5,agent_1,0.049687497,0.264375001,0.047812499,7.073750973,10.27906227,NA,8.733647346,0.775259554,3.125e-4,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial5,agent_2,0.264375001,0.284062505,0.204062507,7.073750973,9.64781189,NA,8.733647346,0.775259554,6.25e-4,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial4,agent_0,0.396562487,0.314999998,0.356249988,6.919585228,9.624687195,9.148228645,8.731977463,0.754754365,9.375e-4,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial4,agent_1,1.56812501,0.103124999,0.908437491,6.919585228,6.3818750380000004,NA,8.731977463,0.754754365,0.048124999,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial4,agent_2,0.0940625,0.30249998,0.073437497,6.919585228,10.18937492,NA,8.731977463,0.754754365,0.0025,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial3,agent_0,0.037812497,0.106562495,0.036874998,7.774582863,10.29906273,9.162080765,8.550726891,0.848789215,3.125e-4,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial3,agent_1,1.659999967,0.106249996,0.953750014,7.774582863,6.1640625,NA,8.550726891,0.848789215,0.039687499,joint,nocomm,TRUE
