playerId,correctness,human,workedWell,fair,feedback,time
wFt9Gem4ynZZvQzbH,yes,yes,agree,Yes.,NA,Yes.
6hvMdLE9nJSutH8EC,yes,yes,agree,Yes,No,Yes
b8uvbv78oddp4MXBk,yes,yes,neutral,Yea,No,Yea
PDsF9w8L2wcbTFqPK,yes,yes,agree,Yes,No,"Yes, more than enough"
aDWfnsnGtZFpMtR8P,yes,yes,agree,Yes,My comment on the enough time question is all I have. Very enjoyable. Thank you for having me.,"More than plenty, in fact, too much. My issue I had with Repi was he took like two minutes on one of the decisions. I play video games, so I'm used to teammates being slower. I don't know Repi's walk of life, so I can't be too mad."
oobHJEGLBoeu4YCrL,yes,yes,disagree,Sure,no,yes
2R66mXvMN2HTSXExx,yes,yes,stronglyAgree,"Yes, my partners and I worked well together with our individual knowledge to the point where, for most months, we managed to pick three individual flowers to pick and plant.",No issues!,"There was an excessive amount of time for each round - but there was plenty of thinking time and consideration, yes."
kvRxFNSJ5NAxmWQcm,yes,yes,neutral,Yes,n/a,"Yes, more than enough."
BpYmZoemoFji2D2uQ,yes,yes,agree,yes,no,yes
H4McnQYFnQpKjbDbR,yes,yes,agree,Yes,Not at all.,"Yeah, absolutely, if anything too much."
3JnRmpC7HMSrqHzQF,yes,yes,stronglyAgree,yes felt fair,no,too much time
C8a3TsfxAtfouWo28,yes,yes,neutral,yes,no,yes
7738kPFYg3Ry4TpZs,yes,yes,agree,"Yes quite fair, could've been higher though",No,"Yes, plenty of time"
KvNSi8caH7XuFB45y,yes,yes,stronglyAgree,yes,none,yes
xcjf9jYuNGqad8Jq4,yes,no,agree,Yes!,None,More then plenty
LronQBmSu3fav5G74,yes,no,agree,yes,no,yes
EAWesGcBSZ6uGnPNE,yes,yes,agree,yes,no,yes
psBbgRRY3nF4G7PCd,yes,no,neutral,Yes it seemed fair to me.,No,There was too much time for each round as the decisions were made quickly.
Bbmggxtd4fcnic2GS,yes,yes,agree,Yes,Nope!,Yes
xKajKa94sfLqxXdra,yes,yes,disagree,I don’t think it’s fair that we didn’t get to get a bonus because someone disconnected,The partner disconnected,Yes
gGj2qJ8LRFD99jBXJ,yes,yes,neutral,A bit,No,Yes
Y6H8ZbLfivt6zFTPM,yes,NA,neutral,Yes,"No, but my internet struggled midway through the study",Yes
ePofihLRWxdf3CyHy,yes,yes,neutral,"yes, it was a little random, but also depended a little on teamwork",no,yes
wFbnyK6tKDBhtMPgJ,yes,yes,agree,yes,none,yes
4pEywTCsfBRvrP3Pe,yes,yes,agree,yes,no,yes
GWTFruNX2ftTdCSCY,yes,no,neutral,N/A,NA,N/A
GZ9ZnziLvr6SdDzzF,yes,yes,agree,A bit lower than similar studies on Prolific.,No. Sound timing maybe a bit off during task.,30 seconds would be enough.
49p8swwoCkX57rXwk,yes,yes,disagree,Yes.,No.,Yes.
DLZm7Q3BMDik9HFM9,yes,no,neutral,yes,NA,yes
RKmQ36vmCzhyniEu7,yes,yes,agree,Yes I believe the pay was relatively fair.,No problems or other comments :),More than enough time.
vnBddKbCkJnbYLqme,no,no,stronglyDisagree,not at all,"yes, the game could not load",not at all
J3yRNwo2rP7kWcSLy,yes,yes,stronglyDisagree,"Pay was fair, Thanks.",NA,Had more than enough time.
CZ3oGk74YGLLgMSvc,yes,yes,agree,I feel it was fair as we all did our best to choose separate images of the flowers even though in some occasions we chose the same one,I did not have much issues however at one point my page was blank so I had to refresh it,Yes the time was very long
gWkwihgwhytr2mFdB,yes,yes,neutral,"Yes, I feel the pay was fair. I think it was difficult because you didn't know when someone else was going to pick the same one",I had one glitch where I had a white screen for while but then I refreshed and it was fine,Yes
2ppx4QZS3Bm4DHB3E,yes,yes,agree,Yes the pay was fair.,No.,I felt like i had enough time.
uD7moL2TnsZobbWau,yes,yes,agree,Yes,NA,Yes
phQ2tE7F5TKrZdNy3,yes,yes,agree,Yes.,No,Yes.
wz4RnisyTipaDg7fi,yes,yes,neutral,"Yes, I believe the pay was fair.",No other problems. Thank you!!,"Yes, I feel I had more than enough time."
NGaPppC4NCBZdL4eG,yes,yes,neutral,"Yes, absolutely",No,Yes
vT3dhwMyaLeLRMupe,yes,no,disagree,yes,nope,yes more than enough
deDuJiA2fbo4GEkt3,yes,no,disagree,Yes.,"I had to refresh my screen at one point, but it worked after that.","Yes, more than enough time."
qTthcXgQuXJDXjcAD,yes,yes,agree,"yes, i feel as though payment for when we all picked different flowers should be a little higher, but I think it was fair.","none, the study worked very well and was enjoyable! :)",yes
AHAZsTSTwXRZqzR6W,yes,no,neutral,"Yes, the pay was fair indeed.",The study showed a blank screen at one point so i clicked on 'reload' then it went back to normal.,I did feel like i had enough time.
MS7hmEp2PSD4jij7k,yes,yes,agree,Yes.,No.,Yes.
5GQvbbPGzWgeuZHxk,yes,yes,neutral,I think so.,"After the first round the next round didn't start for me the screen just went white and nothing happened. I had to reload the screen to bring me back, after that it didn't happen again.",Yes.
LPzL2n7K6zSHgKx2N,NA,NA,NA,NA,NA,NA
Xsad4a7ngsvR4WJyN,yes,yes,agree,Yes,No,Yes very well
