roundId,index,stageIds,gameId,createdAt,repNum,blockNum,trialNum,numPlayers,submitted,playerId,playerResponse,time_sec,playerUtility
afF7WJ4eqdGzRo4ZY,0,"Xtj6xxqhHq6vmSvSA,uDDmaDLq72euiCBht",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,0,0,0,3,FALSE,2R66mXvMN2HTSXExx,yellow_2,8.152,8
afF7WJ4eqdGzRo4ZY,0,"Xtj6xxqhHq6vmSvSA,uDDmaDLq72euiCBht",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,0,0,0,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_4,4.922,8
afF7WJ4eqdGzRo4ZY,0,"Xtj6xxqhHq6vmSvSA,uDDmaDLq72euiCBht",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,0,0,0,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_6,11.073,8
5s7pcM5acWJnx4MmT,1,"rrj5gb6vKFkWSD495,SPDBzei7iZMHmNggW",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,1,0,1,3,FALSE,2R66mXvMN2HTSXExx,yellow_1,2.629,8.66666666666667
5s7pcM5acWJnx4MmT,1,"rrj5gb6vKFkWSD495,SPDBzei7iZMHmNggW",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,1,0,1,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_5,7.586,8.66666666666667
5s7pcM5acWJnx4MmT,1,"rrj5gb6vKFkWSD495,SPDBzei7iZMHmNggW",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,1,0,1,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_4,6.759,8.66666666666667
ZBtKoNWQhfptYqvjs,2,"yRShZiDp8NFdRzF3b,qvQsBp682iepdT4RX",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2,0,2,3,FALSE,2R66mXvMN2HTSXExx,yellow_5,0.421,7.66666666666667
ZBtKoNWQhfptYqvjs,2,"yRShZiDp8NFdRzF3b,qvQsBp682iepdT4RX",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2,0,2,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_9,4.826,7.66666666666667
ZBtKoNWQhfptYqvjs,2,"yRShZiDp8NFdRzF3b,qvQsBp682iepdT4RX",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2,0,2,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_4,3.144,7.66666666666667
CZgwj8BvuHympw8Xx,3,"3mrK8NcQvEeQJJfHf,xQxZsJQrc32k6stcW",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,3,0,3,3,FALSE,2R66mXvMN2HTSXExx,yellow_8,1.042,4.66666666666667
CZgwj8BvuHympw8Xx,3,"3mrK8NcQvEeQJJfHf,xQxZsJQrc32k6stcW",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,3,0,3,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_3,2.816,4.66666666666667
CZgwj8BvuHympw8Xx,3,"3mrK8NcQvEeQJJfHf,xQxZsJQrc32k6stcW",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,3,0,3,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_3,4.956,4.66666666666667
etuApcvbYKdDovPsZ,4,"b9qEmmWpkDZDdARBW,LGeSdSutqMw2AxdXx",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,4,0,4,3,FALSE,2R66mXvMN2HTSXExx,yellow_3,2.519,8
etuApcvbYKdDovPsZ,4,"b9qEmmWpkDZDdARBW,LGeSdSutqMw2AxdXx",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,4,0,4,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_2,0.835,8
etuApcvbYKdDovPsZ,4,"b9qEmmWpkDZDdARBW,LGeSdSutqMw2AxdXx",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,4,0,4,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_9,5.004,8
Rkbgc93jn2FZ4Xxqj,5,"pbvWAwSJGeSH4es7X,MJMLLkdsySkYryhwJ",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,5,0,5,3,FALSE,2R66mXvMN2HTSXExx,yellow_8,0.177,7
Rkbgc93jn2FZ4Xxqj,5,"pbvWAwSJGeSH4es7X,MJMLLkdsySkYryhwJ",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,5,0,5,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_2,3.546,7
Rkbgc93jn2FZ4Xxqj,5,"pbvWAwSJGeSH4es7X,MJMLLkdsySkYryhwJ",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,5,0,5,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_7,6.973,7
a5dcBvdwiHi3LyZaM,6,"ysLBosoNBo5TXwsPt,awqZZJrxRbFYmrmKA",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,0,1,6,3,FALSE,2R66mXvMN2HTSXExx,yellow_11,1.355,4.33333333333333
a5dcBvdwiHi3LyZaM,6,"ysLBosoNBo5TXwsPt,awqZZJrxRbFYmrmKA",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,0,1,6,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_1,1.957,4.33333333333333
a5dcBvdwiHi3LyZaM,6,"ysLBosoNBo5TXwsPt,awqZZJrxRbFYmrmKA",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,0,1,6,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_1,72.03,4.33333333333333
88bXdSqQrsvpEz6tE,7,"qBCcxoHoyQEuHWXt5,qQZfAY9LnzQb6TtYd",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,1,1,7,3,FALSE,2R66mXvMN2HTSXExx,yellow_11,0.289,2
88bXdSqQrsvpEz6tE,7,"qBCcxoHoyQEuHWXt5,qQZfAY9LnzQb6TtYd",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,1,1,7,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_11,0.821,2
88bXdSqQrsvpEz6tE,7,"qBCcxoHoyQEuHWXt5,qQZfAY9LnzQb6TtYd",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,1,1,7,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_11,2.676,2
P8nAThouQrWJts9Lj,8,"mS8muZrbxAZEnKtYr,smkJ3gm75g28YGMur",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2,1,8,3,FALSE,2R66mXvMN2HTSXExx,yellow_7,0.085,4
P8nAThouQrWJts9Lj,8,"mS8muZrbxAZEnKtYr,smkJ3gm75g28YGMur",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2,1,8,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_7,1.903,4
