playerId,correctness,human,workedWell,fair,chatUseful,feedback,time
Xzwn3GeDhaYChyk6X,yes,yes,disagree,Yes,Yes,My players did not try and commuicate,Yes
Z4uGdog32wDhkwPjw,yes,yes,disagree,The pay was very fair,The chat was very easy to use,NA,Enough time was given each round
HattoicCD8RpvNp3x,yes,no,agree,Yes,Yes,No,Yes
pgdSEje8fK2EhyEAF,yes,yes,neutral,yes,yes,no,yes
mQ4j9jv3oBQW9zdxE,yes,yes,agree,Yes,Very easy,None,Yes
kq9vcpqmQwbkFB4sX,yes,yes,stronglyAgree,i think it was fair yes,yes it was very simple,no it was great,more than enough time
nzCnCnx4W9EDKLyEy,yes,yes,stronglyAgree,"Definitely, ty! :)",Yep,NA,Perfect amount
WpuqGRTsiQfcFJHK9,yes,yes,stronglyAgree,"The pay for the survey was not great, but hopefully the bonus will make up for it!",Very easy.,It was a lot of fun!,yes
XR254nXRjwrveus4M,yes,yes,stronglyAgree,Yes I do,it was very straightforward!,I enjoyed this study!,more than enough time! We usually picked our flowers within the first minute
HatzPcAxQZHJgfvTp,yes,yes,agree,yes,yes,no,yes
ZxbL2ksdEpEH3Rh8J,yes,yes,agree,The task took longer than it said I think I should get more pay...,Yes very easy,Nope,Yes
5tF4pbeZsgwoLyBXN,yes,yes,agree,Yes the pay was fair,"Yes, the chat was easy to use.",No problems. Great study,Yes plenty of time.
PbkFBSjSacP6FbmxN,yes,yes,stronglyAgree,yes,yes,no,yes
CqGNYgwtJZcCtsyvF,yes,yes,stronglyAgree,yes,yes,nope,yes
Dj6hRMp5EBbw6J3hS,yes,yes,agree,Yes,"Yes, very","I got timed out of lobby whilst waiting for players to join but researcher was very helpful and was told to refresh so I could continue study. I had to do quiz again but was told I'd receive $1 for my time. NO complaints, good and easy to follow for pilot study\n\n",Plenty of time
GzEbt9NLtAL4BCgCb,yes,yes,agree,yes,yes,no,yes
BFyArttr4GJKvgh3o,yes,no,neutral,yes,I sometimes picked my flower before doing the chat!,none,"Yes, plenty of time"
6QtEPWxTAWAefyGPr,yes,yes,disagree,Probably,Yes,no,Not really
ag35YjbFLzjjeMaDC,yes,yes,agree,yes,yes,no,yes
ruzsZu2ZMpSN7o2Gr,yes,yes,agree,Yes,Yes,"During the first year, third month, my screen went white for 30 seconds. After a refresh it started working again from the correct point.",Yes
2M3RkHGLhzqYCwzcx,yes,yes,agree,Yes,Yes although I'm not sure if some messages were silenced randomly as we all seemed to communicate but not always,NA,Yes
updnHGdXfBnCtjukm,yes,yes,agree,yes,"after some getting used to, yes",nope,yes
ZpkXJ5xZrx3MnJgaT,yes,yes,agree,yes,yes,no,yes
sLMT6CD6TuLpKJDnN,yes,yes,agree,Yes,Very!,"Nope, very intrigued! I like the format and trying to describe flowers when I don't know flowers at all was hilarious!",Yes
zy3Ff7JGAMYF9Xuir,yes,yes,agree,Yes.,Didn't use it.,It was interesting and very different. Really creative! Thank you.,Almost!
498JrAC3EwBN3xyRt,yes,yes,neutral,"Yes, it seems like a fair rate of pay.","I suppose, but none of us used it (I didn't feel I had the time to because the rounds appeared very quickly).","Thanks, it was an interesting study.","No, not at all."
ySbhtawG8GTDfP3mC,yes,no,agree,Very.,I didn't use it as I didn't feel there was enough time!,"When I was reading the instructions, I did notice the screen refreshed on a couple of occasions. I thought it was just a way of being told to hurry up!",Not really. I would like to have chatted with the bots and made a strategy.
yzohYrPBuHByxFd85,yes,no,agree,Could be slightly higher,Yes,No,Yes
