playerId,gameId,createdAt,age,gender,language,raceWhite,raceBlack,raceAsian,raceNative,raceIslander,raceHispanic,education
2hj9TEW7tcbgLckSj,47MwccNZCwNDTyxqK,2021-08-19T20:37:58Z,25,male,english,TRUE,NA,NA,NA,NA,NA,bachelor
uCn7dXSZRaSK2bFJ4,47MwccNZCwNDTyxqK,2021-08-19T20:38:14Z,43,Male,English,TRUE,NA,NA,NA,NA,NA,highSchool
AM5jKEDQqQ9px6G9r,co5ircoedXApqB9jD,2021-08-19T20:52:38Z,30,Female,English,TRUE,NA,NA,NA,NA,NA,highSchool
dpxZFAjR8hGR6AbZT,co5ircoedXApqB9jD,2021-08-19T20:52:40Z,21,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
RCqCyyonSzuAMu9dW,mSAzCKGFCebEpwyY8,2021-08-19T20:52:42Z,24,female,English,TRUE,NA,NA,NA,NA,NA,someCollege
Fc8hP9H3oDuNrh8Mb,mSAzCKGFCebEpwyY8,2021-08-19T20:52:55Z,25,Male,English,NA,NA,TRUE,NA,NA,NA,bachelor
EcXvtL3n4KfbtMvtE,S2hKPFL78z9cyKbeY,2021-08-19T20:53:25Z,21,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
4ipqkJvwzvaSrDWc6,mSAzCKGFCebEpwyY8,2021-08-19T20:54:10Z,42,female,english,TRUE,NA,NA,NA,NA,NA,bachelor
YMzGnv6mFMFbQhT8H,S2hKPFL78z9cyKbeY,2021-08-19T20:54:12Z,21,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
NpZd3qLBDeqRs73Mi,co5ircoedXApqB9jD,2021-08-19T20:55:10Z,56,male,english,TRUE,NA,NA,NA,NA,NA,bachelor
xZRBvhNS5q39NeEwm,S2hKPFL78z9cyKbeY,2021-08-19T20:55:40Z,25,Male,English,TRUE,NA,NA,NA,NA,NA,master
tb8cYu5YkEY7rwNGt,avdWsKnbRkYLQ5Mq8,2021-08-19T20:57:02Z,34,female,english,TRUE,NA,NA,NA,NA,NA,highSchool
dtrXhLCRBm4QbQrGg,KiRHskdD2iLy8Fh8C,2021-08-19T20:57:03Z,19,Female,English,NA,TRUE,NA,NA,NA,NA,highSchool
JFACpZugXjwGuwMpS,KiRHskdD2iLy8Fh8C,2021-08-19T20:57:06Z,39,Male,English,TRUE,NA,NA,NA,NA,NA,master
6bQmRukQXEvm6tMo5,avdWsKnbRkYLQ5Mq8,2021-08-19T20:57:51Z,20,female,english,NA,NA,NA,NA,NA,NA,NA
cgzEXWirZZiXNga2d,avdWsKnbRkYLQ5Mq8,2021-08-19T20:58:12Z,48,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
xQRbdNPH67gZtjqTF,KiRHskdD2iLy8Fh8C,2021-08-19T20:59:37Z,40,male,english,TRUE,NA,NA,NA,NA,NA,highSchool
53nGAi7E76hZ3FtdD,i5oTjkGdo6JjBr37b,2021-08-19T21:00:24Z,29,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
THt9PTb6CwSBGoxn8,Etbyk29DvPTqmSJM7,2021-08-19T21:00:25Z,34,male,English,NA,TRUE,NA,NA,NA,NA,someCollege
FsZvRwcd5hAPGZ55n,HevPvvPd7xwLaz9S6,2021-08-19T21:00:32Z,49,female,english,TRUE,NA,NA,NA,NA,NA,someCollege
mP5c5Q8kCCnJMuZqT,i5oTjkGdo6JjBr37b,2021-08-19T21:00:34Z,31,f,english,TRUE,NA,NA,NA,NA,NA,highSchool
TNkBXoLbzhruBA3gS,HevPvvPd7xwLaz9S6,2021-08-19T21:00:45Z,20,female,English,TRUE,NA,NA,NA,NA,NA,someCollege
Paof6KY5XWFpNuGwH,Etbyk29DvPTqmSJM7,2021-08-19T21:01:21Z,31,female,english,TRUE,NA,NA,NA,NA,NA,bachelor
EaTF2x6WGY73PQthf,Etbyk29DvPTqmSJM7,2021-08-19T21:01:31Z,24,female,english,TRUE,TRUE,NA,NA,NA,NA,bachelor
zba9zoM7QszHCWYM2,5etSp4RTD85pHPt96,2021-08-19T21:03:29Z,23,female,english,TRUE,NA,NA,NA,NA,NA,bachelor
z3ecz5DfDoBJMMhag,HevPvvPd7xwLaz9S6,2021-08-19T21:03:55Z,36,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
xewAG3QpwG5CaF457,QHkfso2yMgbbziE7r,2021-08-19T21:04:53Z,30,female,english,TRUE,NA,NA,NA,NA,NA,someCollege
GG9PGMS2QcLqvaiFz,8HAcSYq55E8pTYMDK,2021-08-19T21:04:55Z,36,female,English,TRUE,NA,NA,NA,NA,NA,someCollege
nPp32Zj2T2YTXassh,QHkfso2yMgbbziE7r,2021-08-19T21:05:46Z,30,agender,english,TRUE,NA,NA,NA,NA,NA,bachelor
Fca4e2EKdFHWHNQh4,8HAcSYq55E8pTYMDK,2021-08-19T21:05:52Z,42,male,english,TRUE,NA,NA,NA,NA,NA,someCollege
hGfRmwGvBGFWMgiaT,5etSp4RTD85pHPt96,2021-08-19T21:05:53Z,26,male,english,TRUE,NA,NA,NA,NA,NA,someCollege
bTXd6LwgaNHkP66co,5etSp4RTD85pHPt96,2021-08-19T21:06:09Z,25,Female,English,TRUE,NA,TRUE,NA,NA,NA,bachelor
Y7pBdCPT2BT3bjwuZ,i5oTjkGdo6JjBr37b,2021-08-19T21:07:21Z,65,Male,NA,TRUE,NA,NA,NA,NA,NA,bachelor
ew6432RyxC9E4Geox,QHkfso2yMgbbziE7r,2021-08-19T21:07:57Z,20,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
2mEeGgc4HAaRQR9fr,NA,2021-08-19T21:09:32Z,30,Female,English,TRUE,NA,NA,NA,NA,NA,master
juDZpR3nb24bZwoFv,NA,2021-08-19T21:10:08Z,60,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege
QMkLYP2o4Hi9tyua9,NA,2021-08-19T21:10:29Z,18,Female,English,NA,TRUE,NA,NA,NA,NA,someCollege
WEh4Fg82nJgoqvCHd,TpAMBXAumnL7zQDwG,2021-08-19T21:10:58Z,18,Male,English,NA,NA,TRUE,NA,NA,NA,highSchool
XDSm6PYShe69gKqbC,NA,2021-08-19T21:11:02Z,34,female,English,TRUE,NA,NA,NA,NA,NA,bachelor
xf83jcxjC63eXJ2HY,TpAMBXAumnL7zQDwG,2021-08-19T21:11:28Z,33,Female,English,TRUE,NA,NA,NA,NA,NA,master
CbCdGyWPXFnTHm2hh,NA,2021-08-19T21:11:29Z,27,Male,English,NA,NA,TRUE,NA,NA,NA,someCollege
jzZxEk7EPeQo5GJaB,gc7mRNb3EKLNXbWZR,2021-08-19T21:13:13Z,25,Male,English,TRUE,NA,NA,TRUE,NA,NA,bachelor
mhN2ZTLrvko6tWuAs,NA,2021-08-19T21:13:37Z,33,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
EEk6nTcyRgEdrHPD6,gc7mRNb3EKLNXbWZR,2021-08-19T21:15:08Z,21,female,English,TRUE,NA,NA,NA,NA,NA,someCollege
ZJFsyB2E2SGdQXyWj,TpAMBXAumnL7zQDwG,2021-08-19T21:15:09Z,38,male,English,TRUE,NA,NA,NA,NA,NA,master
TK23qoZSFJs3GysWD,gc7mRNb3EKLNXbWZR,2021-08-19T21:15:29Z,26,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
d337LduZWGNKuT3SA,qzSRSqEwDXuLRxceA,2021-08-19T21:16:49Z,21,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege
eYcYiyzfHXxEtesyi,9YvhBapNfWcFwvvpX,2021-08-19T21:17:13Z,29,female,english,TRUE,NA,NA,NA,NA,TRUE,someCollege
9YoiHjzccxpmwYwuj,qzSRSqEwDXuLRxceA,2021-08-19T21:17:56Z,28,male,english,TRUE,NA,TRUE,NA,NA,NA,highSchool
hGi7jdHAqTpYmkqFx,9YvhBapNfWcFwvvpX,2021-08-19T21:17:59Z,27,male,english,TRUE,NA,NA,NA,NA,NA,master
it7SjjwhBH6tThCTA,qzSRSqEwDXuLRxceA,2021-08-19T21:18:22Z,25,Female,English,NA,TRUE,NA,NA,NA,NA,bachelor
zYZzeMkDHFCTn2oP6,9YvhBapNfWcFwvvpX,2021-08-19T21:18:42Z,41,female,english,TRUE,NA,NA,NA,NA,NA,someCollege
CrNsenyEBYxfciJX3,8HAcSYq55E8pTYMDK,2021-08-19T21:20:13Z,54,male,english,TRUE,NA,NA,NA,NA,NA,bachelor
cibMkXDCFdcQRJ83F,wTPCpTBpdP9eKJswp,2021-08-19T21:21:33Z,23,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
wsbBsa62okgbDXZbg,kartvbhf8pFz6ZzML,2021-08-19T21:21:36Z,23,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
ZnEcctC5C5tucNPfG,wTPCpTBpdP9eKJswp,2021-08-19T21:21:42Z,21,female,english,NA,TRUE,NA,NA,NA,NA,bachelor
i365ot6kc7dsdEePp,kartvbhf8pFz6ZzML,2021-08-19T21:21:51Z,53,male,English,TRUE,NA,NA,NA,NA,NA,someCollege
BifQbBtM7yw983Zkg,kartvbhf8pFz6ZzML,2021-08-19T21:23:12Z,27,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
