gameId,createdAt,age,gender,language,raceWhite,raceBlack,raceAsian,raceNative,raceIslander,raceHispanic,education
TkAYES9iNiAnFtJFM,2021-08-20T19:07:03Z,37,female,English,TRUE,NA,NA,NA,NA,NA,bachelor
TkAYES9iNiAnFtJFM,2021-08-20T19:07:46Z,35,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege
YQjzeQBYnWzMTSx3o,2021-08-20T19:08:43Z,20,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
T7Pb2SjMb6HmQE2FC,2021-08-20T19:09:49Z,22,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
ZLTdtZohjzacKrzwi,2021-08-20T19:10:03Z,19,Male,English,TRUE,NA,NA,NA,NA,NA,highSchool
dcDzPNFskQjTjHmmj,2021-08-20T19:10:06Z,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,bachelor
T7Pb2SjMb6HmQE2FC,2021-08-20T19:10:16Z,31,Female,English,TRUE,NA,NA,NA,NA,NA,master
ZLTdtZohjzacKrzwi,2021-08-20T19:10:24Z,19,woman,English,TRUE,NA,NA,NA,NA,NA,someCollege
YQjzeQBYnWzMTSx3o,2021-08-20T19:10:37Z,25,Female,English,TRUE,NA,NA,NA,NA,NA,master
T7Pb2SjMb6HmQE2FC,2021-08-20T19:10:37Z,27,male,English,TRUE,NA,NA,NA,NA,NA,someCollege
ZLTdtZohjzacKrzwi,2021-08-20T19:10:38Z,23,female,english,NA,NA,NA,NA,NA,TRUE,bachelor
dcDzPNFskQjTjHmmj,2021-08-20T19:11:09Z,23,female,english,NA,NA,NA,NA,NA,TRUE,someCollege
A7S5dEqJH4NNczDXo,2021-08-20T19:11:21Z,25,Male,English,TRUE,NA,NA,NA,NA,NA,highSchool
TkAYES9iNiAnFtJFM,2021-08-20T19:11:56Z,22,female,english,TRUE,NA,NA,NA,NA,NA,bachelor
YQjzeQBYnWzMTSx3o,2021-08-20T19:12:12Z,29,woman,english,TRUE,NA,NA,NA,NA,NA,bachelor
3FWWt63LvpHJrdPDf,2021-08-20T19:12:39Z,56,female,Engish,TRUE,NA,NA,NA,NA,NA,someCollege
ji8xdTANq6LeircHa,2021-08-20T19:12:48Z,29,Male,English,NA,TRUE,NA,NA,NA,NA,bachelor
3FWWt63LvpHJrdPDf,2021-08-20T19:13:09Z,32,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege
ji8xdTANq6LeircHa,2021-08-20T19:13:32Z,43,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
3FWWt63LvpHJrdPDf,2021-08-20T19:13:40Z,31,female,english,TRUE,NA,NA,NA,NA,NA,someCollege
nvAqmqvChBRjPx5Gy,2021-08-20T19:13:41Z,23,female,english,TRUE,NA,NA,NA,NA,NA,someCollege
A7S5dEqJH4NNczDXo,2021-08-20T19:13:47Z,47,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
A7S5dEqJH4NNczDXo,2021-08-20T19:13:58Z,46,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege
nvAqmqvChBRjPx5Gy,2021-08-20T19:14:17Z,18,Male,English,TRUE,NA,NA,TRUE,NA,NA,highSchool
nvAqmqvChBRjPx5Gy,2021-08-20T19:14:21Z,23,female,English,TRUE,NA,NA,NA,NA,NA,bachelor
SrbcmDCchRdr9pMhc,2021-08-20T19:16:57Z,35,female,english,TRUE,NA,NA,NA,NA,NA,master
NA,2021-08-20T19:17:58Z,21,female,English,TRUE,NA,NA,NA,NA,NA,someCollege
p2kTCcty5EB2qCePM,2021-08-20T19:18:05Z,27,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
SrbcmDCchRdr9pMhc,2021-08-20T19:18:08Z,25,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
NA,2021-08-20T19:19:03Z,56,female,English,TRUE,NA,NA,NA,NA,NA,bachelor
SrbcmDCchRdr9pMhc,2021-08-20T19:19:10Z,29,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
NA,2021-08-20T19:19:50Z,31,male,english,TRUE,NA,NA,NA,NA,NA,master
Pzd8Z7nEbkh2x39YE,2021-08-20T19:19:57Z,21,female,English,TRUE,NA,NA,NA,NA,NA,someCollege
p2kTCcty5EB2qCePM,2021-08-20T19:20:06Z,20,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
