gameId,createdAt,age,gender,language,raceWhite,raceBlack,raceAsian,raceNative,raceIslander,raceHispanic,education
NA,2021-08-18T18:11:55Z,47,male,english,TRUE,NA,NA,NA,NA,NA,master
NA,2021-08-18T18:12:57Z,47,male,english,TRUE,NA,NA,NA,NA,NA,master
gHkmdWtt4MSwdrHgv,2021-08-18T18:16:29Z,29,female,english,TRUE,NA,NA,TRUE,NA,NA,bachelor
gHkmdWtt4MSwdrHgv,2021-08-18T18:16:59Z,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,someCollege
cK5bFKgBKPiq4oCki,2021-08-18T18:17:39Z,18,Female,English,TRUE,NA,NA,NA,NA,NA,highSchool
cK5bFKgBKPiq4oCki,2021-08-18T18:19:26Z,38,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
cK5bFKgBKPiq4oCki,2021-08-18T18:19:47Z,43,Male,english,TRUE,NA,NA,NA,NA,NA,bachelor
gHkmdWtt4MSwdrHgv,2021-08-18T18:23:42Z,43,Male,English,NA,TRUE,NA,NA,NA,NA,master
TcPmFDfHk3H2fXWcx,2021-08-18T18:25:18Z,26,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
TcPmFDfHk3H2fXWcx,2021-08-18T18:26:29Z,25,female,english,TRUE,NA,NA,NA,NA,NA,someCollege
TcPmFDfHk3H2fXWcx,2021-08-18T18:30:56Z,66,female,english,TRUE,NA,NA,NA,NA,NA,master
NA,2021-08-18T18:33:37Z,23,F,English,TRUE,NA,NA,NA,NA,NA,bachelor
aM9s2sP7CMRTR6R43,2021-08-18T18:35:10Z,34,male,english,TRUE,NA,NA,NA,NA,NA,bachelor
aM9s2sP7CMRTR6R43,2021-08-18T18:35:28Z,19,Male,English,NA,NA,TRUE,NA,NA,NA,someCollege
aM9s2sP7CMRTR6R43,2021-08-18T18:36:02Z,27,female,english,TRUE,NA,NA,NA,NA,NA,master
tCjrEveh73HL9HFSM,2021-08-18T18:48:09Z,39,female,english,TRUE,NA,NA,NA,NA,NA,highSchool
tCjrEveh73HL9HFSM,2021-08-18T18:49:22Z,30,female,english,TRUE,NA,NA,NA,NA,NA,bachelor
tCjrEveh73HL9HFSM,2021-08-18T19:01:00Z,25,Female,English/British,TRUE,NA,NA,NA,NA,NA,someCollege
NA,2021-08-18T19:15:24Z,48,male,english,TRUE,NA,NA,NA,NA,NA,someCollege
Dn8i4ng4g9axyopCX,2021-08-18T19:17:23Z,36,female,english,TRUE,NA,NA,NA,NA,NA,highSchool
NA,2021-08-18T19:17:41Z,68,Female,English,NA,NA,NA,NA,NA,NA,bachelor
y2BbwSMKzt67yNpbh,2021-08-18T19:18:24Z,18,Female,English,TRUE,NA,NA,NA,NA,NA,highSchool
Dn8i4ng4g9axyopCX,2021-08-18T19:19:01Z,22,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
y2BbwSMKzt67yNpbh,2021-08-18T19:19:11Z,40,Trans female,English,NA,NA,TRUE,NA,NA,NA,bachelor
y2BbwSMKzt67yNpbh,2021-08-18T19:19:22Z,32,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
Dn8i4ng4g9axyopCX,2021-08-18T19:24:17Z,38,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
tyahSKb2QMioA7SQ6,2021-08-18T19:26:04Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,master
tyahSKb2QMioA7SQ6,2021-08-18T19:26:27Z,31,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
tyahSKb2QMioA7SQ6,2021-08-18T19:28:33Z,28,Woman,English,TRUE,NA,NA,NA,NA,NA,bachelor
NA,2021-08-18T19:37:42Z,31,male,english,TRUE,NA,NA,NA,NA,TRUE,bachelor
7qCsiS5gNiMqqKAHg,2021-08-18T19:39:20Z,28,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
7qCsiS5gNiMqqKAHg,2021-08-18T19:40:07Z,23,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
7qCsiS5gNiMqqKAHg,2021-08-18T19:41:22Z,29,Female,English,NA,TRUE,NA,NA,NA,NA,bachelor
stGSMX34yNZ9MiK2N,2021-08-18T20:06:10Z,21,male,english,TRUE,NA,NA,NA,NA,NA,someCollege
stGSMX34yNZ9MiK2N,2021-08-18T20:07:38Z,32,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
stGSMX34yNZ9MiK2N,2021-08-18T20:07:40Z,33,Female,English,TRUE,NA,NA,NA,NA,NA,highSchool
