gameId,createdAt,age,gender,language,raceWhite,raceBlack,raceAsian,raceNative,raceIslander,raceHispanic,education
NA,2021-07-23T16:36:32Z,23,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
YmfiWLZCjuweB8ubM,2021-07-23T16:41:20Z,21,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege
YmfiWLZCjuweB8ubM,2021-07-23T16:41:33Z,19,Male,English,NA,NA,TRUE,NA,NA,NA,someCollege
YmfiWLZCjuweB8ubM,2021-07-23T16:43:21Z,30,male,english,TRUE,NA,NA,NA,NA,NA,bachelor
xgdZ83eD2XxDzFXg7,2021-07-23T16:43:36Z,43,femae,english,TRUE,NA,NA,NA,NA,TRUE,someCollege
xgdZ83eD2XxDzFXg7,2021-07-23T16:43:56Z,47,Female,English,TRUE,NA,NA,NA,NA,NA,highSchool
qHreQuZxvjnhsR9xR,2021-07-23T16:44:49Z,19,Female,English,NA,NA,TRUE,NA,NA,NA,someCollege
qHreQuZxvjnhsR9xR,2021-07-23T16:44:49Z,34,male,english,TRUE,NA,NA,NA,NA,TRUE,someCollege
qHreQuZxvjnhsR9xR,2021-07-23T16:44:53Z,34,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
LFpE6ieAMxm2KGjrw,2021-07-23T16:50:04Z,40,Male,English,TRUE,NA,NA,NA,NA,NA,highSchool
mrrrpRMW5oTozdfRm,2021-07-23T16:50:09Z,19,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege
LFpE6ieAMxm2KGjrw,2021-07-23T16:50:09Z,21,female,English,TRUE,NA,NA,NA,NA,NA,bachelor
mrrrpRMW5oTozdfRm,2021-07-23T16:50:28Z,19,Female,English,NA,TRUE,NA,NA,NA,NA,someCollege
LFpE6ieAMxm2KGjrw,2021-07-23T16:50:36Z,32,female,English,TRUE,NA,NA,NA,NA,NA,master
mrrrpRMW5oTozdfRm,2021-07-23T16:50:53Z,18,female,english,TRUE,NA,NA,NA,NA,NA,someCollege
Ex5iSXjrMTp3S6zqY,2021-07-23T16:53:03Z,32,male,english,TRUE,NA,NA,NA,NA,NA,bachelor
Ex5iSXjrMTp3S6zqY,2021-07-23T16:54:29Z,42,f,English,TRUE,NA,NA,NA,NA,NA,master
ASeBAAoXj8gJBJ8w3,2021-07-23T16:55:34Z,29,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege
ASeBAAoXj8gJBJ8w3,2021-07-23T16:55:54Z,37,female,english,NA,TRUE,NA,NA,NA,NA,bachelor
MXgWvTXxhRYZka4fo,2021-07-23T16:56:19Z,22,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
MXgWvTXxhRYZka4fo,2021-07-23T16:56:23Z,19,Male,English,TRUE,NA,NA,NA,NA,NA,highSchool
ASeBAAoXj8gJBJ8w3,2021-07-23T16:57:04Z,25,female,english,TRUE,NA,FALSE,NA,NA,NA,bachelor
NA,2021-07-23T17:03:39Z,26,Female,English,TRUE,NA,NA,NA,NA,TRUE,bachelor
pGQMu9KhuEYRzYo5x,2021-07-23T17:03:43Z,24,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
Qb68YqXhzBJhAFxaE,2021-07-23T17:03:46Z,34,F,English,TRUE,NA,NA,NA,NA,NA,someCollege
pGQMu9KhuEYRzYo5x,2021-07-23T17:03:47Z,42,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
Qb68YqXhzBJhAFxaE,2021-07-23T17:03:58Z,45,female,English,TRUE,NA,NA,NA,NA,NA,lessHighSchool
3LgkjpqtmuKooAMZM,2021-07-23T17:04:55Z,45,Male,English,TRUE,NA,NA,NA,NA,NA,master
3LgkjpqtmuKooAMZM,2021-07-23T17:05:03Z,38,female,english,TRUE,NA,NA,NA,NA,NA,bachelor
3LgkjpqtmuKooAMZM,2021-07-23T17:05:10Z,47,Male,English,TRUE,NA,NA,NA,NA,NA,master
Qb68YqXhzBJhAFxaE,2021-07-23T17:05:20Z,39,female,english,TRUE,NA,NA,NA,NA,NA,highSchool
pGQMu9KhuEYRzYo5x,2021-07-23T17:07:01Z,22,Male,english,TRUE,NA,NA,NA,NA,NA,highSchool
RvTMRhiHEBcZHTWQx,2021-07-23T17:08:37Z,27,Female,English,TRUE,NA,NA,NA,NA,NA,master
RvTMRhiHEBcZHTWQx,2021-07-23T17:08:39Z,43,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege
zEauNYLp4kXNxJwnB,2021-07-23T17:08:53Z,49,f,english,TRUE,NA,NA,NA,NA,NA,bachelor
qQhHk4h8omiiqvB4L,2021-07-23T17:08:57Z,46,male,english,TRUE,NA,NA,NA,NA,NA,bachelor
qQhHk4h8omiiqvB4L,2021-07-23T17:09:00Z,40,Female,English,TRUE,NA,NA,FALSE,NA,NA,highSchool
qQhHk4h8omiiqvB4L,2021-07-23T17:09:03Z,70,male,english,TRUE,NA,NA,NA,NA,NA,master
NA,2021-07-23T17:09:03Z,31,female,English,TRUE,NA,NA,NA,NA,NA,bachelor
zEauNYLp4kXNxJwnB,2021-07-23T17:09:30Z,19,Male,English,TRUE,NA,NA,NA,NA,NA,lessHighSchool
zEauNYLp4kXNxJwnB,2021-07-23T17:09:44Z,21,Male,English,TRUE,NA,NA,NA,NA,NA,highSchool
NA,2021-07-23T17:10:22Z,37,male,english,TRUE,NA,NA,NA,NA,NA,bachelor
NA,2021-07-23T17:10:38Z,38,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege
39CAZTKLsCKbbfEgn,2021-07-23T17:10:51Z,36,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
NA,2021-07-23T17:11:00Z,36,NA,NA,TRUE,NA,NA,NA,NA,NA,bachelor
39CAZTKLsCKbbfEgn,2021-07-23T17:11:01Z,51,female,English,TRUE,NA,NA,NA,NA,NA,someCollege
NA,2021-07-23T17:11:23Z,18,Non-binary,English,TRUE,NA,NA,NA,NA,NA,highSchool
39CAZTKLsCKbbfEgn,2021-07-23T17:12:30Z,29,male,English,TRUE,NA,NA,NA,NA,NA,bachelor
NA,2021-07-23T17:12:48Z,19,male,English,NA,TRUE,NA,NA,NA,NA,highSchool
hs4ay3QceE9oxhcov,2021-07-23T17:13:33Z,20,male,English,TRUE,NA,NA,NA,NA,NA,someCollege
hfwq4ugmNyCRzKeMr,2021-07-23T17:13:42Z,23,Nonbinary,English,TRUE,NA,NA,NA,NA,NA,someCollege
hfwq4ugmNyCRzKeMr,2021-07-23T17:13:49Z,33,female,English,TRUE,NA,TRUE,NA,TRUE,NA,bachelor
hfwq4ugmNyCRzKeMr,2021-07-23T17:13:49Z,19,non-binary,English,TRUE,NA,NA,NA,NA,NA,someCollege
hs4ay3QceE9oxhcov,2021-07-23T17:14:13Z,18,Female,English,TRUE,NA,TRUE,NA,NA,NA,highSchool
hs4ay3QceE9oxhcov,2021-07-23T17:14:57Z,65,male,english,NA,NA,NA,NA,NA,NA,someCollege
PpM5fquuz928vcQXT,2021-07-23T17:15:27Z,49,female,english,TRUE,NA,NA,NA,NA,NA,highSchool
vQvATm9LmWkXxQ8E6,2021-07-23T17:15:56Z,33,Male,English,TRUE,NA,NA,NA,NA,NA,master
vQvATm9LmWkXxQ8E6,2021-07-23T17:16:02Z,25,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
PpM5fquuz928vcQXT,2021-07-23T17:16:20Z,33,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege
vQvATm9LmWkXxQ8E6,2021-07-23T17:16:36Z,27,Woman,English,TRUE,NA,NA,NA,NA,NA,master
yChiLy8KMLoXtoCyh,2021-07-23T17:16:38Z,41,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
yChiLy8KMLoXtoCyh,2021-07-23T17:16:53Z,27,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege
PpM5fquuz928vcQXT,2021-07-23T17:16:55Z,19,Female,English,TRUE,NA,NA,NA,NA,NA,highSchool
yChiLy8KMLoXtoCyh,2021-07-23T17:18:10Z,39,Male,English,TRUE,NA,NA,NA,NA,NA,highSchool
