gameId,finishedAt,createdAt,sequence,numBlocks,condition,name,playerCount,selectionDuration,rounds,feedbackDuration,numTargets,repsPerBlock,partial,scale,chatEnabled,gameLength,pilot
39CAZTKLsCKbbfEgn,2021-07-23T17:10:05Z,2021-07-23T16:58:19Z,"red,yellow,purple,white",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,706,FALSE
3LgkjpqtmuKooAMZM,2021-07-23T17:04:20Z,2021-07-23T16:57:05Z,"white,purple,red,yellow",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,434,FALSE
ASeBAAoXj8gJBJ8w3,2021-07-23T16:54:58Z,2021-07-23T16:46:21Z,"yellow,purple,red,white",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,517,FALSE
Ex5iSXjrMTp3S6zqY,2021-07-23T16:53:12Z,2021-07-23T16:48:39Z,"yellow,white,purple,red",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,272,FALSE
hfwq4ugmNyCRzKeMr,2021-07-23T17:13:06Z,2021-07-23T17:05:29Z,"purple,yellow,red,white",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,457,FALSE
hs4ay3QceE9oxhcov,2021-07-23T17:13:03Z,2021-07-23T17:04:43Z,"purple,red,white,yellow",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,499,FALSE
LFpE6ieAMxm2KGjrw,2021-07-23T16:49:32Z,2021-07-23T16:42:13Z,"red,yellow,purple,white",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,438,FALSE
mrrrpRMW5oTozdfRm,2021-07-23T16:49:41Z,2021-07-23T16:41:06Z,"purple,yellow,red,white",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,514,FALSE
MXgWvTXxhRYZka4fo,2021-07-23T16:54:57Z,2021-07-23T16:47:32Z,"purple,yellow,red,white",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,444,FALSE
pGQMu9KhuEYRzYo5x,2021-07-23T17:02:56Z,2021-07-23T16:53:52Z,"white,purple,red,yellow",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,544,FALSE
PpM5fquuz928vcQXT,2021-07-23T17:14:49Z,2021-07-23T17:07:34Z,"red,purple,white,yellow",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,435,FALSE
Qb68YqXhzBJhAFxaE,2021-07-23T17:03:08Z,2021-07-23T16:55:39Z,"white,red,purple,yellow",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,449,FALSE
qHreQuZxvjnhsR9xR,2021-07-23T16:44:21Z,2021-07-23T16:37:29Z,"yellow,red,purple,white",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,412,FALSE
qQhHk4h8omiiqvB4L,2021-07-23T17:08:10Z,2021-07-23T16:59:26Z,"yellow,white,purple,red",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,524,FALSE
RvTMRhiHEBcZHTWQx,2021-07-23T17:07:05Z,2021-07-23T17:04:03Z,"white,purple,red,yellow",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,215,FALSE
vQvATm9LmWkXxQ8E6,2021-07-23T17:15:27Z,2021-07-23T17:07:11Z,"yellow,white,purple,red",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,495,FALSE
xgdZ83eD2XxDzFXg7,2021-07-23T16:42:24Z,2021-07-23T16:38:45Z,"purple,red,white,yellow",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,219,FALSE
yChiLy8KMLoXtoCyh,2021-07-23T17:15:58Z,2021-07-23T17:08:21Z,"red,purple,yellow,white",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,457,FALSE
YmfiWLZCjuweB8ubM,2021-07-23T16:40:28Z,2021-07-23T16:35:58Z,"white,purple,yellow,red",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,269,FALSE
zEauNYLp4kXNxJwnB,2021-07-23T17:08:22Z,2021-07-23T17:01:23Z,"purple,red,yellow,white",4,coopMulti,multiNonlangFUllRun,3,180,6,5,6,12,true,2,false,419,FALSE
