playerId,correctness,human,workedWell,fair,feedback,time
9MoiLRqn7HPwSqgrR,yes,yes,agree,Yesa,No,Yes
DsmzPsys378ouAig3,yes,yes,neutral,i didnt get to play,didnt get to play,i didnt get to play
ibLuXBkRAXPSqC7y6,yes,no,neutral,Yes,No,Yes
Y7BwxwRbxbP6Rh8X2,yes,yes,stronglyAgree,yes,no,yes
Mb8ADEEmP3ZmxxkvW,no,no,neutral,Yes,Didn't have enough time to enter,No
AuDmJeBi8t7fuKPx7,yes,no,neutral,Yes,No,Yes
3anrrcdtZ5d4PyStT,yes,yes,agree,Yes.,No.,Yes.
Z4kfRmvwLM6cr47LT,yes,yes,agree,Somehow,No,Yes
SCnLaRWo7fh37cMg6,yes,no,neutral,It says on the survey that its £4.80 per hour but not sure it took 45 mins.,Half way through the page went white and didn't load the next round - I refreshed the page and it continued on as normal.,Yes
aMMzXKuy8u6TmtYrN,yes,yes,stronglyAgree,"I do, thank you",No problems :) was a lot of fun,I did
Pi9atkCehFgDr8aYN,yes,no,neutral,yes it was fine,none at all,lenty of time
HwoMovMdHJmbAckv9,yes,yes,stronglyDisagree,I do. I see the potential bonus could have been great but sadly someone disconnected.,"I had some issues right away. The screen seemed to keep refreshing and then on one round it just went blank. I had to open the study in a new window to continue, then someone else quit. I think they may have had the same problem and not known to try opening it in a new window.",Yes
rdy8pn4MpwgznGpRK,yes,no,neutral,yes,no,yes
aGof5GaMDuQM25xSc,yes,yes,agree,Yes i do,The study glitched a bit and loading times lagged.,Yes more than enough time
rJfqdnPq2hfdwWdLL,yes,yes,agree,yes,n/a,yes
68Tew82Qq7SXmNPZT,yes,yes,neutral,sure didnt see nothing wrong with the game and how it worked,no,yes
aGBRxJQY2FY2k3vvR,yes,yes,neutral,Yes due to our groups performance not being the best.,NA,"Plenty of time, if not too much."
JvGLovcH3Aa4yGbQQ,yes,yes,agree,Yes,No,Yes
3wbhiiwAHAxz8z5EL,yes,yes,neutral,"Yes, I wish I got to play the game.",None.,"Yes, shouldn't have taken too long to chose a flower."
F9bv4zMkmYKaXyf9N,yes,no,neutral,NA,NA,NA
GjboTxjwCnTi4WEWM,yes,yes,disagree,Absolutely,Thanks for letting me do it,Plenty of time
GcddPKwivL4JFWX6r,yes,yes,agree,Yes.,No.,Yes.
Q9bESc8hgPYqnzx2v,yes,yes,agree,Yes,No,Yes
ysMH6WmAmuTADCu5b,yes,yes,neutral,IT SEEMS FAIRLY EVEN,NO,YES
AAKp4BwY6iiD2nkBF,no,yes,neutral,Yes,No issues.,Yes.
WFjQ5udMzgWg34aWz,yes,yes,neutral,yes,no,yes
LobtN9LAFzJDcwYX3,yes,yes,agree,"Yes, feel it was a game of luck",Page would often refresh when instructions were given and would take you back to the top of the page.,Yes plenty of time
CS4GSXSEz58nvL3i7,yes,yes,neutral,Yes.,No.,Yes.
Jm4BKLLPKhhmWfeGh,yes,yes,agree,Yes,Not really,Yes almost too much
3ASftqExPSXeJJA23,yes,no,neutral,"I feel it was relatively random, so yes.",No.,Yes.
eWmchrWjpfx42wxKm,yes,yes,neutral,it was quite fair yes,no,yes i had plenty of time
YRXAcJsKMD4NrXF4h,yes,no,neutral,I guess I would say that the pay was fair based on the instructions we were given,My screen did not load for one of the games and I had to reload the page. I wasn't sure that it would even reload and was worried I was kicked out of the study. I also don't think it is great to tell participants that the first people to complete the instructions and quiz will be accepted into the study because people are then more likely to rush through the instructions.,"No, I felt that the rounds went rather quickly and was not prepared for them to be so fast."
Pk2f6o9n4Pfqbuf6G,yes,yes,neutral,Yes,"No problems but I am a UK citizen, so it's no use putting 'US' before 'bachelors degree' - I have a BA so I ticked that, but it is a UK degree",Plenty - don't need lots of time when you can't 'see' what the other people are doing...
DSWYfiXRWqEQM8SwB,yes,yes,agree,yes,page refreshes sometimes,yes
