playerId,gameId,createdAt,age,gender,language,raceWhite,raceBlack,raceAsian,raceNative,raceIslander,raceHispanic,education
bCeAhfgRzWT7B5BbC,NA,2021-08-18T18:11:55Z,47,male,english,TRUE,NA,NA,NA,NA,NA,master
8mbK2KccBQtjdN6C8,NA,2021-08-18T18:12:57Z,47,male,english,TRUE,NA,NA,NA,NA,NA,master
Z2joquDWbEZGqQbBg,gHkmdWtt4MSwdrHgv,2021-08-18T18:16:29Z,29,female,english,TRUE,NA,NA,TRUE,NA,NA,bachelor
hMLMoqLmXm5BtnLBG,gHkmdWtt4MSwdrHgv,2021-08-18T18:16:59Z,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,someCollege
QxEW5vPLSHZusyB8n,cK5bFKgBKPiq4oCki,2021-08-18T18:17:39Z,18,Female,English,TRUE,NA,NA,NA,NA,NA,highSchool
KeFzoZMJA8QdqxspA,cK5bFKgBKPiq4oCki,2021-08-18T18:19:26Z,38,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
8764R4gkq9ZG4mYvr,cK5bFKgBKPiq4oCki,2021-08-18T18:19:47Z,43,Male,english,TRUE,NA,NA,NA,NA,NA,bachelor
jFnzAztiZ2gwwgrJB,gHkmdWtt4MSwdrHgv,2021-08-18T18:23:42Z,43,Male,English,NA,TRUE,NA,NA,NA,NA,master
KeAqzQRXTWqh9Wg8K,TcPmFDfHk3H2fXWcx,2021-08-18T18:25:18Z,26,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
uzvM9H4SaZkjJqS7r,TcPmFDfHk3H2fXWcx,2021-08-18T18:26:29Z,25,female,english,TRUE,NA,NA,NA,NA,NA,someCollege
STnj48EmzESHXsaxc,TcPmFDfHk3H2fXWcx,2021-08-18T18:30:56Z,66,female,english,TRUE,NA,NA,NA,NA,NA,master
ksdETSxoyrZXB8EcD,NA,2021-08-18T18:33:37Z,23,F,English,TRUE,NA,NA,NA,NA,NA,bachelor
eNsoJPZtNwLvt9Exq,aM9s2sP7CMRTR6R43,2021-08-18T18:35:10Z,34,male,english,TRUE,NA,NA,NA,NA,NA,bachelor
w4t3whuAFaGBKkXMp,aM9s2sP7CMRTR6R43,2021-08-18T18:35:28Z,19,Male,English,NA,NA,TRUE,NA,NA,NA,someCollege
7Rdbrvw5j2CAP9uLe,aM9s2sP7CMRTR6R43,2021-08-18T18:36:02Z,27,female,english,TRUE,NA,NA,NA,NA,NA,master
KQF4JfERugqG4xhYF,tCjrEveh73HL9HFSM,2021-08-18T18:48:09Z,39,female,english,TRUE,NA,NA,NA,NA,NA,highSchool
TXFemmt8We9hkStPZ,tCjrEveh73HL9HFSM,2021-08-18T18:49:22Z,30,female,english,TRUE,NA,NA,NA,NA,NA,bachelor
PrTqtFJxb5XNpMz3m,tCjrEveh73HL9HFSM,2021-08-18T19:01:00Z,25,Female,English/British,TRUE,NA,NA,NA,NA,NA,someCollege
xjWrugqWADtEmWpmW,NA,2021-08-18T19:15:24Z,48,male,english,TRUE,NA,NA,NA,NA,NA,someCollege
er6JTT2p5aFyysGgr,Dn8i4ng4g9axyopCX,2021-08-18T19:17:23Z,36,female,english,TRUE,NA,NA,NA,NA,NA,highSchool
fDvXr77XHxwT47ReF,NA,2021-08-18T19:17:41Z,68,Female,English,NA,NA,NA,NA,NA,NA,bachelor
vwgvyEGGMkG8JYz4g,y2BbwSMKzt67yNpbh,2021-08-18T19:18:24Z,18,Female,English,TRUE,NA,NA,NA,NA,NA,highSchool
FNp7mmj4Gnw9dKQYA,Dn8i4ng4g9axyopCX,2021-08-18T19:19:01Z,22,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
kFBNwfaZ6ustM94f5,y2BbwSMKzt67yNpbh,2021-08-18T19:19:11Z,40,Trans female,English,NA,NA,TRUE,NA,NA,NA,bachelor
4TKPzjWWBDqSrgQak,y2BbwSMKzt67yNpbh,2021-08-18T19:19:22Z,32,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
gAtBeu3sqYZYGJEBf,Dn8i4ng4g9axyopCX,2021-08-18T19:24:17Z,38,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
RdyiZNfyB53soiLti,tyahSKb2QMioA7SQ6,2021-08-18T19:26:04Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,master
8DGdB8rRq2CktL7Lu,tyahSKb2QMioA7SQ6,2021-08-18T19:26:27Z,31,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
S8CRvmubssY3QNvAR,tyahSKb2QMioA7SQ6,2021-08-18T19:28:33Z,28,Woman,English,TRUE,NA,NA,NA,NA,NA,bachelor
SasQ7iFPBxbAGtE4k,NA,2021-08-18T19:37:42Z,31,male,english,TRUE,NA,NA,NA,NA,TRUE,bachelor
YFnDsBjq4MDDpkJc5,7qCsiS5gNiMqqKAHg,2021-08-18T19:39:20Z,28,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
QYuNi6EzQk9BHnAHG,7qCsiS5gNiMqqKAHg,2021-08-18T19:40:07Z,23,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
ZKkEAbgfAEXvyyQGH,7qCsiS5gNiMqqKAHg,2021-08-18T19:41:22Z,29,Female,English,NA,TRUE,NA,NA,NA,NA,bachelor
AoPLhiH2M3gHw7i7b,stGSMX34yNZ9MiK2N,2021-08-18T20:06:10Z,21,male,english,TRUE,NA,NA,NA,NA,NA,someCollege
ozihe3CWuyQvnDntf,stGSMX34yNZ9MiK2N,2021-08-18T20:07:38Z,32,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
CebDfd2Pss9YaKsAW,stGSMX34yNZ9MiK2N,2021-08-18T20:07:40Z,33,Female,English,TRUE,NA,NA,NA,NA,NA,highSchool
