playerId,correctness,human,workedWell,fair,chatUseful,feedback,time
P5RE77g8pm2dtqawA,yes,no,agree,Yes,Yes,No,Yes-More than enough
pC3zCwiFyCFD6siWo,yes,yes,agree,yes,yes,no,yes
qGZ6HcXYeYgshiPmH,yes,yes,stronglyAgree,Yes.,"Very useful, impossible to do this without it.","One player was frozen for 2 rounds, but otherwise perfect.",More than enough time.
HeXYRpJ7znQZ6BP6v,yes,yes,stronglyAgree,Yes,It was very easy,I had a problem where it froze halfway through but when i reopened the study it went back to where i was,Plenty of time
kdsKqKyWdXwmeE6WR,yes,yes,agree,"Yes, was fun.",Yes.,One of the partners was disconnected for a couple of them. Everything else was fine. Sounds were a little annoying if being picky.,Yes plenty.
YEiw6MqCWovNFp4Bq,yes,yes,neutral,"Yes.  We appointed a leader who probably took the best bonus, but they had to work for it by doing all the descriptions/typing.","Yes, no issues  - once we started talking!  Wasted too many rounds being selfish and not acting as a team.  I had to step in and say something.","One 'participant' didn't engage at all, and made a few poor choices, almost as if they didn't care or weren't paying attention.  Spoiled the study for us a bit.","Yes, plenty of time.  2 minutes would have been more than sufficient."
tCeuNLPHtpWrzutp9,yes,yes,agree,Yes.,Yes.,None at all.,Defintely.
8tuNKShzayef5Ysjb,yes,yes,stronglyAgree,Yes the pay was fair.,Yes it was very easy to use.,I didn't notice any problems.,Yes we had enough time.
9EbggWY5eJWruGqJG,yes,yes,agree,yes,Yes,No,"Yes, was good"
uc4ByKKGRrb7R7ARW,yes,yes,stronglyAgree,Yes,yes very,none,yes too much time even
oTkbdCgvWKvaCqQb7,yes,yes,agree,Yes,Yes,None,Yes
bTQTvtfRHrBMramdR,yes,yes,agree,yes,yes very easy,N/A,Yes there was enough
pjA4f6As8cAmCxWap,yes,yes,neutral,I feel the pay is fair,Yes,No issues,Yes
PaLwLpZj4Zvfsn7gN,yes,yes,agree,Yes,Yes,No issues,Yes
SKWQPkZ2HtvFefYTK,yes,yes,agree,Yes the pay was fair.,The in-game chat feature easy to use.,Well I notice there was a problem at the beginning of the study but it was resolved somehow along the way.,Yes we had enough time on each round.
W5Rugu8ZJ3ezTAgvy,yes,yes,stronglyAgree,Yes,Yes,The first year was harder because I think it took us a while to realise the same flowers would get repeated throughout the trials,Yes
dGZRCmnE7qCJsuwYP,yes,yes,stronglyAgree,Yes.,Very.,No.,Plenty.
rSdBjHwfmWwz3Zwxq,yes,yes,stronglyAgree,Yes and No. The study took longer than advertised by something like 15-30 minutes. The pay was fair if the added duration is compensated for.,"Yes, very.",We resolved to focus on a strategy that tended to exploit erratic background features to avoid having to describe the actual flowers.,Yes. Comfortable.
nFqTBtKEKpFBGNMXC,yes,yes,stronglyAgree,sure,noises were annoying,no,yeah
BiKzWfhjXPp2RcaMv,yes,no,stronglyAgree,Yeah,Yeah,none,Yeah
Cm5auRoPbDGaDN5QP,yes,yes,agree,probably,yup - if you can type,bit of a wait at first,yes
nMzWar2T9QiwnZuhh,yes,yes,stronglyAgree,Yeah I cant complain.,Very,"Some of the images were smaller than I'd like to describe details to the others, but not many.",Yeah plenty.
