,overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,train_overall_choice_rank,train_overall_collision_rate,train_overall_deference_rate,train_overall_ex_loss,train_overall_loss,train_overall_reward,train_overall_reward_initial,train_overall_reward_max,train_overall_reward_no_collision,train_overall_reward_normed,train_overall_rf_loss,train_overall_unknown_choice_rate,train_agent_0_choice_rank,train_agent_0_collision_rate,train_agent_0_deference_rate,train_agent_0_reward,train_agent_0_reward_initial,train_agent_0_reward_max,train_agent_0_reward_no_collision,train_agent_0_reward_normed,train_agent_0_unknown_choice_rate,train_agent_1_choice_rank,train_agent_1_collision_rate,train_agent_1_deference_rate,train_agent_1_reward,train_agent_1_reward_initial,train_agent_1_reward_no_collision,train_agent_1_reward_normed,train_agent_1_unknown_choice_rate,train_agent_2_choice_rank,train_agent_2_collision_rate,train_agent_2_deference_rate,train_agent_2_reward,train_agent_2_reward_initial,train_agent_2_reward_no_collision,train_agent_2_reward_normed,train_agent_2_unknown_choice_rate
ind_contcomm_1,0.623333335,0.071354173,0.403854072,-8.33175087,-8.33175087,8.330728531,8.792189598,9.162707329,8.792189598,0.909762859,0.307479113,0.019583331,0.409999996,0.088124998,0.358125001,8.599061966,9.172186852,9.162707329,9.172186852,0.938542485,0.000625,0.029375,0.053749997,0.029375,9.906874657,10.30531216,10.30531216,1.086033583,0,1.430624962,0.072187498,0.824062526,6.486249924,6.899062157,6.899062157,0.704712331,0.058125
ind_contcomm_2,0.685416639,0.041354161,0.354479134,-8.399353981,-8.399353981,8.404583931,8.669585228,9.152915001,8.669585228,0.91883415,0.307938039,0.038020834,0.687812507,0.049374998,0.374062508,8.372812271,8.692500114,9.152915001,8.692500114,0.9166435,0.028749999,1.341874957,0.048749998,0.662812471,6.761562347,7.050624847,7.050624847,0.735117555,0.085312501,0.026562499,0.025937499,0.026562501,10.07937431,10.265625,10.265625,1.104742169,0
ind_contcomm_3,0.632499933,0.073958322,0.415416628,-8.269690514,-8.269690514,8.267915726,8.754998207,9.153542519,8.754998207,0.90384084,0.319869787,0.017604165,1.379687428,0.090312496,0.81812501,6.394374847,6.960624695,9.153542519,6.960624695,0.695511401,0.051562499,0.478124976,0.082499996,0.390312493,8.490312576,9.009062767,9.009062767,0.928698301,0.0009375,0.039687499,0.049062498,0.037812501,9.919062614,10.29531193,10.29531193,1.087313056,0.0003125
ind_contcomm_4,0.727396071,0.047604162,0.372499973,-8.314592361,-8.314592361,8.321562767,8.618437767,9.190208435,8.618437767,0.906323433,0.366084427,0.039479166,1.346249938,0.061874997,0.666875005,6.764374733,7.135312557,9.190208435,7.135312557,0.734272063,0.081874996,0.038125001,0.032812499,0.038125001,10.06968689,10.29906273,10.29906273,1.098712444,0,0.797812462,0.048124999,0.412499994,8.130624771,8.420937538,8.420937538,0.885986149,0.036562499
ind_contcomm_5,4.492083549,0,1,-6.426267147,-6.426267147,6.453958035,6.453958035,9.183854103,6.453958035,0.701729775,4.056056023,1,4.488749981,0,1,6.308749676,6.308749676,9.183854103,6.308749676,0.686733246,1,4.483124733,0,1,6.509374619,6.509374619,6.509374619,0.70650959,1,4.504374981,0,1,6.543749809,6.543749809,6.543749809,0.711946785,1
ind_contcomm_6,0.71104157,0.038437497,0.353645831,-8.33440876,-8.33440876,8.344896317,8.598853111,9.176147461,8.598853111,0.90959239,0.280760884,0.037291665,1.355937481,0.0509375,0.639062524,6.7109375,7.037499905,9.176147461,7.037499905,0.728613317,0.075937495,0.0353125,0.030624999,0.0353125,10.02562523,10.25593758,10.25593758,1.095320225,0,0.741874993,0.033749998,0.386562496,8.298125267,8.503125191,8.503125191,0.90484345,0.035937499
ind_contcomm_7,0.640729129,0.072708346,0.402604133,-8.305264473,-8.305264473,8.304685593,8.787603378,9.177185059,8.787603378,0.905570507,0.413143873,0.023020837,0.0315625,0.042187501,0.030625001,9.936249733,10.26499939,9.177185059,10.26499939,1.086698651,0.0003125,0.818749964,0.081249997,0.503750026,7.874374866,8.389374733,8.389374733,0.858938813,0.024374999,1.071874976,0.094687499,0.673437476,7.103437424,7.708437443,7.708437443,0.771073878,0.044374999
ind_contcomm_8,0.676979065,0.056979153,0.431770861,-8.324970245,-8.324970245,8.314063072,8.664064407,9.162708282,8.664064407,0.908203304,0.304089367,0.020520831,0.036249999,0.0278125,0.036249999,10.05875015,10.26624966,9.162708282,10.26624966,1.101951361,0,1.521562457,0.071874999,0.844062507,6.18874979,6.605937481,6.605937481,0.673989236,0.060624998,0.473124981,0.071249999,0.414999992,8.69468689,9.119999886,9.119999886,0.948669553,0.0009375
ind_contcomm_9,0.698437512,0.036562499,0.358854175,-8.398873329,-8.398873329,8.401874542,8.641457558,9.159583092,8.641457558,0.917878151,0.323401779,0.037187502,0.719687462,0.03875,0.370937496,8.304374695,8.55406189,9.159583092,8.55406189,0.90741688,0.034062501,0.040312499,0.029375,0.039999999,10.02687454,10.24281216,10.24281216,1.09882164,0,1.335312486,0.041562498,0.665624976,6.874374866,7.127500057,7.127500057,0.747396469,0.077500001
