_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
d42JLE33CXeKnLWwj,1,simple,true,2021-08-19T19:01:28Z,2021-08-19T19:25:11Z,finished,,gPR99kfXeccf8PeGF,2021-08-19T18:59:23Z,
pEzrBnFJNjiYsQ6Wp,2,simple,true,2021-08-19T19:01:29Z,2021-08-19T19:18:04Z,finished,,LrRSukRse3aB9xuSM,2021-08-19T18:59:25Z,
mESPrWMx4LyBfTLZt,3,simple,true,2021-08-19T19:01:30Z,2021-08-19T19:26:59Z,finished,,7JSk79tktXw77agpS,2021-08-19T18:59:25Z,
QPAwTtA6xD6QFFd85,4,simple,true,2021-08-19T19:01:30Z,2021-08-19T19:37:37Z,finished,,DTw5mrEvPvfyuEiGw,2021-08-19T18:59:26Z,
ER8ECN4Hhxp2iX7MT,5,simple,true,2021-08-19T19:01:31Z,2021-08-19T19:23:24Z,finished,,Rq47E8uzWFKm4CBPJ,2021-08-19T18:59:26Z,
g3GMSsmuuTxSEWaTE,6,simple,true,2021-08-19T19:01:31Z,2021-08-19T19:17:17Z,finished,,3S6bXnp5NWyGgmBxD,2021-08-19T18:59:27Z,
pH8K3yQ8medW3Es2z,7,simple,true,2021-08-19T19:01:31Z,2021-08-19T19:30:04Z,finished,,XjkgbtJsRqw72Efv8,2021-08-19T18:59:27Z,
7YFrziDmkEJqJ2SQu,8,simple,true,2021-08-19T19:01:33Z,2021-08-19T19:12:16Z,finished,,KiTSXqszi96DogyRN,2021-08-19T18:59:31Z,
AKM4N9tNRN4vJY3Ls,9,simple,true,2021-08-19T19:01:33Z,2021-08-19T19:34:49Z,finished,,gaQuqy3pK43dmA63T,2021-08-19T18:59:32Z,
G9NDSprpWavJHqtu2,10,simple,true,2021-08-19T19:01:34Z,2021-08-19T19:35:02Z,finished,,ryif2joSqP2QPBCAQ,2021-08-19T18:59:32Z,
wb4x4GZWGM9eGtmiZ,11,simple,true,2021-08-19T19:01:35Z,2021-08-19T19:36:09Z,finished,,PZY4jHbHmRcFDbKFb,2021-08-19T18:59:33Z,
cPdwqmtcDLSTTNGoL,12,simple,true,2021-08-19T19:01:35Z,2021-08-19T19:32:41Z,finished,,xNbKXYWeQChGefnkG,2021-08-19T18:59:33Z,
ZAwsrugpHGCjDP22t,13,simple,true,2021-08-19T19:01:36Z,2021-08-19T19:29:22Z,finished,,LmhxB2Dp9tRd9dujK,2021-08-19T18:59:34Z,
uRbgzMkotGiYJXGn4,14,simple,true,2021-08-19T19:01:36Z,2021-08-19T19:39:43Z,finished,,B5SFfZ9rHwth8oHNn,2021-08-19T18:59:34Z,
6dvdo9xLqvJoGH7Ew,15,simple,true,2021-08-19T19:01:37Z,2021-08-19T19:33:23Z,finished,,rzxpsi2uYcPZFHxKS,2021-08-19T18:59:35Z,
iqbCwjq5YHMqggP8N,16,simple,true,2021-08-19T19:01:38Z,2021-08-19T20:12:11Z,finished,,M8ouHRoCWgHhnZBDW,2021-08-19T18:59:36Z,
DPXJkGqSvNXXD4khN,17,simple,true,2021-08-19T19:01:38Z,2021-08-19T19:44:19Z,finished,,YGABm7kTsNdSBHTWW,2021-08-19T18:59:36Z,
y4Mnum9pme593h68d,18,simple,true,2021-08-19T19:01:39Z,2021-08-19T19:31:07Z,finished,,n7EdiTEdffTm64G3T,2021-08-19T18:59:37Z,
HuKNrfgKhq3TPxoZw,19,simple,true,2021-08-19T19:01:39Z,2021-08-19T19:40:07Z,finished,,qHE49yN9TGZFDaP6F,2021-08-19T18:59:37Z,
njHbvgzh98CfmWoJZ,20,simple,true,2021-08-19T19:01:39Z,2021-08-19T19:56:06Z,finished,,8dDG6frr5JfsMjmTD,2021-08-19T18:59:38Z,
