_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.chatUseful,data.feedback,data.time,data.player1,data.player2,data.p1nice,data.p2nice,data.p1again,data.p2again
JZxn5JsEgJKBHasJE,ajXrM4MRpEmaP8h5S,KiTSXqszi96DogyRN,2021-08-19T19:14:27Z,25,Female,English,true,,,,,,bachelor,yes,yes,neutral,Did not get a chance to play - a participant left,x,Wish I'd been able to play!,x,,,4,4,4,4
wsokR5qGqHs7bCRgx,DE8LiqDxXyMDTs3K7,KiTSXqszi96DogyRN,2021-08-19T19:14:34Z,21,Female,English,true,,,,,,someCollege,yes,yes,neutral,"Unfortunately I was unable to play the game since someone was disconnected, so my pay could have been higher, but I still think it was fair.",I was unable to play the game so N/A,n/a,N/A,,,4,4,4,4
JS4m8ucBdHuD3hWBF,HETvsnvE6HKdv5mER,KiTSXqszi96DogyRN,2021-08-19T19:16:45Z,42,male,English,true,,,,,,someCollege,yes,yes,neutral,"If I receive the base pay, then yes. ","Someone disconnected at the start of this, so the study was immediately terminated for me. We never began chatting.","Yes, a partner disconnected at the very beginning, which terminated the study for all of us. Couldn't you just send other participants back to the lobby when this happens and pair them with someone else?",This study was terminated before I had a chance to participate.,,,4,4,1,1
p3QTfoFZq4TMigJNm,GsXazheEWLkYZLQqv,LrRSukRse3aB9xuSM,2021-08-19T19:20:36Z,27,Female,English,true,,,,,,bachelor,yes,yes,stronglyAgree,"Yeah it was a fun task and didn't take too long\nIf it took longer though with participants taking a long time then I would want more pay per hour",Very easy ,Nope - was good fun!,Yes,,,7,7,7,7
fJ64uEmKqdhFFaDqm,ehFS23PQxCCDHHxyf,LrRSukRse3aB9xuSM,2021-08-19T19:21:22Z,37,Female,English ,true,,,,,,master,yes,no,agree,Yes ,Yes,None,Not to chat also ,,,6,5,4,4
NhmN9cA4ArNTykQmt,WADiGpeAEgWDqGFda,LrRSukRse3aB9xuSM,2021-08-19T19:22:12Z,29,female,English,true,,,,,,bachelor,yes,yes,neutral,Yes,Very - it would be helpful if you could see if your partners were typing. There were times were 2 players would claim the flower and click before the other had to time read that it was claimed.,,Plenty of Time!,,,6,4,7,3
MuBSSZw2nKD5jszxx,7mbrv5hEFhfJjjB9e,3S6bXnp5NWyGgmBxD,2021-08-19T19:23:04Z,25,Female,English ,true,,,,,,bachelor,yes,yes,stronglyAgree,Yes,Yes,No,Yes,,,7,7,7,7
bfzbDFyZSiwMH8Khy,fqKx97dXcBN6zt8gp,3S6bXnp5NWyGgmBxD,2021-08-19T19:23:46Z,60,female,english,true,,,,,,highSchool,yes,no,stronglyAgree,"yes, any correct answers should be paid whatever is decided",yes a couple of times,no all seemed an interesting game,yes,,,7,7,7,7
bsk8AJ8EihKcXK7Em,Sz4iGenvGrCK8kEtT,Rq47E8uzWFKm4CBPJ,2021-08-19T19:25:48Z,19,female,English,true,,,,,,someCollege,yes,yes,stronglyAgree,yes,yes,nope!,more than enough,,,7,7,7,7
aNDNKb6ngfR8C6i6n,uxoyB5wDdjQuWKiq3,gPR99kfXeccf8PeGF,2021-08-19T19:25:50Z,33,Male,English,true,,,,,,bachelor,yes,yes,stronglyAgree,Yes.,Very easy to use.,No.,More than enough time.,,,7,7,7,7
8iMymfpRY95nZux56,ab6Htv2wyBH9h4u9G,gPR99kfXeccf8PeGF,2021-08-19T19:26:18Z,21,female,english,true,,,,,,someCollege,yes,yes,stronglyAgree,yes until it crashed,yes,I was up to over 2$ extra when someone disconnected ,plenty yes,,,7,7,7,6
Y2TLmXii24ZPM85hq,EZhiHuDJHXZoSLhDe,3S6bXnp5NWyGgmBxD,2021-08-19T19:26:19Z,30,Female,English,true,,,,,,bachelor,yes,yes,agree,Yes.,I didn't attempt to use it as I felt pressured by the timer.,"Yes, I had a technical issue in one of the rounds. It didn't load and was just a blank white page. I went to message the researcher but thought I'd try refreshing in a new window and that worked. The other participants had used the chat feature while waiting on me.",Yes.,,,6,6,7,7
xdgqpTiDuKZN5T8dT,6tfvgNd3nKd8e8LPT,gPR99kfXeccf8PeGF,2021-08-19T19:26:35Z,27,Female,English,true,,,,,,master,yes,yes,stronglyAgree,No - I do not like that I was disconnected in the final year!,"Yes, very.","I wish I wasn't disconnected in the final year, I felt my team mates and I were doing very well. Fun though!","Yes, definitely. ",,,5,5,7,7
KD7STgvPwBqt8mrYm,R2b3MuhDjL7XNdsbx,Rq47E8uzWFKm4CBPJ,2021-08-19T19:27:51Z,20,Male,english,true,,,,,,lessHighSchool,yes,yes,stronglyAgree,Yes,yes,no,yes,,,7,7,7,7
rJtxjS5H9n9QR6tm9,9spSSdtfY5HoAAzpA,Rq47E8uzWFKm4CBPJ,2021-08-19T19:28:50Z,32,Female,English,true,,,,,,bachelor,yes,yes,stronglyAgree,"Yes, I felt the bonuses were good amounts and that I was fairly compensated for my time/efforts.","Yes, it felt like any standard chat box you'd find online.",No. All instructions were clear and easy to follow.,"Yes - we all seemed to make the decision quickly, and we never overlapped our choices.",,,6,6,7,7
