_id,batchId,playerId,stageId,roundId,gameId,createdAt,submittedAt
3KGDiXjXpnWppiqNh,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,PGqZv52YuSfN6Sqeq,HMW5PZnQmFwJeD4Xz,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:07:45Z
uDFAHGrhRwCHfe2CN,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,PGqZv52YuSfN6Sqeq,HMW5PZnQmFwJeD4Xz,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:08:16Z
hTTmePmKtDNykvBtp,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,PGqZv52YuSfN6Sqeq,HMW5PZnQmFwJeD4Xz,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:08:14Z
wqyGhBLsSQuNjXv6N,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,wgfK9QYP7sQhTHMSf,HMW5PZnQmFwJeD4Xz,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
PPALAkFRsc5yxZFor,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,wgfK9QYP7sQhTHMSf,HMW5PZnQmFwJeD4Xz,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
fTXCb9aMcrmvddvQQ,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,wgfK9QYP7sQhTHMSf,HMW5PZnQmFwJeD4Xz,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
sXda8ajiw8J3tQ6ag,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,G5d94NthbTuRHumtF,kgFtZjKhH6iE5G37L,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:09:10Z
3m2NyYgw8Emb3SR6p,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,G5d94NthbTuRHumtF,kgFtZjKhH6iE5G37L,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:08:59Z
YcPJHAYANk8qgXNwG,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,G5d94NthbTuRHumtF,kgFtZjKhH6iE5G37L,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:09:06Z
6rY6eBZLamcDyzydg,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,KybCzoWipZjPnhxpZ,kgFtZjKhH6iE5G37L,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
mByWm9bCHfz7XbfTq,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,KybCzoWipZjPnhxpZ,kgFtZjKhH6iE5G37L,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
otkRqbQDSuRY9qmDq,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,KybCzoWipZjPnhxpZ,kgFtZjKhH6iE5G37L,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
4W4ahkma4Nm7PBEm5,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,GDnw9TurfZzj89oaD,TLCGuoCNDreCfRQ5X,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:09:43Z
iDTnmZ8YSNjPr9ixx,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,GDnw9TurfZzj89oaD,TLCGuoCNDreCfRQ5X,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:09:36Z
WTCRZhKB4WyL8qc4Q,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,GDnw9TurfZzj89oaD,TLCGuoCNDreCfRQ5X,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:09:42Z
8T4uvE6Ziiebc2LYR,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,NLYtwvzwizNTvfREZ,TLCGuoCNDreCfRQ5X,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
zb26JYaTePRdRMgKN,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,NLYtwvzwizNTvfREZ,TLCGuoCNDreCfRQ5X,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
Wf5TRz9euqAbKRKv2,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,NLYtwvzwizNTvfREZ,TLCGuoCNDreCfRQ5X,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
7ngWrztFwkaae4RbL,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,Kshxa5s5xgKDHrPsu,5sRLrMDBM39Xe4u8Y,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:11:12Z
TQtXc6B3AHcrhMHnL,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,Kshxa5s5xgKDHrPsu,5sRLrMDBM39Xe4u8Y,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:11:09Z
cdkGoGeofms2Bfmjh,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,Kshxa5s5xgKDHrPsu,5sRLrMDBM39Xe4u8Y,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:10:55Z
Kxmahv26NW6NPMbXu,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,kDDYMcWnqxKaeCct4,5sRLrMDBM39Xe4u8Y,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
RRJQzTGjMntLR8nGp,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,kDDYMcWnqxKaeCct4,5sRLrMDBM39Xe4u8Y,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
A7neNRecznGQHzxQr,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,kDDYMcWnqxKaeCct4,5sRLrMDBM39Xe4u8Y,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
iK5au9rWCoxtyBbMn,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,siSL3fpe2yPWc3qDW,Sz7yhFc62WQrTxiZF,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:12:24Z
WdAa9qkYfAAsFt8TE,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,siSL3fpe2yPWc3qDW,Sz7yhFc62WQrTxiZF,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:12:20Z
jtMYemM3fSHhCLJmL,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,siSL3fpe2yPWc3qDW,Sz7yhFc62WQrTxiZF,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:12:23Z
qvhz478LDf6h9s3Lt,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,YKC6jRDqkFBduXGAE,Sz7yhFc62WQrTxiZF,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
qTAZLZf9sj982pD4f,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,YKC6jRDqkFBduXGAE,Sz7yhFc62WQrTxiZF,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
ZKsPaY4xG6gZfZnuG,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,YKC6jRDqkFBduXGAE,Sz7yhFc62WQrTxiZF,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
JZqCiB7PowhqMJ8S2,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,LkjG3JL7BwnfnPDSD,PrrwyzTu4kCZtpdoy,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:13:07Z
cj2u4CtSq2iceE6Qf,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,LkjG3JL7BwnfnPDSD,PrrwyzTu4kCZtpdoy,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:13:05Z
ydFMo55SenFu7E2zt,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,LkjG3JL7BwnfnPDSD,PrrwyzTu4kCZtpdoy,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:13:08Z
mAJaxvDXBG8w4nogS,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,a4t53WZtNwXHsC4Yc,PrrwyzTu4kCZtpdoy,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
wk4z6jPc8wKSDf2FZ,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,a4t53WZtNwXHsC4Yc,PrrwyzTu4kCZtpdoy,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
x6Zex4M8RHFXevPxp,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,a4t53WZtNwXHsC4Yc,PrrwyzTu4kCZtpdoy,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
t3dW6LZueuLzfWZgg,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,7yLPb2YoCDNgNRqGe,2mtumzGBg5Fcrh5cG,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:14:25Z
SfWD5vuPe7YPJbeT4,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,7yLPb2YoCDNgNRqGe,2mtumzGBg5Fcrh5cG,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:14:23Z
Acbmsw9XheZ7T2nMJ,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,7yLPb2YoCDNgNRqGe,2mtumzGBg5Fcrh5cG,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:14:25Z
qAPQFYiko9w4cJ3SM,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,KYWvpvk7uiAHXJQf5,2mtumzGBg5Fcrh5cG,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
9gidjcs4tEGMggDQ9,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,KYWvpvk7uiAHXJQf5,2mtumzGBg5Fcrh5cG,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
CQxRv5mHgTKbqXy4b,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,KYWvpvk7uiAHXJQf5,2mtumzGBg5Fcrh5cG,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
Fjm9ueBYouCtzRQcM,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,35RiwLSrtZXmKXSYR,kKd8vXQNSyrnYPrTQ,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:15:31Z
JQzzjqHd8eewKSK4T,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,35RiwLSrtZXmKXSYR,kKd8vXQNSyrnYPrTQ,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:15:29Z
TChnyeubHpk5GDkbx,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,35RiwLSrtZXmKXSYR,kKd8vXQNSyrnYPrTQ,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:15:32Z
ER3ES5NNLHm2D9w5d,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,3fQ88Gkuey6Wqxy7y,kKd8vXQNSyrnYPrTQ,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
nw2FTsN2RXbdBZP6r,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,3fQ88Gkuey6Wqxy7y,kKd8vXQNSyrnYPrTQ,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
j87PsW6YYh2jkyYje,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,3fQ88Gkuey6Wqxy7y,kKd8vXQNSyrnYPrTQ,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
qLn5oK43fvTmecRbo,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,YdE8WGZZey2hWNHjR,TcamnDsLqLyr7kN7t,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:16:37Z
2Nfya8sDDpijY2Apv,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,YdE8WGZZey2hWNHjR,TcamnDsLqLyr7kN7t,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:16:35Z
8eZa9qBE3J6sTYX2B,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,YdE8WGZZey2hWNHjR,TcamnDsLqLyr7kN7t,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:16:37Z
SSDapQi4GmZ5Ndq6t,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,Q6CqLnYarcpDfbpYu,TcamnDsLqLyr7kN7t,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
rsHApRMc52d6dne2G,d42JLE33CXeKnLWwj,ab6Htv2wyBH9h4u9G,Q6CqLnYarcpDfbpYu,TcamnDsLqLyr7kN7t,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
vE7YZG6vE7W4XXTRG,d42JLE33CXeKnLWwj,uxoyB5wDdjQuWKiq3,Q6CqLnYarcpDfbpYu,TcamnDsLqLyr7kN7t,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,
7mhajYxngmAE2RToC,d42JLE33CXeKnLWwj,6tfvgNd3nKd8e8LPT,RHWHM3e3jsPdtTogd,Y9oMZjyPKfzYs6D4B,gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,2021-08-19T19:17:08Z
