_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.feedback,data.time,data.player1,data.player2,data.p1nice,data.p2nice,data.p1again,data.p2again
5JttSsRg9JaPyWj46,wFt9Gem4ynZZvQzbH,5XZ8cFNsh6dk6tw9s,2021-08-20T18:24:48Z,19,Female,English,true,,,,,,someCollege,yes,yes,agree,Yes.,,Yes.,,,7,7,7,7
Ah4nWEbSFpMPPxZv3,6hvMdLE9nJSutH8EC,7fFMnLt83jGgAY9Bm,2021-08-20T18:24:59Z,22,female,English,true,,,,,,bachelor,yes,yes,agree,Yes,No,Yes,,,4,4,6,6
9N57g2CMEKed8rjhg,b8uvbv78oddp4MXBk,7fFMnLt83jGgAY9Bm,2021-08-20T18:25:12Z,19,Female,English,true,,,,,,highSchool,yes,yes,neutral,Yea,No,Yea,,,4,4,6,6
CRErSc8rZwpMJ8sK4,PDsF9w8L2wcbTFqPK,7fFMnLt83jGgAY9Bm,2021-08-20T18:25:18Z,19,female,english,true,,,,,,someCollege,yes,yes,agree,Yes,No,"Yes, more than enough",,,6,6,6,6
SGd7SWQ5Fw7NxMGe7,aDWfnsnGtZFpMtR8P,5XZ8cFNsh6dk6tw9s,2021-08-20T18:27:08Z,23,Male,English,true,,,,,,someCollege,yes,yes,agree,Yes,My comment on the enough time question is all I have. Very enjoyable. Thank you for having me.,"More than plenty, in fact, too much. My issue I had with Repi was he took like two minutes on one of the decisions. I play video games, so I'm used to teammates being slower. I don't know Repi's walk of life, so I can't be too mad.",,,3,7,4,6
Pe9Yw3KMa92zZfHoa,oobHJEGLBoeu4YCrL,o7TPKiDqEP2tShaHL,2021-08-20T18:27:34Z,22,male,englis,true,,,,,,bachelor,yes,yes,disagree,Sure,no,yes,,,4,4,4,4
5uQDDGvacWJ3e9Ktb,2R66mXvMN2HTSXExx,5XZ8cFNsh6dk6tw9s,2021-08-20T18:28:21Z,19,Male,English,true,,,,,,someCollege,yes,yes,stronglyAgree,"Yes, my partners and I worked well together with our individual knowledge to the point where, for most months, we managed to pick three individual flowers to pick and plant.",No issues!,"There was an excessive amount of time for each round - but there was plenty of thinking time and consideration, yes.",,,6,6,7,7
K5aqxssWbRANEaSAu,kvRxFNSJ5NAxmWQcm,o7TPKiDqEP2tShaHL,2021-08-20T18:28:23Z,31,Female,English,true,,,,,,master,yes,yes,neutral,Yes,n/a,"Yes, more than enough. ",,,4,4,4,4
Scxs94rszotcD6KkK,BpYmZoemoFji2D2uQ,NZtNNbta4jkJ43yrC,2021-08-20T18:30:47Z,27,female,english,true,,,,,,bachelor,yes,yes,agree,yes,no,yes,,,7,7,7,7
8GAZsZW2vyZsrPCkh,H4McnQYFnQpKjbDbR,wrho6urXGD3HA4w3j,2021-08-20T18:31:20Z,29,Female,English,true,,,,,,someCollege,yes,yes,agree,Yes,Not at all. ,"Yeah, absolutely, if anything too much. ",,,6,6,7,4
TFrNSxo9ZmsF62Hvf,3JnRmpC7HMSrqHzQF,wrho6urXGD3HA4w3j,2021-08-20T18:32:03Z,29,female,english,true,,,,,,bachelor,yes,yes,stronglyAgree,yes felt fair,no,too much time,,,7,7,7,7
HhPCFuGrXcC3igkq7,C8a3TsfxAtfouWo28,NZtNNbta4jkJ43yrC,2021-08-20T18:32:09Z,23,female,english,true,,,,,,master,yes,yes,neutral,yes,no,yes,,,4,4,7,7
nyTTuXxT4aqGxcr5h,7738kPFYg3Ry4TpZs,rTuQbv3HPttjvhn55,2021-08-20T18:32:17Z,22,Female,English,true,,,,,,master,yes,yes,agree,"Yes quite fair, could've been higher though",No,"Yes, plenty of time",,,7,7,7,7
oPCxfGLcguAFFoqqE,KvNSi8caH7XuFB45y,GqKKXvrGAtFLTc3LD,2021-08-20T18:32:25Z,25,male,english,true,,,,,,bachelor,yes,yes,stronglyAgree,yes,none,yes,,,7,7,7,7
weu6Kihvp6XGCbPPx,xcjf9jYuNGqad8Jq4,rTuQbv3HPttjvhn55,2021-08-20T18:32:38Z,23,Female,English,true,,,,,,bachelor,yes,no,agree,Yes!,None,More then plenty ,,,7,7,5,5
HXTYKo4n3soGndtpT,LronQBmSu3fav5G74,kcGt9ryDME5tBRzou,2021-08-20T18:34:01Z,,,,true,,,,,,someCollege,yes,no,agree,yes,no,yes,,,6,5,6,5
Hu2w64BLfJ97AqmMg,EAWesGcBSZ6uGnPNE,wrho6urXGD3HA4w3j,2021-08-20T18:34:04Z,37,male,English,,true,,,,,bachelor,yes,yes,agree,yes,no,yes,,,6,5,5,5
LbmtgmYcX2mFCtQLG,psBbgRRY3nF4G7PCd,NZtNNbta4jkJ43yrC,2021-08-20T18:34:45Z,23,Male,English,true,,,,,,highSchool,yes,no,neutral,Yes it seemed fair to me.,No,There was too much time for each round as the decisions were made quickly.,,,4,4,4,4
C3KNqrXve6yxBLwBh,Bbmggxtd4fcnic2GS,o7TPKiDqEP2tShaHL,2021-08-20T18:35:03Z,22,Female,English,true,,true,,,,bachelor,yes,yes,agree,Yes,Nope!,Yes,,,6,6,6,5
S7DmgHyxSyo6ebfGR,xKajKa94sfLqxXdra,gRJRf37xPZyK72tFx,2021-08-20T18:35:19Z,26,Female,English,true,,,,,,someCollege,yes,yes,disagree,I don’t think it’s fair that we didn’t get to get a bonus because someone disconnected ,The partner disconnected,Yes,,,1,5,1,7
exMd6seQoude9gZ5f,gGj2qJ8LRFD99jBXJ,gRJRf37xPZyK72tFx,2021-08-20T18:35:21Z,27,Male,Enflisj,true,,,,,,master,yes,yes,neutral,A bit,No,Yes,,,3,4,1,4
aZDbjpAx3scHfPBrQ,Y6H8ZbLfivt6zFTPM,gRJRf37xPZyK72tFx,2021-08-20T18:35:43Z,21,Female,English,true,,,,,,someCollege,yes,,neutral,Yes,"No, but my internet struggled midway through the study ",Yes,,,6,6,7,7
CTBANsDJFD2cyL9ZJ,ePofihLRWxdf3CyHy,GqKKXvrGAtFLTc3LD,2021-08-20T18:35:58Z,65,Female,English,true,,,,,,highSchool,yes,yes,neutral,"yes, it was a little random, but also depended a little on teamwork",no,yes,,,4,4,6,6
ZL2ygmdf8LuSCck6g,wFbnyK6tKDBhtMPgJ,kcGt9ryDME5tBRzou,2021-08-20T18:36:19Z,60,male,english,true,,,,,,master,yes,yes,agree,yes,none,yes,,,4,4,7,7
kY4XpToXQdDSbpZ4s,4pEywTCsfBRvrP3Pe,kcGt9ryDME5tBRzou,2021-08-20T18:36:24Z,,,,true,,,,,,bachelor,yes,yes,agree,yes,no,yes,,,7,7,7,7
i3vziZsLxbhuPrMot,GWTFruNX2ftTdCSCY,,2021-08-20T18:36:34Z,24,Male,English,true,,,,,,bachelor,yes,no,neutral,N/A,,N/A,,,4,4,4,4
trf7oqGuF53cZLtZy,GZ9ZnziLvr6SdDzzF,rTuQbv3HPttjvhn55,2021-08-20T18:37:07Z,32,Male,English,true,,true,false,,,bachelor,yes,yes,agree,A bit lower than similar studies on Prolific.,No. Sound timing maybe a bit off during task.,30 seconds would be enough.,,,6,5,6,5
6hKHhNK9vsDPsnZpr,49p8swwoCkX57rXwk,Ge9jYXNirPMEY2i2K,2021-08-20T18:37:39Z,19,female,English,true,,,,,,someCollege,yes,yes,disagree,Yes.,No.,Yes.,,,4,4,4,4
3mpoX8cj7pntPa9sH,DLZm7Q3BMDik9HFM9,Ge9jYXNirPMEY2i2K,2021-08-20T18:38:24Z,30,Female,English,true,,,,,,master,yes,no,neutral,yes,,yes,,,5,4,4,4
xxgXQnyWSGBng2vtE,RKmQ36vmCzhyniEu7,Ge9jYXNirPMEY2i2K,2021-08-20T18:38:27Z,21,Female,English,true,,,,,,someCollege,yes,yes,agree,Yes I believe the pay was relatively fair.,No problems or other comments :),More than enough time.,,,5,5,5,5
bZ2FFoXwHMQCvGudP,vnBddKbCkJnbYLqme,,2021-08-20T18:38:37Z,35,male,English,true,,,,,,master,no,no,stronglyDisagree,not at all,"yes, the game could not load",not at all,,,1,1,7,7
RKG6HZiqubec5n7xg,J3yRNwo2rP7kWcSLy,anRAz6pMwiJoxqTYp,2021-08-20T18:39:44Z,30,Male,English,true,,,,,,someCollege,yes,yes,stronglyDisagree,"Pay was fair, Thanks.",,Had more than enough time.,,,4,4,1,1
avtLyvCdbM6nLozTT,CZ3oGk74YGLLgMSvc,anRAz6pMwiJoxqTYp,2021-08-20T18:39:54Z,24,Male,English,,true,,,,,bachelor,yes,yes,agree,I feel it was fair as we all did our best to choose separate images of the flowers even though in some occasions we chose the same one ,I did not have much issues however at one point my page was blank so I had to refresh it,Yes the time was very long ,,,5,5,6,4
KtPAyA28x4MfsRym8,gWkwihgwhytr2mFdB,2JYf8Bb4Y3EcndcqM,2021-08-20T18:39:59Z,23,female,english,true,,,,,,bachelor,yes,yes,neutral,"Yes, I feel the pay was fair. I think it was difficult because you didn't know when someone else was going to pick the same one",I had one glitch where I had a white screen for while but then I refreshed and it was fine,Yes,,,7,7,7,7
ZGxoSyZYgPFKdz7pZ,2ppx4QZS3Bm4DHB3E,bGFYiKFJxjpwZe4ok,2021-08-20T18:40:27Z,23,Male,English,true,,,,,,someCollege,yes,yes,agree,Yes the pay was fair.,No.,I felt like i had enough time.,,,4,4,4,4
yBppKQf4aFpNPG2t5,uD7moL2TnsZobbWau,2JYf8Bb4Y3EcndcqM,2021-08-20T18:41:28Z,28,female,english,,,,,,,someCollege,yes,yes,agree,Yes,,Yes,,,7,7,7,7
d2nLF8yXgYSBxXgWD,phQ2tE7F5TKrZdNy3,2JYf8Bb4Y3EcndcqM,2021-08-20T18:42:01Z,28,Female,English,true,true,,,,,someCollege,yes,yes,agree,Yes.,No,Yes.,,,3,3,6,6
9AhC5FJWHzR3tmdL9,wz4RnisyTipaDg7fi,bGFYiKFJxjpwZe4ok,2021-08-20T18:42:05Z,25,female,english,true,,,,,,bachelor,yes,yes,neutral,"Yes, I believe the pay was fair.",No other problems. Thank you!!,"Yes, I feel I had more than enough time.",,,4,4,5,5
xx2YmhxxHyosxyTiM,NGaPppC4NCBZdL4eG,bGFYiKFJxjpwZe4ok,2021-08-20T18:42:34Z,26,Female ,English ,true,,,,,,bachelor,yes,yes,neutral,"Yes, absolutely ",No,Yes,,,7,7,7,7
BZHCPFmsBB7zoEYSZ,vT3dhwMyaLeLRMupe,SdC8pfniqJuvAjKS5,2021-08-20T18:42:43Z,33,male,england,true,,,,,,master,yes,no,disagree,yes,nope,yes more than enough,,,4,4,3,5
C5ZXK5SydyMKrPpof,deDuJiA2fbo4GEkt3,SdC8pfniqJuvAjKS5,2021-08-20T18:43:09Z,30,Male,English,true,,,,,,master,yes,no,disagree,Yes.,"I had to refresh my screen at one point, but it worked after that.","Yes, more than enough time.",,,4,4,6,6
