_id,batchId,playerId,stageId,roundId,gameId,createdAt,submittedAt
Y3bRrxcG8ZaSRo65i,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,Xtj6xxqhHq6vmSvSA,afF7WJ4eqdGzRo4ZY,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:18:17Z
oCobKmpsrh3uryjfC,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,Xtj6xxqhHq6vmSvSA,afF7WJ4eqdGzRo4ZY,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:18:14Z
yAcN3Q8JD2mEaBkmR,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,Xtj6xxqhHq6vmSvSA,afF7WJ4eqdGzRo4ZY,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:18:19Z
rReBaK4zxQA6YhrHH,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,uDDmaDLq72euiCBht,afF7WJ4eqdGzRo4ZY,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
tbY44KgJWJRsQj5NY,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,uDDmaDLq72euiCBht,afF7WJ4eqdGzRo4ZY,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
HPoKqdxcNMoxEuMCu,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,uDDmaDLq72euiCBht,afF7WJ4eqdGzRo4ZY,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
ynBzGeFwMLzGufi7Q,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,rrj5gb6vKFkWSD495,5s7pcM5acWJnx4MmT,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:18:29Z
6Jk5YJ9TxLzq3xdvW,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,rrj5gb6vKFkWSD495,5s7pcM5acWJnx4MmT,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:18:33Z
KRB3qTbCjfndG3N8v,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,rrj5gb6vKFkWSD495,5s7pcM5acWJnx4MmT,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:18:32Z
XkHPJiq2bAZwoENeW,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,SPDBzei7iZMHmNggW,5s7pcM5acWJnx4MmT,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
NyJa7QAnesv42xi7k,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,SPDBzei7iZMHmNggW,5s7pcM5acWJnx4MmT,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
6pJh2B7wzYBh9Mucr,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,SPDBzei7iZMHmNggW,5s7pcM5acWJnx4MmT,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
MRwkgcqAxXBE5Wgk9,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,yRShZiDp8NFdRzF3b,ZBtKoNWQhfptYqvjs,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:18:42Z
oguPNBQjgdnmjNGBc,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,yRShZiDp8NFdRzF3b,ZBtKoNWQhfptYqvjs,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:18:46Z
4honDefsM3Z8cMEov,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,yRShZiDp8NFdRzF3b,ZBtKoNWQhfptYqvjs,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:18:43Z
RhFDWvg58DCgv9Wvs,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,qvQsBp682iepdT4RX,ZBtKoNWQhfptYqvjs,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
gocnwEqDeL9fDwdHu,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,qvQsBp682iepdT4RX,ZBtKoNWQhfptYqvjs,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
5x6nDzQoT8HTC9E33,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,qvQsBp682iepdT4RX,ZBtKoNWQhfptYqvjs,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
Ka3vHu9bcxhjfXWcu,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,3mrK8NcQvEeQJJfHf,CZgwj8BvuHympw8Xx,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:18:54Z
2hxHFssq6msdt3iPq,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,3mrK8NcQvEeQJJfHf,CZgwj8BvuHympw8Xx,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:18:56Z
wG7G3RMrfkPCE3meW,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,3mrK8NcQvEeQJJfHf,CZgwj8BvuHympw8Xx,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:18:57Z
gNTRdbFcp5MPgbek9,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,xQxZsJQrc32k6stcW,CZgwj8BvuHympw8Xx,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
xh9Xc76uTs8cb9A7Z,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,xQxZsJQrc32k6stcW,CZgwj8BvuHympw8Xx,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
prNEMiEyTzrS4sDQj,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,xQxZsJQrc32k6stcW,CZgwj8BvuHympw8Xx,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
s8xwQwaapJfSMF4Xf,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,b9qEmmWpkDZDdARBW,etuApcvbYKdDovPsZ,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:19:07Z
3PAma8fSHeJXJYfcq,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,b9qEmmWpkDZDdARBW,etuApcvbYKdDovPsZ,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:19:05Z
NrET2cYdA8E2tNFAc,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,b9qEmmWpkDZDdARBW,etuApcvbYKdDovPsZ,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:19:08Z
fYvd6c63FWTvWK887,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,LGeSdSutqMw2AxdXx,etuApcvbYKdDovPsZ,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
pocBGW9FcNL5LTuZZ,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,LGeSdSutqMw2AxdXx,etuApcvbYKdDovPsZ,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
gpmShC4EjK5po7acH,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,LGeSdSutqMw2AxdXx,etuApcvbYKdDovPsZ,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
G2ajst5sTi45sRs3j,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,pbvWAwSJGeSH4es7X,Rkbgc93jn2FZ4Xxqj,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:19:16Z
sSPoBqwCtE2uvRBG3,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,pbvWAwSJGeSH4es7X,Rkbgc93jn2FZ4Xxqj,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:19:18Z
ShyiiuCAsL239bv6W,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,pbvWAwSJGeSH4es7X,Rkbgc93jn2FZ4Xxqj,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:19:21Z
pYeoZpwoLNBWS2mkT,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,MJMLLkdsySkYryhwJ,Rkbgc93jn2FZ4Xxqj,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
WaHE7NXmWRQHcBegd,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,MJMLLkdsySkYryhwJ,Rkbgc93jn2FZ4Xxqj,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
yCSPiDJMxcNpLy92H,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,MJMLLkdsySkYryhwJ,Rkbgc93jn2FZ4Xxqj,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
p3FyfmkMCCYQ9DdAP,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,ysLBosoNBo5TXwsPt,a5dcBvdwiHi3LyZaM,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:19:30Z
Rrj4BrAvEmJCHaMiK,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,ysLBosoNBo5TXwsPt,a5dcBvdwiHi3LyZaM,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:19:30Z
Cu8pySyvbCxLKbuXN,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,ysLBosoNBo5TXwsPt,a5dcBvdwiHi3LyZaM,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:20:39Z
W2Q9GdLvvrX8vFqN4,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,awqZZJrxRbFYmrmKA,a5dcBvdwiHi3LyZaM,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
eN9JxjRLMHR8n24uv,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,awqZZJrxRbFYmrmKA,a5dcBvdwiHi3LyZaM,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
huZrmEKmkYDyH84K4,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,awqZZJrxRbFYmrmKA,a5dcBvdwiHi3LyZaM,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
2Y7SgPpCtZz3DNJ6K,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,qBCcxoHoyQEuHWXt5,88bXdSqQrsvpEz6tE,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:20:47Z
wYDCtXvu2MnhMzF5N,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,qBCcxoHoyQEuHWXt5,88bXdSqQrsvpEz6tE,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:20:47Z
7WZpWMmGFFfdNPK6a,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,qBCcxoHoyQEuHWXt5,88bXdSqQrsvpEz6tE,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:20:48Z
eKQmDX7gjXmRrbgn2,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,qQZfAY9LnzQb6TtYd,88bXdSqQrsvpEz6tE,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
yPRRwopb7Q53hKSst,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,qQZfAY9LnzQb6TtYd,88bXdSqQrsvpEz6tE,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
7kKc38Huh9PmXcDJJ,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,qQZfAY9LnzQb6TtYd,88bXdSqQrsvpEz6tE,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
kMaFctWHpfni4LXib,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,mS8muZrbxAZEnKtYr,P8nAThouQrWJts9Lj,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:20:56Z
2Sdo7j2KSubhq6PXx,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,mS8muZrbxAZEnKtYr,P8nAThouQrWJts9Lj,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:20:57Z
GqbvdLPp9ioDS9xJB,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,mS8muZrbxAZEnKtYr,P8nAThouQrWJts9Lj,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:20:59Z
daGoSisYD9wXhT2gi,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,smkJ3gm75g28YGMur,P8nAThouQrWJts9Lj,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
gTxvRGSFCRxCW8FsE,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,smkJ3gm75g28YGMur,P8nAThouQrWJts9Lj,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
5oHEFjppmZgvbe6ow,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,smkJ3gm75g28YGMur,P8nAThouQrWJts9Lj,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,
CHpsaWqEcMLjJWbYB,39ijXM6iZsGZDCPLt,2R66mXvMN2HTSXExx,jFuKLBytHgidcBefv,eqdsWQpkpvqT4gXin,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:21:09Z
iBKW3EG94udN3GfNX,39ijXM6iZsGZDCPLt,aDWfnsnGtZFpMtR8P,jFuKLBytHgidcBefv,eqdsWQpkpvqT4gXin,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:21:08Z
r9oXYtchiJi6uLQJD,39ijXM6iZsGZDCPLt,wFt9Gem4ynZZvQzbH,jFuKLBytHgidcBefv,eqdsWQpkpvqT4gXin,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2021-08-20T18:21:09Z
