_id,index,stageIds,gameId,createdAt,data.context,data.repNum,data.blockNum,data.trialNum,data.numPlayers,data.chat,data.submitted,data.player_2R66mXvMN2HTSXExx_response,data.player_2R66mXvMN2HTSXExx_time,data.player_2R66mXvMN2HTSXExx_utility,data.player_aDWfnsnGtZFpMtR8P_response,data.player_aDWfnsnGtZFpMtR8P_time,data.player_aDWfnsnGtZFpMtR8P_utility,data.player_wFt9Gem4ynZZvQzbH_response,data.player_wFt9Gem4ynZZvQzbH_time,data.player_wFt9Gem4ynZZvQzbH_utility,data.player_6hvMdLE9nJSutH8EC_response,data.player_6hvMdLE9nJSutH8EC_time,data.player_6hvMdLE9nJSutH8EC_utility,data.player_PDsF9w8L2wcbTFqPK_response,data.player_PDsF9w8L2wcbTFqPK_time,data.player_PDsF9w8L2wcbTFqPK_utility,data.player_b8uvbv78oddp4MXBk_response,data.player_b8uvbv78oddp4MXBk_time,data.player_b8uvbv78oddp4MXBk_utility,data.player_Bbmggxtd4fcnic2GS_response,data.player_Bbmggxtd4fcnic2GS_time,data.player_Bbmggxtd4fcnic2GS_utility,data.player_kvRxFNSJ5NAxmWQcm_response,data.player_kvRxFNSJ5NAxmWQcm_time,data.player_kvRxFNSJ5NAxmWQcm_utility,data.player_oobHJEGLBoeu4YCrL_response,data.player_oobHJEGLBoeu4YCrL_time,data.player_oobHJEGLBoeu4YCrL_utility,data.player_5GQvbbPGzWgeuZHxk_response,data.player_5GQvbbPGzWgeuZHxk_time,data.player_5GQvbbPGzWgeuZHxk_utility,data.player_KvNSi8caH7XuFB45y_response,data.player_KvNSi8caH7XuFB45y_time,data.player_KvNSi8caH7XuFB45y_utility,data.player_ePofihLRWxdf3CyHy_response,data.player_ePofihLRWxdf3CyHy_time,data.player_ePofihLRWxdf3CyHy_utility,data.player_3JnRmpC7HMSrqHzQF_response,data.player_3JnRmpC7HMSrqHzQF_time,data.player_3JnRmpC7HMSrqHzQF_utility,data.player_EAWesGcBSZ6uGnPNE_response,data.player_EAWesGcBSZ6uGnPNE_time,data.player_EAWesGcBSZ6uGnPNE_utility,data.player_H4McnQYFnQpKjbDbR_response,data.player_H4McnQYFnQpKjbDbR_time,data.player_H4McnQYFnQpKjbDbR_utility,data.player_BpYmZoemoFji2D2uQ_response,data.player_BpYmZoemoFji2D2uQ_time,data.player_BpYmZoemoFji2D2uQ_utility,data.player_C8a3TsfxAtfouWo28_response,data.player_C8a3TsfxAtfouWo28_time,data.player_C8a3TsfxAtfouWo28_utility,data.player_psBbgRRY3nF4G7PCd_response,data.player_psBbgRRY3nF4G7PCd_time,data.player_psBbgRRY3nF4G7PCd_utility,data.player_7738kPFYg3Ry4TpZs_response,data.player_7738kPFYg3Ry4TpZs_time,data.player_7738kPFYg3Ry4TpZs_utility,data.player_GZ9ZnziLvr6SdDzzF_response,data.player_GZ9ZnziLvr6SdDzzF_time,data.player_GZ9ZnziLvr6SdDzzF_utility,data.player_xcjf9jYuNGqad8Jq4_response,data.player_xcjf9jYuNGqad8Jq4_time,data.player_xcjf9jYuNGqad8Jq4_utility,data.player_4pEywTCsfBRvrP3Pe_response,data.player_4pEywTCsfBRvrP3Pe_time,data.player_4pEywTCsfBRvrP3Pe_utility,data.player_LronQBmSu3fav5G74_response,data.player_LronQBmSu3fav5G74_time,data.player_LronQBmSu3fav5G74_utility,data.player_wFbnyK6tKDBhtMPgJ_response,data.player_wFbnyK6tKDBhtMPgJ_time,data.player_wFbnyK6tKDBhtMPgJ_utility,data.player_CZ3oGk74YGLLgMSvc_response,data.player_CZ3oGk74YGLLgMSvc_time,data.player_CZ3oGk74YGLLgMSvc_utility,data.player_J3yRNwo2rP7kWcSLy_response,data.player_J3yRNwo2rP7kWcSLy_time,data.player_J3yRNwo2rP7kWcSLy_utility,data.player_LPzL2n7K6zSHgKx2N_response,data.player_LPzL2n7K6zSHgKx2N_time,data.player_LPzL2n7K6zSHgKx2N_utility,data.player_gWkwihgwhytr2mFdB_response,data.player_gWkwihgwhytr2mFdB_time,data.player_gWkwihgwhytr2mFdB_utility,data.player_phQ2tE7F5TKrZdNy3_response,data.player_phQ2tE7F5TKrZdNy3_time,data.player_phQ2tE7F5TKrZdNy3_utility,data.player_uD7moL2TnsZobbWau_response,data.player_uD7moL2TnsZobbWau_time,data.player_uD7moL2TnsZobbWau_utility,data.player_49p8swwoCkX57rXwk_response,data.player_49p8swwoCkX57rXwk_time,data.player_49p8swwoCkX57rXwk_utility,data.player_DLZm7Q3BMDik9HFM9_response,data.player_DLZm7Q3BMDik9HFM9_time,data.player_DLZm7Q3BMDik9HFM9_utility,data.player_RKmQ36vmCzhyniEu7_response,data.player_RKmQ36vmCzhyniEu7_time,data.player_RKmQ36vmCzhyniEu7_utility,data.player_Y6H8ZbLfivt6zFTPM_response,data.player_Y6H8ZbLfivt6zFTPM_time,data.player_Y6H8ZbLfivt6zFTPM_utility,data.player_gGj2qJ8LRFD99jBXJ_response,data.player_gGj2qJ8LRFD99jBXJ_time,data.player_gGj2qJ8LRFD99jBXJ_utility,data.player_xKajKa94sfLqxXdra_response,data.player_xKajKa94sfLqxXdra_time,data.player_xKajKa94sfLqxXdra_utility,data.player_MS7hmEp2PSD4jij7k_response,data.player_MS7hmEp2PSD4jij7k_time,data.player_MS7hmEp2PSD4jij7k_utility,data.player_Xsad4a7ngsvR4WJyN_response,data.player_Xsad4a7ngsvR4WJyN_time,data.player_Xsad4a7ngsvR4WJyN_utility,data.player_qTthcXgQuXJDXjcAD_response,data.player_qTthcXgQuXJDXjcAD_time,data.player_qTthcXgQuXJDXjcAD_utility,data.player_2ppx4QZS3Bm4DHB3E_response,data.player_2ppx4QZS3Bm4DHB3E_time,data.player_2ppx4QZS3Bm4DHB3E_utility,data.player_NGaPppC4NCBZdL4eG_response,data.player_NGaPppC4NCBZdL4eG_time,data.player_NGaPppC4NCBZdL4eG_utility,data.player_wz4RnisyTipaDg7fi_response,data.player_wz4RnisyTipaDg7fi_time,data.player_wz4RnisyTipaDg7fi_utility,data.player_AHAZsTSTwXRZqzR6W_response,data.player_AHAZsTSTwXRZqzR6W_time,data.player_AHAZsTSTwXRZqzR6W_utility,data.player_deDuJiA2fbo4GEkt3_response,data.player_deDuJiA2fbo4GEkt3_time,data.player_deDuJiA2fbo4GEkt3_utility,data.player_vT3dhwMyaLeLRMupe_response,data.player_vT3dhwMyaLeLRMupe_time,data.player_vT3dhwMyaLeLRMupe_utility
afF7WJ4eqdGzRo4ZY,0,"Xtj6xxqhHq6vmSvSA,uDDmaDLq72euiCBht",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""yellow_4"":{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_2"":{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_6"":{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""wFt9Gem4ynZZvQzbH""},""yellow_8"":{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_7"":{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_3"":{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""wFt9Gem4ynZZvQzbH""}}",0,0,0,3,"{""text"":null,""playerId"":""aDWfnsnGtZFpMtR8P"",""type"":""selectionAlert"",""time"":1629483493421},{""text"":null,""playerId"":""2R66mXvMN2HTSXExx"",""type"":""selectionAlert"",""time"":1629483496642},{""text"":null,""playerId"":""wFt9Gem4ynZZvQzbH"",""type"":""selectionAlert"",""time"":1629483499588}",false,yellow_2,8152,8,yellow_4,4922,8,yellow_6,11073,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5s7pcM5acWJnx4MmT,1,"rrj5gb6vKFkWSD495,SPDBzei7iZMHmNggW",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""yellow_9"":{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_2"":{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_5"":{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""wFt9Gem4ynZZvQzbH""},""yellow_6"":{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_4"":{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_1"":{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""wFt9Gem4ynZZvQzbH""}}",1,0,1,3,"{""text"":null,""playerId"":""2R66mXvMN2HTSXExx"",""type"":""selectionAlert"",""time"":1629483508319},{""text"":null,""playerId"":""wFt9Gem4ynZZvQzbH"",""type"":""selectionAlert"",""time"":1629483512452},{""text"":null,""playerId"":""aDWfnsnGtZFpMtR8P"",""type"":""selectionAlert"",""time"":1629483513276}",false,yellow_1,2629,8.666666666666666,yellow_5,7586,8.666666666666666,yellow_4,6759,8.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBtKoNWQhfptYqvjs,2,"yRShZiDp8NFdRzF3b,qvQsBp682iepdT4RX",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""yellow_7"":{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_4"":{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_9"":{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""wFt9Gem4ynZZvQzbH""},""yellow_6"":{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_5"":{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_11"":{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""wFt9Gem4ynZZvQzbH""}}",2,0,2,3,"{""text"":null,""playerId"":""2R66mXvMN2HTSXExx"",""type"":""selectionAlert"",""time"":1629483521109},{""text"":null,""playerId"":""wFt9Gem4ynZZvQzbH"",""type"":""selectionAlert"",""time"":1629483523836},{""text"":null,""playerId"":""aDWfnsnGtZFpMtR8P"",""type"":""selectionAlert"",""time"":1629483525513}",false,yellow_5,421,7.666666666666667,yellow_9,4826,7.666666666666667,yellow_4,3144,7.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZgwj8BvuHympw8Xx,3,"3mrK8NcQvEeQJJfHf,xQxZsJQrc32k6stcW",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""yellow_10"":{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_8"":{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_3"":{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""wFt9Gem4ynZZvQzbH""},""yellow_9"":{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_12"":{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_5"":{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""wFt9Gem4ynZZvQzbH""}}",3,0,3,3,"{""text"":null,""playerId"":""2R66mXvMN2HTSXExx"",""type"":""selectionAlert"",""time"":1629483533749},{""text"":null,""playerId"":""aDWfnsnGtZFpMtR8P"",""type"":""selectionAlert"",""time"":1629483535523},{""text"":null,""playerId"":""wFt9Gem4ynZZvQzbH"",""type"":""selectionAlert"",""time"":1629483537667}",false,yellow_8,1042,4.666666666666667,yellow_3,2816,4.666666666666667,yellow_3,4956,4.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
etuApcvbYKdDovPsZ,4,"b9qEmmWpkDZDdARBW,LGeSdSutqMw2AxdXx",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""yellow_2"":{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_1"":{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_4"":{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""wFt9Gem4ynZZvQzbH""},""yellow_9"":{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_3"":{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_12"":{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""wFt9Gem4ynZZvQzbH""}}",4,0,4,3,"{""text"":null,""playerId"":""aDWfnsnGtZFpMtR8P"",""type"":""selectionAlert"",""time"":1629483544542},{""text"":null,""playerId"":""2R66mXvMN2HTSXExx"",""type"":""selectionAlert"",""time"":1629483546226},{""text"":null,""playerId"":""wFt9Gem4ynZZvQzbH"",""type"":""selectionAlert"",""time"":1629483548715}",false,yellow_3,2519,8,yellow_2,835,8,yellow_9,5004,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rkbgc93jn2FZ4Xxqj,5,"pbvWAwSJGeSH4es7X,MJMLLkdsySkYryhwJ",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""yellow_7"":{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_4"":{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_2"":{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""wFt9Gem4ynZZvQzbH""},""yellow_6"":{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_8"":{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_12"":{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""wFt9Gem4ynZZvQzbH""}}",5,0,5,3,"{""text"":null,""playerId"":""2R66mXvMN2HTSXExx"",""type"":""selectionAlert"",""time"":1629483554895},{""text"":null,""playerId"":""aDWfnsnGtZFpMtR8P"",""type"":""selectionAlert"",""time"":1629483558264},{""text"":null,""playerId"":""wFt9Gem4ynZZvQzbH"",""type"":""selectionAlert"",""time"":1629483561694}",false,yellow_8,177,7,yellow_2,3546,7,yellow_7,6973,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5dcBvdwiHi3LyZaM,6,"ysLBosoNBo5TXwsPt,awqZZJrxRbFYmrmKA",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""yellow_6"":{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_5"":{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_11"":{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""wFt9Gem4ynZZvQzbH""},""yellow_2"":{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_12"":{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_1"":{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""wFt9Gem4ynZZvQzbH""}}",0,1,6,3,"{""text"":null,""playerId"":""aDWfnsnGtZFpMtR8P"",""type"":""selectionAlert"",""time"":1629483569699},{""text"":null,""playerId"":""2R66mXvMN2HTSXExx"",""type"":""selectionAlert"",""time"":1629483569097},{""text"":null,""playerId"":""wFt9Gem4ynZZvQzbH"",""type"":""selectionAlert"",""time"":1629483639779}",false,yellow_11,1355,4.333333333333333,yellow_1,1957,4.333333333333333,yellow_1,72030,4.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88bXdSqQrsvpEz6tE,7,"qBCcxoHoyQEuHWXt5,qQZfAY9LnzQb6TtYd",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""yellow_7"":{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_8"":{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_11"":{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""wFt9Gem4ynZZvQzbH""},""yellow_5"":{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_1"":{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_2"":{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""wFt9Gem4ynZZvQzbH""}}",1,1,7,3,"{""text"":null,""playerId"":""aDWfnsnGtZFpMtR8P"",""type"":""selectionAlert"",""time"":1629483646651},{""text"":null,""playerId"":""2R66mXvMN2HTSXExx"",""type"":""selectionAlert"",""time"":1629483646119},{""text"":null,""playerId"":""wFt9Gem4ynZZvQzbH"",""type"":""selectionAlert"",""time"":1629483648510}",false,yellow_11,289,2,yellow_11,821,2,yellow_11,2676,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8nAThouQrWJts9Lj,8,"mS8muZrbxAZEnKtYr,smkJ3gm75g28YGMur",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""yellow_10"":{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_3"":{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_1"":{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""wFt9Gem4ynZZvQzbH""},""yellow_2"":{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_11"":{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_7"":{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""wFt9Gem4ynZZvQzbH""}}",2,1,8,3,"{""text"":null,""playerId"":""2R66mXvMN2HTSXExx"",""type"":""selectionAlert"",""time"":1629483654879},{""text"":null,""playerId"":""aDWfnsnGtZFpMtR8P"",""type"":""selectionAlert"",""time"":1629483656866},{""text"":null,""playerId"":""wFt9Gem4ynZZvQzbH"",""type"":""selectionAlert"",""time"":1629483659681}",false,yellow_7,-85,4,yellow_7,1903,4,yellow_11,4715,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eqdsWQpkpvqT4gXin,9,"jFuKLBytHgidcBefv,D4dqgjWfYS3dCzDwT",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""yellow_10"":{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_7"":{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_11"":{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""wFt9Gem4ynZZvQzbH""},""yellow_6"":{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""2R66mXvMN2HTSXExx""},""yellow_1"":{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""aDWfnsnGtZFpMtR8P""},""yellow_9"":{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""wFt9Gem4ynZZvQzbH""}}",3,1,9,3,"{""text"":null,""playerId"":""aDWfnsnGtZFpMtR8P"",""type"":""selectionAlert"",""time"":1629483667827},{""text"":null,""playerId"":""wFt9Gem4ynZZvQzbH"",""type"":""selectionAlert"",""time"":1629483669625},{""text"":null,""playerId"":""2R66mXvMN2HTSXExx"",""type"":""selectionAlert"",""time"":1629483668438}",false,yellow_9,2565,5,yellow_9,1954,5,yellow_10,3749,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
