_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt,data.log
Xtj6xxqhHq6vmSvSA,0,selection,Selection,2021-08-20T18:18:08Z,180,afF7WJ4eqdGzRo4ZY,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T18:18:08.231Z""}"
uDDmaDLq72euiCBht,1,feedback,Feedback,2021-08-20T18:18:19Z,5,afF7WJ4eqdGzRo4ZY,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T18:18:19.302Z""}"
rrj5gb6vKFkWSD495,2,selection,Selection,2021-08-20T18:18:25Z,180,5s7pcM5acWJnx4MmT,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T18:18:25.419Z""}"
SPDBzei7iZMHmNggW,3,feedback,Feedback,2021-08-20T18:18:34Z,5,5s7pcM5acWJnx4MmT,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T18:18:34.066Z""}"
yRShZiDp8NFdRzF3b,4,selection,Selection,2021-08-20T18:18:40Z,180,ZBtKoNWQhfptYqvjs,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T18:18:40.427Z""}"
qvQsBp682iepdT4RX,5,feedback,Feedback,2021-08-20T18:18:46Z,5,ZBtKoNWQhfptYqvjs,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T18:18:46.301Z""}"
3mrK8NcQvEeQJJfHf,6,selection,Selection,2021-08-20T18:18:52Z,180,CZgwj8BvuHympw8Xx,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T18:18:52.448Z""}"
xQxZsJQrc32k6stcW,7,feedback,Feedback,2021-08-20T18:18:57Z,5,CZgwj8BvuHympw8Xx,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T18:18:57.511Z""}"
b9qEmmWpkDZDdARBW,8,selection,Selection,2021-08-20T18:19:03Z,180,etuApcvbYKdDovPsZ,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T18:19:03.447Z""}"
LGeSdSutqMw2AxdXx,9,feedback,Feedback,2021-08-20T18:19:08Z,5,etuApcvbYKdDovPsZ,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T18:19:08.442Z""}"
pbvWAwSJGeSH4es7X,10,selection,Selection,2021-08-20T18:19:14Z,180,Rkbgc93jn2FZ4Xxqj,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T18:19:14.455Z""}"
MJMLLkdsySkYryhwJ,11,feedback,Feedback,2021-08-20T18:19:21Z,5,Rkbgc93jn2FZ4Xxqj,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T18:19:21.415Z""}"
ysLBosoNBo5TXwsPt,12,selection,Selection,2021-08-20T18:19:27Z,180,a5dcBvdwiHi3LyZaM,5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T18:19:27.483Z""}"
