_id,index,availableCount,timeoutStartedAt,timedOutAt,queuedPlayerIds,playerIds,gameId,treatmentId,batchId,lobbyConfigId,createdAt
jRPb4HtLf7vtPza9i,0,3,,,NuweWtpWaMQZkxLkb,,,ZJK2YH32LRTpRAvfS,iZyDvjrsRHNuyrsER,BP7PjP32Z33i44DLq,2021-07-20T16:47:01Z
KiBJ5D2Gb56scHooG,0,3,,,"kq9vcpqmQwbkFB4sX,XR254nXRjwrveus4M,Xzwn3GeDhaYChyk6X,mQ4j9jv3oBQW9zdxE,do6cSnx2h7oyYTyqw,pgdSEje8fK2EhyEAF,DhC6RscrdSqABgf5k,nzCnCnx4W9EDKLyEy,HatzPcAxQZHJgfvTp,KqEvn4gzXocmfiiFY,HattoicCD8RpvNp3x,5tF4pbeZsgwoLyBXN,WpuqGRTsiQfcFJHK9,Z4uGdog32wDhkwPjw,ZxbL2ksdEpEH3Rh8J","pgdSEje8fK2EhyEAF,kq9vcpqmQwbkFB4sX,mQ4j9jv3oBQW9zdxE",KiBJ5D2Gb56scHooG,ZJK2YH32LRTpRAvfS,Af4qqPXxWervHW3Tk,BP7PjP32Z33i44DLq,2021-07-20T16:47:02Z
JvZjCtThY3iTsrXN5,0,3,,,"XR254nXRjwrveus4M,Xzwn3GeDhaYChyk6X,do6cSnx2h7oyYTyqw,DhC6RscrdSqABgf5k,nzCnCnx4W9EDKLyEy,HatzPcAxQZHJgfvTp,KqEvn4gzXocmfiiFY,HattoicCD8RpvNp3x,5tF4pbeZsgwoLyBXN,WpuqGRTsiQfcFJHK9,Z4uGdog32wDhkwPjw,ZxbL2ksdEpEH3Rh8J","WpuqGRTsiQfcFJHK9,nzCnCnx4W9EDKLyEy,XR254nXRjwrveus4M",JvZjCtThY3iTsrXN5,ZJK2YH32LRTpRAvfS,HNCHyE4dYz6Pkt69p,BP7PjP32Z33i44DLq,2021-07-20T16:47:03Z
R6fYnby2HvssRxsAM,0,3,,,"Xzwn3GeDhaYChyk6X,do6cSnx2h7oyYTyqw,DhC6RscrdSqABgf5k,HatzPcAxQZHJgfvTp,KqEvn4gzXocmfiiFY,HattoicCD8RpvNp3x,5tF4pbeZsgwoLyBXN,Z4uGdog32wDhkwPjw,ZxbL2ksdEpEH3Rh8J","Z4uGdog32wDhkwPjw,HattoicCD8RpvNp3x,Xzwn3GeDhaYChyk6X",R6fYnby2HvssRxsAM,ZJK2YH32LRTpRAvfS,gkErS3yM2HswPHY37,BP7PjP32Z33i44DLq,2021-07-20T16:47:03Z
ier2nCDT3gEyDmDuw,0,3,,,"do6cSnx2h7oyYTyqw,DhC6RscrdSqABgf5k,HatzPcAxQZHJgfvTp,KqEvn4gzXocmfiiFY,5tF4pbeZsgwoLyBXN,ZxbL2ksdEpEH3Rh8J","ZxbL2ksdEpEH3Rh8J,5tF4pbeZsgwoLyBXN,HatzPcAxQZHJgfvTp",ier2nCDT3gEyDmDuw,ZJK2YH32LRTpRAvfS,YarvrydJo3my7AHvY,BP7PjP32Z33i44DLq,2021-07-20T16:47:04Z
hWc3fHAfD2kYNNQwd,0,3,,,"do6cSnx2h7oyYTyqw,DhC6RscrdSqABgf5k,KqEvn4gzXocmfiiFY,8mmT8uxngnsEtBwLW,LJFr2DF8KghNenpQS,6LmyLDPtYLvfHqyKW,CqGNYgwtJZcCtsyvF,PbkFBSjSacP6FbmxN,bepzbWYXsiZpMapq8,Dj6hRMp5EBbw6J3hS","PbkFBSjSacP6FbmxN,Dj6hRMp5EBbw6J3hS,CqGNYgwtJZcCtsyvF",hWc3fHAfD2kYNNQwd,ZJK2YH32LRTpRAvfS,m55doHNNGagN6S6o6,BP7PjP32Z33i44DLq,2021-07-20T16:47:08Z
MWJG24azPPPmXXsda,0,3,,,,,,ZJK2YH32LRTpRAvfS,qqHbBaysfS3Zq7Tfv,BP7PjP32Z33i44DLq,2021-07-20T17:01:50Z
MW3JseTBmbwaLzCHw,0,3,,,"do6cSnx2h7oyYTyqw,DhC6RscrdSqABgf5k,KqEvn4gzXocmfiiFY,8mmT8uxngnsEtBwLW,LJFr2DF8KghNenpQS,6LmyLDPtYLvfHqyKW,bepzbWYXsiZpMapq8",,,ZJK2YH32LRTpRAvfS,a4zuvTemfvjThvzMh,BP7PjP32Z33i44DLq,2021-07-20T17:22:11Z
PQsuruAwnSwQEngbZ,0,3,,,,,,h3dPMcehmoJ3TkgYZ,h2Yv4HSJ8To6ChGkE,JnaFCEngoJ8S73JCs,2021-07-22T04:06:04Z
7ZqpzEkestKxtMqxB,1,3,,,,,,h3dPMcehmoJ3TkgYZ,h2Yv4HSJ8To6ChGkE,JnaFCEngoJ8S73JCs,2021-07-22T04:06:04Z
