_id,index,stageIds,gameId,createdAt,data.context,data.repNum,data.blockNum,data.trialNum,data.numPlayers,data.chat,data.submitted,data.player_kq9vcpqmQwbkFB4sX_response,data.player_kq9vcpqmQwbkFB4sX_time,data.player_kq9vcpqmQwbkFB4sX_utility,data.player_mQ4j9jv3oBQW9zdxE_response,data.player_mQ4j9jv3oBQW9zdxE_time,data.player_mQ4j9jv3oBQW9zdxE_utility,data.player_pgdSEje8fK2EhyEAF_response,data.player_pgdSEje8fK2EhyEAF_time,data.player_pgdSEje8fK2EhyEAF_utility,data.player_WpuqGRTsiQfcFJHK9_response,data.player_WpuqGRTsiQfcFJHK9_time,data.player_WpuqGRTsiQfcFJHK9_utility,data.player_XR254nXRjwrveus4M_response,data.player_XR254nXRjwrveus4M_time,data.player_XR254nXRjwrveus4M_utility,data.player_nzCnCnx4W9EDKLyEy_response,data.player_nzCnCnx4W9EDKLyEy_time,data.player_nzCnCnx4W9EDKLyEy_utility,data.player_HattoicCD8RpvNp3x_response,data.player_HattoicCD8RpvNp3x_time,data.player_HattoicCD8RpvNp3x_utility,data.player_Xzwn3GeDhaYChyk6X_response,data.player_Xzwn3GeDhaYChyk6X_time,data.player_Xzwn3GeDhaYChyk6X_utility,data.player_Z4uGdog32wDhkwPjw_response,data.player_Z4uGdog32wDhkwPjw_time,data.player_Z4uGdog32wDhkwPjw_utility,data.player_5tF4pbeZsgwoLyBXN_response,data.player_5tF4pbeZsgwoLyBXN_time,data.player_5tF4pbeZsgwoLyBXN_utility,data.player_HatzPcAxQZHJgfvTp_response,data.player_HatzPcAxQZHJgfvTp_time,data.player_HatzPcAxQZHJgfvTp_utility,data.player_ZxbL2ksdEpEH3Rh8J_response,data.player_ZxbL2ksdEpEH3Rh8J_time,data.player_ZxbL2ksdEpEH3Rh8J_utility,data.player_CqGNYgwtJZcCtsyvF_response,data.player_CqGNYgwtJZcCtsyvF_time,data.player_CqGNYgwtJZcCtsyvF_utility,data.player_Dj6hRMp5EBbw6J3hS_response,data.player_Dj6hRMp5EBbw6J3hS_time,data.player_Dj6hRMp5EBbw6J3hS_utility,data.player_PbkFBSjSacP6FbmxN_response,data.player_PbkFBSjSacP6FbmxN_time,data.player_PbkFBSjSacP6FbmxN_utility
hE4t5fky4AidN3np3,0,"K2Ktemvzg8PKLqDX9,pMT5ykTFc5HDuAQan",KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""yellow_12"":{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_1"":{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_6"":{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""pgdSEje8fK2EhyEAF""},""yellow_11"":{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_10"":{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_3"":{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""pgdSEje8fK2EhyEAF""}}",0,0,0,3,"{""text"":""The yellow daisy is the best for me"",""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""message""},{""text"":""yekkow bittm middle best for me"",""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""message""},{""text"":""i'll take the yellow flower with orange on the tips"",""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""message""},{""text"":null,""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""alert""},{""text"":null,""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""alert""},{""text"":""The yellow orchid also good. I'll take the daisy one"",""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""message""},{""text"":null,""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""alert""}",false,yellow_3,53780,4.666666666666667,yellow_3,61169,4.666666666666667,yellow_1,42917,4.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t6PrLYXuzKYcbQvCR,1,"kwrbsLpPhkQmvCDrW,d6yFmTsPaCxSu9ArP",KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""yellow_12"":{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_11"":{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_7"":{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""pgdSEje8fK2EhyEAF""},""yellow_6"":{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_5"":{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_3"":{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""pgdSEje8fK2EhyEAF""}}",1,0,1,3,"{""text"":null,""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""alert""},{""text"":""bottom right is best for me"",""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""message""},{""text"":""Yellow daisy is good"",""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""message""},{""text"":""Repi they are all in a different order"",""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""message""},{""text"":""repi what does that look like?"",""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""message""},{""text"":""I've got the rose like one"",""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""message""},{""text"":""the three flowers are good for me"",""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""message""},{""text"":null,""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""alert""},{""text"":null,""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""alert""}",false,yellow_5,41797,7.666666666666667,yellow_12,8144,7.666666666666667,yellow_5,48701,7.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaEPSzHHswXEv2Z59,2,"yjW7RBeTFLsCaYEkt,2ChSLeMFWFjMwk8Yh",KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""yellow_4"":{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_6"":{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_7"":{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""pgdSEje8fK2EhyEAF""},""yellow_11"":{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_8"":{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_9"":{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""pgdSEje8fK2EhyEAF""}}",2,0,2,3,"{""text"":null,""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""alert""},{""text"":null,""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""alert""},{""text"":""I've chosen the yellow orchid one. Daffodil 2nd best"",""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""message""},{""text"":""what about repi?"",""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""message""},{""text"":null,""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""alert""}",false,yellow_6,8953,6.333333333333333,yellow_11,6109,6.333333333333333,yellow_6,84612,6.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cq8sf69LkvuwmiMPs,3,"rfNysNwQSWCPDBdXB,zLi6fqLLxEKdXWNBG",KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""yellow_6"":{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_7"":{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_12"":{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""pgdSEje8fK2EhyEAF""},""yellow_9"":{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_5"":{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_3"":{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""pgdSEje8fK2EhyEAF""}}",3,0,3,3,"{""text"":""the three flowers are best for me"",""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""message""},{""text"":""three daffodils are best for me"",""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""message""},{""text"":""Yellow orchid best for me again. The rose like one 2nd best"",""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""message""},{""text"":null,""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""alert""},{""text"":null,""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""alert""},{""text"":null,""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""alert""}",false,yellow_5,23944,7.666666666666667,yellow_6,22762,7.666666666666667,yellow_12,29167,7.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7QieCnJLbAu7e5qKA,4,"qGZW8dDQRxjFL66Z4,9AsabvQ4QXbjerF5T",KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""yellow_9"":{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_2"":{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_6"":{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""pgdSEje8fK2EhyEAF""},""yellow_4"":{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_1"":{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_3"":{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""pgdSEje8fK2EhyEAF""}}",4,0,4,3,"{""text"":""Daffodil best for me"",""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""message""},{""text"":null,""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""alert""},{""text"":""2nd best is daisy"",""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""message""},{""text"":""the one with orange tips for me"",""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""message""},{""text"":null,""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""alert""},{""text"":null,""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""alert""}",false,yellow_1,21881,5.666666666666667,yellow_9,11071,5.666666666666667,yellow_1,23991,5.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5JtZXisMFSDa3KQLa,5,"bC7pDzFYRYnpwoFGX,dL3NkXLQJuQN4Ntkn",KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""yellow_7"":{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_5"":{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_1"":{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""pgdSEje8fK2EhyEAF""},""yellow_11"":{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_6"":{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_8"":{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""pgdSEje8fK2EhyEAF""}}",5,0,5,3,"{""text"":null,""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""alert""},{""text"":""Yellow orchid for me"",""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""message""},{""text"":""big yellow with black background best for me"",""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""message""},{""text"":""Buttercup one 2nd"",""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""message""},{""text"":null,""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""alert""},{""text"":""theyre all in random positions"",""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""message""},{""text"":null,""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""alert""}",false,yellow_7,31292,5.333333333333333,yellow_11,5622,5.333333333333333,yellow_7,25333,5.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3tEWREMLriggs58E,6,"CSKv3kZn5EpxEcZvr,Fy9sqbMkxC7uGthem",KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""yellow_1"":{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_6"":{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_9"":{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""pgdSEje8fK2EhyEAF""},""yellow_10"":{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_11"":{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_2"":{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""pgdSEje8fK2EhyEAF""}}",6,0,6,3,"{""text"":""We can't choose same flowers. It lowers scores"",""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""message""},{""text"":""big droopy flower is best for me"",""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""message""},{""text"":""I'll choose orange tips"",""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""message""},{""text"":null,""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""alert""},{""text"":""what else is good?"",""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""message""},{""text"":""the others are low for me"",""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""message""},{""text"":""one with orange middle"",""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""message""},{""text"":null,""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""alert""},{""text"":null,""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""alert""}",false,yellow_11,40783,9,yellow_1,25224,9,yellow_2,40867,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fs72c2EHvxnyvHuR6,7,"orCpXPs4d4beCvKLh,NKhYR6bFibMTSSdrZ",KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""yellow_5"":{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_11"":{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_3"":{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""pgdSEje8fK2EhyEAF""},""yellow_4"":{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_7"":{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_12"":{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""pgdSEje8fK2EhyEAF""}}",7,0,7,3,"{""text"":""the bunch with orange middles are best for me"",""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""message""},{""text"":null,""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""alert""},{""text"":null,""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""alert""},{""text"":""I'll go with rose one. Next is daisy."",""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""message""},{""text"":null,""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""alert""}",false,yellow_12,21682,7.666666666666667,yellow_12,25589,7.666666666666667,yellow_4,17277,7.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELmXYaNHaTeR2js4h,8,"Eqfg5fr2EqKLu4CPf,Djp2hyixZXBpbEW65",KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""yellow_5"":{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_6"":{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_10"":{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""pgdSEje8fK2EhyEAF""},""yellow_8"":{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_2"":{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_12"":{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""pgdSEje8fK2EhyEAF""}}",8,0,8,3,"{""text"":""daisys best. Then one with fly on it"",""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""message""},{""text"":null,""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""alert""},{""text"":""i'll select the one with the fly"",""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""message""},{""text"":""ill take yellow with orage"",""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""message""},{""text"":null,""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""alert""},{""text"":null,""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""alert""}",false,yellow_6,38656,10,yellow_5,22653,10,yellow_8,38003,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vMGv2pNxmB2c4Bb3m,9,"cZSSzXn3bMvbcdPXY,AuHL4ntPxc76CE27y",KiBJ5D2Gb56scHooG,2021-07-20T16:58:33Z,"{""yellow_5"":{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_8"":{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_11"":{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""pgdSEje8fK2EhyEAF""},""yellow_3"":{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""kq9vcpqmQwbkFB4sX""},""yellow_12"":{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""mQ4j9jv3oBQW9zdxE""},""yellow_9"":{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""pgdSEje8fK2EhyEAF""}}",9,0,9,3,"{""text"":""the one with the fly for me again"",""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""message""},{""text"":""flowers with fly"",""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""message""},{""text"":""ok repi you take those"",""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""message""},{""text"":""3 daisys best fr me. Then daffodil"",""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""message""},{""text"":null,""playerId"":""kq9vcpqmQwbkFB4sX"",""type"":""alert""},{""text"":null,""playerId"":""mQ4j9jv3oBQW9zdxE"",""type"":""alert""},{""text"":null,""playerId"":""pgdSEje8fK2EhyEAF"",""type"":""alert""}",false,yellow_8,18818,9.666666666666666,yellow_5,21500,9.666666666666666,yellow_9,22656,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
