_id,finishedAt,gameLobbyId,treatmentId,roundIds,playerIds,batchId,createdAt,data.targetSet,data.sequence,data.numBlocks,data.condition,data.justStarted
woWsWsG64iWMYwDus,2021-07-19T18:23:25Z,woWsWsG64iWMYwDus,2dzTZsW7s5sM7BSEW,"uZ4KhG8JweH9Nv8Sf,sHgip7AmTgXmk5MTj,5T2LZr4rmxKBsMv6S,u4Bh7dwq6MtqCrPbA,tGLScBimxiSZXivdx,sfd8aMEMXdhJJX5yL,jYj3mkvz6qtKvGDPu,pGtdD6eMiR6yYhcm5,aYAWsJf6MSZ973pJ7,PWajw9nXxzcGSfZKt,jTbw9qdrrQWZCqfBu,aKaM3RdsnfuEqx63L,ddxy9tCG98eEFnZwH,NyzgwMYP5MSqKXMWS,bJpLtnCwvwB8bHMRk,ybHvMxmsLr6xFKdzn,ErQBisLP4n7gNbJXF,pYjuoWmaGj6tSpETf,eGPf44WbbCGTiZ3PH,h5MXCxYLFyiwxZuon,u8Gp6zcZx8TskqTN3,YyTCz2RGqxae6rRRt,KFssrYZATvq5wa2K2,DM3kPqoGLy2j28NhA,inQ4An2Xw6x3ZHGeL,woJyTTRXGJjPBs2xk,aPz7hkCwNdQ85PALa,njMq4TwjPEWnBRNR6,cTDzy4PDtQHm9nskQ,oS8j3sZimHh2hCoKM,J7p4WpkpNaoZRG5uf,ac4AuHMoHNNECbfEa,PxXq8wcvF8QCa9FS2,iCn8cxtBE7EJPGPgt,Wrt3nvha7JXCRfXGi,rmuR9BPHN6jCJfjGL,od3BQeBdzwEkvii4D,sig7dopn7zbhWoLC3,rLZDAj2SxPQamJeLu,rW9xoq6MuxqHhhuc7,5FpZgGAaN3LSqn2Br,QNX95D4m8mum8r8MA,RjC4tCq3fRfwFdkBR,ajPuGWpDN4AxKWg5A,5LBKReKjKqqkSmQqd,NN3Xy9pc3u27Yx2Dh,eympwazYJbrXXeg86,uz3uEKibsH5tDmXgz","YyHKq9EYbJumA3ANL,n9GBgFk6Hxa9zipd7,qNNHZG4JCrXM4zqZq",RG426WNe3sA3Sdnw3,2021-07-19T18:08:13Z,setA,"red,yellow,white,purple",4,competCartel,false
sTX6ksbxqfnfsmzxe,2021-07-19T19:31:31Z,sTX6ksbxqfnfsmzxe,2dzTZsW7s5sM7BSEW,"cB4zJLwuHkRBJrXEL,DWurRbrDmcAsL4HcN,MzEefxjDrJGGTfHdR,XmbaP4h9rCws6vE2y,4nZt3iHL3pWZDd7oy,mFQMBHTJeJBnuBdDs,fmYJsHx8mf4454CC2,e2i79t2i4dMLiaQzF,vPpnFMwfzpphSsDxp,qSSAywqpEXhzTFbs7,gPiCFGZgaGLcEp6Ph,rHRvdY8AJmB5Sebbx,3X5tnfXtnKFa2TGNy,wNaBez48CZvm26w5d,tun88S9PgqLtbxcxa,wY2RQmxQkcGnvHHtd,LNyGtX8ABqvoxZfwb,r2fa8A4i74tP9fXty,PYj5igTF2FNm9nBMy,NCJ2vgdTpzXNznMJy,KterAh2veAojX2L5T,wc3SbcSq9YdrYDcvF,RjkR4Xtgg5hMWou5T,yPqMGrYjErSontLAr,f7BW64xk7zQccLddy,BnRZXZkhwGs9pZAGw,Agd7RobvEhEtMu3gv,bLowy2hqr2g778oFH,os7fWctkrwELjzzCA,SuWHJHi8ZCKiT8S8m,jLPdKSmM2RMjRgoCr,6v48iWHFYJJEjT2PT,C8r45kSZeXcTKwzGe,7cCTYTmH3863iZkgX,dcy5FXSuxYbcF2CSA,AQCwQNoZaggcn5Buf,bH6j9SAGjNdAtwDve,4ocr9eZ7RY4YaPmX8,qLgTJM6j5DEQWuav8,MZz4vHnNQ6ynzon4r,zMZw2EBeA8HcorBk2,j5oyjXji4zXdKJwS7,5Sk987BLLhbwTWKfy,scjWsgpzEtXyockDW,DyRdKe9JgNu3Ww3PE,JMmNpszTRDxAouJGQ,cFX9DgFNZXCvuqXtk,2X3BJCuirnRzzvqwb","PBJ9wLDgHHcrw4bQD,e9qSnb4XLQTbZgEkQ,opJZBAegrZBTBgahz",HLxhfwHbDZLheTno8,2021-07-19T18:09:09Z,setA,"yellow,purple,red,white",4,competCartel,false
qFsHNsbrf5Mu6WnQM,2021-07-19T18:18:00Z,qFsHNsbrf5Mu6WnQM,2dzTZsW7s5sM7BSEW,"EPXmYQnj7Wkj8F9bY,6WA4MzMgfi8CdzWMR,qnH8WmuuHi7MqsDYq,cerz57wbnC7ezTh5f,pARFnzjjn33PqeWwp,kCTYRxY366qzwgcKS,Bj54dRvGbaYuQQsvg,gNBBmDtmAWwxC7cSC,f3qW87tLkAsQXzdy9,C6MquomeMPHPngiqx,bNC4fJdzTftWMLaEM,QwxXAiREGEMDwzgm6,sG4SrwxyQrXSakXeD,mpaq9iZsS3Rrpo3br,5w4vD5e5vPg8LHLDb,6LLFdFpMxkPJrczdT,pNGDvq5tyARmZuuzJ,HmXjmuDEcoCr5QsDd,MjNzDgeXNouPiAfwn,YrDgtc5sCRzs89HZd,wKQTCecg2d69WncM6,9niZA8NCFdaxGKi68,FSAx5x5bCSjpWP3tx,vr5mv7z3Kb9ajRSp6,ePxcdJstKHSfCPfCs,g7Fgkh3YKKf2kNkdt,p8bdxmzdqY84CBLRw,gXSZJmSbfGaCW2vS2,4GqXKhMa2muhq5ymv,KnMZao4w435kw7Nzt,ESW7cmbe4NguByiyH,uAH3egz2XxmEzEGmx,At42QzQDqw4KXGumj,fQZi9ezvh8mG3Lnj5,3SiCuemMSLA6EZuCM,Ya26Yb7KupBLnbAHu,Cnc7aAmvvDa2TTSfr,5Ze6v5T2f9Rd8DdDr,tCDZsPS8yX4XSgWBA,gswHzmhAPzjHR6JAh,Ym6seL5kbHmg5ikH8,ghLYoAAvi9RkfT44A,RZ3Spd476ZaoeW3hT,AcFM4Wk7EickY8CCj,PPzbSQK8Y2js2dfpT,SeueH3YTTfBufzQP6,roiX7cTwug5ceb3Xm,yhZgyxYzdvsDnJskq","aZ4LjhRDtYDMe6Mp7,d5YFZ82ezNvBdjX8D,hYn4YgbBpPcGAQYgK",ikCrbS3887ACSKe4w,2021-07-19T18:09:43Z,setA,"purple,white,yellow,red",4,competCartel,false
9TpHt9H5Ny6HzH8x7,2021-07-19T18:44:22Z,9TpHt9H5Ny6HzH8x7,2dzTZsW7s5sM7BSEW,"g9JmBSfRXJB6wswSg,pKoW7TwGd3ns2EAsR,ZZvhQpMGyJTkmyRd5,zgiEhtrWPXuzNgWpm,tgmZAZpmhvCC6eMu4,WYdxMNXHQxmRjFHLZ,vS6Dc6pjzxiehwt8z,npwJYtSHkeW4iypAb,bcaTx4tidtCkZmQHq,mBDRSDKBdhFBpvss8,m8wBaGdFWeoy9Dveq,JqQSFap7R5EbPWRHu,kNAFFSyPJNxGwkng6,XFdDCLK9RaN364pT8,CgvbSrAATkrjkwJhh,NfGMTZ3YCanRGnYYc,Nx2h8rXkxttxoJMZS,FE5onmRtjrZhxkMkR,KD2PNnbSuHt9cSSMb,jsyAo75GtDRKRMDnt,KTgRHJmbDpigyKPMP,W29JxeNZzzijvAnt6,JCaWrc3TwyPzi4hF3,bxtQDmrE2BxstF85t,uy2hdXcg9MwP82Fqj,fFnFzNwGgNF92st4n,P2rkFdX9q5oq72D9h,T3krPtR5whQxtJobs,jCYiSwiGzWt2fSLQM,EDqZnPPvrmsbzHXor,EzANYMR249zZSyKfT,XLn6HuucQ3fRfaRs2,TNqFKm5pQ75aiQYn6,pe4LKRoukN75hoZWL,qsqBdpRxBqjw2RHDS,7gfiuPDzXGJXNLLLa,qkjHY722YwyM2mtJH,kGkxycwXizpcGfvgd,h7n6BWk3gywD7G77B,RtvMt5ACuHWYRMbsD,ddREqNiXSPgZMQitp,87bxPyA5bspPEdzuZ,jzZwMah6mAqshmYBA,qEyWPQDSuPcT9vDqK,e5WxJaLLvLX7s8shD,GpREFnHWdh84bae3D,QGeH5jNARTyrMimLt,fP8DtHLXnJesB5rYD","DzW5A3BKQz6yD5bAn,ZxRrvBffD6DbPajeA,wZm8oTPGLXW6t98qP",mogJMJgwi9BmABR2y,2021-07-19T18:10:02Z,setA,"red,purple,white,yellow",4,competCartel,false
2yX3k7DkPSWGee3q9,2021-07-19T18:54:14Z,2yX3k7DkPSWGee3q9,2dzTZsW7s5sM7BSEW,"d4zFH3gMA7A2wobc5,GEm2K8yxFrsc8jpkG,Prou62aydNgrJLCuZ,AZfaEwPyCZuDf3YL4,jBvCwHLEhhNrhLpjX,AbfZtLgMBZvmECYxR,xvGYvtLomHJ2JDuNz,ct5H298MDP5eAqDA9,6bAe2jQ9DsBEo25XP,3bYwweyNvcP7smRkT,Jziet7ZvAeYWFYHFA,xo8cuzwrWvhZthww5,k7rY4tx5GT6sFjDKc,Lc7NDzFTrJ3dgvhZG,mNKkCMH6atu7TwCpg,26cZSfwoqWASYS5gL,33s623ynHpnvqkkpn,BuZ6F7k4zpPjjiEw8,aCzfJ37eLqfjHvTLH,ruAzA5ZZgGbQ73zSS,2GFhfQM3gSFtC8Ngt,kLJ2Mn3j2iYDzWe2u,RZzvedSvRyPPXuG7g,4TRjkR2xyMGJx2Xpe,JBxeotTEj2MYaK8bg,eNLessucwAB7RBAui,cgMQe7Bf5sKndWG3R,bJC9so96nBnaoseZg,THdpYjFmAr9KYyYdg,3vRav9nHzb3C9B52C,enyFodHS22ZqKNmeJ,iQnfrggLhCi9Y3ejh,JKt6QS3Zjxu2i8FCA,z5qJdZY2aBtCi6NCg,zJm9xegYjAw5aAhGc,uE94sd4mtWyZPHCGg,fa7jQ474t6wE4J7K8,pKR5fTN5xgZhyyrFS,zpcjjeeerBrBME5E2,ewHKZc9DnpivEh2H6,LM5P7t8KvrA8pmXr2,AMftvLmZ7k6re6PZB,SP3iJuerd39fGH9HN,mMR4YSKoi3hA4heAw,8QukgcHwtn3fkmxyf,Yz3vTdudWmWMJwn8S,jHcsXYWubzmf5AdJf,C2PujD58u3gc3rygu","LAYJsd5Lr7o9FAm4t,duYYpzofm6fYRjBsS,kqGapafwDf7kdgxEP",sQ5PgjiLdxY5fap62,2021-07-19T18:10:43Z,setA,"red,white,purple,yellow",4,competCartel,false
L4kC4a6Nbzrj5Ke5L,2021-07-19T18:19:24Z,L4kC4a6Nbzrj5Ke5L,2dzTZsW7s5sM7BSEW,"3jdFNBCe5GZKoPxar,aR2gd8G9daBRZz3jo,hTjFn4nXqcTWyoBYo,havZmjctu54W43MjN,7dEvJoc548xHH5E8w,Qxo7Mt8BatboYQuDt,WLkM6RifAE8pBuXfP,RgXPqhdphsfwqjsNJ,b5hMxWdihC3q2cx6u,wHEZ9nQqYtX5sxQmy,4vYFYbj6vQXJksgyW,TMgXqaZJNFBt6fXAv,QZM7i2tbuLZuzia2q,Nbvktg684FW7rXroq,PBZYGWXiSecmEhwjX,pvbpyJhqbDmPPAChq,6ngZQ8hz3ecRLe4oE,qTCCkFzceotcDd6Ap,s3HrsodMcpeikG6Pg,QbFW84Xoa9rEpBZWy,nuxLKsDn5PZSGdEfK,uKpFjfBgeB9fyfZhv,H5cZpFqDRZmCk92es,LPX4jj3wkRg6FLviY,9fwy49pYn3LCmc4sj,nuMntZQdySpRi84Hi,9sCx3ccZBTvJzS6bu,FnntXu382sfkNJG9T,nrnBWsA4dWdSDeYJx,ZNPx3EeQoMvadFq68,CWzKqCxHyQFeC7nLs,zmu2Hc9rQnkWfXXn9,cqNpJb5n6ntvyb5cX,Z2rLZAKq7Fhzxh5Dh,FARCkpejFxR3n4LuJ,Fd5saGKYXoH8PqsKm,xaCXCTcHDL9ihobNc,vxRD4jbSjKwFKacTN,kW2qytPRgb3GZJ8CR,eob3kTYaYoY2fcJLE,NECLnzHRYudyhv9n8,RSKYkiued8N5JQPCk,hMhzJgMj3eFXpXamK,yrhJ3QSJ3SWcHkbRA,FPWZqv9mQd7o62h3z,HjrWMMZ8hzERrxbsv,B5TFu2j5Dhuh3tSAi,Xzk55xvrtyi2EyuMp","XhNyocPsCc5jyxym2,ga7mdcuNmWBHAoR9k,jgkvxoeQGQNM3PduY",7jYY2Gg5NqjR8dPEe,2021-07-19T18:11:18Z,setA,"yellow,red,white,purple",4,competCartel,false
N5htAi8ezBg3neBKP,2021-07-19T18:19:08Z,N5htAi8ezBg3neBKP,2dzTZsW7s5sM7BSEW,"xJmPFxEReLw8zkXsa,uzn2W6CEgtYeMspRx,Jb5iiEwTvsA9YFCjw,SNJBzWejddgskiQSH,mG46hsSHSY2TX9jFq,LxMbMgybCDcray98r,ifHaHwMqSjqtuARMz,cZYF29pTwq3Ppaso9,eBn2QBR7HFh5WJMJi,EWQd7EtLbpftQp3my,H6XBbH6BYgHoQfqog,DsXATRfaHGvuw6mG7,xGayEoSAkErpkwFx6,sgtTiGFkiaxBjaPxW,6jrdMq4hzB4DWoitP,AorAHDkmgLMbXBACz,tRqrEvtgvWRJiWrJN,QaQRxYtYkZb9hsLuK,BCRyD8R84wENdTYBe,siSToCeESfFxGMPzJ,6wu68wyH43xs9jQB6,k2QXYZRmKkByb3JeS,rodQHzrQWTPxYeptW,vEtwoH3r2dsYcutTr,AXcSEf9YtbXc6X5NZ,XMGPR2tD7MisRna8K,HKuDuo3of595c4Hfd,ENCgFDHhbzij6rBHy,vRTjsWNmYprimKCfz,PAYoyDQWzXW9EMj3S,rMWJaj9CkanozypHP,e4CcmK9DAgWMhjDn7,GATWniyx9TQAXBQHw,bZQYySrMhSjFdczhh,kXgEbe28fYammXm7d,uvKg8br8ePAD5ffcp,dJppdJoZEA9AAzHtF,LpuzqSdoSpnRMTF2B,6x6FT52hgBAsvyK7F,aTX5RLWWCi9tHjPjw,qKducy8iGZcZacSAA,FocEPynycjTo6dAJo,kNQFq3dGsWKQgHq9i,SALTmE5wbYJ3dxjuD,5PdF6hMbkbdRsKfuJ,8xCSaXohoJFfCsiJf,48XS68dEEDfqbYxKy,BLWnNz4xj8rDy2JHT","MWdc5C6Rqz7rCartu,Ngb2MQcFPDdE425hz,TFC5ZPh7SSsrqs4vn",fhzRXRxgE5FmjZwSD,2021-07-19T18:11:37Z,setA,"red,white,purple,yellow",4,competCartel,false
ojE6tc9tdnASfLGDs,2021-07-19T18:57:31Z,ojE6tc9tdnASfLGDs,2dzTZsW7s5sM7BSEW,"hYW7vvPJm42ZkwzCL,MYFoa855ngRD7wPmv,A9csdTwhRj2rCm5Tm,jyoGZ7MKAugKNR78H,hWsExYrF7CS3GcAit,oj9rA6qYYGHpRb4xE,JdcHAcxGcnZKB9vrb,wwPrzo3gxzaWzQLJR,ZFtPLcRFgzT4iXM3i,Lq8wy7Yi9X8GCkvmL,PheokXBt6RR9XJwNS,WmacYMx5A4kb9Keyw,f6cGFRcDHXEF4vE2g,KpT9zqrRsopna3YuR,NNRNTbk3h9Kw7YvFM,3WrAYefEeXnQYuE4u,8KbiHEeBTJNjzNFui,8WpXJDmvR4QAEfLpy,fujbYpuL6XTtXm2j7,ZR7Ns86mYY3pxbPXS,kuB5eZ2WztKoKEoRY,Y7oGqniqfc9QwnhGb,uEevkCFBwL3DRNtYb,dZgrSiRun4Bux4Gac,3bcHuGkR6iNrxXcE4,reWrJzigMLYBu4Rji,Xhgk8twg3KqabWxYd,TvcXmmpsQAxTR5iAG,yXgfDDffpqA5tLyjh,W7hCgDN8KxyJLGoAW,z7b6JEsvx8SsmtfqM,f5FA5PhkRW5jX9KMP,jJndjfCZL3zjHwdP9,HzKvbomCrqHg22JYq,DwShqHuaJLdoG6nag,ZJtmo8sjAQEYxRhXH,eecPNr7xKvEYnP99H,YBDRBEgysozywBDYq,AacB2AR7AnRu5gpfr,KkK84FMDvbp6QEuPu,kghM2dLY4YSioxkwf,LjooKkitjshfBpXf5,sF7FaLHsJAD98KWtq,aNnTFtoWHicty7fkN,NdHfKRR6RziWHRygk,whPcG3woMk7WRrNhf,yzfKGz4bthqSsXvae,h66mciCHtqXSDXc5y","BCnyrHFnDe2BEr3dN,Gf7jHjgxd3hSA8G6E,aJe45NbcSwEyoPHiK",KScmaZAGkzoq45CsM,2021-07-19T18:12:00Z,setA,"red,white,yellow,purple",4,competCartel,false
ZRbnTDRALnkiCv2fD,2021-07-19T18:21:58Z,ZRbnTDRALnkiCv2fD,2dzTZsW7s5sM7BSEW,"7ob5tu9TLGuT5XWNk,yKs8CaJ57AJQDoXrF,uzFxYJHPxZTvoc7Hx,pwTGa8J522qsj2Lvq,mex6eQ3H8RBj6QsZc,4NmZzHRraN3eL2Sgo,qQGeK8wrGwczzyv4h,R5zjoGZNEXv36yci5,x7EaGuHtLkpZMqYnT,mRB9XWfi9Bhkr8XgT,4Ss64GJ7c6yzdGtjA,wuz8Es7hQmqjGDYpR,vBPMnFnoXebju2cQW,qQyg3vCvSsxX9eyzD,fDp4AAKzafJ8fKYJg,zuFxw7Zutf4Yk2tBk,YA59R9eBy882xB8hr,uY6sdCfQqyPv2p3J4,NWTdGiif8WHTnNeGw,pYCLqkJtN732DEQoa,BkonALzLeXczBiept,wmJWpsgzJ3vAH4G4y,oz6coZkn9by5SZeAm,Xo5WW4pEy7uwtEv38,5NmgH2AL9QGNszcRH,uk7ks4Sj4W7j5FXAt,sJ8zZQ4phiyAWw8vz,YS9dZ54CCKNPZahTu,vLuwHjBMqAqCN4ARs,6pyiMjBdoQn8QmG4o,RLKfo2tpDmNwQx76H,zL75YwF32ueipmAGD,Zd2ZLX3zW8eghQCNk,hvcDNTk2dHqoePJvq,BXkeo5X9tK5dNwDLQ,7noJK9NuPt9gMymsL,9KnteXoFJspaAjTnc,Wmgf8ju6rn6or9TMz,5cLhqQtm4Zfm2Sduu,CyJKG9JJZE4gz6XKD,JZRuYbY9wF8ARx7H3,iN3qiBZEXdWHwBsfD,zAzQdHFbxkewvtkgb,pyyhP98znX3woejeM,tPuJikrLnW75F6K2p,fekwzwoLBrPkChnax,wnoBRvHGW6vuiZrkm,eRMekwz6pWfgiy2eZ","DyLQQyB58rtLJ8bot,E9XByhsbpFkwxdPBJ,LTs2tnjRZmH9NYkXv",ExFQv5mBJyzDqoHw5,2021-07-19T18:12:12Z,setA,"yellow,white,purple,red",4,competCartel,false
ExXQbCn35Xznf9tM5,2021-07-19T19:35:17Z,ExXQbCn35Xznf9tM5,2dzTZsW7s5sM7BSEW,"DcDGPxeoP3GDMMEDZ,DsLD5MFThPq3BqyKi,2xbNSpeZmEpHHxmm7,N6cTTyLY46hC25vPb,MH8QTCtfLMbufyGjq,BgwTsf4KXosE2YtW7,gJmX8Y6pykZcrjvPe,jMvAEt6LPWwFb9NGF,zs6xkYn5G5GL3uknc,4miJDars4Mq3tceuc,7qjk87Gd2Y3SGickN,e2Lo6Arwy6nSNafN2,mg6iWoqjz4N9eEbnf,EZ72cX2cBEEgyhEuT,qBxqCfL3FjAgJzbgp,AAZ6t5otrcHhGiY3p,Ek2JqMbEybr4Q9gvo,R4efveGNSp6dH8ZBN,SbxQKcLA8bYdeoHNa,hAzXAxogWDA5Fu3oQ,WDKnWqepvSghAKvTK,REN8rJrkxqrxdQp4i,2Ymmc8Pzgp2huJHp5,JucRkKHRAvpcGTANz,PbPgoQj5bNFyrfL4n,K8pX2pazbcxyC8J86,dajsimXQjZhJvSxkJ,m78cFmSupFrfFQNNK,CLvMu2btki7T6eSH3,wEvpdmXRbT4GZDByP,buXrri5YA94hRHPE3,DEcu47LEAH8vfoXJn,pekr3d7aazHFtKDH3,b5SECuJy5z37yEoE9,3bDvtG2gGiPT5PMWB,poxG5mrcuKg3bCxwg,3sYjH7idQbSNRkabs,5qrQiQXz2KaCzPCbn,RDjCj7TkeCJydfuL4,ziBGrHpXTGEtMr8hg,fHfa7EnKdrvJAwrM9,5WW39nRWWoLuAreL7,baKwcWabN8ibE6tmL,625ZwxnLxScxvF3dS,qiFbqGv379kKX3p94,f3XSoWJ86HXy27d2t,uvcJ2rbTQN7uHCeBg,mdQ3mDXQPEbTorkdp","DpAafj8fY9zYqBDrt,iRrdmcGkkYcNPzr8M,yQF4oZdZAsmS3yNiJ",Pf8Egy6ud8G6vNMH3,2021-07-19T18:13:15Z,setA,"yellow,red,white,purple",4,competCartel,false
