_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
pdN9LXwtTxTiB9rjo,1,simple,true,2021-08-19T20:28:39Z,2021-08-19T21:45:38Z,finished,,47MwccNZCwNDTyxqK,2021-08-19T20:28:19Z,
5DfTrGzyYbYe5szJT,2,simple,true,2021-08-19T20:28:40Z,2021-08-19T21:02:34Z,finished,,QHkfso2yMgbbziE7r,2021-08-19T20:28:20Z,
AsMqud9r3PKhT4Kxx,3,simple,true,2021-08-19T20:28:40Z,2021-08-19T20:51:00Z,finished,,S2hKPFL78z9cyKbeY,2021-08-19T20:28:21Z,
XdcRpTXPT3SajECj9,4,simple,true,2021-08-19T20:28:41Z,2021-08-19T20:52:10Z,finished,,co5ircoedXApqB9jD,2021-08-19T20:28:22Z,
qHuJFPF9ziu2i44sz,5,simple,true,2021-08-19T20:28:41Z,2021-08-19T21:10:00Z,finished,,gc7mRNb3EKLNXbWZR,2021-08-19T20:28:23Z,
Y5q999ddFfZEN2xsZ,6,simple,true,2021-08-19T20:28:42Z,2021-08-19T20:53:22Z,finished,,KiRHskdD2iLy8Fh8C,2021-08-19T20:28:23Z,
MZwJB2kd37vgXPNYv,7,simple,true,2021-08-19T20:28:43Z,2021-08-19T20:57:26Z,finished,,avdWsKnbRkYLQ5Mq8,2021-08-19T20:28:24Z,
9J3JLTafeJHwzz5F2,8,simple,true,2021-08-19T20:28:44Z,2021-08-19T21:16:03Z,finished,,kartvbhf8pFz6ZzML,2021-08-19T20:28:25Z,
uDgtZti4Bnbbyj2Ls,9,simple,true,2021-08-19T20:28:44Z,2021-08-19T20:57:59Z,finished,,Etbyk29DvPTqmSJM7,2021-08-19T20:28:28Z,
sjji63XCXrkCk9ysQ,10,simple,true,2021-08-19T20:28:45Z,2021-08-19T21:08:11Z,finished,,TpAMBXAumnL7zQDwG,2021-08-19T20:28:29Z,
62bW6EMYcTXFHZe9w,11,simple,true,2021-08-19T20:28:46Z,2021-08-19T21:01:34Z,finished,,5etSp4RTD85pHPt96,2021-08-19T20:28:29Z,
9yGFzzhKPmCsRCkHy,12,simple,true,2021-08-19T20:28:46Z,2021-08-19T21:15:36Z,finished,,8HAcSYq55E8pTYMDK,2021-08-19T20:28:30Z,
9D2DdPZTGp2PmMTBf,13,simple,true,2021-08-19T20:28:47Z,2021-08-19T20:51:33Z,finished,,mSAzCKGFCebEpwyY8,2021-08-19T20:28:30Z,
wJQmoqg8fxyfkohAz,14,simple,true,2021-08-19T20:28:47Z,2021-08-19T21:01:10Z,finished,,HevPvvPd7xwLaz9S6,2021-08-19T20:28:31Z,
9t6nX58SP5h7ovCmm,15,simple,true,2021-08-19T20:28:47Z,2021-08-19T21:31:21Z,finished,,mC5GMWYhGw6pyJ9Fh,2021-08-19T20:28:32Z,
xtuknPRSBZMZ5JZSn,16,simple,true,2021-08-19T20:28:48Z,2021-08-19T21:17:51Z,finished,,wTPCpTBpdP9eKJswp,2021-08-19T20:28:33Z,
MvefTvBY2KyLqH2Ti,17,simple,true,2021-08-19T20:28:48Z,2021-08-19T21:35:48Z,finished,,AtZP87gjjZLkAN4wk,2021-08-19T20:28:34Z,
q4DwHeRk3MrwLd9Zq,18,simple,true,2021-08-19T20:28:49Z,2021-08-19T20:59:20Z,finished,,i5oTjkGdo6JjBr37b,2021-08-19T20:28:35Z,
DRfyaJ95MghYG6aei,19,simple,true,2021-08-19T20:28:49Z,2021-08-19T21:16:25Z,finished,,9YvhBapNfWcFwvvpX,2021-08-19T20:28:36Z,
Q6TZ2f869YdBtxN2j,20,simple,true,2021-08-19T20:28:50Z,2021-08-19T21:11:19Z,finished,,qzSRSqEwDXuLRxceA,2021-08-19T20:28:36Z,
