_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.chatUseful,data.feedback,data.time,data.player1,data.player2,data.p1nice,data.p2nice,data.p1again,data.p2again
HfuJXJMaJoB4afzfm,2hj9TEW7tcbgLckSj,47MwccNZCwNDTyxqK,2021-08-19T20:37:58Z,25,male,english,true,,,,,,bachelor,yes,yes,neutral,yes,yes,my partner disconnected ,yes,,,4,4,4,4
eBcqv2xG2ebrhjsy4,uCn7dXSZRaSK2bFJ4,47MwccNZCwNDTyxqK,2021-08-19T20:38:14Z,43,Male,English,true,,,,,,highSchool,yes,yes,stronglyDisagree,"Considering the game had to end early, yes, even if I get no bonus.","Yes, it was intuitive and had no surprises.",No other comments.,Yes.,,,6,3,6,2
aWbeTjfjL92LNnPvr,AM5jKEDQqQ9px6G9r,co5ircoedXApqB9jD,2021-08-19T20:52:38Z,30,Female,English,true,,,,,,highSchool,yes,yes,stronglyDisagree,Yea,Yea,No,Yes,,,7,7,7,7
mdRnr92E79wcKm4qP,dpxZFAjR8hGR6AbZT,co5ircoedXApqB9jD,2021-08-19T20:52:40Z,21,Female,English,true,,,,,,bachelor,yes,yes,agree,Yes,Yes,No,Yes,,,6,6,7,7
tKiNcKobxLxvCvhg2,RCqCyyonSzuAMu9dW,mSAzCKGFCebEpwyY8,2021-08-19T20:52:42Z,24,female,English,true,,,,,,someCollege,yes,yes,stronglyDisagree,My partner left before I could play,My partner left before I could play,My partner left before I could play,My partner left before I could play,,,3,3,3,3
rh8NXG5iTanBDuAA8,Fc8hP9H3oDuNrh8Mb,mSAzCKGFCebEpwyY8,2021-08-19T20:52:55Z,25,Male,English,,,true,,,,bachelor,yes,yes,stronglyDisagree,"Yes, but someone disconnected right at the start.",Did not get a chance to use,Someone disconnected at the start ,3 minutes feels like plenty,,,4,5,1,1
XCRCfq5f4jisAkX43,EcXvtL3n4KfbtMvtE,S2hKPFL78z9cyKbeY,2021-08-19T20:53:25Z,21,Female,English,true,,,,,,bachelor,yes,yes,stronglyAgree,Yes!,Yes!,Nope!,Yes!,,,7,7,7,7
JgxsZ7ztm33pmor8e,4ipqkJvwzvaSrDWc6,mSAzCKGFCebEpwyY8,2021-08-19T20:54:10Z,42,female,english,true,,,,,,bachelor,yes,yes,neutral,One of the players disconnected at the first round - disappointed as this seemed like an interesting study,didn't get the chance to use it as another one of the players disconnected on the first round ,,didn't have any time as another one of the players disconnected at the beginning of the first round ,,,4,4,4,4
izZo3o7FJnQnSPwnK,YMzGnv6mFMFbQhT8H,S2hKPFL78z9cyKbeY,2021-08-19T20:54:12Z,21,Female,English,true,,,,,,bachelor,yes,yes,stronglyAgree,Yes,"Yes, I wish I had more time after the reveal to send a quick ""oops"" if i messed up",no,Yes,,,7,5,7,5
tCyQCu737DqWa94Na,NpZd3qLBDeqRs73Mi,co5ircoedXApqB9jD,2021-08-19T20:55:10Z,56,male,english,true,,,,,,bachelor,yes,no,agree,"hard to tell - the other two bonus's were higher and as soon as i picked one flower, it seem to match their choice more often than it should!",yeah - my typing is v slow,disappointed it finished when someone logged off - if that was really the case,"3 mins was long, but the time to react to other choices was short",,,3,6,2,5
zKJQPxLCFR2pwtAuR,xZRBvhNS5q39NeEwm,S2hKPFL78z9cyKbeY,2021-08-19T20:55:40Z,25,Male,English,true,,,,,,master,yes,yes,agree,Yes,Yes,"No, it was fun","Yes, more than enough time",,,7,7,7,7
vv9PQ4p3oEEMGMLfF,tb8cYu5YkEY7rwNGt,avdWsKnbRkYLQ5Mq8,2021-08-19T20:57:02Z,34,female,english,true,,,,,,highSchool,yes,yes,stronglyAgree,yes,very easy!,none,yes,,,7,7,7,7
gytLwCa4NyyW7FKMT,dtrXhLCRBm4QbQrGg,KiRHskdD2iLy8Fh8C,2021-08-19T20:57:03Z,19,Female,English,,true,,,,,highSchool,yes,yes,stronglyAgree,"Yes, we all communicated.",Yes,No,Yes,,,7,7,7,7
KjaFYM8HmC3Ar6SCC,JFACpZugXjwGuwMpS,KiRHskdD2iLy8Fh8C,2021-08-19T20:57:06Z,39,Male,English,true,,,,,,master,yes,yes,agree,Yes,Yes,"No, all good.","Yes, more than enough",,,5,5,5,5
qX6DQhDfiyLpEh2Xy,6bQmRukQXEvm6tMo5,avdWsKnbRkYLQ5Mq8,2021-08-19T20:57:51Z,20,female,english,,,,,,,,,,,,,,,,,,,,
9LbDG3sBAWxvKKYeZ,cgzEXWirZZiXNga2d,avdWsKnbRkYLQ5Mq8,2021-08-19T20:58:12Z,48,Male,English,true,,,,,,bachelor,yes,no,neutral,Possibly so - not sure if you're giving the bonus as you cut me off and told me one of my partners pulled out early. ,"Yes, but had to be v quick",No,Yes,,,3,4,3,3
3GGcTW6ayGiFnDvaK,xQRbdNPH67gZtjqTF,KiRHskdD2iLy8Fh8C,2021-08-19T20:59:37Z,40,male,english,true,,,,,,highSchool,yes,yes,stronglyAgree,Yes - one of the best compensations i have had.,Yes really easy to use,nothing to add,Yes as one of the participants was answering instantly,,,7,3,7,3
pp26gQZp6BYjGCf3N,53nGAi7E76hZ3FtdD,i5oTjkGdo6JjBr37b,2021-08-19T21:00:24Z,29,Male,English,true,,,,,,bachelor,yes,yes,neutral,I feel that it was fair.,I didn't get to use it because a player disconnected.,No.,I am not sure because I didn't get to play the game.,,,4,4,4,4
oSthQboGpFsAeCm4r,THt9PTb6CwSBGoxn8,Etbyk29DvPTqmSJM7,2021-08-19T21:00:25Z,34,male,English,,true,,,,,someCollege,yes,yes,agree,Yes the pay was fair.,Very easy to use with no issues.,NA,More than enough time.,,,5,4,6,6
dZwMzuJS8AoQj2saQ,FsZvRwcd5hAPGZ55n,HevPvvPd7xwLaz9S6,2021-08-19T21:00:32Z,49,female,english,true,,,,,,someCollege,yes,yes,agree,Yes ,Yes,No,Yes,,,7,4,7,1
jCivHRjDsLPHnz45B,mP5c5Q8kCCnJMuZqT,i5oTjkGdo6JjBr37b,2021-08-19T21:00:34Z,31,f,english,true,,,,,,highSchool,yes,yes,neutral,no i didnt get a chance to play the game it said a player disconnected,,i didnt get to play,,,,4,4,4,4
jwS8Q2rssuJpJ2tSB,TNkBXoLbzhruBA3gS,HevPvvPd7xwLaz9S6,2021-08-19T21:00:45Z,20,female ,English,true,,,,,,someCollege,yes,yes,stronglyAgree,"Yes, but I was frustrated to be disconnected. ",Yes,I was disconnected because one of the other players disconnected which was frustrating. ,Yes,,,7,4,7,3
ZdcxZTBgApvLvcKJ2,Paof6KY5XWFpNuGwH,Etbyk29DvPTqmSJM7,2021-08-19T21:01:21Z,31,female,english,true,,,,,,bachelor,yes,yes,agree,Yes,Yes,No,Yes,,,5,5,6,5
nX5mwZnQtNyJY26ZL,EaTF2x6WGY73PQthf,Etbyk29DvPTqmSJM7,2021-08-19T21:01:31Z,24,female,english,true,true,,,,,bachelor,yes,no,neutral,yes,yes,n/a,yes,,,5,3,5,3
7QDywsz2Ar38evZSE,zba9zoM7QszHCWYM2,5etSp4RTD85pHPt96,2021-08-19T21:03:29Z,23,female,english ,true,,,,,,bachelor,yes,yes,stronglyAgree,yes ,yes ,none,yes ,,,7,5,4,6
pujY8hjZa496GDBFA,z3ecz5DfDoBJMMhag,HevPvvPd7xwLaz9S6,2021-08-19T21:03:55Z,36,Female,English ,true,,,,,,bachelor,yes,no,agree,Yes,Yes, I had a delay on the chat so couldn’t see the conversation when I typed - I ended up saying the same as someone else but I couldn’t tell until afterwards ,Yes,,,4,4,4,4
Mwz8dvYjT2YtvxAio,xewAG3QpwG5CaF457,QHkfso2yMgbbziE7r,2021-08-19T21:04:53Z,30,female,english,true,,,,,,someCollege,yes,yes,stronglyAgree,yes,yes,no,yes,,,7,7,7,7
zz2Qdu4yZvyJMDrz7,GG9PGMS2QcLqvaiFz,8HAcSYq55E8pTYMDK,2021-08-19T21:04:55Z,36,female,English,true,,,,,,someCollege,yes,yes,agree,Yes but unfair lost the bonus because someone disconnected.,Yes.,No.,Definitely. ,,,7,4,7,3
Fq4SdWE6tkmdaWK6H,nPp32Zj2T2YTXassh,QHkfso2yMgbbziE7r,2021-08-19T21:05:46Z,30,agender,english,true,,,,,,bachelor,yes,yes,stronglyAgree,with the bonuses it was pretty decent? could be higher but on par with other studies on the platform. not a living wage but okay for clickwork with bouns,yep,no,yes,,,7,7,7,7
2rqLaLbo2SLSzkgHb,Fca4e2EKdFHWHNQh4,8HAcSYq55E8pTYMDK,2021-08-19T21:05:52Z,42,male,english,true,,,,,,someCollege,yes,yes,stronglyAgree,yes,yes,"none, excellent experience doing this study",yes,,,7,7,7,7
s3mN7zYtfAHvoxGN9,hGfRmwGvBGFWMgiaT,5etSp4RTD85pHPt96,2021-08-19T21:05:53Z,026,male,english,true,,,,,,someCollege,yes,yes,stronglyAgree,tot\lly fair for playi g a game ,clear easy tgo read precise ,no other issues at all,plenty of time,,,7,7,7,7
qkX6MnNesfFecd8QF,bTXd6LwgaNHkP66co,5etSp4RTD85pHPt96,2021-08-19T21:06:09Z,25,Female,English,true,,true,,,,bachelor,yes,yes,agree,Pay was fair but I felt like the bonus wasn't because I played the most selfless game but got the smallest bonus,yes,It was very frustrating for me because it felt like my counterparts only cared about getting the most expensive flower. I wish the profit from the flowers would be split in the end,yes,,,2,2,1,1
xjQkDaZHvYKvBRXnZ,Y7pBdCPT2BT3bjwuZ,i5oTjkGdo6JjBr37b,2021-08-19T21:07:21Z,65,Male,,true,,,,,,bachelor,yes,no,stronglyDisagree,"No. This was a complete waste of my time. I didn't get the chance to play even one round, just got a message saying someone else had pulled out so I was being kicked out. Very rude.",Who knows? I wasn't given the opportunity to use it at all.,The instructions were a bit confusing but I studied them well and was looking forward to participating in the game. Then I was the denied the opportunity. If the objective of the study was to make me angry you succeeded. Otherwise you failed.,No - I think the one round I was allowed to start was abruptly terminated after about 10 seconds,,,4,4,4,4
eTwAjZjbWRP7NSy4M,ew6432RyxC9E4Geox,QHkfso2yMgbbziE7r,2021-08-19T21:07:57Z,20,Female,English,true,,,,,,someCollege,yes,yes,stronglyAgree,Yes! We all rotated out who chose the most expensive flower. It was a fun time although it became repetitive near the end.,"It was fairly simple to use, pretty standard of a chatbox.",I was sad because I really enjoyed the other players but did not give them my social media information for fear of compromising the study.,"Yes, I always felt like we were communicating at a steady pace and never ran out of time. The nicknames for the flowers made it much easier to figure out what was going on.",,,7,7,7,7
MKvefHNR8DMrcSs5D,2mEeGgc4HAaRQR9fr,,2021-08-19T21:09:32Z,30,Female,English,true,,,,,,master,yes,yes,agree,yes,yes,no,no,,,1,2,6,4
HMqowAP5n2EnTbZf8,juDZpR3nb24bZwoFv,,2021-08-19T21:10:08Z,60,Male,English,true,,,,,,someCollege,yes,yes,disagree,Not sure,Not sure,It ended too quickly,No,,,4,4,4,4
oBkaWs6BXQRduCksR,QMkLYP2o4Hi9tyua9,,2021-08-19T21:10:29Z,18,Female,English,,true,,,,,someCollege,yes,yes,agree,"I didn’t get to partake in the task, but I sure the pay was worth it!",I sure it would be easy to use.,No,I’m sure it gave enough time.,,,4,4,4,4
XG5aZaDJLbNTJ7HoJ,WEh4Fg82nJgoqvCHd,TpAMBXAumnL7zQDwG,2021-08-19T21:10:58Z,18,Male,English,,,true,,,,highSchool,yes,yes,agree,,,,,,,6,7,3,7
X6dYjCBbaLHsGBaLE,XDSm6PYShe69gKqbC,,2021-08-19T21:11:02Z,34,female,English,true,,,,,,bachelor,no,,,,,,,,,,,,
799Mdiy9hBwttnkLu,xf83jcxjC63eXJ2HY,TpAMBXAumnL7zQDwG,2021-08-19T21:11:28Z,33,Female,English,true,,,,,,master,yes,yes,agree,Yes,Yes it was,No,Yes lots of time,,,7,5,7,6
28frKNMiYRfSvu7FY,CbCdGyWPXFnTHm2hh,,2021-08-19T21:11:29Z,27,Male,English,,,true,,,,someCollege,,,neutral,,,"Unfortunately, I wasn't 1 of the first 60 people who finished the introduction, so I'm unable to comment on anything else here. Good luck with your future studies.",,,,4,4,4,4
GfZewqc2jNZiqxb7g,jzZxEk7EPeQo5GJaB,gc7mRNb3EKLNXbWZR,2021-08-19T21:13:13Z,25,Male,English,true,,,true,,,bachelor,yes,yes,stronglyAgree,Seems to be more than fair if the group members work together,"Yes, responsive & smooth","N/A\n\nBy far the most enjoyable study I've participated in to date.",Plenty with time to spare,,,7,7,7,7
oqZ64k6KP3x65EPBd,mhN2ZTLrvko6tWuAs,,2021-08-19T21:13:37Z,33,Female,English,true,,,,,,bachelor,yes,yes,neutral,Yes,Yes,The study was reloading by itself several times. ,Yes,,,5,5,4,4
62mRBpi8pCYqvkmYk,EEk6nTcyRgEdrHPD6,gc7mRNb3EKLNXbWZR,2021-08-19T21:15:08Z,21,female,English,true,,,,,,someCollege,yes,yes,stronglyAgree,"Yes I think the pay was fair, and my partners and I tried to make sure we kept our totals fairly even.","Yes, very easy to use.",I did not notice any problems.,"Yes, we never ran out of time.",,,7,7,7,7
6e9SGCGCv55dbv5ZR,ZJFsyB2E2SGdQXyWj,TpAMBXAumnL7zQDwG,2021-08-19T21:15:09Z,38,male,English,true,,,,,,master,yes,yes,stronglyAgree,yes,yes,no,yes,,,7,7,7,7
S2AjdfEprAvotpafe,TK23qoZSFJs3GysWD,gc7mRNb3EKLNXbWZR,2021-08-19T21:15:29Z,26,Female,English,true,,,,,,someCollege,yes,yes,stronglyAgree,"Yes, I thought it was confusing as I was not paying attention to if it was similar from round to round but I was paying more attention to the bar.",Absolutely and necessary.,No problems.  I feel the level of difficulty played for the same color of flowers used made it more interesting to be able to describe smaller details.,I felt it got easier to beat the clock after we learned how to describe the flowers to one another,,,7,7,7,7
9dYJRyTpxqG6PsT52,d337LduZWGNKuT3SA,qzSRSqEwDXuLRxceA,2021-08-19T21:16:49Z,21,Male,English,true,,,,,,someCollege,yes,yes,neutral,Yes,Did not use it,No,Yes,,,5,5,2,2
Q8seLm6HoNCPeY4eZ,eYcYiyzfHXxEtesyi,9YvhBapNfWcFwvvpX,2021-08-19T21:17:13Z,29,female,english,true,,,,,true,someCollege,yes,yes,neutral,yes,yes,"no, but i would like to participate again ",yes,,,4,4,4,4
rn8DfBLcdZPdWxihe,9YoiHjzccxpmwYwuj,qzSRSqEwDXuLRxceA,2021-08-19T21:17:56Z,28,male,english,true,,true,,,,highSchool,yes,yes,agree,,,,,,,4,4,6,6
Q9kbghAkWBwY47sbD,hGi7jdHAqTpYmkqFx,9YvhBapNfWcFwvvpX,2021-08-19T21:17:59Z,27,male,english,true,,,,,,master,yes,yes,stronglyAgree,very fair,very easy,no problem,there is enough time,,,7,6,7,7
mAGnuFw6XDRvzi5jF,it7SjjwhBH6tThCTA,qzSRSqEwDXuLRxceA,2021-08-19T21:18:22Z,25,Female,English ,,true,,,,,bachelor,no,yes,stronglyDisagree,Yes I do.,Yes there was,None,I feel that it was rushed.,,,3,3,2,2
