_id,batchId,playerId,stageId,roundId,gameId,createdAt,submittedAt
aEHHC4puqi6ixDwF5,k6Dgic2J2JCtEuXf4,DcFGZXX2uqjnZ2g8i,x3DZmRb5jRiNz2Ww5,ipQdvfcJqHCtdwiZQ,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,2021-08-20T19:02:11Z
fcwFMF8r2XdwEo4tn,k6Dgic2J2JCtEuXf4,GnFQtx3d8goxbppug,x3DZmRb5jRiNz2Ww5,ipQdvfcJqHCtdwiZQ,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,2021-08-20T19:02:05Z
2P59MxLtYzue2y95S,k6Dgic2J2JCtEuXf4,h3BnPjtKpH25c4rJJ,x3DZmRb5jRiNz2Ww5,ipQdvfcJqHCtdwiZQ,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,2021-08-20T19:02:01Z
NiECe8Zx5Tbp6niQX,k6Dgic2J2JCtEuXf4,DcFGZXX2uqjnZ2g8i,yb82GQF82ZwnLcJof,ipQdvfcJqHCtdwiZQ,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,
8SHpKSYGpabkEGeG3,k6Dgic2J2JCtEuXf4,GnFQtx3d8goxbppug,yb82GQF82ZwnLcJof,ipQdvfcJqHCtdwiZQ,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,
dDuYY53HHDpGDJmZv,k6Dgic2J2JCtEuXf4,h3BnPjtKpH25c4rJJ,yb82GQF82ZwnLcJof,ipQdvfcJqHCtdwiZQ,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,
EmHFi8esKgF9TtnKR,k6Dgic2J2JCtEuXf4,DcFGZXX2uqjnZ2g8i,LzgvTCs2D8nsujxeJ,a6oeYewcDC3DnvdTG,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,2021-08-20T19:02:22Z
kE543EsDeibCJp7Kp,k6Dgic2J2JCtEuXf4,GnFQtx3d8goxbppug,LzgvTCs2D8nsujxeJ,a6oeYewcDC3DnvdTG,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,2021-08-20T19:02:20Z
ZNYLoeKSpHWJvcW45,k6Dgic2J2JCtEuXf4,h3BnPjtKpH25c4rJJ,LzgvTCs2D8nsujxeJ,a6oeYewcDC3DnvdTG,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,2021-08-20T19:02:22Z
sTyH9jGtYFYpd7LXT,k6Dgic2J2JCtEuXf4,DcFGZXX2uqjnZ2g8i,icBEC2qRov7iirQDq,a6oeYewcDC3DnvdTG,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,
8Js4ADTnpW7tvgXJW,k6Dgic2J2JCtEuXf4,GnFQtx3d8goxbppug,icBEC2qRov7iirQDq,a6oeYewcDC3DnvdTG,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,
SgYvDXM2bk4xp9sMi,k6Dgic2J2JCtEuXf4,h3BnPjtKpH25c4rJJ,icBEC2qRov7iirQDq,a6oeYewcDC3DnvdTG,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,
spSJcfoSsHjGWmE2J,k6Dgic2J2JCtEuXf4,DcFGZXX2uqjnZ2g8i,QBGMSjgjM4XYyy8iJ,KDNDjGeugvHyuq7ff,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,2021-08-20T19:02:31Z
6myWtFPuw2i64TcCi,k6Dgic2J2JCtEuXf4,GnFQtx3d8goxbppug,QBGMSjgjM4XYyy8iJ,KDNDjGeugvHyuq7ff,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,2021-08-20T19:02:31Z
