_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt,data.log
x3DZmRb5jRiNz2Ww5,0,selection,Selection,2021-08-20T19:01:57Z,180,ipQdvfcJqHCtdwiZQ,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:01:57.457Z""}"
yb82GQF82ZwnLcJof,1,feedback,Feedback,2021-08-20T19:02:12Z,5,ipQdvfcJqHCtdwiZQ,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:02:12.084Z""}"
LzgvTCs2D8nsujxeJ,2,selection,Selection,2021-08-20T19:02:17Z,180,a6oeYewcDC3DnvdTG,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:02:17.556Z""}"
icBEC2qRov7iirQDq,3,feedback,Feedback,2021-08-20T19:02:23Z,5,a6oeYewcDC3DnvdTG,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:02:23.126Z""}"
QBGMSjgjM4XYyy8iJ,4,selection,Selection,2021-08-20T19:02:28Z,180,KDNDjGeugvHyuq7ff,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:02:28.576Z""}"
h6o4NvrsfwpecT7jY,5,feedback,Feedback,2021-08-20T19:02:32Z,5,KDNDjGeugvHyuq7ff,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:02:32.063Z""}"
j6fNW98iNcc9ccxfQ,6,selection,Selection,2021-08-20T19:02:37Z,180,vj2oRy6LXGncvLpSn,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:02:37.578Z""}"
vtKMjDaokzhSGSubK,7,feedback,Feedback,2021-08-20T19:02:41Z,5,vj2oRy6LXGncvLpSn,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:02:41.501Z""}"
2vcHYSETfoHoBxTv9,8,selection,Selection,2021-08-20T19:02:47Z,180,tpJJZL5zYq6XwfcHL,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:02:47.591Z""}"
wKSNsj6QTCFgnNugi,9,feedback,Feedback,2021-08-20T19:02:51Z,5,tpJJZL5zYq6XwfcHL,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:02:51.626Z""}"
t7L85PFnT5YXz3AB7,10,selection,Selection,2021-08-20T19:02:57Z,180,DisF8YJpwfEp96pHE,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:02:57.607Z""}"
ZAqELpYsoofQehwSx,11,feedback,Feedback,2021-08-20T19:03:01Z,5,DisF8YJpwfEp96pHE,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:03:00.937Z""}"
8eNzJt3bgZEuF3qut,12,selection,Selection,2021-08-20T19:03:06Z,180,fT5xj8gP2h3kjRN3q,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:03:06.673Z""}"
nLH6nsZajf9jYEodF,13,feedback,Feedback,2021-08-20T19:03:11Z,5,fT5xj8gP2h3kjRN3q,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:03:11.243Z""}"
mERwSe7MXCWN5rKvh,14,selection,Selection,2021-08-20T19:03:17Z,180,YLfNsX46ZipD94Lga,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:03:17.588Z""}"
Z8g4CqMdBNqKZaQxj,15,feedback,Feedback,2021-08-20T19:03:23Z,5,YLfNsX46ZipD94Lga,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:03:22.802Z""}"
mwR9rYbA6c23yhScn,16,selection,Selection,2021-08-20T19:03:28Z,180,qSujCX5pHj5aN8XcQ,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:03:28.600Z""}"
4T7Bq9B9pFH4BdXmt,17,feedback,Feedback,2021-08-20T19:03:31Z,5,qSujCX5pHj5aN8XcQ,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:03:31.116Z""}"
4dfJXcYLKJ6w9qgBD,18,selection,Selection,2021-08-20T19:03:36Z,180,uaJW2pnANiTEK9Shq,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:03:36.612Z""}"
d7FeZyD96J9kn8eAq,19,feedback,Feedback,2021-08-20T19:03:39Z,5,uaJW2pnANiTEK9Shq,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:03:39.317Z""}"
2x6wfcBEBcB3n6GAi,20,selection,Selection,2021-08-20T19:03:45Z,180,gXN4onhXJgSSnJQJX,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:03:45.612Z""}"
LgS5xnqj2appbZDDZ,21,feedback,Feedback,2021-08-20T19:03:48Z,5,gXN4onhXJgSSnJQJX,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:03:48.106Z""}"
LQL5SCyWnzyqBcnnE,22,selection,Selection,2021-08-20T19:03:54Z,180,2L5agdLC6ubzedS3S,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:03:53.746Z""}"
5wrZPwRb9oqjAnMmQ,23,feedback,Feedback,2021-08-20T19:03:56Z,5,2L5agdLC6ubzedS3S,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:03:55.793Z""}"
n6hMdDrspPYs7JSyE,24,selection,Selection,2021-08-20T19:04:01Z,180,iqxfyPQLzzzPhDMig,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:04:01.623Z""}"
QakC98s3kacteq7RA,25,feedback,Feedback,2021-08-20T19:04:04Z,5,iqxfyPQLzzzPhDMig,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:04:03.917Z""}"
zesa94TSudQuHZi9g,26,selection,Selection,2021-08-20T19:04:09Z,180,ALX94yvxaNDFv3TjF,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:04:09.637Z""}"
8c7N6MB7g6kcbyhqc,27,feedback,Feedback,2021-08-20T19:04:13Z,5,ALX94yvxaNDFv3TjF,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:04:12.811Z""}"
Xnq8ybP4Qiz4sbdMm,28,selection,Selection,2021-08-20T19:04:19Z,180,MyCbqDi7mc5Pi5ymT,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:04:18.867Z""}"
gYwSecZYj8dudGLfx,29,feedback,Feedback,2021-08-20T19:04:21Z,5,MyCbqDi7mc5Pi5ymT,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:04:21.142Z""}"
aDt7W34uQin7GJ552,30,selection,Selection,2021-08-20T19:04:26Z,180,sBG4BzmWTi4mWKEJA,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:04:26.652Z""}"
Ay7nW6rjwPJQs3YHa,31,feedback,Feedback,2021-08-20T19:04:29Z,5,sBG4BzmWTi4mWKEJA,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:04:29.064Z""}"
psfEGT4cYjMPc2zBW,32,selection,Selection,2021-08-20T19:04:34Z,180,5wsJz4rH4WibKi9pM,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:04:34.690Z""}"
o4LWbKLgo7yvq7No5,33,feedback,Feedback,2021-08-20T19:04:36Z,5,5wsJz4rH4WibKi9pM,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:04:36.605Z""}"
GfoofaiM2KQoLEnLQ,34,selection,Selection,2021-08-20T19:04:42Z,180,SNgFY7tqJCzCw8BWY,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:04:42.645Z""}"
JqhKj4dc2KWjD66cM,35,feedback,Feedback,2021-08-20T19:04:45Z,5,SNgFY7tqJCzCw8BWY,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:04:45.336Z""}"
hXEzcgfEWxLhD3dQZ,36,selection,Selection,2021-08-20T19:04:51Z,180,WgHvDFegiZ7Xs3GDn,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:04:51.643Z""}"
sC8yCz2iceGjhgtcx,37,feedback,Feedback,2021-08-20T19:04:54Z,5,WgHvDFegiZ7Xs3GDn,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:04:54.346Z""}"
fJtHWBSqErv9EmmqS,38,selection,Selection,2021-08-20T19:05:00Z,180,anQqJNhXvgifpnzKP,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T19:05:00.657Z""}"
zbe5riRcMvRMHLxuE,39,feedback,Feedback,2021-08-20T19:05:03Z,5,anQqJNhXvgifpnzKP,TkAYES9iNiAnFtJFM,2021-08-20T19:01:56Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T19:05:03.386Z""}"
