_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
AZ8XaRijgTpvBwkqX,1,simple,true,2021-07-23T16:31:27Z,2021-07-23T16:40:28Z,failed,,YmfiWLZCjuweB8ubM,2021-07-23T16:31:11Z,
re5JQxQhxsdbATR2E,2,simple,true,2021-07-23T16:31:28Z,2021-07-23T16:44:21Z,finished,,qHreQuZxvjnhsR9xR,2021-07-23T16:31:14Z,
paHoEJPXuoLtJLTAs,3,simple,true,2021-07-23T16:31:29Z,2021-07-23T16:42:24Z,failed,,xgdZ83eD2XxDzFXg7,2021-07-23T16:31:15Z,
ysbTL4yuXeKeJaEQp,4,simple,true,2021-07-23T16:31:29Z,2021-07-23T16:49:41Z,finished,,mrrrpRMW5oTozdfRm,2021-07-23T16:31:15Z,
uhXvuWH64oYTmJHDR,5,simple,true,2021-07-23T16:31:30Z,2021-07-23T16:49:32Z,finished,,LFpE6ieAMxm2KGjrw,2021-07-23T16:31:16Z,
C5Ebbdi2Azih8mb2S,6,simple,true,2021-07-23T16:36:51Z,2021-07-23T16:54:58Z,finished,,ASeBAAoXj8gJBJ8w3,2021-07-23T16:36:46Z,
AdhCLBfpXsNkg48LM,7,simple,true,2021-07-23T16:36:51Z,2021-07-23T16:54:57Z,failed,,MXgWvTXxhRYZka4fo,2021-07-23T16:36:48Z,
RaaYyxFJC2sChD7q5,8,simple,true,2021-07-23T16:36:52Z,2021-07-23T16:53:12Z,failed,,Ex5iSXjrMTp3S6zqY,2021-07-23T16:36:49Z,
4pGqTxD67hTdnnihR,9,simple,true,2021-07-23T16:36:52Z,2021-07-23T17:02:56Z,finished,,pGQMu9KhuEYRzYo5x,2021-07-23T16:36:49Z,
yPshAtDdbH9LX4m2T,10,simple,true,2021-07-23T16:36:53Z,2021-07-23T17:03:08Z,finished,,Qb68YqXhzBJhAFxaE,2021-07-23T16:36:50Z,
gaXPfRHXM8HwbX5iW,11,simple,true,2021-07-23T16:38:30Z,2021-07-23T17:04:20Z,finished,,3LgkjpqtmuKooAMZM,2021-07-23T16:38:28Z,
pirZCZNbhfcuGzLs6,12,simple,true,2021-07-23T16:52:10Z,2021-07-23T17:10:05Z,finished,,39CAZTKLsCKbbfEgn,2021-07-23T16:52:08Z,
JTs7Q9Cc4DCXDJmrY,13,simple,true,2021-07-23T16:52:11Z,2021-07-23T17:08:10Z,finished,,qQhHk4h8omiiqvB4L,2021-07-23T16:52:10Z,
g5CTznY38hB9nGmzB,14,simple,true,2021-07-23T16:52:16Z,2021-07-23T17:08:22Z,finished,,zEauNYLp4kXNxJwnB,2021-07-23T16:52:15Z,
x4yh78atrhHHgkP2X,15,simple,true,2021-07-23T16:52:22Z,2021-07-23T17:07:05Z,failed,,RvTMRhiHEBcZHTWQx,2021-07-23T16:52:17Z,
wEscrAvPbEcGnLGP7,16,simple,true,2021-07-23T16:52:22Z,2021-07-23T17:13:03Z,finished,,hs4ay3QceE9oxhcov,2021-07-23T16:52:18Z,
KLNbpbvoytn4TnMab,17,simple,true,2021-07-23T16:52:23Z,2021-07-23T17:13:06Z,finished,,hfwq4ugmNyCRzKeMr,2021-07-23T16:52:19Z,
T5J4Jh9nBF6dN4MWd,18,simple,true,2021-07-23T16:52:23Z,2021-07-23T17:15:27Z,finished,,vQvATm9LmWkXxQ8E6,2021-07-23T16:52:20Z,
BiDq6id65jAME2reZ,19,simple,true,2021-07-23T16:52:23Z,2021-07-23T17:14:49Z,finished,,PpM5fquuz928vcQXT,2021-07-23T16:52:21Z,
XGFBmCngrHzfsxFeZ,20,simple,true,2021-07-23T16:52:28Z,2021-07-23T17:15:58Z,finished,,yChiLy8KMLoXtoCyh,2021-07-23T16:52:27Z,
GL82Tx9fimHJct2pG,21,simple,false,2021-07-23T17:07:57Z,2021-07-23T17:09:28Z,cancelled,,nissSL5k8AJD4kj2j,2021-07-23T17:07:56Z,
