_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
kYjuvT8vtjz7mYAsi,1,simple,true,2021-08-20T17:06:20Z,2021-08-20T17:18:59Z,finished,,hJKEAjqtPge8wn37L,2021-08-20T17:06:03Z,
9jNSYMvWgyshEHRsn,2,simple,true,2021-08-20T17:06:21Z,2021-08-20T17:19:58Z,finished,,2F7o2m2ZZj2T4EFzo,2021-08-20T17:06:04Z,
c98sFwpkjjFYmvyHz,3,simple,true,2021-08-20T17:06:21Z,2021-08-20T17:23:00Z,finished,,ixFj3nhkjNJj4db2i,2021-08-20T17:06:04Z,
ijXCnqxutPAA7b8Ea,4,simple,true,2021-08-20T17:06:22Z,2021-08-20T17:21:56Z,finished,,ztfkP8Mmwm6dy6eve,2021-08-20T17:06:05Z,
KYgAvqjvAyBiLgbRk,5,simple,true,2021-08-20T17:06:22Z,2021-08-20T17:20:42Z,finished,,aSeqwy83KvRSbvRSS,2021-08-20T17:06:06Z,
3ngxgv56v9ferWtzM,6,simple,true,2021-08-20T17:35:03Z,2021-08-20T17:45:43Z,finished,,qp6HK4n2ugpCtonsZ,2021-08-20T17:34:56Z,
shR7v3vsqmhhvs9CD,7,simple,true,2021-08-20T17:35:03Z,2021-08-20T17:47:38Z,finished,,hGRcYSxw4oXPpuiDB,2021-08-20T17:34:57Z,
seQBxdukiCWHDKa2e,8,simple,true,2021-08-20T17:35:04Z,2021-08-20T17:48:41Z,finished,,oRHBxXZ2WXgeQaySj,2021-08-20T17:34:58Z,
FdvRcCcrTGuzkvfum,9,simple,true,2021-08-20T17:35:04Z,2021-08-20T17:47:30Z,finished,,qNm8xpZygmCnYj8rp,2021-08-20T17:34:59Z,
2Xp9JWP4w6RDS7kq5,10,simple,true,2021-08-20T17:35:05Z,2021-08-20T17:49:17Z,finished,,mbMCuXP8H4R4x2BHM,2021-08-20T17:35:00Z,
