_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.feedback,data.time,data.player1,data.player2,data.p1nice,data.p2nice,data.p1again,data.p2again
M6TufGA24yQhqTQLk,9MoiLRqn7HPwSqgrR,hJKEAjqtPge8wn37L,2021-08-20T17:20:11Z,32,male,english,true,,,,,,highSchool,yes,yes,agree,Yesa,No,Yes,,,7,7,7,7
tN2q5KXPW9KdLoCdN,DsmzPsys378ouAig3,,2021-08-20T17:20:25Z,19,male,English ,true,,,,,,highSchool,yes,yes,neutral,i didnt get to play,didnt get to play,i didnt get to play,,,4,4,4,4
YB8HfsDKPSuBK2Dut,ibLuXBkRAXPSqC7y6,hJKEAjqtPge8wn37L,2021-08-20T17:20:58Z,36,Female ,English ,true,,,,,,master,yes,no,neutral,Yes,No,Yes,,,4,4,4,4
4eBreX6qDFsp6MWbb,Y7BwxwRbxbP6Rh8X2,hJKEAjqtPge8wn37L,2021-08-20T17:21:05Z,22,female,English,true,,,,,,someCollege,yes,yes,stronglyAgree,yes,no ,yes,,,7,7,7,7
68CqFWwNcCpcriqY2,Mb8ADEEmP3ZmxxkvW,,2021-08-20T17:21:41Z,25,Male,English,true,,,,,,bachelor,no,no,neutral,Yes,Didn't have enough time to enter ,No,,,4,4,4,4
rTpxA6Sve4uWQSfoj,AuDmJeBi8t7fuKPx7,aSeqwy83KvRSbvRSS,2021-08-20T17:21:56Z,34,male,english,true,,,,,,bachelor,yes,no,neutral,Yes,No,Yes,,,4,4,4,4
kbusoWeRHdL6CTL9v,3anrrcdtZ5d4PyStT,2F7o2m2ZZj2T4EFzo,2021-08-20T17:22:08Z,29,Male,English,true,,,,,,someCollege,yes,yes,agree,Yes.,No.,Yes.,,,7,7,7,7
vji9cLuJLm4HCwGED,Z4kfRmvwLM6cr47LT,aSeqwy83KvRSbvRSS,2021-08-20T17:22:14Z,30,Male,English,,true,,,,,master,yes,yes,agree,Somehow,No,Yes,,,5,5,5,5
Wjy9bkpLAM4WM4478,SCnLaRWo7fh37cMg6,2F7o2m2ZZj2T4EFzo,2021-08-20T17:23:39Z,40,Male,English,true,,,,,,master,yes,no,neutral,It says on the survey that its £4.80 per hour but not sure it took 45 mins.,Half way through the page went white and didn't load the next round - I refreshed the page and it continued on as normal.,Yes,,,4,4,4,4
XSet7GKv7wQ5DXdaP,aMMzXKuy8u6TmtYrN,2F7o2m2ZZj2T4EFzo,2021-08-20T17:24:03Z,20,Female,English,true,,,,,,someCollege,yes,yes,stronglyAgree,"I do, thank you",No problems :) was a lot of fun,I did,,,7,6,7,7
tFWWgAi4w6iX5rWwd,Pi9atkCehFgDr8aYN,ztfkP8Mmwm6dy6eve,2021-08-20T17:24:37Z,,,,true,,,,,,someCollege,yes,no,neutral,yes it was fine,none at all,lenty of time,,,5,5,4,5
x2KF5NXwPff3mf9vE,HwoMovMdHJmbAckv9,aSeqwy83KvRSbvRSS,2021-08-20T17:24:46Z,39,male,English,true,,,,,,highSchool,yes,yes,stronglyDisagree,I do. I see the potential bonus could have been great but sadly someone disconnected. ,"I had some issues right away. The screen seemed to keep refreshing and then on one round it just went blank. I had to open the study in a new window to continue, then someone else quit. I think they may have had the same problem and not known to try opening it in a new window.",Yes,,,4,4,4,4
HaJdZai2Fbsz8bvbn,rdy8pn4MpwgznGpRK,ixFj3nhkjNJj4db2i,2021-08-20T17:24:49Z,37,male,,true,,,,,,highSchool,yes,no,neutral,yes,no,yes,,,4,4,5,5
9Wyrd6KT3gAa9FKcm,aGof5GaMDuQM25xSc,ixFj3nhkjNJj4db2i,2021-08-20T17:24:58Z,28,Female,English,true,,,,,,someCollege,yes,yes,agree,Yes i do,The study glitched a bit and loading times lagged.,Yes more than enough time,,,6,6,6,6
eig8bbBLvz2peza3m,rJfqdnPq2hfdwWdLL,ztfkP8Mmwm6dy6eve,2021-08-20T17:25:07Z,24,male,english,true,,,,,,bachelor,yes,yes,agree,yes,n/a,yes,,,5,6,7,7
cqLSemtYZaaK4NnxL,68Tew82Qq7SXmNPZT,ixFj3nhkjNJj4db2i,2021-08-20T17:26:19Z,,,,true,,,,,,lessHighSchool,yes,yes,neutral,sure didnt see nothing wrong with the game and how it worked,no,yes,,,7,7,7,7
NWmaeCAiam68p8SG9,aGBRxJQY2FY2k3vvR,ztfkP8Mmwm6dy6eve,2021-08-20T17:28:05Z,21,Male,English,true,,,,,,bachelor,yes,yes,neutral,Yes due to our groups performance not being the best. ,,"Plenty of time, if not too much.",,,4,4,5,5
krMppK4C5ZeQ4PeKX,JvGLovcH3Aa4yGbQQ,,2021-08-20T17:29:02Z,25,Male,,,true,,,,,bachelor,yes,yes,agree,Yes,No,Yes,,,5,5,5,6
aEkKEpSsjE38yE5fk,3wbhiiwAHAxz8z5EL,,2021-08-20T17:45:44Z,49,female,english,,true,,,,,bachelor,yes,yes,neutral,"Yes, I wish I got to play the game.",None.,"Yes, shouldn't have taken too long to chose a flower. ",,,4,4,4,4
LjErmyNDwbeSBZBHP,F9bv4zMkmYKaXyf9N,qp6HK4n2ugpCtonsZ,2021-08-20T17:47:39Z,23,Female,English,true,,,,,,bachelor,yes,no,neutral,,,,,,3,5,4,4
NPM3oMaz3gZxngN3j,GjboTxjwCnTi4WEWM,qp6HK4n2ugpCtonsZ,2021-08-20T17:48:08Z,30,Male,English,true,,,,,,bachelor,yes,yes,disagree,Absolutely,Thanks for letting me do it,Plenty of time,,,4,7,2,7
R35c7m8kxPe94FHXn,GcddPKwivL4JFWX6r,qp6HK4n2ugpCtonsZ,2021-08-20T17:48:58Z,,,,,,,,,,bachelor,yes,yes,agree,Yes.,No.,Yes.,,,7,7,7,7
BeTeAhgv5GgQiN2sf,Q9bESc8hgPYqnzx2v,qNm8xpZygmCnYj8rp,2021-08-20T17:49:04Z,31,Female,English,true,,,,,,someCollege,yes,yes,agree,Yes,No,Yes,,,4,4,4,4
aecs38nHycWsYaZrQ,ysMH6WmAmuTADCu5b,qNm8xpZygmCnYj8rp,2021-08-20T17:49:20Z,38,MALE,ENGLISH,true,,,,,,highSchool,yes,yes,neutral,IT SEEMS FAIRLY EVEN,NO,YES,,,4,4,5,5
6PewppTYg3Ktvu2iY,AAKp4BwY6iiD2nkBF,hGRcYSxw4oXPpuiDB,2021-08-20T17:49:55Z,22,Male,English,true,,,,,,someCollege,no,yes,neutral,Yes,No issues.,Yes.,,,4,4,5,5
WbjqBTCKZDR3RixLE,WFjQ5udMzgWg34aWz,oRHBxXZ2WXgeQaySj,2021-08-20T17:50:28Z,,,,true,,,,,,someCollege,yes,yes,neutral,yes,no,yes,,,5,3,7,1
ERZvkMzDouw5KftC7,LobtN9LAFzJDcwYX3,qNm8xpZygmCnYj8rp,2021-08-20T17:50:34Z,23,Female,English,true,,,,,,master,yes,yes,agree,"Yes, feel it was a game of luck",Page would often refresh when instructions were given and would take you back to the top of the page.,Yes plenty of time,,,5,5,5,4
9iDR2JdBkSbabDgg9,CS4GSXSEz58nvL3i7,oRHBxXZ2WXgeQaySj,2021-08-20T17:50:44Z,24,female,English,true,,,,,,master,yes,yes,neutral,Yes.,No.,Yes.,,,5,6,4,6
GQjxKzBS9T557Cg9Y,Jm4BKLLPKhhmWfeGh,oRHBxXZ2WXgeQaySj,2021-08-20T17:50:49Z,,Female,British,true,,,,,,someCollege,yes,yes,agree,Yes,Not really,Yes almost too much,,,4,4,3,4
zZSqZuDK5rcsbWXAW,3ASftqExPSXeJJA23,hGRcYSxw4oXPpuiDB,2021-08-20T17:50:57Z,20,Non-binary,English,true,,,,,,someCollege,yes,no,neutral,"I feel it was relatively random, so yes. ",No.,Yes.,,,4,4,4,4
L4GSuRoFRrroSM5G8,eWmchrWjpfx42wxKm,mbMCuXP8H4R4x2BHM,2021-08-20T17:51:34Z,18,male,english,,,true,,,,highSchool,yes,yes,neutral,it was quite fair yes,no,yes i had plenty of time,,,4,5,3,5
P8Tq4JAYnhRzW8qhS,YRXAcJsKMD4NrXF4h,hGRcYSxw4oXPpuiDB,2021-08-20T17:53:18Z,25,Female,English,true,,,,,,bachelor,yes,no,neutral,I guess I would say that the pay was fair based on the instructions we were given,My screen did not load for one of the games and I had to reload the page. I wasn't sure that it would even reload and was worried I was kicked out of the study. I also don't think it is great to tell participants that the first people to complete the instructions and quiz will be accepted into the study because people are then more likely to rush through the instructions. ,"No, I felt that the rounds went rather quickly and was not prepared for them to be so fast. ",,,4,4,4,4
YmtSuLRDJQCBL8GdX,Pk2f6o9n4Pfqbuf6G,mbMCuXP8H4R4x2BHM,2021-08-20T17:54:31Z,65,Female,English,true,,,,,,bachelor,yes,yes,neutral,Yes ,"No problems but I am a UK citizen, so it's no use putting 'US' before 'bachelors degree' - I have a BA so I ticked that, but it is a UK degree",Plenty - don't need lots of time when you can't 'see' what the other people are doing...,,,4,4,5,5
bwNKofSdGGvPaR5Do,DSWYfiXRWqEQM8SwB,mbMCuXP8H4R4x2BHM,2021-08-20T17:56:43Z,45,male,English,true,,,,,,someCollege,yes,yes,agree,yes,page refreshes sometimes,yes,,,4,4,7,7
