_id,batchId,playerId,stageId,roundId,gameId,createdAt,submittedAt
NZhNp5ce4ZAjan6kQ,kYjuvT8vtjz7mYAsi,9MoiLRqn7HPwSqgrR,nPfjxbQoYYzqJNpHC,uCsR4iMcR5hAyJjj9,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:15:22Z
JZWgiZexQ3HswviCs,kYjuvT8vtjz7mYAsi,Y7BwxwRbxbP6Rh8X2,nPfjxbQoYYzqJNpHC,uCsR4iMcR5hAyJjj9,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:15:23Z
NbvASnQn46jappm7G,kYjuvT8vtjz7mYAsi,ibLuXBkRAXPSqC7y6,nPfjxbQoYYzqJNpHC,uCsR4iMcR5hAyJjj9,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:15:28Z
RSC3rH8uokH6Z9chH,kYjuvT8vtjz7mYAsi,9MoiLRqn7HPwSqgrR,v2T43Jkjpi6TsYF2u,uCsR4iMcR5hAyJjj9,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
pRtEqEEMhQT9e9ghZ,kYjuvT8vtjz7mYAsi,Y7BwxwRbxbP6Rh8X2,v2T43Jkjpi6TsYF2u,uCsR4iMcR5hAyJjj9,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
v7LAoMDqFLNENj8G7,kYjuvT8vtjz7mYAsi,ibLuXBkRAXPSqC7y6,v2T43Jkjpi6TsYF2u,uCsR4iMcR5hAyJjj9,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
bSWeBEuWb5bqsxjiA,kYjuvT8vtjz7mYAsi,9MoiLRqn7HPwSqgrR,6fHnoFY6E3R82fDvp,zbLnEnPRstTafavk3,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:15:37Z
6sShTFaf53aBiTLf3,kYjuvT8vtjz7mYAsi,Y7BwxwRbxbP6Rh8X2,6fHnoFY6E3R82fDvp,zbLnEnPRstTafavk3,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:15:39Z
9e6zYNbLnRdptPB2D,kYjuvT8vtjz7mYAsi,ibLuXBkRAXPSqC7y6,6fHnoFY6E3R82fDvp,zbLnEnPRstTafavk3,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:15:38Z
KGftHh5nwYhfyaDqw,kYjuvT8vtjz7mYAsi,9MoiLRqn7HPwSqgrR,AcWw2fvgqz98nDmwT,zbLnEnPRstTafavk3,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
hYY4FehtAQkiSDnHY,kYjuvT8vtjz7mYAsi,Y7BwxwRbxbP6Rh8X2,AcWw2fvgqz98nDmwT,zbLnEnPRstTafavk3,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
S76LJkv5JPyWY4yiv,kYjuvT8vtjz7mYAsi,ibLuXBkRAXPSqC7y6,AcWw2fvgqz98nDmwT,zbLnEnPRstTafavk3,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
GB4xaqfmn9TCtxyJc,kYjuvT8vtjz7mYAsi,9MoiLRqn7HPwSqgrR,pmozPvEkogtbtM8eC,gSFY27zzQxgHG8B3R,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:15:48Z
WnATYXcdt5m5KC2he,kYjuvT8vtjz7mYAsi,Y7BwxwRbxbP6Rh8X2,pmozPvEkogtbtM8eC,gSFY27zzQxgHG8B3R,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:15:48Z
6ccJuFrxJftPTD8T6,kYjuvT8vtjz7mYAsi,ibLuXBkRAXPSqC7y6,pmozPvEkogtbtM8eC,gSFY27zzQxgHG8B3R,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:15:49Z
zfduhBmQdP5mmunvz,kYjuvT8vtjz7mYAsi,9MoiLRqn7HPwSqgrR,Sd4rD9YaaKuNpRb77,gSFY27zzQxgHG8B3R,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
LgWykHNDW5SxJSvEH,kYjuvT8vtjz7mYAsi,Y7BwxwRbxbP6Rh8X2,Sd4rD9YaaKuNpRb77,gSFY27zzQxgHG8B3R,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
u224Kmogfxbp5fWtZ,kYjuvT8vtjz7mYAsi,ibLuXBkRAXPSqC7y6,Sd4rD9YaaKuNpRb77,gSFY27zzQxgHG8B3R,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
dXh9Mxf7hAqFvMPwB,kYjuvT8vtjz7mYAsi,9MoiLRqn7HPwSqgrR,mkrmHr5KqeQ7yb2h8,sJs8ptj3wnxbNyX4s,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:15:58Z
u9iFnntRW7XqTFS5X,kYjuvT8vtjz7mYAsi,Y7BwxwRbxbP6Rh8X2,mkrmHr5KqeQ7yb2h8,sJs8ptj3wnxbNyX4s,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:15:58Z
QDcbNk2FngSXsrXAe,kYjuvT8vtjz7mYAsi,ibLuXBkRAXPSqC7y6,mkrmHr5KqeQ7yb2h8,sJs8ptj3wnxbNyX4s,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:15:59Z
usTAZkyEePfPQSqdw,kYjuvT8vtjz7mYAsi,9MoiLRqn7HPwSqgrR,Eq83qowp34GABkQKP,sJs8ptj3wnxbNyX4s,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
2DHoKcxQoc3KBWjeq,kYjuvT8vtjz7mYAsi,Y7BwxwRbxbP6Rh8X2,Eq83qowp34GABkQKP,sJs8ptj3wnxbNyX4s,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
ueTSDeQ4tmnMvD3Po,kYjuvT8vtjz7mYAsi,ibLuXBkRAXPSqC7y6,Eq83qowp34GABkQKP,sJs8ptj3wnxbNyX4s,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
s2LSJSPEtioHtGNkf,kYjuvT8vtjz7mYAsi,9MoiLRqn7HPwSqgrR,jcJxPBxEZnkcQ4Esu,pRJb2E2H2a2DeSMTZ,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:16:08Z
psG3YTuT6Xci7hdTg,kYjuvT8vtjz7mYAsi,Y7BwxwRbxbP6Rh8X2,jcJxPBxEZnkcQ4Esu,pRJb2E2H2a2DeSMTZ,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:16:08Z
w8nD3aDFovZvxL2jm,kYjuvT8vtjz7mYAsi,ibLuXBkRAXPSqC7y6,jcJxPBxEZnkcQ4Esu,pRJb2E2H2a2DeSMTZ,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:16:08Z
2MuRgc7xinjeS8Hus,kYjuvT8vtjz7mYAsi,9MoiLRqn7HPwSqgrR,GMpftBYRNW6nb7obo,pRJb2E2H2a2DeSMTZ,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
aBX2jt8j5WJw7EMFL,kYjuvT8vtjz7mYAsi,Y7BwxwRbxbP6Rh8X2,GMpftBYRNW6nb7obo,pRJb2E2H2a2DeSMTZ,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
GoKSSGfNK9udYBKyz,kYjuvT8vtjz7mYAsi,ibLuXBkRAXPSqC7y6,GMpftBYRNW6nb7obo,pRJb2E2H2a2DeSMTZ,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
akzSFFTczPC3q9FdL,kYjuvT8vtjz7mYAsi,9MoiLRqn7HPwSqgrR,qaxxdCDBHwRj35pmH,Cq5pE3cjfrHbRDyop,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:16:16Z
sf44cHH8jp4mueYEp,kYjuvT8vtjz7mYAsi,Y7BwxwRbxbP6Rh8X2,qaxxdCDBHwRj35pmH,Cq5pE3cjfrHbRDyop,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:16:17Z
LziE54AfsGX7us4Fp,kYjuvT8vtjz7mYAsi,ibLuXBkRAXPSqC7y6,qaxxdCDBHwRj35pmH,Cq5pE3cjfrHbRDyop,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:16:17Z
JoL6Skt97Ftd2orda,kYjuvT8vtjz7mYAsi,9MoiLRqn7HPwSqgrR,ZuNmxt9xde83ptpg6,Cq5pE3cjfrHbRDyop,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
FNDcWvMn8nkpn2qf3,kYjuvT8vtjz7mYAsi,Y7BwxwRbxbP6Rh8X2,ZuNmxt9xde83ptpg6,Cq5pE3cjfrHbRDyop,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
fWSLdMLHdjZwAxrYr,kYjuvT8vtjz7mYAsi,ibLuXBkRAXPSqC7y6,ZuNmxt9xde83ptpg6,Cq5pE3cjfrHbRDyop,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
N72Rjt8ntc8m3zAxh,kYjuvT8vtjz7mYAsi,9MoiLRqn7HPwSqgrR,PBMmY7PX8bGHFxtGC,M9FFYCHzn8kTaiiqg,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:16:25Z
3ZZST74fQQBKMvzM4,kYjuvT8vtjz7mYAsi,Y7BwxwRbxbP6Rh8X2,PBMmY7PX8bGHFxtGC,M9FFYCHzn8kTaiiqg,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:16:25Z
CNdqEKuC9E4rbb9Ag,kYjuvT8vtjz7mYAsi,ibLuXBkRAXPSqC7y6,PBMmY7PX8bGHFxtGC,M9FFYCHzn8kTaiiqg,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,2021-08-20T17:16:27Z
SXJZ6gyyRAeRSWE69,kYjuvT8vtjz7mYAsi,9MoiLRqn7HPwSqgrR,qyttJGoFPb9qHpHhw,M9FFYCHzn8kTaiiqg,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,
