_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt,data.log
nPfjxbQoYYzqJNpHC,0,selection,Selection,2021-08-20T17:15:18Z,180,uCsR4iMcR5hAyJjj9,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T17:15:17.748Z""}"
v2T43Jkjpi6TsYF2u,1,feedback,Feedback,2021-08-20T17:15:29Z,5,uCsR4iMcR5hAyJjj9,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T17:15:29.160Z""}"
6fHnoFY6E3R82fDvp,2,selection,Selection,2021-08-20T17:15:34Z,180,zbLnEnPRstTafavk3,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T17:15:34.632Z""}"
AcWw2fvgqz98nDmwT,3,feedback,Feedback,2021-08-20T17:15:40Z,5,zbLnEnPRstTafavk3,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T17:15:39.925Z""}"
pmozPvEkogtbtM8eC,4,selection,Selection,2021-08-20T17:15:45Z,180,gSFY27zzQxgHG8B3R,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T17:15:45.638Z""}"
Sd4rD9YaaKuNpRb77,5,feedback,Feedback,2021-08-20T17:15:50Z,5,gSFY27zzQxgHG8B3R,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T17:15:50.044Z""}"
mkrmHr5KqeQ7yb2h8,6,selection,Selection,2021-08-20T17:15:55Z,180,sJs8ptj3wnxbNyX4s,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T17:15:55.644Z""}"
Eq83qowp34GABkQKP,7,feedback,Feedback,2021-08-20T17:15:59Z,5,sJs8ptj3wnxbNyX4s,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T17:15:59.299Z""}"
jcJxPBxEZnkcQ4Esu,8,selection,Selection,2021-08-20T17:16:05Z,180,pRJb2E2H2a2DeSMTZ,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-08-20T17:16:05.648Z""}"
GMpftBYRNW6nb7obo,9,feedback,Feedback,2021-08-20T17:16:09Z,5,pRJb2E2H2a2DeSMTZ,hJKEAjqtPge8wn37L,2021-08-20T17:15:16Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-08-20T17:16:08.939Z""}"
