_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
nW5oFTcWi6m8pmWNp,1,simple,true,2021-08-18T17:50:09Z,2021-08-18T18:15:32Z,finished,,cK5bFKgBKPiq4oCki,2021-08-18T17:49:08Z,
vPJh8QvJeBP5rQgDJ,2,simple,true,2021-08-18T17:50:10Z,2021-08-18T18:13:55Z,finished,,gHkmdWtt4MSwdrHgv,2021-08-18T17:49:10Z,
sbejGm8TKaxqkvas3,3,simple,true,2021-08-18T17:50:11Z,2021-08-18T18:31:45Z,finished,,aM9s2sP7CMRTR6R43,2021-08-18T17:49:10Z,
ek54ttd8LYjzbB2RR,4,simple,true,2021-08-18T17:50:11Z,2021-08-18T18:23:32Z,finished,,TcPmFDfHk3H2fXWcx,2021-08-18T17:49:11Z,
ByWJB2iCCYr2u5Sj9,5,simple,true,2021-08-18T17:50:12Z,2021-08-18T18:44:39Z,finished,,tCjrEveh73HL9HFSM,2021-08-18T17:49:13Z,
5qMgADo6NbWQ7H3ka,6,simple,false,2021-08-18T17:51:05Z,,cancelled,,RueyAR78QC3TaNfvT,2021-08-18T17:50:38Z,2021-08-18T17:51:17Z
RfHFL9Mjs6ETS6iz4,7,simple,true,2021-08-18T19:00:25Z,2021-08-18T19:14:07Z,finished,,y2BbwSMKzt67yNpbh,2021-08-18T19:00:20Z,
ZYTdbahTTyHDQaozA,8,simple,true,2021-08-18T19:00:26Z,2021-08-18T19:13:56Z,finished,,Dn8i4ng4g9axyopCX,2021-08-18T19:00:22Z,
YYAnznEdpmHtSBcEM,9,simple,true,2021-08-18T19:00:27Z,2021-08-18T19:22:45Z,finished,,tyahSKb2QMioA7SQ6,2021-08-18T19:00:23Z,
y3NEtzacnHEFg3ibk,10,simple,true,2021-08-18T19:00:27Z,2021-08-18T19:59:33Z,finished,,stGSMX34yNZ9MiK2N,2021-08-18T19:00:24Z,
FZAJns4c9LnTttoo8,11,simple,true,2021-08-18T19:00:28Z,2021-08-18T19:35:39Z,finished,,7qCsiS5gNiMqqKAHg,2021-08-18T19:00:24Z,
