_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.chatUseful,data.feedback,data.time,data.player1,data.player2,data.p1nice,data.p2nice,data.p1again,data.p2again
vv2JRt22b7xeWap5j,bCeAhfgRzWT7B5BbC,,2021-08-18T18:11:55Z,47,male,english,true,,,,,,master,yes,yes,agree,it was good,yes,no,yes,,,7,6,7,5
df7cyuoRA3gXBwD4L,8mbK2KccBQtjdN6C8,,2021-08-18T18:12:57Z,47,male,english,true,,,,,,master,yes,yes,neutral,yes,everything,no,yes,,,7,7,7,7
jvwXtAAHEDrhnAuy3,Z2joquDWbEZGqQbBg,gHkmdWtt4MSwdrHgv,2021-08-18T18:16:29Z,29,female,english,true,,,true,,,bachelor,yes,yes,agree,yes,yes,,yes,,,7,7,7,4
oS3D2GiGHzqFQ4gow,hMLMoqLmXm5BtnLBG,gHkmdWtt4MSwdrHgv,2021-08-18T18:16:59Z,,,,true,,,,,,someCollege,yes,yes,agree,little low ,yes,no ,yes,,,5,3,7,3
E7vXcYXg8jfZg5btC,QxEW5vPLSHZusyB8n,cK5bFKgBKPiq4oCki,2021-08-18T18:17:39Z,18,Female,English,true,,,,,,highSchool,yes,yes,stronglyAgree,Yes,Yes,No,Yes,,,7,7,7,6
wJas3WNfHFrAybgJT,KeFzoZMJA8QdqxspA,cK5bFKgBKPiq4oCki,2021-08-18T18:19:26Z,38,Male,English,true,,,,,,bachelor,yes,yes,agree,yes,yes very easy,none,more than enough,,,7,7,5,5
JpFJdbnTyGBWGfNqL,8764R4gkq9ZG4mYvr,cK5bFKgBKPiq4oCki,2021-08-18T18:19:47Z,43,Male,english,true,,,,,,bachelor,yes,yes,agree,Yes,Easy,no,lots of time for a single choice.,,,6,5,5,6
M66gRFzJ5MyC8cRHi,jFnzAztiZ2gwwgrJB,gHkmdWtt4MSwdrHgv,2021-08-18T18:23:42Z,43,Male,English,,true,,,,,master,yes,yes,stronglyAgree,Yes. Extremely fair and made the game more competitive in a fun way.,"Yes, it was very easy to use ",I didn't have any problems or notice any. Everybody was respectful and made the game fun. I loved the game. I wanted everyone to win. I didn't feel in competition with my teammates. I felt like we were a family. I loved how we all made the same amount of money. My only competition was choosing the right flowers  and increasing the bonus. The game kept me engaged and fully devoted to the task. ,"Yes, 3 minutes is a ton of time to figure out what you need to do for each round.",,,7,7,7,7
jHykyNpCWGAeeLd9T,KeAqzQRXTWqh9Wg8K,TcPmFDfHk3H2fXWcx,2021-08-18T18:25:18Z,26,Female,English,true,,,,,,bachelor,yes,yes,stronglyAgree,yes ,yes,no,yes,,,7,7,7,7
GmiAZCjjfbCNuZWRt,uzvM9H4SaZkjJqS7r,TcPmFDfHk3H2fXWcx,2021-08-18T18:26:29Z,25,female,english,true,,,,,,someCollege,yes,yes,stronglyAgree,yes,yes,no,yes,,,7,7,7,7
