_id,batchId,playerId,stageId,roundId,gameId,createdAt,submittedAt
x8iCxA4Ahfb2A24qw,nW5oFTcWi6m8pmWNp,8764R4gkq9ZG4mYvr,HaxFQSqhHZtvFmjxH,gkDrSjC8BKgvgqDMR,cK5bFKgBKPiq4oCki,2021-08-18T17:59:25Z,2021-08-18T18:00:38Z
rtZ97rC6CFMnvFKjh,nW5oFTcWi6m8pmWNp,KeFzoZMJA8QdqxspA,HaxFQSqhHZtvFmjxH,gkDrSjC8BKgvgqDMR,cK5bFKgBKPiq4oCki,2021-08-18T17:59:25Z,2021-08-18T17:59:38Z
S7mS6qEyAggaGhKEA,nW5oFTcWi6m8pmWNp,QxEW5vPLSHZusyB8n,HaxFQSqhHZtvFmjxH,gkDrSjC8BKgvgqDMR,cK5bFKgBKPiq4oCki,2021-08-18T17:59:25Z,2021-08-18T18:00:30Z
nrxv8Nb3aSBqHqzoP,nW5oFTcWi6m8pmWNp,8764R4gkq9ZG4mYvr,zzKEBKDANggymdHBP,gkDrSjC8BKgvgqDMR,cK5bFKgBKPiq4oCki,2021-08-18T17:59:25Z,
RwZTTHWZe8gAHiLoz,nW5oFTcWi6m8pmWNp,KeFzoZMJA8QdqxspA,zzKEBKDANggymdHBP,gkDrSjC8BKgvgqDMR,cK5bFKgBKPiq4oCki,2021-08-18T17:59:25Z,
AyJwEzGBeYdQhmKTN,nW5oFTcWi6m8pmWNp,QxEW5vPLSHZusyB8n,zzKEBKDANggymdHBP,gkDrSjC8BKgvgqDMR,cK5bFKgBKPiq4oCki,2021-08-18T17:59:25Z,
9xnxGFETEBdMtZWW3,nW5oFTcWi6m8pmWNp,8764R4gkq9ZG4mYvr,m39JjsJ6X9v5nbv2A,4pkp2Q5zSMZAK7eGS,cK5bFKgBKPiq4oCki,2021-08-18T17:59:25Z,2021-08-18T18:01:50Z
gQC8FeZh5feCK3B74,nW5oFTcWi6m8pmWNp,KeFzoZMJA8QdqxspA,m39JjsJ6X9v5nbv2A,4pkp2Q5zSMZAK7eGS,cK5bFKgBKPiq4oCki,2021-08-18T17:59:25Z,2021-08-18T18:01:08Z
YMKytvZwoK5Y64AFW,nW5oFTcWi6m8pmWNp,QxEW5vPLSHZusyB8n,m39JjsJ6X9v5nbv2A,4pkp2Q5zSMZAK7eGS,cK5bFKgBKPiq4oCki,2021-08-18T17:59:25Z,2021-08-18T18:01:51Z
GP5F5xSx9Gvq7csDP,nW5oFTcWi6m8pmWNp,8764R4gkq9ZG4mYvr,pNTia9hArx7CMmWR2,4pkp2Q5zSMZAK7eGS,cK5bFKgBKPiq4oCki,2021-08-18T17:59:25Z,
