_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.nParticipants,data.imageCount,data.pictures,data.timeAmount,data.timeOut,data.knowledge,data.collision,data.selection,data.name,data.avatar,data.nameColor,data.bonus,data.flower_labels,data.flowers,data.otherflowers,data.otherflower_labels,data.p1,data.p2,data.clicked,data.timeClick,data.scoreIncrement,data.clickLength,data.rawScore,data.imageOrder,data.exitTimeoutId
692PDnTB5DQZquLgC,,,,,,2021-08-18T18:10:46Z,gameFull,,2021-08-18T17:51:26Z,custom,2021-08-18T17:50:54Z,,,,,,,,,,,,,,,,,,,,,,,,,
TXFemmt8We9hkStPZ,,2021-08-18T18:06:06Z,2021-08-18T18:06:06Z,1,"instructions,owncolortest,othercolortest,ExitSurvey",2021-08-18T18:44:39Z,finished,,,,2021-08-18T17:55:31Z,3,6,different,3,0,everyplayersomeflower,clover,E,Laju,/avatars/jdenticon/Katherine,#3D45B7,3.03,"{""purple_1"":""the one with the brown at the bottom"",""purple_2"":""the two touching"",""purple_3"":""the one with the green stem with things poking straight up"",""purple_4"":""the round one with the brown background"",""purple_5"":""the three flowers with dark purple at the bottom"",""purple_6"":""the two separate"",""purple_7"":""the round one with lots of pedals and the blurry background"",""purple_8"":""the four with the green background"",""purple_9"":""the one that looks like a bug"",""purple_10"":""the tall one with stacked pedals"",""purple_11"":""the green background with the white speckles"",""purple_12"":""the one with he big green leaf background""}","{""label"":""purple_10"",""location"":""/experiment/purple_similar/image_07320.jpg""},{""label"":""purple_11"",""location"":""/experiment/purple_similar/image_07517.jpg""},{""label"":""purple_5"",""location"":""/experiment/purple_similar/image_04335.jpg""},{""label"":""purple_4"",""location"":""/experiment/purple_similar/image_04133.jpg""},{""label"":""purple_12"",""location"":""/experiment/purple_similar/image_07752.jpg""},{""label"":""purple_1"",""location"":""/experiment/purple_similar/image_00450.jpg""},{""label"":""purple_8"",""location"":""/experiment/purple_similar/image_05639.jpg""},{""label"":""purple_7"",""location"":""/experiment/purple_similar/image_05355.jpg""},{""label"":""purple_6"",""location"":""/experiment/purple_similar/image_04700.jpg""},{""label"":""purple_9"",""location"":""/experiment/purple_similar/image_06714.jpg""},{""label"":""purple_2"",""location"":""/experiment/purple_similar/image_01664.jpg""},{""label"":""purple_3"",""location"":""/experiment/purple_similar/image_03085.jpg""}","{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg""},{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg""},{""label"":""red_5"",""location"":""/experiment/red_similar/image_02561.jpg""},{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg""}","{""red_12"":""the three round ones with one slightly covered and yellow on the tips of the pedals"",""red_7"":""the frilly looking ones"",""red_5"":""red pedals surrounding white pedals with yellow in the middles"",""red_4"":""the round red one with lots of pedals""}",Repi,Minu,purple_1,35568,0.14,1,9.333333333333334,"purple_11,purple_3,purple_12,purple_6,purple_1,purple_4",
opn4TzSJE7jJ8yxdk,,,,,,2021-08-18T18:10:46Z,gameFull,,,,2021-08-18T17:55:39Z,,,,,,,,,,,,,,,,,,,,,,,,,
8764R4gkq9ZG4mYvr,,2021-08-18T17:59:13Z,2021-08-18T17:59:13Z,1,"instructions,owncolortest,othercolortest,ExitSurvey",2021-08-18T18:15:32Z,finished,,,,2021-08-18T17:55:41Z,3,6,different,3,0,everyplayersomeflower,clover,E,Repi,/avatars/jdenticon/Samuel,#8138A8,2.7949999999999995,"{""yellow_1"":""orange tips"",""yellow_2"":""red centre"",""yellow_3"":""sunflower"",""yellow_4"":""cluster"",""yellow_5"":""3 dandylions"",""yellow_6"":""orange middle"",""yellow_7"":""buttercup"",""yellow_8"":""4 dense flower\n"",""yellow_9"":""daffodil"",""yellow_10"":""dandylion"",""yellow_11"":""droopy"",""yellow_12"":""rose""}","{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg""},{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg""},{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg""},{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg""},{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg""},{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg""},{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg""},{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg""},{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg""},{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg""},{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg""},{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg""}","{""label"":""red_10"",""location"":""/experiment/red_similar/image_06859.jpg""},{""label"":""red_6"",""location"":""/experiment/red_similar/image_03162.jpg""},{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg""},{""label"":""red_11"",""location"":""/experiment/red_similar/image_07641.jpg""}","{""red_10"":""red branches"",""red_6"":""red cluster"",""red_7"":""red trumpets"",""red_11"":""yellow centre""}",Minu,Laju,yellow_12,17589,0.14,1,9.333333333333334,"yellow_12,yellow_1,yellow_9,yellow_7,yellow_8,yellow_5",
Z2joquDWbEZGqQbBg,,2021-08-18T18:00:26Z,2021-08-18T18:00:26Z,1,"instructions,owncolortest,othercolortest,ExitSurvey",2021-08-18T18:13:55Z,finished,,,,2021-08-18T17:55:43Z,3,6,different,3,0,everyplayersomeflower,clover,E,Repi,/avatars/jdenticon/Samuel,#8138A8,2.645,"{""yellow_1"":""pink edges"",""yellow_2"":""red center"",""yellow_3"":""sunflower"",""yellow_4"":""clump of flowers"",""yellow_5"":""three "",""yellow_6"":""bleeding center"",""yellow_7"":""large flower dark background"",""yellow_8"":""4"",""yellow_9"":""two"",""yellow_10"":""sun"",""yellow_11"":""wilted"",""yellow_12"":""large flower""}","{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg""},{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg""},{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg""},{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg""},{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg""},{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg""},{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg""},{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg""},{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg""},{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg""},{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg""},{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg""}","{""label"":""white_5"",""location"":""/experiment/white_similar/image_04849.jpg""},{""label"":""white_11"",""location"":""/experiment/white_similar/image_07463.jpg""},{""label"":""white_10"",""location"":""/experiment/white_similar/image_07057.jpg""},{""label"":""white_12"",""location"":""/experiment/white_similar/image_08131.jpg""}","{""white_5"":""three"",""white_11"":""four"",""white_10"":""yellow center"",""white_12"":""4 petals""}",Minu,Laju,yellow_7,10386,0.125,1,8.333333333333334,"yellow_7,yellow_12,yellow_2,yellow_11,yellow_3,yellow_8",
QxEW5vPLSHZusyB8n,,2021-08-18T17:58:30Z,2021-08-18T17:58:30Z,1,"instructions,owncolortest,othercolortest,ExitSurvey",2021-08-18T18:15:32Z,finished,,,,2021-08-18T17:55:46Z,3,6,different,3,0,everyplayersomeflower,clover,E,Laju,/avatars/jdenticon/Katherine,#3D45B7,2.7949999999999995,"{""yellow_1"":""orange tips/rose"",""yellow_2"":""red center"",""yellow_3"":""sunflower"",""yellow_4"":""bunch/clump of flowers"",""yellow_5"":""3 dandelions"",""yellow_6"":""orange spotted center"",""yellow_7"":""buttercup"",""yellow_8"":""4 dense flowers"",""yellow_9"":""buttercup"",""yellow_10"":""single dandelion"",""yellow_11"":""droopy"",""yellow_12"":""rose/dandelion""}","{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg""},{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg""},{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg""},{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg""},{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg""},{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg""},{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg""},{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg""},{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg""},{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg""},{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg""},{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg""}","{""label"":""red_5"",""location"":""/experiment/red_similar/image_02561.jpg""},{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg""},{""label"":""red_8"",""location"":""/experiment/red_similar/image_06490.jpg""},{""label"":""red_10"",""location"":""/experiment/red_similar/image_06859.jpg""}","{""red_5"":""5 white inner petals"",""red_4"":""brownish center"",""red_8"":""black centers"",""red_10"":""tall with lots of petals""}",Repi,Minu,yellow_8,17798,0.14,1,9.333333333333334,"yellow_1,yellow_9,yellow_8,yellow_5,yellow_7,yellow_12",
eNsoJPZtNwLvt9Exq,,2021-08-18T18:01:00Z,2021-08-18T18:01:00Z,1,"instructions,owncolortest,othercolortest,ExitSurvey",2021-08-18T18:31:45Z,finished,,,,2021-08-18T17:55:47Z,3,6,different,3,0,everyplayersomeflower,clover,E,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.855000000000001,"{""yellow_1"":""rose"",""yellow_2"":""red colouring in middle"",""yellow_3"":""sunflower looking"",""yellow_4"":""lots of flowers"",""yellow_5"":""3 flowers"",""yellow_6"":""red dots in middle of flower"",""yellow_7"":""clover leafed petals all yellow flower"",""yellow_8"":""4 flowers"",""yellow_9"":""daffodil"",""yellow_10"":""dandellion like flower"",""yellow_11"":""Droopy petals"",""yellow_12"":""looks like a rose""}","{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg""},{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg""},{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg""},{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg""},{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg""},{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg""},{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg""},{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg""},{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg""},{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg""},{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg""},{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg""}","{""label"":""purple_2"",""location"":""/experiment/purple_similar/image_01664.jpg""},{""label"":""purple_4"",""location"":""/experiment/purple_similar/image_04133.jpg""},{""label"":""purple_9"",""location"":""/experiment/purple_similar/image_06714.jpg""},{""label"":""purple_6"",""location"":""/experiment/purple_similar/image_04700.jpg""}","{""purple_2"":""2 purple flowers overlapping with yellow centre"",""purple_4"":""looks like a purple hedgehog"",""purple_9"":""star shaped"",""purple_6"":""looks like a whirl""}",Repi,Laju,yellow_9,19847,0.105,1,7,"yellow_9,yellow_3,yellow_5,yellow_4,yellow_12,yellow_8",
KeFzoZMJA8QdqxspA,,2021-08-18T17:59:26Z,2021-08-18T17:59:26Z,1,"instructions,owncolortest,othercolortest,ExitSurvey",2021-08-18T18:15:32Z,finished,,,,2021-08-18T17:55:57Z,3,6,different,3,0,everyplayersomeflower,clover,E,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.7949999999999995,"{""yellow_1"":""orange tips"",""yellow_2"":""red centre"",""yellow_3"":""sunflower "",""yellow_4"":""cluster"",""yellow_5"":""3 dandelion "",""yellow_6"":""orange centre"",""yellow_7"":""buttercup"",""yellow_8"":""4 roses"",""yellow_9"":""yellow open"",""yellow_10"":""single dandelion\n"",""yellow_11"":""droopy"",""yellow_12"":""rose""}","{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg""},{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg""},{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg""},{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg""},{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg""},{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg""},{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg""},{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg""},{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg""},{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg""},{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg""},{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg""}","{""label"":""red_5"",""location"":""/experiment/red_similar/image_02561.jpg""},{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg""},{""label"":""red_11"",""location"":""/experiment/red_similar/image_07641.jpg""},{""label"":""red_1"",""location"":""/experiment/red_similar/image_00757.jpg""}","{""red_5"":""starfish shape"",""red_4"":""red dandelion "",""red_11"":""pink roses"",""red_1"":""yellow centre""}",Repi,Laju,yellow_5,16106,0.14,1,9.333333333333334,"yellow_5,yellow_7,yellow_12,yellow_8,yellow_1,yellow_9",
7Rdbrvw5j2CAP9uLe,,2021-08-18T18:02:03Z,2021-08-18T18:02:03Z,1,"instructions,owncolortest,othercolortest,ExitSurvey",2021-08-18T18:31:45Z,finished,,,,2021-08-18T17:56:04Z,3,6,different,3,0,everyplayersomeflower,clover,E,Repi,/avatars/jdenticon/Samuel,#8138A8,2.855000000000001,"{""yellow_1"":""rose with orange"",""yellow_2"":""red middle"",""yellow_3"":""sunflower"",""yellow_4"":""the one with multiple flowers"",""yellow_5"":""the one with three"",""yellow_6"":""the one with orange dots in middle"",""yellow_7"":""the one with clover petals"",""yellow_8"":""the one with four flowers"",""yellow_9"":""pointy petals on outside with point in middle"",""yellow_10"":""daffodil"",""yellow_11"":""droopy petals"",""yellow_12"":""rose looking one""}","{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg""},{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg""},{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg""},{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg""},{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg""},{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg""},{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg""},{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg""},{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg""},{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg""},{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg""},{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg""}","{""label"":""purple_8"",""location"":""/experiment/purple_similar/image_05639.jpg""},{""label"":""purple_3"",""location"":""/experiment/purple_similar/image_03085.jpg""},{""label"":""purple_1"",""location"":""/experiment/purple_similar/image_00450.jpg""},{""label"":""purple_9"",""location"":""/experiment/purple_similar/image_06714.jpg""}","{""purple_8"":""four flowers"",""purple_3"":""things that stick up in middle"",""purple_1"":""petals with points at ends and look like they're floating"",""purple_9"":""6 petals pointing outward""}",Minu,Laju,yellow_4,39684,0.105,1,7,"yellow_12,yellow_9,yellow_5,yellow_8,yellow_4,yellow_3",
hMLMoqLmXm5BtnLBG,,2021-08-18T17:59:49Z,2021-08-18T17:59:49Z,1,"instructions,owncolortest,othercolortest,ExitSurvey",2021-08-18T18:13:55Z,finished,,,,2021-08-18T17:56:10Z,3,6,different,3,0,everyplayersomeflower,clover,E,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.645,"{""yellow_1"":""red edge"",""yellow_2"":""red centre"",""yellow_3"":""purple centre"",""yellow_4"":""8 bunch"",""yellow_5"":""3"",""yellow_6"":""bad quality 4 petal "",""yellow_7"":""6 petal dark background"",""yellow_8"":""4"",""yellow_9"":""5 petal clear background"",""yellow_10"":""sun looking"",""yellow_11"":""wilted"",""yellow_12"":""rose like""}","{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg""},{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg""},{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg""},{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg""},{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg""},{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg""},{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg""},{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg""},{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg""},{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg""},{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg""},{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg""}","{""label"":""white_4"",""location"":""/experiment/white_similar/image_03710.jpg""},{""label"":""white_7"",""location"":""/experiment/white_similar/image_05493.jpg""},{""label"":""white_11"",""location"":""/experiment/white_similar/image_07463.jpg""},{""label"":""white_2"",""location"":""/experiment/white_similar/image_01448.jpg""}","{""white_4"":""white petal yellow centre \n"",""white_7"":""white with purple accent "",""white_11"":""white tubes "",""white_2"":""white daisy looking""}",Repi,Laju,yellow_2,8703,0.125,1,8.333333333333334,"yellow_12,yellow_11,yellow_8,yellow_3,yellow_2,yellow_7",
