_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
eazz2anwmzPh4CMi9,1,simple,true,2021-06-29T15:11:01Z,2021-06-29T15:42:49Z,finished,,iq5rfhiAyYcCuotiP,2021-06-29T15:10:51Z,
LirgBpcyvfkGuWsW8,2,simple,true,2021-06-29T15:11:02Z,2021-06-29T15:52:36Z,finished,,6o4WJuZBT3QSNRQRq,2021-06-29T15:10:53Z,
hgzn2988PuzC9LDH5,3,simple,true,2021-06-29T15:11:03Z,2021-06-29T15:43:47Z,finished,,KGzHLWpxZmZgGxzm5,2021-06-29T15:10:54Z,
boJLoNQMfAkhctQfg,4,simple,true,2021-06-29T15:11:03Z,2021-06-29T15:47:02Z,finished,,66vT9mE6yqptQDdXG,2021-06-29T15:10:55Z,
fYPBKJSoxhDJ3yMQi,5,simple,false,2021-06-29T15:11:04Z,2021-06-29T15:18:21Z,cancelled,,cMxhfyY6otGqcRrqR,2021-06-29T15:10:56Z,2021-06-29T17:25:52Z
8XvktZdJEwAYAWtHD,6,simple,false,,2021-06-29T15:18:32Z,cancelled,,SiweLRB85YmgqNKQB,2021-06-29T15:18:12Z,2021-06-29T17:25:52Z
BtSxfhJ2CvvvAk5Hj,7,simple,true,2021-06-29T15:18:54Z,2021-06-29T16:35:20Z,finished,,8B8kmeMWWri8xpL4k,2021-06-29T15:18:47Z,
QpurkixK5NEu8LFv7,8,simple,false,2021-06-29T15:18:59Z,2021-06-29T15:21:31Z,cancelled,,zgYks9XEAsRCXC87D,2021-06-29T15:18:57Z,2021-06-29T17:25:53Z
TQ3AqptDmRKkBYZc2,9,simple,true,2021-06-29T15:27:48Z,2021-06-29T15:55:09Z,finished,,S7SBYP8ab6RFccN9u,2021-06-29T15:27:44Z,
TpY7vQ9WnSn8wYecB,10,simple,true,2021-06-29T15:27:49Z,2021-06-29T16:03:12Z,finished,,K3BiGhNQsyeoGmKhr,2021-06-29T15:27:45Z,
jC4pB6nx4ShXgkZf6,11,simple,false,2021-06-29T15:27:50Z,2021-06-29T16:08:23Z,cancelled,,hAwLXfjCHQJvHHyrA,2021-06-29T15:27:46Z,2021-06-29T17:25:53Z
RKog9jdeFFGjXZJgH,12,simple,false,2021-06-29T15:27:50Z,,cancelled,,hjrCDJJLSwc53NW4R,2021-06-29T15:27:47Z,2021-06-29T17:25:54Z
bxac32hZGSJSGf8Br,13,simple,false,2021-06-29T15:27:51Z,,cancelled,,hhfs43seojfYT2K3D,2021-06-29T15:27:48Z,2021-06-29T17:25:55Z
