_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt,data.log
co8hAgkkXmzZ3yndG,0,selection,Selection,2021-06-29T15:18:40Z,180,Dwm6cjw8EuP3Qq6jY,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:18:40.340Z""}"
Qw4rE4GH376DiaGoS,1,feedback,Feedback,2021-06-29T15:18:57Z,5,Dwm6cjw8EuP3Qq6jY,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:18:57.137Z""}"
FPYdFkhPqid2qXFib,2,selection,Selection,2021-06-29T15:19:03Z,180,AvoNdR4wWgRQM7KxT,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:19:02.881Z""}"
AJb627mHegXwsjJdX,3,feedback,Feedback,2021-06-29T15:19:15Z,5,AvoNdR4wWgRQM7KxT,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:19:14.987Z""}"
QJkLHqw8L63idLcZR,4,selection,Selection,2021-06-29T15:19:21Z,180,fD9XAyQBGyun6GdqF,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:19:20.877Z""}"
Ec7Q556qTZHRWM7pn,5,feedback,Feedback,2021-06-29T15:19:24Z,5,fD9XAyQBGyun6GdqF,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:19:24.364Z""}"
9k79KSKZ4gjEhq8ot,6,selection,Selection,2021-06-29T15:19:30Z,180,yi4gDGQDrdbcduZRY,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:19:29.890Z""}"
bGYDFLcjPhRYtehTE,7,feedback,Feedback,2021-06-29T15:19:35Z,5,yi4gDGQDrdbcduZRY,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:19:35.119Z""}"
YW8SrvEjDLHq3JmxD,8,selection,Selection,2021-06-29T15:19:41Z,180,sxcNHiH3rDJ5JGscT,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:19:40.905Z""}"
eH2m77wWKEAf2oKzN,9,feedback,Feedback,2021-06-29T15:19:45Z,5,sxcNHiH3rDJ5JGscT,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:19:45.454Z""}"
KxEDBESBCvk7TnEW2,10,selection,Selection,2021-06-29T15:19:51Z,180,68LAgY3CG79Mv3bhX,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:19:50.894Z""}"
8BfkRHFYmaJsXvQHN,11,feedback,Feedback,2021-06-29T15:19:55Z,5,68LAgY3CG79Mv3bhX,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:19:55.584Z""}"
SZmu8nhcdEgd7abPh,12,selection,Selection,2021-06-29T15:20:02Z,180,bTWYfMT78ePWdJixp,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:20:01.922Z""}"
pZ2XCYSspKQJcFb5Z,13,feedback,Feedback,2021-06-29T15:20:05Z,5,bTWYfMT78ePWdJixp,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:20:05.529Z""}"
rvsxDDCgKbcNWgMoh,14,selection,Selection,2021-06-29T15:20:11Z,180,knpPa6GmednCyHvCC,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:20:10.898Z""}"
JpNgj7YKcm7T4RyEq,15,feedback,Feedback,2021-06-29T15:20:16Z,5,knpPa6GmednCyHvCC,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:20:15.784Z""}"
kFayzGAc2fvQykKXX,16,selection,Selection,2021-06-29T15:20:22Z,180,KF4pJQtpi57EtSfES,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:20:21.910Z""}"
mxiW5uoNxMRAd4SnA,17,feedback,Feedback,2021-06-29T15:20:25Z,5,KF4pJQtpi57EtSfES,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:20:25.663Z""}"
txDzD7qChwM6hxZNc,18,selection,Selection,2021-06-29T15:20:32Z,180,pgmyi9gprhQ2YpPtG,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:20:31.904Z""}"
JFBiG3YF3RbKKwaoc,19,feedback,Feedback,2021-06-29T15:20:41Z,5,pgmyi9gprhQ2YpPtG,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:20:41.135Z""}"
24tBdaYbExvTwTBga,20,selection,Selection,2021-06-29T15:20:47Z,180,sgnh3HiD9RyfJzFWM,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:20:46.915Z""}"
qzDY4xBCpTzaQWuoY,21,feedback,Feedback,2021-06-29T15:20:56Z,5,sgnh3HiD9RyfJzFWM,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:20:56.349Z""}"
Kd9S6oWz3Ws2F79TH,22,selection,Selection,2021-06-29T15:21:02Z,180,dn3RQSHZh6FWo9cnv,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:21:01.917Z""}"
2JtLfxFtSwZczTm9b,23,feedback,Feedback,2021-06-29T15:21:11Z,5,dn3RQSHZh6FWo9cnv,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:21:11.481Z""}"
eFMJtzsLdyZv6xaeZ,24,selection,Selection,2021-06-29T15:21:17Z,180,yWGFoKFzNkk2gRLtk,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:21:16.935Z""}"
DX5gHb64YC9iATdH6,25,feedback,Feedback,2021-06-29T15:21:24Z,5,yWGFoKFzNkk2gRLtk,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:21:24.367Z""}"
KyRfqFTkpRtBBhh8w,26,selection,Selection,2021-06-29T15:21:30Z,180,LH3gghcDPxwc2pmna,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:21:29.931Z""}"
XX79KBoaY8bNeGdY4,27,feedback,Feedback,2021-06-29T15:21:34Z,5,LH3gghcDPxwc2pmna,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:21:34.530Z""}"
SdJK2Lzm3X8uthCy6,28,selection,Selection,2021-06-29T15:21:40Z,180,X6MxeFgw4dsEtrjA4,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:21:39.936Z""}"
2dgJdcndzPoKA2J5a,29,feedback,Feedback,2021-06-29T15:21:46Z,5,X6MxeFgw4dsEtrjA4,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:21:46.215Z""}"
kPGveYCMBAGcNDezP,30,selection,Selection,2021-06-29T15:21:52Z,180,hKMecArqkt2qaCQ8e,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:21:51.932Z""}"
hy8N8ko3X6EHm5ajE,31,feedback,Feedback,2021-06-29T15:21:55Z,5,hKMecArqkt2qaCQ8e,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:21:55.521Z""}"
XyggkaRampN78Dpev,32,selection,Selection,2021-06-29T15:22:01Z,180,tovfDuoXsh5gPziqA,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:22:00.943Z""}"
xMhRAgwJeQuqKF3BF,33,feedback,Feedback,2021-06-29T15:22:10Z,5,tovfDuoXsh5gPziqA,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:22:10.408Z""}"
88BbMwKuYhKEJBsPk,34,selection,Selection,2021-06-29T15:22:16Z,180,eDagEMrN4KGZkRzqs,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:22:15.955Z""}"
koS9o2Loa3jWzixDJ,35,feedback,Feedback,2021-06-29T15:22:25Z,5,eDagEMrN4KGZkRzqs,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:22:24.847Z""}"
aj6oyaoDRD8otPsHv,36,selection,Selection,2021-06-29T15:22:31Z,180,6dShLLzr7Dyno9pA2,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:22:30.958Z""}"
j6MkygNi4niMat3oT,37,feedback,Feedback,2021-06-29T15:23:56Z,5,6dShLLzr7Dyno9pA2,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:23:56.718Z""}"
XqjfgtEsZGTYvncQA,38,selection,Selection,2021-06-29T15:24:03Z,180,vRYDev5T5DdyGJS3X,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:24:02.992Z""}"
gfjREp9WaNtTniMyF,39,feedback,Feedback,2021-06-29T15:24:39Z,5,vRYDev5T5DdyGJS3X,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:24:38.869Z""}"
J5XzsSjd78o53hrDz,40,selection,Selection,2021-06-29T15:24:45Z,180,9Mueiw4Jy3iXSnosM,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:24:44.995Z""}"
PgrWTzRsnkcCka6ws,41,feedback,Feedback,2021-06-29T15:25:06Z,5,9Mueiw4Jy3iXSnosM,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:25:06.221Z""}"
p8k7ohtZe4f9NrDBs,42,selection,Selection,2021-06-29T15:25:12Z,180,DprhvLYvemWNC5t88,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:25:12.012Z""}"
7odEwnKjypcBBiR8F,43,feedback,Feedback,2021-06-29T15:25:45Z,5,DprhvLYvemWNC5t88,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:25:45.346Z""}"
95TfRckYw3jHjXJaq,44,selection,Selection,2021-06-29T15:25:51Z,180,D52apu4XApRQfK7r8,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:25:51.020Z""}"
j8RpdSa46y8n2XDJq,45,feedback,Feedback,2021-06-29T15:26:19Z,5,D52apu4XApRQfK7r8,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:26:19.409Z""}"
PxWP3eo5prgPSkzhN,46,selection,Selection,2021-06-29T15:26:25Z,180,WwLcC8TrA3toRpFxC,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:26:25.032Z""}"
RwbkMsf23CGbQS3pA,47,feedback,Feedback,2021-06-29T15:26:49Z,5,WwLcC8TrA3toRpFxC,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:26:49.684Z""}"
F57kpiuadHyvx5git,48,selection,Selection,2021-06-29T15:26:55Z,180,iRFkSbYH694eYsNbT,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:26:55.046Z""}"
zLiiy5cyqHACaqpT8,49,feedback,Feedback,2021-06-29T15:28:20Z,5,iRFkSbYH694eYsNbT,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:28:20.194Z""}"
BN2kuWnzFLjDsciD8,50,selection,Selection,2021-06-29T15:28:26Z,180,h99fgtvrm26cH8vFN,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:28:26.057Z""}"
bkkBimnCZmj6H2WGH,51,feedback,Feedback,2021-06-29T15:28:42Z,5,h99fgtvrm26cH8vFN,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:28:42.338Z""}"
fQwzgfSg4d5S3jGqk,52,selection,Selection,2021-06-29T15:28:48Z,180,xG4DEWWCEACvNLpGc,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:28:48.071Z""}"
AZA42PjnnkjfQZPAH,53,feedback,Feedback,2021-06-29T15:30:09Z,5,xG4DEWWCEACvNLpGc,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:30:08.786Z""}"
gzL3csnN8KxwYwPhp,54,selection,Selection,2021-06-29T15:30:15Z,180,M2wpfLqz4b8YfCiPa,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:30:15.093Z""}"
3FrTG2DcDbmbhcGEq,55,feedback,Feedback,2021-06-29T15:30:51Z,5,M2wpfLqz4b8YfCiPa,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:30:51.649Z""}"
fSZAE48HgrmCfvYHW,56,selection,Selection,2021-06-29T15:30:57Z,180,rd8iqH75GkXmaQLb8,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:30:57.123Z""}"
6G8tDmL2Jg4r2oYw2,57,feedback,Feedback,2021-06-29T15:31:51Z,5,rd8iqH75GkXmaQLb8,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:31:50.873Z""}"
wgoR5kdo2qSnsucL3,58,selection,Selection,2021-06-29T15:31:57Z,180,NeQ9dBCRYSE2bpGz2,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:31:57.135Z""}"
dG7DtBSP75myNDm8L,59,feedback,Feedback,2021-06-29T15:32:32Z,5,NeQ9dBCRYSE2bpGz2,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:32:32.708Z""}"
kgiNX6d3rJhnxNxhd,60,selection,Selection,2021-06-29T15:32:38Z,180,NekAwZZWL2EhdJzeH,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:32:38.149Z""}"
BpewW4BPm9mHH6xY4,61,feedback,Feedback,2021-06-29T15:32:56Z,5,NekAwZZWL2EhdJzeH,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:32:55.976Z""}"
Ka7bthgWznFq5TmxW,62,selection,Selection,2021-06-29T15:33:02Z,180,R6hiJPreJBwFJXySb,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:33:02.159Z""}"
ezqYYJFn7EqW2TL5Y,63,feedback,Feedback,2021-06-29T15:33:36Z,5,R6hiJPreJBwFJXySb,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:33:35.937Z""}"
3Wjvb3bw3fPbhsESA,64,selection,Selection,2021-06-29T15:33:42Z,180,cPoNBMNxvfd8QLKWh,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:33:42.157Z""}"
yjb6DMhPr5RLvDjZb,65,feedback,Feedback,2021-06-29T15:34:13Z,5,cPoNBMNxvfd8QLKWh,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:34:12.850Z""}"
94PwQYw2drshY6wRg,66,selection,Selection,2021-06-29T15:34:19Z,180,HXaFhxLSm8DaiCcKX,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:34:19.167Z""}"
ZsHzq7R3qQdWvQ9bm,67,feedback,Feedback,2021-06-29T15:34:44Z,5,HXaFhxLSm8DaiCcKX,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:34:43.922Z""}"
j2tqbJaSPGfiS9C7b,68,selection,Selection,2021-06-29T15:34:50Z,180,3nr4kWq2ejmnRW9Fq,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:34:50.202Z""}"
ny7A2GppSeB5EuGJi,69,feedback,Feedback,2021-06-29T15:35:26Z,5,3nr4kWq2ejmnRW9Fq,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:35:26.473Z""}"
ChFWkRyzCPjH5bDRo,70,selection,Selection,2021-06-29T15:35:32Z,180,z87CSaTksnxTEyQ6Y,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:35:32.223Z""}"
7rSrQhXMp5Yex74By,71,feedback,Feedback,2021-06-29T15:35:49Z,5,z87CSaTksnxTEyQ6Y,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:35:49.111Z""}"
sJMjm4gigfXe4AvyN,72,selection,Selection,2021-06-29T15:35:55Z,180,dh4SHkiwzC32KfCnz,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:35:55.233Z""}"
L4uqLQ9fhHF3aksnw,73,feedback,Feedback,2021-06-29T15:36:56Z,5,dh4SHkiwzC32KfCnz,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:36:56.037Z""}"
5fhSDCJariBB5d9ac,74,selection,Selection,2021-06-29T15:37:02Z,180,QnnDhLoDQGh4v57tN,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:37:02.257Z""}"
L6vZci6AP9qoFwLrX,75,feedback,Feedback,2021-06-29T15:37:35Z,5,QnnDhLoDQGh4v57tN,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:37:34.905Z""}"
BXFtrcydaBJMchbBM,76,selection,Selection,2021-06-29T15:37:40Z,180,NcuwMBeQNFPhgcd8R,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:37:40.272Z""}"
g7B5E3ME3HrJAM7k3,77,feedback,Feedback,2021-06-29T15:38:17Z,5,NcuwMBeQNFPhgcd8R,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-06-29T15:38:16.927Z""}"
SvgTGxDxrwnXfvqng,78,selection,Selection,2021-06-29T15:38:22Z,180,hxneuYRRqCh6D8oTE,iq5rfhiAyYcCuotiP,2021-06-29T15:18:39Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-06-29T15:38:22.272Z""}"
