gameId,createdAt,age,gender,language,raceWhite,raceBlack,raceAsian,raceNative,raceIslander,raceHispanic,education
qFsHNsbrf5Mu6WnQM,2021-07-19T18:18:42Z,21,Male,English,TRUE,FALSE,NA,NA,NA,NA,someCollege
qFsHNsbrf5Mu6WnQM,2021-07-19T18:18:46Z,46,M,English,TRUE,NA,NA,NA,NA,NA,bachelor
qFsHNsbrf5Mu6WnQM,2021-07-19T18:19:30Z,34,Male,Enlgish,TRUE,NA,NA,NA,NA,NA,bachelor
L4kC4a6Nbzrj5Ke5L,2021-07-19T18:19:43Z,31,female,english,TRUE,NA,NA,NA,NA,NA,highSchool
N5htAi8ezBg3neBKP,2021-07-19T18:19:51Z,62,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
N5htAi8ezBg3neBKP,2021-07-19T18:19:57Z,50,male,english,TRUE,NA,NA,NA,NA,NA,bachelor
N5htAi8ezBg3neBKP,2021-07-19T18:19:59Z,22,non-binary,english,TRUE,NA,NA,NA,NA,NA,bachelor
L4kC4a6Nbzrj5Ke5L,2021-07-19T18:20:12Z,45,FEMALE,ENGLISH,TRUE,NA,NA,NA,NA,NA,highSchool
L4kC4a6Nbzrj5Ke5L,2021-07-19T18:20:36Z,21,Female,English,TRUE,NA,NA,NA,NA,NA,highSchool
Cigs3SXFkL23Nx7Ga,2021-07-19T18:23:42Z,26,male,english,TRUE,NA,NA,NA,NA,NA,bachelor
Cigs3SXFkL23Nx7Ga,2021-07-19T18:24:01Z,57,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege
woWsWsG64iWMYwDus,2021-07-19T18:24:02Z,22,female,English,TRUE,NA,NA,NA,NA,NA,bachelor
woWsWsG64iWMYwDus,2021-07-19T18:24:05Z,46,female,english,TRUE,NA,NA,NA,NA,NA,bachelor
Cigs3SXFkL23Nx7Ga,2021-07-19T18:24:15Z,39,female,english,TRUE,NA,NA,NA,NA,NA,master
woWsWsG64iWMYwDus,2021-07-19T18:25:18Z,25,male,english,NA,TRUE,NA,NA,NA,NA,master
5oqcuFaDgbZ4pAnvK,2021-07-19T18:27:38Z,50,male,english,TRUE,NA,NA,NA,NA,NA,bachelor
5oqcuFaDgbZ4pAnvK,2021-07-19T18:28:02Z,53,Male,English,TRUE,NA,NA,NA,NA,NA,highSchool
5oqcuFaDgbZ4pAnvK,2021-07-19T18:28:25Z,54,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
xtbRh6y3JMmrerDvx,2021-07-19T18:36:38Z,42,female,english,TRUE,NA,NA,NA,NA,NA,highSchool
xtbRh6y3JMmrerDvx,2021-07-19T18:36:55Z,40,female,english,TRUE,NA,NA,NA,NA,NA,someCollege
xtbRh6y3JMmrerDvx,2021-07-19T18:37:21Z,46,Female,English,TRUE,NA,NA,NA,NA,NA,someCollege
sdRkHdBCdbxeAehFd,2021-07-19T18:39:03Z,27,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
sdRkHdBCdbxeAehFd,2021-07-19T18:39:25Z,52,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
sdRkHdBCdbxeAehFd,2021-07-19T18:40:06Z,38,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
9TpHt9H5Ny6HzH8x7,2021-07-19T18:45:17Z,21,Female,English,NA,TRUE,NA,NA,NA,NA,highSchool
9TpHt9H5Ny6HzH8x7,2021-07-19T18:45:44Z,35,male,english,NA,TRUE,NA,NA,NA,NA,master
9TpHt9H5Ny6HzH8x7,2021-07-19T18:48:20Z,27,Female,English,TRUE,NA,NA,NA,NA,NA,bachelor
2yX3k7DkPSWGee3q9,2021-07-19T18:54:55Z,26,female,NA,TRUE,NA,NA,NA,NA,NA,bachelor
2yX3k7DkPSWGee3q9,2021-07-19T18:55:12Z,46,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
2yX3k7DkPSWGee3q9,2021-07-19T18:56:24Z,35,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
ojE6tc9tdnASfLGDs,2021-07-19T18:58:32Z,42,female,english,TRUE,NA,NA,NA,NA,NA,someCollege
ojE6tc9tdnASfLGDs,2021-07-19T18:58:47Z,46,female,English,TRUE,NA,NA,NA,NA,NA,highSchool
ojE6tc9tdnASfLGDs,2021-07-19T19:00:45Z,32,male,English,TRUE,NA,NA,NA,NA,NA,someCollege
67qxzPDuhEbrkhDLF,2021-07-19T19:03:34Z,30,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
67qxzPDuhEbrkhDLF,2021-07-19T19:04:06Z,38,Female,English,TRUE,NA,TRUE,NA,NA,NA,highSchool
67qxzPDuhEbrkhDLF,2021-07-19T19:04:45Z,40,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
cSQKJg27EPsQNjHWs,2021-07-19T19:12:25Z,36,Male,English,TRUE,NA,NA,NA,NA,NA,bachelor
cSQKJg27EPsQNjHWs,2021-07-19T19:12:30Z,18,male,british,TRUE,NA,NA,NA,NA,NA,someCollege
cSQKJg27EPsQNjHWs,2021-07-19T19:14:36Z,31,Female,English,TRUE,NA,NA,NA,NA,NA,master
sTX6ksbxqfnfsmzxe,2021-07-19T19:32:08Z,27,female,english,TRUE,NA,NA,NA,NA,NA,bachelor
sTX6ksbxqfnfsmzxe,2021-07-19T19:32:15Z,23,male,english,TRUE,NA,NA,NA,NA,NA,highSchool
sTX6ksbxqfnfsmzxe,2021-07-19T19:33:13Z,35,female,english,NA,TRUE,NA,NA,NA,NA,bachelor
