playerId,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,name,avatar,nameColor,bonus,clicked,timeClick,imageOrder,scoreIncrement,clickLength,rawScore,exitTimeoutId,exited
NuweWtpWaMQZkxLkb,NA,NA,NA,NA,NA,2021-07-20T16:51:33Z,cancelled,adminCancelled,NA,NA,2021-07-20T16:47:26Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kq9vcpqmQwbkFB4sX,NA,2021-07-20T16:57:59Z,2021-07-20T16:57:59Z,1,ExitSurvey,2021-07-20T17:26:05Z,finished,NA,NA,NA,2021-07-20T16:53:00Z,Repi,/avatars/jdenticon/Samuel,#8138A8,5.973333333333336,red_7,15645,"red_5,red_12,red_2,red_11,red_10,red_7",0.14400000000000002,3,9,NA,NA
XR254nXRjwrveus4M,NA,2021-07-20T17:00:48Z,2021-07-20T17:00:48Z,1,ExitSurvey,2021-07-20T17:39:10Z,finished,NA,NA,NA,2021-07-20T16:53:03Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.8320000000000025,white_2,37179,"white_11,white_12,white_2,white_1,white_7,white_4",0.13333333333333336,3,8.333333333333334,NA,NA
Xzwn3GeDhaYChyk6X,NA,2021-07-20T17:02:41Z,2021-07-20T17:02:41Z,1,ExitSurvey,2021-07-20T17:17:11Z,finished,NA,NA,NA,2021-07-20T16:53:09Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,5.690666666666668,purple_7,7899,"purple_9,purple_1,purple_7,purple_5,purple_4,purple_11",0.08533333333333333,3,5.333333333333333,NA,NA
mQ4j9jv3oBQW9zdxE,NA,2021-07-20T16:58:34Z,2021-07-20T16:58:34Z,1,ExitSurvey,2021-07-20T17:26:05Z,finished,NA,NA,NA,2021-07-20T16:53:09Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,5.973333333333336,red_2,6199,"red_12,red_2,red_11,red_7,red_10,red_5",0.14400000000000002,3,9,NA,NA
do6cSnx2h7oyYTyqw,NA,NA,NA,NA,NA,2021-07-20T17:55:42Z,cancelled,adminCancelled,NA,NA,2021-07-20T16:53:16Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pgdSEje8fK2EhyEAF,NA,2021-07-20T16:57:35Z,2021-07-20T16:57:35Z,1,ExitSurvey,2021-07-20T17:26:05Z,finished,NA,NA,NA,2021-07-20T16:53:18Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,5.973333333333336,red_12,14919,"red_12,red_2,red_10,red_11,red_7,red_5",0.14400000000000002,3,9,NA,NA
DhC6RscrdSqABgf5k,NA,2021-07-20T17:21:31Z,2021-07-20T17:21:31Z,1,NA,2021-07-20T17:31:31Z,playerLobbyTimedOut,NA,2021-07-20T17:44:07Z,custom,2021-07-20T16:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nzCnCnx4W9EDKLyEy,NA,2021-07-20T16:58:50Z,2021-07-20T16:58:50Z,1,ExitSurvey,2021-07-20T17:39:10Z,finished,NA,NA,NA,2021-07-20T16:53:26Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,6.8320000000000025,white_11,53163,"white_11,white_12,white_7,white_2,white_4,white_1",0.13333333333333336,3,8.333333333333334,NA,NA
HatzPcAxQZHJgfvTp,NA,2021-07-20T17:06:15Z,2021-07-20T17:06:15Z,1,ExitSurvey,2021-07-20T18:21:48Z,finished,NA,NA,NA,2021-07-20T16:53:45Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.773333333333335,purple_5,73077,"purple_4,purple_6,purple_5,purple_7,purple_11,purple_8",0.13333333333333336,3,8.333333333333334,NA,NA
KqEvn4gzXocmfiiFY,NA,2021-07-20T17:06:49Z,2021-07-20T17:06:49Z,1,NA,2021-07-20T17:16:50Z,playerLobbyTimedOut,NA,2021-07-20T17:44:06Z,custom,2021-07-20T16:53:48Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HattoicCD8RpvNp3x,NA,2021-07-20T17:02:11Z,2021-07-20T17:02:11Z,1,ExitSurvey,2021-07-20T17:17:11Z,finished,NA,NA,NA,2021-07-20T16:53:54Z,Repi,/avatars/jdenticon/Samuel,#8138A8,5.690666666666668,purple_4,1656,"purple_1,purple_11,purple_5,purple_4,purple_9,purple_7",0.08533333333333333,3,5.333333333333333,NA,NA
5tF4pbeZsgwoLyBXN,NA,2021-07-20T17:05:32Z,2021-07-20T17:05:32Z,1,ExitSurvey,2021-07-20T18:21:48Z,finished,NA,NA,NA,2021-07-20T16:54:28Z,Repi,/avatars/jdenticon/Samuel,#8138A8,6.773333333333335,purple_7,83664,"purple_5,purple_4,purple_11,purple_8,purple_6,purple_7",0.13333333333333336,3,8.333333333333334,NA,NA
WpuqGRTsiQfcFJHK9,NA,2021-07-20T16:58:49Z,2021-07-20T16:58:49Z,1,ExitSurvey,2021-07-20T17:39:10Z,finished,NA,NA,NA,2021-07-20T16:54:34Z,Repi,/avatars/jdenticon/Samuel,#8138A8,6.8320000000000025,white_7,40287,"white_4,white_11,white_7,white_12,white_1,white_2",0.13333333333333336,3,8.333333333333334,NA,NA
Z4uGdog32wDhkwPjw,NA,2021-07-20T17:01:38Z,2021-07-20T17:01:38Z,1,ExitSurvey,2021-07-20T17:17:11Z,finished,NA,NA,NA,2021-07-20T16:54:43Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,5.690666666666668,purple_5,5886,"purple_9,purple_7,purple_1,purple_11,purple_4,purple_5",0.08533333333333333,3,5.333333333333333,NA,NA
ZxbL2ksdEpEH3Rh8J,NA,2021-07-20T17:03:34Z,2021-07-20T17:03:34Z,1,ExitSurvey,2021-07-20T18:21:48Z,finished,NA,NA,NA,2021-07-20T16:58:00Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,6.773333333333335,purple_4,69411,"purple_8,purple_6,purple_5,purple_11,purple_7,purple_4",0.13333333333333336,3,8.333333333333334,NA,NA
8mmT8uxngnsEtBwLW,NA,2021-07-20T17:29:12Z,2021-07-20T17:29:12Z,1,NA,2021-07-20T17:39:13Z,playerLobbyTimedOut,NA,2021-07-20T17:44:00Z,custom,2021-07-20T17:16:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LJFr2DF8KghNenpQS,NA,NA,NA,NA,NA,2021-07-20T17:55:42Z,gameFull,NA,NA,NA,2021-07-20T17:23:26Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6LmyLDPtYLvfHqyKW,NA,2021-07-20T17:36:04Z,2021-07-20T17:36:04Z,1,NA,2021-07-20T17:46:05Z,playerLobbyTimedOut,NA,2021-07-20T17:46:33Z,custom,2021-07-20T17:26:29Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CqGNYgwtJZcCtsyvF,NA,2021-07-20T17:54:14Z,2021-07-20T17:54:14Z,1,ExitSurvey,2021-07-20T18:25:58Z,finished,NA,NA,NA,2021-07-20T17:44:20Z,Repi,/avatars/jdenticon/Samuel,#8138A8,6.533333333333336,yellow_8,10152,"yellow_9,yellow_4,yellow_7,yellow_8,yellow_10,yellow_3",0.16,3,10,NA,NA
PbkFBSjSacP6FbmxN,NA,2021-07-20T17:50:20Z,2021-07-20T17:50:20Z,1,ExitSurvey,2021-07-20T18:25:58Z,finished,NA,NA,NA,2021-07-20T17:44:43Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,6.533333333333336,yellow_7,149341,"yellow_10,yellow_3,yellow_7,yellow_4,yellow_9,yellow_8",0.16,3,10,NA,NA
bepzbWYXsiZpMapq8,NA,NA,NA,NA,NA,2021-07-20T17:55:42Z,gameFull,NA,NA,NA,2021-07-20T17:44:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dj6hRMp5EBbw6J3hS,NA,2021-07-20T17:51:16Z,2021-07-20T17:51:16Z,1,ExitSurvey,2021-07-20T18:25:58Z,finished,NA,NA,NA,2021-07-20T17:49:25Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.533333333333336,yellow_3,185796,"yellow_7,yellow_8,yellow_10,yellow_3,yellow_9,yellow_4",0.16,3,10,NA,NA
PKJyLYkaSMK3PpSwF,NA,2021-07-22T04:07:16Z,2021-07-22T04:07:16Z,1,NA,2021-07-22T04:11:46Z,gameFull,NA,NA,NA,2021-07-22T04:06:43Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ag35YjbFLzjjeMaDC,NA,2021-07-22T15:21:41Z,2021-07-22T15:21:41Z,1,ExitSurvey,2021-07-22T15:47:10Z,finished,NA,NA,NA,2021-07-22T15:16:49Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.288000000000001,yellow_11,1150,"yellow_11,yellow_6,yellow_5,yellow_1,yellow_8,yellow_2",0.11733333333333335,3,7.333333333333333,NA,NA
GzEbt9NLtAL4BCgCb,NA,2021-07-22T15:23:15Z,2021-07-22T15:23:15Z,1,ExitSurvey,2021-07-22T15:44:17Z,finished,NA,NA,NA,2021-07-22T15:16:56Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,5.306666666666668,white_6,3045,"white_4,white_8,white_6,white_12,white_2,white_7",0.10133333333333333,3,6.333333333333333,NA,NA
L4HnBuSDtPL7T2YvM,NA,2021-07-22T15:26:37Z,2021-07-22T15:26:37Z,1,"Sorry,ExitSurvey",2021-07-22T16:05:49Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,NA,NA,2021-07-22T15:16:59Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,5.1093333333333355,false,NA,"yellow_4,yellow_2,yellow_10,yellow_8,yellow_3,yellow_6",0.14400000000000002,3,9,22293,TRUE
updnHGdXfBnCtjukm,NA,2021-07-22T15:25:05Z,2021-07-22T15:25:05Z,1,ExitSurvey,2021-07-22T15:52:55Z,finished,NA,NA,NA,2021-07-22T15:17:03Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,5.941333333333335,red_9,8066,"red_10,red_1,red_9,red_5,red_12,red_11",0.08533333333333333,2,5.333333333333333,NA,NA
Mpsnxq4kf74TRd9my,NA,2021-07-22T15:32:11Z,2021-07-22T15:32:11Z,1,ExitSurvey,2021-07-22T16:52:37Z,finished,NA,NA,NA,2021-07-22T15:17:05Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,7.333333333333337,yellow_4,74361,"yellow_7,yellow_10,yellow_12,yellow_4,yellow_6,yellow_9",0.17600000000000002,3,11,NA,NA
CxfuY7FDfH2KAxosf,NA,2021-07-22T15:21:15Z,2021-07-22T15:21:15Z,1,ExitSurvey,2021-07-22T16:18:41Z,finished,NA,NA,NA,2021-07-22T15:17:17Z,Repi,/avatars/jdenticon/Samuel,#8138A8,6.981333333333335,white_9,15634,"white_9,white_2,white_4,white_10,white_7,white_11",0.14400000000000002,3,9,NA,NA
