_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.name,data.avatar,data.nameColor,data.bonus,data.clicked,data.timeClick,data.imageOrder,data.scoreIncrement,data.clickLength,data.rawScore,data.exitTimeoutId,data.exited
7kCCQWLkYhbhgoeu5,,,,,,2021-07-19T18:59:24Z,cancelled,adminCancelled,2021-07-19T18:02:10Z,custom,2021-07-19T18:01:45Z,,,,,,,,,,,,
Q3mguk8ezGrAoR6up,,,,,,2021-07-19T18:59:24Z,gameFull,,2021-07-19T19:04:28Z,gameFull,2021-07-19T18:04:00Z,,,,,,,,,,,,
rd6hAsTn45ywDTyST,,,,,,2021-07-19T18:59:24Z,gameFull,,2021-07-19T19:04:28Z,gameFull,2021-07-19T18:04:03Z,,,,,,,,,,,,
opJZBAegrZBTBgahz,,2021-07-19T18:08:22Z,2021-07-19T18:08:22Z,1,ExitSurvey,2021-07-19T19:31:31Z,finished,,,,2021-07-19T18:04:07Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,4.160416,white_2,-161482,"white_2,white_5,white_6,white_9,white_3,white_1",0.110011,1,11,,
MWdc5C6Rqz7rCartu,,2021-07-19T18:11:34Z,2021-07-19T18:11:34Z,1,ExitSurvey,2021-07-19T18:19:08Z,finished,,,,2021-07-19T18:04:07Z,Repi,/avatars/jdenticon/Samuel,#8138A8,4.2554255,yellow_4,1880,"yellow_3,yellow_10,yellow_7,yellow_4,yellow_2,yellow_5",0.12001200000000001,1,12,,
qNNHZG4JCrXM4zqZq,,2021-07-19T18:07:53Z,2021-07-19T18:07:53Z,1,ExitSurvey,2021-07-19T18:23:25Z,finished,,,,2021-07-19T18:04:09Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,4.067073333333334,purple_4,2017,"purple_6,purple_11,purple_12,purple_4,purple_10,purple_3",0.03667033333333333,3,3.6666666666666665,,
jgkvxoeQGQNM3PduY,,2021-07-19T18:11:19Z,2021-07-19T18:11:19Z,1,ExitSurvey,2021-07-19T18:19:24Z,finished,,,,2021-07-19T18:04:12Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,3.40034,purple_8,317,"purple_10,purple_3,purple_1,purple_6,purple_5,purple_8",0.045004499999999996,2,4.5,,
7hqPQd4z7K3puDdS4,,2021-07-19T18:15:56Z,2021-07-19T18:15:56Z,1,ExitSurvey,2021-07-19T18:26:52Z,finished,,,,2021-07-19T18:04:13Z,Repi,/avatars/jdenticon/Samuel,#8138A8,3.935393500000001,red_4,5374,"red_8,red_12,red_4,red_1,red_2,red_5",0.12001200000000001,1,12,,
MExwfaN7nb5cYvdwJ,,2021-07-19T18:20:00Z,2021-07-19T18:20:00Z,1,,2021-07-19T19:37:37Z,cancelled,adminCancelled,,,2021-07-19T18:04:13Z,Repi,/avatars/jdenticon/Samuel,#8138A8,0.340034,false,false,"purple_10,purple_8,purple_2,purple_1,purple_6,purple_11",0.050005,2,5,30705,true
YyHKq9EYbJumA3ANL,,2021-07-19T18:07:28Z,2021-07-19T18:07:28Z,1,ExitSurvey,2021-07-19T18:23:25Z,finished,,,,2021-07-19T18:04:14Z,Repi,/avatars/jdenticon/Samuel,#8138A8,2.5169183333333334,purple_4,1220,"purple_6,purple_12,purple_11,purple_10,purple_4,purple_3",0.03667033333333333,3,3.6666666666666665,,
