_id,index,availableCount,timeoutStartedAt,timedOutAt,queuedPlayerIds,playerIds,gameId,treatmentId,batchId,lobbyConfigId,createdAt
QzPhMakjnKgpYM9S6,0,3,,,,,,Tk8t7Yd3ssy2NqAGK,6ejZ6LTK3jtd88hLi,BP7PjP32Z33i44DLq,2021-07-27T18:08:12Z
h25CQ2paCKKx7DRWn,0,3,,,,,,Tk8t7Yd3ssy2NqAGK,DLN9HAkwwYA4Titko,BP7PjP32Z33i44DLq,2021-07-27T18:08:15Z
ANZTLczmpC8ZWgnEp,0,3,,,,,,Tk8t7Yd3ssy2NqAGK,26MoDLMEYDvkmA5vT,BP7PjP32Z33i44DLq,2021-07-27T18:08:15Z
uhCboJmpXE9Bxa6v4,0,3,,,,,,Tk8t7Yd3ssy2NqAGK,6qFcP7ziwydkze6tr,BP7PjP32Z33i44DLq,2021-07-27T18:08:16Z
xHasSxLe4nQy2c6jQ,0,3,,,,,,Tk8t7Yd3ssy2NqAGK,c7hhWJ4brLyfotLE4,BP7PjP32Z33i44DLq,2021-07-27T18:08:16Z
nXRHisqCSNBd8fqhw,0,3,,,,,,Tk8t7Yd3ssy2NqAGK,nxoE7YcZf3z67nM7R,BP7PjP32Z33i44DLq,2021-07-27T18:08:16Z
rRRkfBmRK8yb9Qckj,0,3,,,,,,Tk8t7Yd3ssy2NqAGK,7tdgKtafQ8uhPcdvA,BP7PjP32Z33i44DLq,2021-07-27T18:08:16Z
S3juFnJeMFvZyK6nX,0,3,,,"927hEFhenegNpNsAL,C5Pjbh7WsNPTL2Zjj,CRTm3ZghDEmdXfsXt,TntjcXtoGgsGFE2Yv,WPQcqucyaTGu8AS8C,YMS9PdQ3cJEQtxHEK,YvTKK8mYmdWfcN2N7,bCYz4EkpfBT2r3Ppg,dNXdwquyMtpih4mTz,jTPwrbxxweYSwK5Cu,jxedrgdKydEnbaBhQ,nmTXFZGT4wW3vkKxe,szhqwvimYitf5WjQP,zeBxZg78kSF2fM5xk",,,Tk8t7Yd3ssy2NqAGK,o4tX3GdrWgLKboWgu,BP7PjP32Z33i44DLq,2021-07-27T18:08:17Z
Gs57TAFfnqfQnpXZh,0,3,,,,,,Tk8t7Yd3ssy2NqAGK,2Qgw5jWJdD2vpjM8B,BP7PjP32Z33i44DLq,2021-07-27T18:08:17Z
RJu6F7TySEdDXy9bP,0,3,,,,,,Tk8t7Yd3ssy2NqAGK,Da8jdhbnofKRZJyzY,BP7PjP32Z33i44DLq,2021-07-27T18:08:17Z
