_id,finishedAt,gameLobbyId,treatmentId,roundIds,playerIds,batchId,createdAt,data.targetSet,data.sequence,data.numBlocks,data.condition,data.justStarted
bfkwKFJHE44AkQaWn,2021-07-27T18:26:31Z,bfkwKFJHE44AkQaWn,nZfcZPiud738QWMoZ,"7A3tg4CEP4fzKwB3T,W5PQZvubA8uR2oiSS,e2uisi9MFxwiAj8EM,ES8ftzhTqSozYgsSn,ECmZw9XRYM5SRb5H5,xmaTviATttRtqiswn,jAxaF2Zg8uupEEsws,GcN36jkkQxakQtyiK,jzs6xqppE7RFz677C,buQ8oSafMtJ5FLPM3,PpBmYBTPA4hfcHz2u,EkSskXimmbpiaGYv9,vr4yo8tDhLPJy2gBz,v5GRAdEPzspRPvohA,XwmeQqrXr9ixcgc6g,FgJBZprptBk5WBP5i,fpBJN6CZYSwxnNbqQ,qdrXXfWXtyhEc4DFS,qbHhrnnp9veH69pFN,vwN6PJxMepfZQ9RfE,XasRXzSQvv3mSPLfT,FuGR3D5yhRr5k2msA,WTenqGq9xdJBTpoRX,knBX66Hp9AcboXXJo,5v2Ni2v4Z7NkqiuSK,q2jjLwxG4aPs4q67G,N7zbrzRMrikSPH73h,YepeH8Rv75NfqQt5P,2ndnK563GRwRyMQhs,M7jFEm7CsS8KiHWwQ,zHSjcWaYhejNsNKWt,NfLRiFjmhnuyxMmkw,Hc8mK2GDhmDDqAynq,8TH3RtwR4qKcYdcKo,MZqmc34YZpyT56csJ,3PujHMgzWvDmRwzJy,uLLdGoeAXPxQ7ZF6S,MNHTzKtz6J6Dgcgha,q7Bgv4TeBKrtCz9p7,mYbS8xioe8WB4bY6W,tHPC2fqWFLFyxWYKQ,gqGoi2bE6YMPwZQtd,HChb4BhFJuxBuQp9C,abmqMHb4GCgRkkgBS,kKogRTs4ujzamziRn,iMJHLAntsSHf9oZaB,rufBM2sFFBzWMn5iX,Z6sW8ewQf3WWhbpqs","7HtytSJTDSBpTjaKH,NJ8HW4GSmaxgEcnGu,gKpY28vekLf5eSpXv",yX24PCELr47e362jb,2021-07-27T18:17:31Z,setA,"purple,yellow,red,white",4,competCartel,false
i3n3urioeG2JtJNsP,2021-07-27T18:27:34Z,i3n3urioeG2JtJNsP,nZfcZPiud738QWMoZ,"9ty4xoH4BTwTFCN4p,pYC4tRhg2ZBqBKxHx,DS7D4QrjssEDR8gNs,keaZycTtkdPt2sBak,y9hiz7f2Z7q46qXk3,oGvt4gwDZYuMrzuJ9,zBAiKRnvnKoDP6D59,uoKYFvYnhKr48Bfvu,NNQHfTEzTCsiECx9A,vpQb3Sd9B4zb7Q6eC,YnzoEdrMj6RSQtu3A,fmNg4GGiH5jqf9yt2,2ypGtL3GT7yjrpXjf,hg7ZFBvdgqGkv3BBt,iNYp5XFrqmmbRQm7f,R287u4CZ9HEoWEQSF,xf5ZY6JH4TW3u7Buz,mTWmkDkrPLE43Qbtb,BkBPgfQpufbFAwsuc,yDNALLKKyG4qp7Ba2,KW4va296gYys2ZkJN,tbpkMixp9rHwNWv4T,nesDRB3cot4ybAEEu,tzdyS6k4hp2i8tJwT,v4s4xDi66Qcd7epNA,rCDYQ8eyKKFEkncqJ,h82MZfH98RYjrSvG6,KMWQXrhtKKvzvznzc,7HmpEEtriL2AvKoHf,phmPBZ6ia5yun4DBj,mkRotL47jkBX8Fq3K,i5Dx6SzGN6wPnbJe2,SZcpcfQXr6MSHkekn,3GDh7TM4mjh8s6Dci,uaP8gFEqFS9WrsZGr,dZibBt9CxXCSxJoj9,2nvNGFhBNqYPraLh7,gEbL8DWGHDE7Rhqv5,QPgKX5xiBBXXGZTni,BxRPsKkXqt4vGAc9X,xaJyWxPoZ7DSWTJWd,oF5sD8n2MYvRLzroZ,ATEtgPX3oFkivMySF,DzjEy4THZXK2QcnwT,DbhfLAAaMgFhyggv4,7w8yxRm95HeoES2xo,qC63LuZ4bwJnowRQr,sDbRpQQnzoHFRZhAo","ACvXWPDuG8unQyFkQ,AGfvxRLPSPqWmCrHm,XNg2M7hMBBf8C5Da9",wxG8wWQ5f4ksSnsfJ,2021-07-27T18:19:10Z,setA,"white,yellow,red,purple",4,competCartel,false
PyBw9P8PCeMfakMTf,2021-07-27T18:30:30Z,PyBw9P8PCeMfakMTf,nZfcZPiud738QWMoZ,"RCbhNxJZBBzuzySs5,xvmAaah3upe6cqro5,qJzRXFD68r87XzExM,E7jYtmX7hLoew3xim,QqP3amyqeZc77RRvZ,8j9rvShKM3Rgywxoh,J3jhzs8uxJeYLNg64,hjz2hrMvthdzWCcso,jjiDCSPaJD5kJLbfd,XqM7ZnePEHf58SmQg,vvfJQxcxdEzLtf3oF,ACt8YBP4qt9zcgEAu,W6J3eFTKH6jdBGhng,EYmmS42KrLbAeB6Cd,BRbeYyvdAmRXCGNAw,SjwexRzPf9rZzG6s3,evcgmWGeqhtYMB7pz,bFmvwzHQqfbmd7bun,EBr5BW4MovyEdFY28,c8gzDcpTH9TQvvCke,JwLC2HZ9g6TpzzQMr,sYLmN9c2c6JChEL3Z,XmYzxaPgSHJM5LS7S,mihrbY7vJXrib8sZQ,HHTuEjixFMPKbPqij,X6C9NSaxAQC5jzZB4,TTSZjWzMrEwTfDLAx,kzcYk6NhW4Cwact5u,3qgGCcLg7bxbKa8CC,ZMKNinExpeSouZeY9,jEnesNAFpAboQRqD8,Xe7GTHRXW5iAewQri,nc6D2JPgRX4vtqQyC,WELtGDpAmhHH6tnft,M8ez88B5fgq6u7PTP,CGQBXd5J6TT3vEExW,CFtpsBR3wCxdAatTt,gMtHRx7qBHGwkpGdw,bMZP6uRKyWowYYADc,rAnq2Tb3mLthcgr2X,DgNQJhjW7rNz8aqra,brWiTmdw8EGThivMJ,hWACvDoEQXQXEHG9y,GxSwBcqjYSHHbWMhn,W576i9oqqoFMzTmNe,GgAcSByNDid5PLacX,XFecJHPPDeiWMw94n,Ra3oupeqHbfTHGGdf","FeRinagbznWpNiqxj,cyKCepXszBZDraTkn,dcJqwJm6ocXarHGBK",gTAHfLZgu4a7uJw2K,2021-07-27T18:20:41Z,setA,"red,purple,yellow,white",4,competCartel,false
o44q8DFNvHdsMxSkA,2021-07-27T18:30:46Z,o44q8DFNvHdsMxSkA,nZfcZPiud738QWMoZ,"DrhcqD47zK9QwKBDp,SoRfp6tiDcBKuGPwS,XxkXHtZfrrbGMkQBZ,FoKqLSApzzB6uwafv,eKaSwwDdRNW6Sfrhv,JkeSqXTKWtuKkLydB,6tmGs5jkZaWYdxHEu,oLj53XrfLcBaKreyf,Dp8SfECv5CAXSgtwu,oAPnRou2pFEWpky27,SYAkn27vgrkT9exuh,gyBnAa3Y9nfFS3MBa,5KdzYo4CTESLKZKsu,63p4s3YCpaNam3C2y,eB3YPvHjcmxN33oz9,RdNDWs2YJRhnaNq7N,GesfhyC5m6ncQ4sno,vEkNuLRXbQCLA92hy,sG9PHfdZBQ8gZMjos,8dd8yg9kYnjWvLnkx,T2NTLeBw24FJuJFRi,FKgXBN73fpQuSq3QS,MWuBK2BCiXdQE6T2d,hwwc5Y4uRcysivmYE,ygrhDxqgrC6qQCYks,EhW4dBjpms8oDC5GG,ThyfNQu4XRA6NxePc,moyqwBX5vseBEDxSt,kt5wDFcNm2mNGZLAZ,TSswmmxsDo9Px2wqi,LNm4TW5vjHZD2AsZs,rR5w9P7aKjSGQXfkg,m6tbnth3ZYLHXGLYT,FYc5irFby8py32sai,WfFmXbB3kNRteLaCq,hQDgQ5ajAYqzA5zcL,j59cSZBvwKP62e7sd,X22PC6TXBkvX3Lubw,sbmk3TxSHffKpdw2F,HHprz5gPWnhJB8KYw,QQLsn4TBhKgnPf4Ef,eqYGsb7zdmW5diREc,WmYmy4nLKxdPhoxvq,6FgE5tAjzZCgj6mWg,66vZyeaRXAk26ZBry,dmCNWAw7iP9z65Ac8,XHyQfy9GdPoc8j47i,phCmHnsHi8uvWsM5M","FF7yDoD2WztvWBJXR,X23NKx97hSCWAR5Cv,ssKD7MAzdrtv5fFGH",sHTeoAyBjwpMsdjbc,2021-07-27T18:22:00Z,setA,"purple,red,white,yellow",4,competCartel,false
3ARnBNQipsY5gyTFb,2021-07-27T18:33:27Z,3ARnBNQipsY5gyTFb,nZfcZPiud738QWMoZ,"zevR2PzaXm9A7wgJa,k2gz6WCKCJkezAQaR,77MtPsTNSzoKgWD56,mMyF5PPNzxjgFqmSd,bxi8Rmoe3BmpPnfTy,zQZfqc27Wx9BZpKxc,ZSk4KHTaRGQmm5SKB,3eB4RwnvDdEgHLHJ3,QfXRqEMT6TgQc9dzh,zXcP83APmMNzvo2R5,y4gQfoBeMufP4X58Y,Q4jcTs8rWCXc63zN7,7Y53MJqo9pr2YRXPb,bqi2tux8hCKKvLFxv,spdSWqv4Ka3zLi7vB,f3G9r4dWbaN957c9v,cgXgafmnf6KbEhEti,dZGWiGc9dFm2tRSfn,7e7o4W8Ts6GBWTfmF,hxNqk9RDFbvNQKx5H,BPbEExuZqj95m4wN2,gnqds5q4uJyk6RFo6,hpsJMZNShuFe3eNpF,Hp5Tk7rgXEYRCmzbb,2dqQavR3JBcJbQgRi,ACKCSHLf9mTFCgzin,PtT9oJS3cALoxsRe7,zBLFuWFr86SnEzEFQ,Lp2AJC8ggBqGuk28M,APiy4NDCXX6Ris54H,YqFKRS6eTLMApdrAL,GnE394mXPAfW2Ck8a,JKtkvKDfnr2hq475F,uaxy54hDqtGXdeZ5v,6kK3JRvSBEM4g7Fnm,ToqwykNHAeSS3fRaQ,mW3uPpKJvYXmrWs7G,NkZTRZ9Qfy7TyqcRN,AwbjqPKpzimax8xhc,2afEWtPZaRD5NBmgA,nvZQTHHJdgB9yCMsG,qDRN8kDFwgAMLTsf8,roMNaG2MbvDH6GrMx,jCNt47k77ERkqRfDk,qGpyWbPhxiYeKpcv9,a5ywmTtgFXHTgNdwo,GsJHiuS2rSxBwLy6K,xtru2uynxF7QjajKN","3QDnigJq3aDDNdvJM,JJQQSQYsqpD2D87Pa,dnB9hbBA6dmZago9h",K6A3m8ceHamcp7Azr,2021-07-27T18:24:38Z,setA,"red,purple,yellow,white",4,competCartel,false
L5HEFdahZKeBJJG2F,2021-07-27T18:34:18Z,L5HEFdahZKeBJJG2F,nZfcZPiud738QWMoZ,"w3wCzQmNXjLs6eq6B,mtM4Er96Fzs36Pwam,WKzvEPkXwbbXX4Thz,qLpeMsGr3hrJDAkHz,7QnSE5YmCYc5opRBQ,bHobcdKLr9u2NAnqu,8zAfkHbMky3ECcBC9,fWppcCosqQtA8DBDq,vNkaQTGAiA67gu7DP,jPWayC8K2cKcX5ocP,T6jxFWrD92AWe9uTJ,mStw2yynMmC4kRpYP,XvNiogTMTCAsGi9ZR,6DJ36L3Zo4T82CvHu,aL8zFe8KgDbA2MSX8,3PrMSGZm3uihkbczL,GMSWh7Ww7mcGtvwxi,F2EeLgMjKKZomTRpk,FZp4Rj357Laja5xW2,rDbWQsLeGA3HgifXy,ioBP5cScFBtZK8NDp,8PeiyYgWY85tQhDD6,o26x6ZpjePo8ePKnr,oHDAGDZ2PRbSMdAWb,iJWaPJuvwNhaZjRLq,AuvWtKNiY9LZCitu5,SPSJMJPRp5jYEWngH,NfoQxC85GMKMmYPN5,jrhzuuJL5pgTCDZG4,32wwNbBqwDYh2ZTaX,Bx3M8qzNZweXQnwkc,mtjjdxrnAWLRLPcBa,r8ESJRtq9XSbfoZXz,kQkZaSgHxgXc54PMS,3GFd72bruazyWpjTe,efmRekSoSDXCkJtrL,Anw7Cgb5StSvHNHAy,deeH5Woii4LEaJwB2,x2ke8wQXKcqgFWvBY,cuTKATm7FbCLBXgLL,S4LEW9sZAKWwXWAuT,9xzb6p6TRK9cSREWx,vYtYtYXhFYnWmzyrB,LpTmeGEwvBS9cD8WT,2vm4ndiNvcPhQzoXq,6TLhz4ELCRXAJFMfK,P8kLAtx7gwgqcs7Xt,yqYasw6eZEg7vtnPw","3Nnn8occqoCGmgaNs,fjmDxSzZK8TzeuqET,nK4mWHYFhSGTrNjR4",YAB7akCp4GqbTHtFu,2021-07-27T18:25:45Z,setA,"yellow,purple,red,white",4,competCartel,false
NLiD4cCfrFssACEda,2021-07-27T18:37:49Z,NLiD4cCfrFssACEda,nZfcZPiud738QWMoZ,"NMoEX929RKhTPtQJK,83AJBrNCitysuLqSL,5qbEDvLHAeJPdpmk2,4dcNMb9gcNjzEZSWu,hzLc8bb2bTidZjaht,23ptzbE5uwcbXnGJo,22HyaWbzraHbGgHE9,W6QLCoEGp48DPAGDN,46fY7YKgEzaqPZzEj,6yjbD5XX9gdAoJwip,JtCjFdfLctqhBtHLW,mcq9tbWRm6FpNxuRR,NoB8i9zXbiK3LiHfL,Hdr4JWpW2PLoZTSD9,QHRJCMg5M3yhrzsp6,L7HqsiDT4wKzJwCNm,oLb7vzgfmME9JWx3w,QhitAbERC6PEucCmw,uAnsWcX3PN4Pqgx9G,Ziw8Tgenz3okzGYQR,zaYSH3ZXLh93tvdTa,3afdXzXgzRqFywyY4,taw4oa9m9aPxSDDgA,mFQAXpzw8tCWYGNwo,gB83NCj5az3wi5oYg,WDSB7aSe6R8SRo2FS,Kmq5XSyYi5E9AAx9k,D3dr6WdeC5dMdebRB,ChuoPb2TrLjv45kcK,hsRJFc7t2QEiExtuG,hKcq4Xn2c4sKzDEyt,gqHbKdDtfXzbA4Y5q,ysu87kmNPpmnoHZWD,jKJmNfRTeJmG4XTDq,8ev2dW3GFoQ74jMEX,f9QPwRGEduxbrFECF,5Po2Ec4Gxk6XT7Pnr,KjRrMbS3gQaHyLJRZ,WmJbkX5DqjEsWCtoJ,QyedKqA2ZfP7S4Mf5,RgY3XrRvsHPA8Xc7P,HT8w88M2Wpp8zKkjh,a4WKaeYa6wwhJjD8f,i3Hx7WxYaxYRsjXmM,rFgJEMxuyhHYia3Be,63jbz7DFSsR5rhEY5,XzPH5mSj2vz9FdGtW,kzdRDdFT4KNsmfT3o","3gwzGNe8M9GMt7epn,BL94px5JToAxFxBsF,QGAj2LgJHqkpa4fdu",byNX6tmLTRrTzu9F3,2021-07-27T18:27:05Z,setA,"red,yellow,purple,white",4,competCartel,false
PaNhuvm5K5HTTudA7,2021-07-27T18:38:53Z,PaNhuvm5K5HTTudA7,nZfcZPiud738QWMoZ,"9KMfjziXGbRWirqXM,4XXAvSbG8AybACk8Z,JofDiRkmxecgvfiEP,4vJ4uQEP4pp3ksL6E,ePdtc6c3uAQPet6Mq,gFPCBKp2nAWFNoEyw,pYMybrugpBohRKte5,zzewxynxyY2NW87RL,BSra4z2wSA34BbtbQ,ue2h5PRJMrMwtst7t,RH6m7qEzaizDrQmvF,xYRSmTLqQnnAGDecy,WnDYfooc3XrGagf3k,JDqGZcRrM2Hw7igMG,XgeRFZocatKawNcyc,zJXPxpikaxHAWd8AF,Xjb4rXwswTSockef7,WTJ9KZzhbew3N6wWC,fwA5u5jWX2sNx6dau,Y2Cf4KD3mJmjmxTE5,jLmFvLosyZTWwwGZF,igfibx2tYMMtfg4u2,o9tAbmLyvA7FDoNpF,wNYxb42NJkZhqEpKC,WHWBP9MsNMTbcuBid,BEYqgfaznEmhrExhT,XjwPMpsCP2TeQLkPC,3AMqSStDsWLxS93uq,EzmTpj6yggvPjrKGN,tKRvB2dhmRbtiioSh,g6iCcMbWRx3tLCLAA,CDvFCyAqCpTZ5DJ4T,jtDzehgRQcgvWg7wo,9Xd2Rdjrt8u4zLraE,AgZgd9rx9z9puJqpY,cgL9aF8RwB52TninR,LfQSuEaRAK3Wwu7JF,bJgMThHees9KJ2PBs,79yaXRJ3JFeLqSsdv,R32Q9dRPYCXL22wXg,6rdCbA2easADqGBcb,tP6m2GtacsMNpemcR,7J9aoxkjQv4C9Xyne,J3qBBWMBXo2mZTQW7,myZ3jDJj3qA2fW89j,Xhik6F82owNXswcjm,a4QzRG4cogKmxSFyv,4qprgXH2ZGyYx2Srz","2ETdHoh7pz3ZoH5cg,5uvD5i3LMJuJoEz85,TrhaJ3nKf55WBJNzE",wFAxD5hG9mRXpbX3Z,2021-07-27T18:30:04Z,setA,"yellow,red,purple,white",4,competCartel,false
SBAjPx7Rx8udYicPJ,2021-07-27T18:37:50Z,SBAjPx7Rx8udYicPJ,nZfcZPiud738QWMoZ,"F5oe9Jf5JdpCMAjxB,v4Ff9m4oShwxzRwPb,u5vKF7BF428Wkmyqe,ti9md9dzeMShn63gj,jcEoNmRWMxFYkFHYD,dTDCQwdiz8jcPMv6w,X84XzFYj47F7BxW96,SEFtkmQBp5Criyfx9,Qt9XysHC2oBkRqpRn,diYDQoYuqd4mSbpMX,kJeFYcQ5nEehxFHyX,9X8xubggT7f3bj6iv,2mpGnAA99bEaYPqEY,ewJPtQFozeLLPc2RR,58HXeT7pLcDzhfDjy,D7iD7kLDNcrHoJThm,zAi5LmExNdZ2YiyvC,tBnYKygsPGFsemt5u,cCXvQgBZLi3xFguhW,Bv8m7kCPBX9Yyk39i,6SWn4uHcMxCkmivNd,2kGBpYmRbNqJJKWvR,Y9ybvDbveh3CmxybC,dAcjbJtb7vNNtHwCr,jeju9xQApJYx8eSry,Ez6PbsoTXQ2Kftpjo,oZRcdvND4oKKKxJeq,WKyxhLWAeF7ztz6NQ,KdC7zyixk83TQp8Pu,piBkCPwQQAssH4o2v,6a4Cv6mKQHFgrmMQJ,DkJ84QNkdosdm6Rae,FLrw2moXFbfHuti7t,QLLPANiXvF8w6QQ7i,Xkr5bPjaaMEgwq8bz,X2rmRzkzWY9wdWTWi,SqPHqwfhFBC3qfd8g,ssAaJWb3XcMSA4oBk,cXgdgFJoYFSGtvuEY,esirxAa5L52CdXi9v,mnT6fk3dnGkykQx2z,fSdYZQq7rKx6i528q,C6CrRaSqppardHbsM,NWEqg7Q2jzv3GzcF9,4XpdF8k4tEXowLRqD,p6cH8iLXLogdis8Cu,BNEy7CogTRzhPNfSy,HrrvbfhSj7NRCX652","4nGB9WDLQmfuwb6YD,DagJhXaG5grTvAFXB,mnCtNTkwCbKKBgDyK",JzQn2ETLJceAsqgkx,2021-07-27T18:30:22Z,setA,"red,yellow,white,purple",4,competCartel,false
tciKbfsgnrrnfwS5Q,2021-07-27T18:40:36Z,tciKbfsgnrrnfwS5Q,nZfcZPiud738QWMoZ,"MJNNYkCHLQM4RWK5L,9yzNuuZzkTpCEN9Hg,Cs9qi9r4cHgWsEZHq,F3DCfFKpRwmetvf92,j7TCPPytp8863KPgf,4agFdBLesisbaeFo9,iDgwz4QQw5DaoF9bR,LBXZjd2YPzh4ysT9o,Xh8gaq3GQyNDo82um,wA2n6o6CEnpWkEHuT,k46mhWsjBaq3f6NM2,adnfFptgPZyKd9qok,6GWf4k7orCMZwu9te,y3vaDaFqs2HPGD3aB,vRFT4qg4GrRQRAMzt,j8C8oznKYDjdsy9PM,QnsBjEnRvqNi4Mu7C,BR3rPpTbKyfLBixmE,NvoyygNvtd9fui8q4,7CzR2uQd6XepbH8sG,krDFMMhNY769zD8zx,zrEp7PxxBWEd5oJZ5,7KNgwR5KsLKKhK3vM,7M4nCAod44k7yhEho,GBJeMqf6kNjQbGgRb,SzobAdXvn9e4uXSpa,ym3pnsjpqRWZfcjne,EKFJ7GKxHwK4F9S4N,hqWGpP5ZPhS6rDC5d,TNMtbwAz7TBc2HEoa,xN8senFo84a7e4dvT,r6m2wEzbyvDjx9sqX,ob9epJjz5FZoaCmhm,tpFnmKwyzrkYdb4Rx,WAqxsKg82fzy6baP6,E9dAfpB43WoHg5No5,fM8aGAxL66KDGyywa,H33tDKrQutduPRQbY,Zej5Trc2sXYt2aKa5,jNf4cCe6LwewfhfCJ,oCkWEB5YPh682jGHD,Lqrs3wK3Y2eiT3GSc,AHiSipC4ykm6m8qB7,dr5kSrHbcmYGRdb95,MmMeYs9R8RhJPoR9v,eC2Zv4K6oTiqvx6Ws,bbeuCTDcRH75iv5T9,exn6wC55EnM8ybxBR","2gePatCAmSHf5wAEo,ZPtPsfG9bpRjWQtdt,gPopSHDsdxceEWdgN",wR8BKDZ6mHoerAyJp,2021-07-27T18:32:13Z,setA,"red,yellow,white,purple",4,competCartel,false
