_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt,data.log
CS6KtzcaXdhLmSyDw,0,selection,Selection,2021-07-27T18:17:32Z,180,7A3tg4CEP4fzKwB3T,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:17:32.200Z""}"
wJBSK5BkYadTa8Aoc,1,feedback,Feedback,2021-07-27T18:17:43Z,5,7A3tg4CEP4fzKwB3T,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:17:43.031Z""}"
NcBsSenuiEsgEcwbD,2,selection,Selection,2021-07-27T18:17:48Z,180,W5PQZvubA8uR2oiSS,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:17:48.476Z""}"
SoKz6qJ4ujhq3Z2yy,3,feedback,Feedback,2021-07-27T18:17:55Z,5,W5PQZvubA8uR2oiSS,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:17:54.982Z""}"
6oZ3hzg3D2v9fM459,4,selection,Selection,2021-07-27T18:18:00Z,180,e2uisi9MFxwiAj8EM,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:18:00.485Z""}"
57Hh73WDLZJyncMD2,5,feedback,Feedback,2021-07-27T18:18:13Z,5,e2uisi9MFxwiAj8EM,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:18:13.029Z""}"
E6hSeQyjZwt6eBBtE,6,selection,Selection,2021-07-27T18:18:18Z,180,ES8ftzhTqSozYgsSn,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:18:18.512Z""}"
ehbr7BXD767Q25XqH,7,feedback,Feedback,2021-07-27T18:18:25Z,5,ES8ftzhTqSozYgsSn,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:18:25.470Z""}"
Y4ZWtcmqy2EArp2EB,8,selection,Selection,2021-07-27T18:18:31Z,180,ECmZw9XRYM5SRb5H5,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:18:31.605Z""}"
4bmAArtCSfaxkgmRN,9,feedback,Feedback,2021-07-27T18:18:37Z,5,ECmZw9XRYM5SRb5H5,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:18:37.313Z""}"
YsATcHZGAYW9yXgnb,10,selection,Selection,2021-07-27T18:18:43Z,180,xmaTviATttRtqiswn,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:18:43.487Z""}"
JcAQwo6WsFe5NNYaH,11,feedback,Feedback,2021-07-27T18:18:49Z,5,xmaTviATttRtqiswn,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:18:49.404Z""}"
yYGTFu3PPC4Z7jThq,12,selection,Selection,2021-07-27T18:18:55Z,180,jAxaF2Zg8uupEEsws,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:18:55.495Z""}"
zJkPdYCAjdhJajFnK,13,feedback,Feedback,2021-07-27T18:19:00Z,5,jAxaF2Zg8uupEEsws,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:19:00.346Z""}"
JBprKhBmP5PC9nsWX,14,selection,Selection,2021-07-27T18:19:06Z,180,GcN36jkkQxakQtyiK,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:19:06.524Z""}"
WMtrw9miN7u5Wztsp,15,feedback,Feedback,2021-07-27T18:19:11Z,5,GcN36jkkQxakQtyiK,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:19:11.146Z""}"
ejsJZeZ8dYk9qRzn6,16,selection,Selection,2021-07-27T18:19:16Z,180,jzs6xqppE7RFz677C,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:19:16.533Z""}"
ytmdpagK2Z2S8CGcy,17,feedback,Feedback,2021-07-27T18:19:21Z,5,jzs6xqppE7RFz677C,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:19:20.876Z""}"
vEn3RMchg2XbZuRGC,18,selection,Selection,2021-07-27T18:19:26Z,180,buQ8oSafMtJ5FLPM3,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:19:26.521Z""}"
2DkfAtebs8aYxJJK4,19,feedback,Feedback,2021-07-27T18:19:30Z,5,buQ8oSafMtJ5FLPM3,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:19:30.061Z""}"
CvCGHP9RfNwoCji6W,20,selection,Selection,2021-07-27T18:19:35Z,180,PpBmYBTPA4hfcHz2u,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:19:35.517Z""}"
BamNX4yPXvaQzmyfJ,21,feedback,Feedback,2021-07-27T18:19:40Z,5,PpBmYBTPA4hfcHz2u,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:19:40.103Z""}"
jqevPM3MGKs8fugwm,22,selection,Selection,2021-07-27T18:19:45Z,180,EkSskXimmbpiaGYv9,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:19:45.526Z""}"
xYXbBAmBxWEMBpZ8K,23,feedback,Feedback,2021-07-27T18:19:51Z,5,EkSskXimmbpiaGYv9,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:19:51.684Z""}"
dmcsCsKzKfqHkkrsx,24,selection,Selection,2021-07-27T18:19:57Z,180,vr4yo8tDhLPJy2gBz,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:19:57.626Z""}"
Qpzif795qGTgCScbA,25,feedback,Feedback,2021-07-27T18:20:02Z,5,vr4yo8tDhLPJy2gBz,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:20:02.157Z""}"
ksPqWCvAwvP6vydTH,26,selection,Selection,2021-07-27T18:20:07Z,180,v5GRAdEPzspRPvohA,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:20:07.548Z""}"
WaTGryPvtv5FgipXt,27,feedback,Feedback,2021-07-27T18:20:14Z,5,v5GRAdEPzspRPvohA,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:20:14.442Z""}"
ya75zZLPPCATtrTdg,28,selection,Selection,2021-07-27T18:20:20Z,180,XwmeQqrXr9ixcgc6g,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:20:20.554Z""}"
MDZhYjxLQffKEQyeT,29,feedback,Feedback,2021-07-27T18:20:25Z,5,XwmeQqrXr9ixcgc6g,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:20:25.336Z""}"
m8ibHh9ZN9SCpbp3F,30,selection,Selection,2021-07-27T18:20:31Z,180,FgJBZprptBk5WBP5i,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:20:31.576Z""}"
xvn2355tzedqWaPKv,31,feedback,Feedback,2021-07-27T18:20:37Z,5,FgJBZprptBk5WBP5i,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:20:37.123Z""}"
iCH7Rdtixj2xyTRwz,32,selection,Selection,2021-07-27T18:20:42Z,180,fpBJN6CZYSwxnNbqQ,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:20:42.589Z""}"
TDifueymxEW6abr3n,33,feedback,Feedback,2021-07-27T18:20:47Z,5,fpBJN6CZYSwxnNbqQ,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:20:47.373Z""}"
579maJb2vAtsdTLTY,34,selection,Selection,2021-07-27T18:20:54Z,180,qdrXXfWXtyhEc4DFS,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:20:53.756Z""}"
4QQGZDKSQwK6PxTNm,35,feedback,Feedback,2021-07-27T18:20:59Z,5,qdrXXfWXtyhEc4DFS,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:20:58.861Z""}"
yDinHTHt6JXnLdhzd,36,selection,Selection,2021-07-27T18:21:04Z,180,qbHhrnnp9veH69pFN,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:21:04.588Z""}"
SZzCnSKoWQ2Ho2zyf,37,feedback,Feedback,2021-07-27T18:21:09Z,5,qbHhrnnp9veH69pFN,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:21:09.303Z""}"
86ZpqEmoAXhN55odC,38,selection,Selection,2021-07-27T18:21:15Z,180,vwN6PJxMepfZQ9RfE,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:21:15.598Z""}"
DsLdkTG86ieCcvKkG,39,feedback,Feedback,2021-07-27T18:21:20Z,5,vwN6PJxMepfZQ9RfE,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:21:20.666Z""}"
DmbkeHqwb6iXWLhof,40,selection,Selection,2021-07-27T18:21:26Z,180,XasRXzSQvv3mSPLfT,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:21:26.611Z""}"
sconvr4JoEui6d6aG,41,feedback,Feedback,2021-07-27T18:21:30Z,5,XasRXzSQvv3mSPLfT,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-27T18:21:30.656Z""}"
6q9PAj5Ax4MKktM4x,42,selection,Selection,2021-07-27T18:21:36Z,180,FuGR3D5yhRr5k2msA,bfkwKFJHE44AkQaWn,2021-07-27T18:17:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-27T18:21:36.627Z""}"
