_id,name,value,factorTypeId,createdAt
H6mfXThg4jQ2annbb,minute,60,kJddTH8X4Y6Df7SPA,2021-04-07T01:08:22Z
PhWBYRyqGv7hpZbKm,prolificPilot,3B021164,oTmtc6KmQb77CaDTC,2021-04-07T01:08:22Z
6MrFJYnfziMgRMbZq,lots,200,kJddTH8X4Y6Df7SPA,2021-04-07T01:08:22Z
xWQjpcmpuWmZXGA7P,Triad,3,LWWjuzWJrQhuWuaeh,2021-04-07T01:08:22Z
xWQjpcmpuWmZXGA7Q,Pair,2,LWWjuzWJrQhuWuaeh,2021-04-07T01:08:22Z
xWQjpcmpuWmZXGA7R,Quad,4,LWWjuzWJrQhuWuaeh,2021-04-07T01:08:22Z
WPMyAs4AHQkRbejSw,One,1,uWvpQqxyNi8Dz6CSn,2021-04-07T01:08:22Z
bMLyzSZu2NMqPxMp3,Six,6,uWvpQqxyNi8Dz6CSn,2021-04-07T01:08:22Z
XxGKfzAdshtarMJ8v,five,5,tJ642Av4buu8Q5w73,2021-04-07T01:08:22Z
ivrbpviGCdXTDsEiZ,Four,4,ZkXeabrJhX4KfX8yj,2021-04-07T01:08:22Z
hsiunZ8b68hKxbnPM,Two,2,b5miCkhM6uwYKF2Sn,2021-04-07T01:08:22Z
8s4mWKpqFF83FP3X6,test,LCX2Y5GM,oTmtc6KmQb77CaDTC,2021-04-07T01:08:22Z
pWeADdnYht6s2XmXy,threemin,180,kJddTH8X4Y6Df7SPA,2021-04-07T01:08:22Z
n6akL2KMtAmNNT2MS,All,6,ZkXeabrJhX4KfX8yj,2021-04-07T01:08:22Z
wsDuqNzmgXecXtHLR,Pair,6,b5miCkhM6uwYKF2Sn,2021-04-07T01:08:22Z
N426gB4dWdJiZeyon,April7,63E387C3,oTmtc6KmQb77CaDTC,2021-04-07T01:08:22Z
d9ABRt3W7ZssJnyFZ,true,true,K86LrpQD9kfzZTT7S,2021-04-30T19:13:42Z
8toPT8qHJZqF9fvHz,false,false,K86LrpQD9kfzZTT7S,2021-04-30T19:13:42Z
tbrmbrEbCZovKMq64,setA,setA,NdwKxvtL5ibRjTYBh,2021-04-30T19:13:42Z
BhQi7sMQc7Xn8XfvN,cooperativeCartel,coopCartel,vEbTwwQmrSWHfYeF4,2021-04-30T19:13:42Z
b6Mw4aN3PPoPvg9zQ,Six,6,2YZvnSnu3ft989qpY,2021-04-30T19:13:42Z
Sw72ohJbi6YPGaoij,Twelve,12,dXoDyaNp7iLQGpXsP,2021-04-30T19:13:42Z
ttoh8hn8bSDbSJ3gu,competitiveCartel,competCartel,vEbTwwQmrSWHfYeF4,2021-04-30T19:13:42Z
ShaXLWHc7zKxb7N5Z,One,1,bXvGAr4hy9EPmQ8Kp,2021-04-30T19:13:42Z
9ib83Q4z4ZSEigvvN,one_fifth,0.2,bXvGAr4hy9EPmQ8Kp,2021-04-30T19:13:42Z
5XZDmt9Lfoe5HjZBN,coopLang,0.15,bXvGAr4hy9EPmQ8Kp,2021-05-28T20:41:36Z
Yh3z6HadySgFoyADL,compLang,0.5,bXvGAr4hy9EPmQ8Kp,2021-05-28T20:41:36Z
QEiiF2yrGiTYQ322J,20210428,21CC734F,oTmtc6KmQb77CaDTC,2021-05-28T20:42:51Z
wM2u66JSw8m6gFcQx,true,true,8ZYC2jZrDkoZvXGGS,2021-06-28T19:34:08Z
CAH39yQjjHz5sXrXz,false,false,8ZYC2jZrDkoZvXGGS,2021-06-28T19:34:08Z
KN7WR3PnKhPnzBCL5,coopNonlang,0.25,bXvGAr4hy9EPmQ8Kp,2021-06-28T19:34:08Z
BtojAaAq4T5Fju83x,compNonlang,0.7,bXvGAr4hy9EPmQ8Kp,2021-06-28T19:34:08Z
C9dezJrGh3zWFoNWM,aa_pilot1_2,77F876F5,oTmtc6KmQb77CaDTC,2021-06-28T19:35:30Z
N5AeCJWgon8ZsHAe4,coopLang_x2,0.3,bXvGAr4hy9EPmQ8Kp,2021-06-30T16:30:05Z
MKrgAJarWpDi3zs8P,coopNonLang_x2,0.5001,bXvGAr4hy9EPmQ8Kp,2021-06-30T16:37:01Z
qmPFZcm2JZ8bK5wXG,compLang_x2,1.0001,bXvGAr4hy9EPmQ8Kp,2021-06-30T16:37:21Z
kozbsmPCzv3cRj8YN,compNonLang_x2,1.4,bXvGAr4hy9EPmQ8Kp,2021-06-30T16:37:36Z
BqTrrEDPHPXHHv8b9,compLang_x1_5,0.70001,bXvGAr4hy9EPmQ8Kp,2021-06-30T18:35:52Z
Yf7NcrEDFdYq4TrjF,test,TEST,oTmtc6KmQb77CaDTC,2021-07-19T02:02:47Z
pa4NDkMQdTxqe6xL6,coop_choose_3,coopMulti,vEbTwwQmrSWHfYeF4,2021-07-19T02:02:47Z
S82wq7arNtEmNKLWa,multiLang,1.6,bXvGAr4hy9EPmQ8Kp,2021-07-20T16:45:51Z
kiZtg4MRtuYo8jdGc,multiNonlang,2,bXvGAr4hy9EPmQ8Kp,2021-07-23T16:30:22Z
