_id,finishedAt,gameLobbyId,treatmentId,roundIds,playerIds,batchId,createdAt,data.targetSet,data.sequence,data.numBlocks,data.condition,data.justStarted
YmfiWLZCjuweB8ubM,2021-07-23T16:40:28Z,YmfiWLZCjuweB8ubM,MFmT2h4fnR29aemmw,"4vNxGKmwjQxfYCqzj,zh5XcvqGiTkXW8mPu,AnmZHL9p7jYpECotW,JEhy9zAYFtCGFpA58,HDamn7mKpJuzQEGR4,Q8cPA9qwJS4tdCzDg,oEkMaY8mvPw2zfqXr,7T5AHXDeExEmuNWGe,yFG6TsWkSdihmNMR7,oTjGQf6rnvHeXgo5A,b3nZRPgwLggeZ68g8,zcK4A9uGPiCTLPf78,yKe3GMXRC2dP7CFLv,9zkpreAuxqgv6cR9d,hYmq5XTZaJTtYnDd6,CoGAnxoRGnABCpY2e,dtW4DnDyKqswaBYJ6,LJYjcXkqm3fZhxcAC,jxn2gvK2Ne3aGMAY9,cngvAt5tPhfjEdKK2,7JmdEnJwbD4Nc8uWd,e48KGuzBtwwuSycAm,FqvwcEGjd7Q3vEeQA,KrBE2iuCoLKs4Knh7,3w3Ntz6TSLDx9EoBt,xwsBSRuubv9wQeNzq,TwMvQkGRvSCFv35WP,muFHvLHZyQrhfKZSL,476rR8Juz99Aw3YjA,tYv8Q8EXKvdQKM5gc,2jQkoYnwasEcoe35R,BW8Y3JGTfT3pT8qDs,y32iY2X4zSYw74BTG,RW86PiSwg5LxyjMWX,AdFwLMyz9mcYPQWmw,62BPkCd2s8uLmLea7,CKbxMTxibZTxBybb4,wf4ZxGEH7hD8KoBhN,ehpgMKFmrcQGykjdQ,peS4wuzwhoG28poJq,N5urtvPtJYpDuRiuS,9xLvtcRyiWnEbbTaR,Day3XHHTZge5ybMhi,yD63ngT7w7X9b5kty,bfPgpwPqCzvpPdeh4,YMgW73p9A4oEz8TJs,iXHgMueisPJuStp2x,Nq9e4GR5oFmHwoPJn","N7EYBSf3Ds9jMaWgn,Qn9ixdJ4uqRMW83vk,oc69G52JjStmimSB2",AZ8XaRijgTpvBwkqX,2021-07-23T16:35:58Z,setA,"white,purple,yellow,red",4,coopMulti,false
qHreQuZxvjnhsR9xR,2021-07-23T16:44:21Z,qHreQuZxvjnhsR9xR,MFmT2h4fnR29aemmw,"M9tMjL8BaQoq4f7ra,kraTbn9s4W8btrzdo,nJn4Qkj7HvC9j5gfX,pJ8Bi9yz4ymqbbB7k,44disaWz5Qv64MqGG,HnbdKzahzmZedgHuA,nqHHf74fRArif4JwD,uqCtNWnBkWX6qmZQM,JGLbKBC9Nr2LZtoM6,oqosPKKAyNfJmsvgf,Sj8xm5BepXvj77rsN,H65SrbwjasQu8RjGL,BN3Jgi3thDfdf5R3F,P3R5hTpwQGMzpkjWL,EAtEig2hy8L7woaZn,fte8SA6Guh5GsDnD7,NBSffrSQz7X7W9j9u,ELp2upf7gKXGEoGZN,inkAhpXP8xbLoLtYR,prgz9R2eD9P3udQYX,SAaEQ8WBbXJu6drZA,zct3KY7HmzHiEs4mu,TPboRyxXskYsbWC63,eHtpkxEwWoM23tCpr,s63TMfwGgkLPD6gGT,ZqReMw9t8RehJzSd3,J6b9FvzFuDAv7Zk5L,wJiuDL6xQjSjPZSvh,BNrgjSRwmugaAXoQS,FL6YoJu5GaWpXQXa4,r6AbCFpBCW6QcyooX,m8qq79ERQ2u7S2cxr,XCeNkJkhoQKN5kvxb,i4CPB2JGdpxm3RW3g,WxgAkfGaSBZozkhCz,ReNobwKhwAsibwwEB,ofRbgbkszgzoJneng,qEAaNkSTGGRi6cTTB,tbqLXAssgrTw8y6Pu,5h4ok2XdgSDE64XTM,br5f3mDWtKz2EdZn2,adRn6TKED8iiubo85,nt8asQpSbHxshXbZ4,YHPMZqw8CyEKqwmxf,pSZE6gBxWPbmMmfpi,PMrwovsLibnBcPrsT,xShPuwseJWL3bWuLj,ieneRYE6bSLbqrZs6","7QYGXy24M82Rb32E8,B9SfCkFfy46qAQjoH,hfo5EPmJ3Y9AFzQZj",re5JQxQhxsdbATR2E,2021-07-23T16:37:29Z,setA,"yellow,red,purple,white",4,coopMulti,false
xgdZ83eD2XxDzFXg7,2021-07-23T16:42:24Z,xgdZ83eD2XxDzFXg7,MFmT2h4fnR29aemmw,"XFcCic99qEh2Deda3,HD2D4C64aHnNyEBoj,KX46fqjmfZ8wPN4TJ,qejJmL4xey8tJbRGo,QtJYo3YdLSra4sWuD,9wvmg8cpYduLpdaMg,YuqQdEjcdZEyWhQs2,NckieLYq2HSybdZNi,yt2RiADheCfjujCRY,maiZWuMZi77sh7sz9,TBywFWdkGuHfJQM8w,DPaDce7oDXFroFWj8,iGSzPeEZscWQvYWTL,zZGMojLu983f3mFiQ,aZrmuisHeuLTiNBFj,BX6NQXt55FBCWJ93N,KAfRaARKPYrfdpv6j,8PrNGR8BuTWBymsoL,tgeYPC5LBKRE6G2hr,SGcFymKCJs42QTH8f,yrchwbSEb6onroEsn,mSSmmnhTZ5xi54vie,igdWkxPbEq7855qox,qwTrQGnjtJegLLdYg,txtKJLi4MmGHMNRP5,odGDwTRN75cidwkZn,BE7enyoX85Zcs3de4,fh8LbjC8dDAFWnAPg,WszE22AJPZvaHonKg,ZCtkHE8nmPpT5ZNmZ,hrbYrpe5tazKjn7fs,h3yh6ZzAdsCvJcFPW,AjKGSx95J87FgMSf2,Tu6qxcXCZeW2rcxNa,9XfwqofZgbYMD78Au,wsRNmFy7WeYykFJ3h,7E6Mzhrz26NhwbLfx,JdFHHCxguaNKNxBtr,276u2oCWZujW9ijqL,sLpayvPTp6TNEnD3N,qXwdrDaS5YkYbsvf6,qRcgp9ikc7K9pwAhw,o4mGeceJK5wCFRopx,yeA9d46hYu4d6FYGd,bifXNWkgaMwJAhGHc,7A5rErP8TPo3L9cgc,FBaT6YBxoP6H3z5FW,LuDjcbc4zzLgoprni","QB9re5wgfmiGLty3F,TstCGL8qdFTEN2K4f,nvWkQEBFsQz66SWxt",paHoEJPXuoLtJLTAs,2021-07-23T16:38:45Z,setA,"purple,red,white,yellow",4,coopMulti,false
mrrrpRMW5oTozdfRm,2021-07-23T16:49:41Z,mrrrpRMW5oTozdfRm,MFmT2h4fnR29aemmw,"fad6Z9FT5bmF45Tn5,PRgEwHQCwwhJSpxqd,4Gj9vydxPSPsfjSAA,NpbKjSvzWLffcfTss,2jZwFatfRtXqgkFxa,vjrrmj6mdmtHqaRQW,Qx4t698F7sfFJ9t3H,MpjSCEHkw4cAhCXoK,8LgKxrYcSKTK48ZZj,86y8CWxpKina7cJa3,2ZrHnJdeQf5dhuwk8,RkCKvnc6HbJTkjBTW,cTjmduoCFRqbsSsJ8,p9vzWGTHSMCrzQvN2,haXbWboDufiAMJp6f,D7jHhEjSCciyB29Kb,z3r4p6tjPnhWt6pb4,yY5Nas5jXnYjhoC8q,BjGJA3F5uDprMMsPH,mRP7FnN485EarrC9k,CxqAwC9GAC2caYoJ8,THMGr8aHq788YEoxo,AsRfX5TQXejJbiEHL,H8G6EwzkHBrZ7LBLY,QdfaWQCcxXNGrRmtM,eB8RWSfnwDKtLyf8q,dkWfWoRE29qLEBX83,7pJ6iuMKKMX3Mit3Q,CAhs8TG6JgpqMGWzg,i7QJZNZbbgAfebALP,sZmH2J4vkkzTN7Rqx,EFYdw6ofxthTC9fhK,WrWTvoR9bA48dCLfb,ykotkHXNiZAFAsbE6,u6R54X5iofKjBJph7,dMnufi6Z6CWFn8aBi,K2KaDfM8t2xFCdSdQ,3mpjxr4y48RX624sy,FFuLCwk8Mkwtsidw7,wTCzvGuGEpujGT7FD,uemQ6P3jiQRxEwft2,W7NHGvBtzPMXcx3XR,Ltpe3T7ZpZzun83Ng,diB8jD5ZJR63gRoXu,LzmXKeW455FjLhdub,LwpdjYsRehn3dpRHq,skfukprFD8ANob8Kf,vswKN8RuPJBoqZD7K","ADXciqEZpskpLa4pY,YrTqDhJdpFKnizeLf,uDAioMYbGQ5g7t9Dm",ysbTL4yuXeKeJaEQp,2021-07-23T16:41:06Z,setA,"purple,yellow,red,white",4,coopMulti,false
LFpE6ieAMxm2KGjrw,2021-07-23T16:49:32Z,LFpE6ieAMxm2KGjrw,MFmT2h4fnR29aemmw,"4BQAt94Pn2PNuNAY6,xxs8u7uQABRcxyMai,qR3guqXEWXtaSaniP,HrpSkqbaQ39sc8GrB,5iWeepzzqQcZQPP52,npFimMDXZwb6Fae2f,KYuqB2REqqNCZvQFy,9mmtzynaskoWJx2ed,5ZZXAqfXoPNoKQtAC,KpXwEDSqdsMpDDyE3,DLZ8nXt3e8gQbrhTE,S9YkbHrTGyj2JtmEN,izdFJn4nivjkMHPCk,MhGQLgZtCbdyAkMQv,G7pBQciokpt9jrBJj,eQKzbuGWGAjTDiLEa,Eb2XveRKvAybjQpSM,35Sxt8aKqziGXxsGt,TKauAmpqAYsWi45nK,JaZHzFRiCEdiu7jrH,G9fJuHLGaXvL9ScEo,krwRZexntRDTXH8NL,Y93SzWs6Be2w2sdCX,qmPEyQLH7gziAQr6Z,LATwgwdRrDRgK5JbE,AHZChrJeCscrmYiJM,6jvW9qfLRGqqCT2c6,nDHs2KXgqS9zTvgSs,rfKt3Nv4bTBfDFPeH,E6A8DfBrjzQCYXKMp,ChmqMpx7Qjn3jtY7t,6Nv87Yis58Nrm8Rc2,dYYjXNwEmdi3rGqME,XEo3GSNSxBwMRcDSk,zkjQsXKrt6afYJmb6,72bvM6AH8LRPxdtJD,J9yx7hBcR84x3eWCY,kkt9Bk8ykFHAhmMHx,RHjtHcCanmoag2bNN,eA4qF8kfz7hG7EL9d,BsnSBKjcehasAqWKh,GFNCodiw63umX4QQq,978aRXGARMENbNddv,WzuAgG2SnjmYnubpe,sCFEomTCLZa3nNLGJ,wWS43imGymKKQzrsk,Y9DED5HkRQ5dusgWk,h5ewjXPHAAbXdgwxT","3rWCy7R4rhEYqEk6m,NAXNzn8WaxEoqRmJj,RF8TuBnN6m5LLEwgY",uhXvuWH64oYTmJHDR,2021-07-23T16:42:13Z,setA,"red,yellow,purple,white",4,coopMulti,false
ASeBAAoXj8gJBJ8w3,2021-07-23T16:54:58Z,ASeBAAoXj8gJBJ8w3,MFmT2h4fnR29aemmw,"nTdY5MhrQkncQiSw9,uCCYPjWrujFFa4yYL,N7dm6zJdwftNnR8xh,a2CbhkjzjsFxKXbv2,WQsiYMTWtyqroC5As,3dvjAo5pnCrW77DDG,L4aoJjBcKYTeuPdDa,HENdKCiASkd3bB8Jh,FEWPiv7jL9e3FbNt7,QhwktRRokniFhcmhT,tMjBwJnE797miDwj5,LJou2EoBaL8cZXHF8,DkForuWEumADs4yQq,b84M9McCWsbiaQxnv,GNEd7mDTrAsYnHZR4,xk3uAW3tvKsZJsYuY,JeCMB9AxspNQbjaJy,ieSEmqaRDPJWKMQDi,LxjsNT98xCnECC9hj,53gnFjJZRNmgiqFEc,i66zABrcDS3C7umsK,JeojRsziTxexjqSLn,WPzkwR2QZNB8j9cJS,rWjYszd2Lz9aW6MLS,wdBMwY9feaoT8AeWX,B3tAgYBL8P3EdN5jg,tucZhYS7fSpiyeoD3,exB72LZa64muSLZcS,PHHAbiKbRpSBE2neZ,2ZrQzCpCuwzyrxnJL,3ZzdCDrrb942dNz5F,ZFNF2uqNHCBMrnKtH,sR2ZgdoGW5t4cNk5v,sCL2dGd4ERyAqQ8TL,2jtJsqiaNZAv8yC5o,m8z5enZtHHK6aKRjs,4esoBMDkp5zmvfrYK,htY2CkPc8Si2tMaHF,NGCtND6v2ag4crC8y,jmWJK4cuFhhz9e24u,ShGBhWDaATedzbsDr,GtapzzfDYeWsPuk2h,eQdtQH24MjpnwYmEG,m7d6K6TWHFdwLCWLd,cTpCT4e9Q3vzBHcjJ,SMFBMakH2vBuWgN49,X96WapT5KwCXXrgLr,57zeG22ZQDAgtmGPM","HrWWLJMvWe7zCW6ec,hPkBZGZAEm2Gfikdo,ognjrmeJqSCrt7GNp",C5Ebbdi2Azih8mb2S,2021-07-23T16:46:21Z,setA,"yellow,purple,red,white",4,coopMulti,false
MXgWvTXxhRYZka4fo,2021-07-23T16:54:57Z,MXgWvTXxhRYZka4fo,MFmT2h4fnR29aemmw,"cXP2T3aShh44Mpizn,jpYL7EYQ5SYoP3F5t,q4pHC2R8pZAE7EF6b,3FaHGCc2HKcYPmTEE,z29P3S6fWFtt6ZND8,iz8x8gyuiaXtd8NtN,HvKYpmydCzKZ2Md7g,qBMAyCWKxpXYmiuj9,MXQCpL8khARks4WwA,PFb8xCFiXJxNtKaP9,oSfuYwoyqCZqgb7Y9,jeqHf8sEmJsSniKGT,WBBGiu9g3zd4u2FRd,S4HEnvC5w2Dj4L3tP,Z7ZABnMHq2DQpuj6c,Dew8CoRa67eBL8KRy,CNDH5hL7mzjrspm6a,LA7Epa7ETXufGQ5Zr,hiTpJpD7nSpN7MBnf,5DuSg7Xm5MemkLBJs,fkKrFQ6cediYEp9Jp,tDZXKXfjFsCadwkDX,Ttni9CMqvRZtgtEpr,THf4Cb92iQmHxZmsu,SJDGpEqLihFewtaPb,C84yEF5GdGZDMps6d,kMxjQv7897D7jDkpW,ZPiLuEEcKEciR4Yaw,A85ZQTFmpr6fXRLjn,BCB6NdNcvJzYyqgg4,Dq68yFMs8u949oA8A,iGjCjJPSTvzQggNXH,AXFvWxJ4PTRm4B6my,bqCShzytK8ya6uaPX,XxNFcCmMnR2ZK9wnu,x2xR6ww9DaDGgcWSm,LygTGtzdNNWRp2aza,XPoQk6ueeMnPw9Y2i,gBP7FcJfLhhDd28Xf,vNBTwmWgy6bB3egKb,uBYHGhwvDWucPCL9k,x6feAQbt9rctacqq7,AP9R86eKC59ki8j7X,TBr4cZPCL7AvRdkyR,sE8BZATXBuridgt9C,wMcfHa74YfK66bf5E,e68tgNJsM7y3gGnJN,mr9DAmqk2PRao3cz3","Dyhss9ZhzJKynGEEJ,HJgoCwD7zQSdrArYp,QkuRpi5JwnjNAfrfo",AdhCLBfpXsNkg48LM,2021-07-23T16:47:32Z,setA,"purple,yellow,red,white",4,coopMulti,false
Ex5iSXjrMTp3S6zqY,2021-07-23T16:53:12Z,Ex5iSXjrMTp3S6zqY,MFmT2h4fnR29aemmw,"fnumoxwGuEznBy8J8,exqkD43oi4Yg32Ktg,3hyNCKLSwt5KSvPte,fvsiRkQbnyX5cvipT,Dtg7wqf8zb492tYDF,6cFPGfZua4mh4L4hZ,dMNuvArwyg52Ts4wF,6buadMiprSF75XyhH,tuDgC9wjDCz8YoHCE,f4rLefvn3HdF4wABH,aKejDzE5wbqvDMBYf,kSgHcHzbkwX8MKTgA,BrDTAneahLPGbuoSD,JGiJocYoq9qTFkQoD,y9bQCuWRN8N5rZu4z,GKv4qdbb6pshppcmB,ds9nhKJMfgZXL3wWT,vHFyGKLuCSFsFbZP3,z8rjkxD6swGHLsQtG,rf6e3WvsEuKQBmxMR,FLkQLsmWHbHaC3sZb,bmyEtNp6z9QfciGPC,2RkKt7Jfgg3kmHTtx,cRy8CxzauGcs56YuS,XHmEmcWedcvWmQe4P,k3FoTYAZshhgmGJP9,o4Q5BwMJpna2c4Jhw,ZFXfTHi9Bwvrbv5Ls,vvwu4wjwto7mhvQE6,gGSJy5bzHHmkpqp7A,eriKqRsgz69MJTcrL,kCKwC58jsF4gAiXWa,pzoqF2CgrPKrM8tQo,dr9unLB7bsNkgJuTF,jAe4ySX6ivWn5Gen7,piNTAnazL7NWgAtnN,Mudn6ayZALKpiXufZ,WHbB4rXjCWmA4GAvg,HsesQSCwsGeHw8Pc2,kwByFCrk7cpsg8JNs,EuvP73qeKjQi9e5q8,wTzq5jqhf4MHWCenr,chfMcuPQSTwd7qrE4,fzvwLnvfvPPyGfvWi,gSFT2eoZoA6wKYhyZ,F8iAi8S9XXkrNfdBo,KRxFzsCJXQb2CLS7a,LAH4g5Ag5JtZL2uEJ","E75Bg7aTEPrNXuo8B,SqhdAyq7XDqavBgnv,Zyp2BouieuyW8sEkv",RaaYyxFJC2sChD7q5,2021-07-23T16:48:39Z,setA,"yellow,white,purple,red",4,coopMulti,false
pGQMu9KhuEYRzYo5x,2021-07-23T17:02:56Z,pGQMu9KhuEYRzYo5x,MFmT2h4fnR29aemmw,"vcScsvNrcg9RG9XDY,bRD5SLG6G6ZuPgkX9,5DkALwxPfwa6wdo2L,WdBXAx9zt6AYhinbJ,JmrHxrBqWPE9NeJzN,uw5zb7TzWEJzmk3tv,oArCCmkFpEX4TLRqp,3rJTwHvGui4dPjKQ3,GRgPmvMysvwKLwKRL,MGkWs8RJcpiRPpERi,sRJPhRnFzYm3T8XjP,hSJ44tQx8L7smYruC,w5xL2KFugAxpbDQDo,A8J9dy2rKbYYzCakE,nnjARrzqqgGDgtokX,dZ7xqmSvcxsMGhZr8,FooCnr7sYcLRkC5oL,LJvZcsZiFYfHWbXcG,qMCwWjHhzfvoe3Q5N,ua9vhrLitaBYWeN5M,JSrJf67eTdqdQQqzW,MD8zNsCxTL2hZYtv7,apdnYen6riNjBJrMC,HK3z4FBuoxTBDxaYg,ugpvepRqdLB3ZuPcM,sNJyPx6pByuoqJokm,TN4aAeWm92waPqTbY,78imhY6E5K7DharH8,f6Fh93ZcJHabQ6cCc,cX5uKSKtMEaDAGjWT,YqvXYydGBW28LTN5e,FYWrfvGFLZ8JcYMvh,5nj4GBeKnLHks6Lct,5Wk282zb6wcWGQkke,LwP5gdbZkqk83Qr8M,HyC7D82NkKTKJevLq,RuQFnb2svHHa7n4B5,zHnEAsGqPk5o2ayjP,rYrhkwmApJKsHwtWe,fKePLuxg9R4PJfsrr,hnxpSCrZ48sp5ZSJS,diCGWiTSfFuCNoK3s,ouBWBBQMmsdJKww8G,emEybp2ca6tb7CJif,5FH5mEEkfxC7HiwCv,rY4w2iR55ozaNXHFq,ZJhpRT92xcqTSeRk5,8GsTHonvbtd5SKdbj","88itDnHA42A3xM9q2,bf22RWcDzrst7CuQ8,hS4vjRuNqWnfHC94r",4pGqTxD67hTdnnihR,2021-07-23T16:53:52Z,setA,"white,purple,red,yellow",4,coopMulti,false
Qb68YqXhzBJhAFxaE,2021-07-23T17:03:08Z,Qb68YqXhzBJhAFxaE,MFmT2h4fnR29aemmw,"DiEqbZ8BK6FwHLGfv,jMxsXcg9rtBkKkd7i,BvTXz32dFzTEgC5Eb,ucHWpTZyzXAJftsk4,tN3zBLaTaJfR4EHNT,YwoH9DKgKYNu7esnc,9MS6n6iuBGv93KA7L,33bvYpT2PgHHmfEdS,T8CMZixsYK8Q4RXbz,tHkQ3orJLfYMWfqM2,uepm7PzjqBL9zzdJc,LSNCz3bjoNgvKJ3zc,AWs38XXr2eibe9tDt,qYfzvpEL8fGYFemtt,aPh22yDX2SaGjTjoY,6on7JD5NPmThEF5fy,G835zHJha3PNQinD4,PQL9hGawvBuzH5rMa,NbzpccYuX8KPY8d8m,dAX5ZHcJNk9rgPNv2,vdYrjLAwDwQv823DA,oWLQrn5r9ht3hgYdK,rCASKG8nqfLT4ZHq5,3oRmGH6BLD3PoCuKP,u9ChNS86fMZoxmjYX,mKAsKfpsEpZJrTccu,eSWL8iA8ga2E9G75P,kJjmWN8Qph2ddr2Lj,LuCoGDDsWpe2Hf7wS,PtQmdfBMGiH36FzEz,9kHYsDLvJJzL4wzBm,cDXyDbEKK6yCZ3qoW,GA7onJ8PsmMwgDWs2,gAtpXnn5wNpAMoQHs,XaFA9ghgq4WGo5MZi,5nCkHHb6eWBuidLpo,geJWqKLRvZ7AkXzSw,Wbzf2w38akCEukzb7,MqAJTKg5Pazsz2roQ,hTpgggwvN3upsJvLt,edMMt6JFixCjbFZaF,AA9B969XNjumkoDAj,esPX9GhfAMLMdtNRo,dsku8eXLXFojiHt5K,aAC4wsuskGcftfqYc,EgsEzcqkeqC4h58uE,2NobyQXH77nm44w4p,s22JRthLkAjuNydcr","6nN5jtDyBpx44jbwy,Esz3BJgX4xte73aPP,SFbtuPNhbjNBaPnvf",yPshAtDdbH9LX4m2T,2021-07-23T16:55:39Z,setA,"white,red,purple,yellow",4,coopMulti,false
