_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.feedback,data.time
z2m5LkTutXD7wGnGQ,ds2uMKRNgofK6XALZ,,2021-07-23T16:36:32Z,23,Female,English,true,,,,,,bachelor,yes,yes,neutral,,,
iQhqujQGxbvqftNns,Qn9ixdJ4uqRMW83vk,YmfiWLZCjuweB8ubM,2021-07-23T16:41:20Z,21,Male,English,true,,,,,,someCollege,yes,yes,neutral,Yes,Just annoying that a player left.,Yes
S5zXwEvARwQAT3YT9,oc69G52JjStmimSB2,YmfiWLZCjuweB8ubM,2021-07-23T16:41:33Z,19,Male,English,,,true,,,,someCollege,yes,no,disagree,Yes,,Yes
RZnCu4LgF6GLbcajq,N7EYBSf3Ds9jMaWgn,YmfiWLZCjuweB8ubM,2021-07-23T16:43:21Z,30,male,english,true,,,,,,bachelor,yes,yes,agree,yes on the rounds i managed to complete before it went blank,"yeah at one point my screen went blank for ages, then i eventually ended up here",yes
8Fn3EoS7mdJKSksDc,QB9re5wgfmiGLty3F,xgdZ83eD2XxDzFXg7,2021-07-23T16:43:36Z,43,femae,english,true,,,,,true,someCollege,yes,yes,neutral,yes,I selected a flower then the game ended early.,yes
FSdJwWDPJhppKYzFc,nvWkQEBFsQz66SWxt,xgdZ83eD2XxDzFXg7,2021-07-23T16:43:56Z,47,Female,English,true,,,,,,highSchool,yes,no,disagree,It was fair but i had no idea how to make it better for us as you were relying on others,nothing unusual,"Im not sure, i thought we had 3 minutes but the constant beep made me feel like i was last and had to pick quicker."
PDafD9XiDyRGuQjrd,hfo5EPmJ3Y9AFzQZj,qHreQuZxvjnhsR9xR,2021-07-23T16:44:49Z,19,Female,English,,,true,,,,someCollege,yes,yes,agree,Yes,No,Yes
7kKmGXXu3bSCwYkwr,7QYGXy24M82Rb32E8,qHreQuZxvjnhsR9xR,2021-07-23T16:44:49Z,34,male,english,true,,,,,true,someCollege,yes,no,stronglyAgree,I suppose,Not really,Yes
3zv4JAc8fgbtMpD9M,B9SfCkFfy46qAQjoH,qHreQuZxvjnhsR9xR,2021-07-23T16:44:53Z,34,Male,English,true,,,,,,bachelor,yes,yes,agree,Yes,none,Yes
w555Eqn3HmzHkeLCa,RF8TuBnN6m5LLEwgY,LFpE6ieAMxm2KGjrw,2021-07-23T16:50:04Z,40,Male,English,true,,,,,,highSchool,yes,yes,stronglyAgree,Yes,No,Yes
WZJs6xpDJCaDbqzJv,ADXciqEZpskpLa4pY,mrrrpRMW5oTozdfRm,2021-07-23T16:50:09Z,19,Male,English,true,,,,,,someCollege,yes,no,agree,Pay was fair,,More than enough time
SiqbsevaNLQetHXRv,3rWCy7R4rhEYqEk6m,LFpE6ieAMxm2KGjrw,2021-07-23T16:50:09Z,21,female,English,true,,,,,,bachelor,yes,no,agree,yes,,yes
yTDG6nnvc8RtWGLRg,uDAioMYbGQ5g7t9Dm,mrrrpRMW5oTozdfRm,2021-07-23T16:50:28Z,19,Female,English,,true,,,,,someCollege,yes,yes,stronglyAgree,Yes i think it was,None,"Yes, if anything too much"
eg2a7vaCEMvcaKh5E,NAXNzn8WaxEoqRmJj,LFpE6ieAMxm2KGjrw,2021-07-23T16:50:36Z,32,female,English,true,,,,,,master,yes,yes,agree,I believe so,None,A little longer would have been better
7YX9v5jvNNA9pwWcx,YrTqDhJdpFKnizeLf,mrrrpRMW5oTozdfRm,2021-07-23T16:50:53Z,18,female,english,true,,,,,,someCollege,yes,yes,agree,yes,my wifi lagged but because you have 3 minutes to decide this didn't matter,"plenty, yes"
frmBKLnKpgxNCzZaF,E75Bg7aTEPrNXuo8B,Ex5iSXjrMTp3S6zqY,2021-07-23T16:53:03Z,32,male,english,true,,,,,,bachelor,yes,yes,stronglyAgree,no,no,no
WynpeauG6G7uQf6RQ,SqhdAyq7XDqavBgnv,Ex5iSXjrMTp3S6zqY,2021-07-23T16:54:29Z,42,f,English,true,,,,,,master,yes,yes,stronglyDisagree,"Not really. If you pay the person who dropped out it's unfair. This looked fun too, I'm gutted",Yeah the idiot who dropped out shouldn't get paid,"I wouldn't know, one idiot dropped out"
t248mEjedL7sfCi2E,HrWWLJMvWe7zCW6ec,ASeBAAoXj8gJBJ8w3,2021-07-23T16:55:34Z,29,Male,English,true,,,,,,someCollege,yes,yes,agree,Yes,No issues at all.,More than enough time
BH8Yt8wFy5GhxLXP2,ognjrmeJqSCrt7GNp,ASeBAAoXj8gJBJ8w3,2021-07-23T16:55:54Z,37,female,english,,true,,,,,bachelor,yes,no,agree,yes,no,yes
wwT6mPzFGPJQfqFmy,HJgoCwD7zQSdrArYp,MXgWvTXxhRYZka4fo,2021-07-23T16:56:19Z,22,Male,English,true,,,,,,bachelor,yes,yes,neutral,Yes... until a participant disconnected leaving me frustrated that I could have earned more,The page keeps refreshing and deleting the information I have entered,"Yes, more than enough time"
