_id,batchId,playerId,stageId,roundId,gameId,createdAt,submittedAt
fvT7Mm52CPyMKM7PA,AZ8XaRijgTpvBwkqX,N7EYBSf3Ds9jMaWgn,ECcSa9RBDTLFrsRcQ,4vNxGKmwjQxfYCqzj,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,2021-07-23T16:36:05Z
WnD8mGjcXsXeSB6nv,AZ8XaRijgTpvBwkqX,Qn9ixdJ4uqRMW83vk,ECcSa9RBDTLFrsRcQ,4vNxGKmwjQxfYCqzj,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,2021-07-23T16:36:02Z
vzpecvpMHxJjmgXHG,AZ8XaRijgTpvBwkqX,oc69G52JjStmimSB2,ECcSa9RBDTLFrsRcQ,4vNxGKmwjQxfYCqzj,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,2021-07-23T16:36:07Z
A8nwD9QWKrAwMK5eS,AZ8XaRijgTpvBwkqX,N7EYBSf3Ds9jMaWgn,4kvPSetniYgMCnfmx,4vNxGKmwjQxfYCqzj,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,
3CAciM4BkeJ7q2Xsz,AZ8XaRijgTpvBwkqX,Qn9ixdJ4uqRMW83vk,4kvPSetniYgMCnfmx,4vNxGKmwjQxfYCqzj,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,
exfCQ4QCYta8tGn6K,AZ8XaRijgTpvBwkqX,oc69G52JjStmimSB2,4kvPSetniYgMCnfmx,4vNxGKmwjQxfYCqzj,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,
yxJxokE6TLLrjvywc,AZ8XaRijgTpvBwkqX,N7EYBSf3Ds9jMaWgn,DPGD3P4wdrcF9yf6Y,zh5XcvqGiTkXW8mPu,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,2021-07-23T16:36:18Z
d3CoiveSh5WSBdjCK,AZ8XaRijgTpvBwkqX,Qn9ixdJ4uqRMW83vk,DPGD3P4wdrcF9yf6Y,zh5XcvqGiTkXW8mPu,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,2021-07-23T16:36:21Z
AdCGHgSSZ5MScK3MP,AZ8XaRijgTpvBwkqX,oc69G52JjStmimSB2,DPGD3P4wdrcF9yf6Y,zh5XcvqGiTkXW8mPu,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,2021-07-23T16:36:18Z
FeEitAro4YowJ3REP,AZ8XaRijgTpvBwkqX,N7EYBSf3Ds9jMaWgn,7a9vMCgtDo563Tpmv,zh5XcvqGiTkXW8mPu,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,
wEFg2PT4ngTL23Jh2,AZ8XaRijgTpvBwkqX,Qn9ixdJ4uqRMW83vk,7a9vMCgtDo563Tpmv,zh5XcvqGiTkXW8mPu,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,
PQgMrzSJCXpWxEReQ,AZ8XaRijgTpvBwkqX,oc69G52JjStmimSB2,7a9vMCgtDo563Tpmv,zh5XcvqGiTkXW8mPu,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,
zfqv3MnJWK3rC7ujT,AZ8XaRijgTpvBwkqX,N7EYBSf3Ds9jMaWgn,BFAjBiamN3LxKThPq,AnmZHL9p7jYpECotW,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,2021-07-23T16:36:32Z
g3XnoJR4934mFJe8H,AZ8XaRijgTpvBwkqX,Qn9ixdJ4uqRMW83vk,BFAjBiamN3LxKThPq,AnmZHL9p7jYpECotW,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,2021-07-23T16:36:30Z
hudPdF6dmcWesNQhm,AZ8XaRijgTpvBwkqX,oc69G52JjStmimSB2,BFAjBiamN3LxKThPq,AnmZHL9p7jYpECotW,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,2021-07-23T16:36:30Z
gA8HFfdu4A76W9akj,AZ8XaRijgTpvBwkqX,N7EYBSf3Ds9jMaWgn,DqGYJSRao459FYWc2,AnmZHL9p7jYpECotW,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,
yRoxe5zJMFao9AonS,AZ8XaRijgTpvBwkqX,Qn9ixdJ4uqRMW83vk,DqGYJSRao459FYWc2,AnmZHL9p7jYpECotW,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,
qWguAWeNCnLtqpZ9W,AZ8XaRijgTpvBwkqX,oc69G52JjStmimSB2,DqGYJSRao459FYWc2,AnmZHL9p7jYpECotW,YmfiWLZCjuweB8ubM,2021-07-23T16:35:58Z,
