_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,retiredAt,retiredReason,createdAt,data.name,data.avatar,data.nameColor,data.bonus,data.clicked,data.timeClick,data.imageOrder,data.exitTimeoutId,data.exited,data.scoreIncrement,data.clickLength
qFSBsLu86tJAaHiKS,,2021-04-07T01:16:03Z,,,,2021-04-07T02:25:19Z,finished,,,2021-04-07T01:16:03Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,0.08,false,false,"B,C,A,D",769,,,
HPPdojQMtPJ9AEDNJ,,2021-04-07T01:16:09Z,,,,2021-04-07T02:25:19Z,finished,,,2021-04-07T01:16:08Z,Repi,/avatars/jdenticon/Samuel,#8138A8,0.08,false,false,"B,D,C,A",,,,
mR8asuAbWr7eJ37Py,,2021-04-07T02:49:06Z,,,,2021-04-07T02:57:01Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-04-07T02:49:05Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,0.1,false,false,"C,A,D,B",,,,
BpcfZjkjkoiFNCNmz,,2021-04-07T02:49:13Z,,,,2021-04-07T02:57:01Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-04-07T02:49:12Z,Repi,/avatars/jdenticon/Samuel,#8138A8,0.1,false,false,"A,C,B,D",,,,
MSBhwmSQKSY2Dk7oX,,2021-04-07T02:57:22Z,,,,2021-04-07T04:46:44Z,finished,,,2021-04-07T02:57:21Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,0.06,false,false,"G,F,H,A",388,true,,
Jt6auhDobRKKPNXJm,,2021-04-07T02:57:22Z,,,,2021-04-07T04:46:44Z,finished,,,2021-04-07T02:57:21Z,Repi,/avatars/jdenticon/Samuel,#8138A8,0.06,false,false,"H,A,F,G",,,,
6t3ZfDHKcnjen2Pqu,,2021-04-07T02:57:43Z,,,,2021-04-07T04:47:19Z,finished,,,2021-04-07T02:57:43Z,Repi,/avatars/jdenticon/Samuel,#8138A8,0.02,false,false,"B,C,A,D",594,true,,
BwycuJDBq4ZFuKQJq,,2021-04-07T02:57:55Z,,,,2021-04-07T04:47:19Z,finished,,,2021-04-07T02:57:55Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,0.02,false,false,"A,B,C,D",,,,
FQkSfP9kH4JtoJqGx,,2021-04-07T19:29:25Z,,,,2021-04-07T19:30:32Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-04-07T19:29:25Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,0.18,false,false,"A,B,C,D",531,,,
BzmKSyXLHTmuT4dAE,,2021-04-07T19:29:32Z,,,,2021-04-07T19:30:32Z,gameCancelled,2021-05-27T01:06:21Z,gameCancelled,2021-04-07T19:29:32Z,Repi,/avatars/jdenticon/Samuel,#8138A8,0.18,false,false,"B,A,C,D",,,,
mfBCzHs6aYEScgb4j,,2021-04-07T22:03:09Z,,,,2021-04-07T23:56:30Z,finished,,,2021-04-07T22:03:09Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,0,false,false,"A,B,F,E",617,true,,
fKGeRQRwQpNHq8oZq,,2021-04-07T22:04:13Z,,,,2021-04-07T23:56:30Z,finished,,,2021-04-07T22:04:13Z,Repi,/avatars/jdenticon/Samuel,#8138A8,0,false,false,"F,B,E,A",,,,
