_id,index,stageIds,gameId,createdAt,data.context,data.targetNum,data.blockNum,data.repNum,data.trialNum,data.numPlayers,data.chat,data.submitted,data.player_7HJYhZpJ86FEXBTiL_response,data.player_7HJYhZpJ86FEXBTiL_time,data.player_DgHvsMothZmmKKwa6_response,data.player_DgHvsMothZmmKKwa6_time,data.player_vFbMfknsc7TsNLYpz_response,data.player_vFbMfknsc7TsNLYpz_time,data.player_9YH6DC3edJhccJpfK_response,data.player_9YH6DC3edJhccJpfK_time,data.player_Rti7y8gxpRxbkx3Cy_response,data.player_Rti7y8gxpRxbkx3Cy_time,data.player_eEJnhwWLwa3AMG46M_response,data.player_eEJnhwWLwa3AMG46M_time
2ALbdYdj59PoMKcSo,0,"JKxFsPHGjwBqtLR5L,tGmAqrK6qKktRtewy",dze8j8adozpxbehCk,2021-05-27T01:08:24Z,"{""purple_12"":{""label"":""purple_12"",""location"":""/experiment/purple_similar/image_07752.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_1"":{""label"":""purple_1"",""location"":""/experiment/purple_similar/image_00450.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_2"":{""label"":""purple_2"",""location"":""/experiment/purple_similar/image_01664.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""vFbMfknsc7TsNLYpz""},""purple_8"":{""label"":""purple_8"",""location"":""/experiment/purple_similar/image_05639.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_7"":{""label"":""purple_7"",""location"":""/experiment/purple_similar/image_05355.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_4"":{""label"":""purple_4"",""location"":""/experiment/purple_similar/image_04133.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""vFbMfknsc7TsNLYpz""}}",,0,0,0,3,"{""text"":""hiiii"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""hello!!"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""roll call"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""anyone have a full bar?"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""not full no"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""no"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""best one I see is the one with the kinda vertical flowers"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""maybe the set with the curly petals is good but the picture is too tall lol"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""but that's like 2/3 full maybe"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""the one with the most flowrs is about 75% full"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""oh omg I didn't notice the tall picture"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""jessss"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""whoops lol"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""um the one with the dark pink on the bottom"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""who has it?"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""i dont see it"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""yes"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""dark bottom"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""is that one good?"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""I see dark pink on bottom"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""75%"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""it's p good"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":null,""playerId"":""DgHvsMothZmmKKwa6"",""type"":""alert""},{""text"":""okay"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":null,""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""alert""},{""text"":null,""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""alert""}",FALSE,purple_1,104118,purple_1,101817,purple_1,105583,,,,,,
RBQdBWpK4ebNS34zm,1,"2H6E28Lx7gKyRsynX,XBwtZzy7um38ayKAN",dze8j8adozpxbehCk,2021-05-27T01:08:24Z,"{""purple_5"":{""label"":""purple_5"",""location"":""/experiment/purple_similar/image_04335.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_4"":{""label"":""purple_4"",""location"":""/experiment/purple_similar/image_04133.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_12"":{""label"":""purple_12"",""location"":""/experiment/purple_similar/image_07752.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""vFbMfknsc7TsNLYpz""},""purple_3"":{""label"":""purple_3"",""location"":""/experiment/purple_similar/image_03085.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_9"":{""label"":""purple_9"",""location"":""/experiment/purple_similar/image_06714.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_6"":{""label"":""purple_6"",""location"":""/experiment/purple_similar/image_04700.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""vFbMfknsc7TsNLYpz""}}",,0,1,1,3,"{""text"":""okay the one with swirly petals is good"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""the single flower with speckes is almost full"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""like 95%"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""oooh the fancy one with like 5 legs is almost full"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""okay sounds good"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""yeah that one lol"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":null,""playerId"":""DgHvsMothZmmKKwa6"",""type"":""alert""},{""text"":null,""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""alert""},{""text"":""the speckled one"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":null,""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""alert""}",FALSE,purple_9,34448,purple_9,31258,purple_9,34169,,,,,,
ttcgFNCxqFEzd8M86,2,"ewrjYyxAqR2PE6xCh,x7mHihcgSa5sffg8W",dze8j8adozpxbehCk,2021-05-27T01:08:24Z,"{""purple_8"":{""label"":""purple_8"",""location"":""/experiment/purple_similar/image_05639.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_6"":{""label"":""purple_6"",""location"":""/experiment/purple_similar/image_04700.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_3"":{""label"":""purple_3"",""location"":""/experiment/purple_similar/image_03085.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""vFbMfknsc7TsNLYpz""},""purple_10"":{""label"":""purple_10"",""location"":""/experiment/purple_similar/image_07320.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_9"":{""label"":""purple_9"",""location"":""/experiment/purple_similar/image_06714.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_11"":{""label"":""purple_11"",""location"":""/experiment/purple_similar/image_07517.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""vFbMfknsc7TsNLYpz""}}",,0,2,2,3,"{""text"":""none of the ones I see are good"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""umm my best is the one with white things in the middle"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""except maye the mystery tall one"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""the one with pointy petals is 80%"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""pointy with yellow thinggies?"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""in the center?"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""yes"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""ooh ok pointy petals with white circles?"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""okay lets go with that one yeah"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""yes"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":null,""playerId"":""DgHvsMothZmmKKwa6"",""type"":""alert""},{""text"":""k"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":null,""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""alert""},{""text"":null,""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""alert""}",FALSE,purple_11,41391,purple_11,39653,purple_11,41290,,,,,,
CbEHoGfB6TGis668q,3,"ccgqwgnsGEcxPY7Xh,bKhc4MqxohQz8r9SD",dze8j8adozpxbehCk,2021-05-27T01:08:24Z,"{""purple_1"":{""label"":""purple_1"",""location"":""/experiment/purple_similar/image_00450.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_3"":{""label"":""purple_3"",""location"":""/experiment/purple_similar/image_03085.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_9"":{""label"":""purple_9"",""location"":""/experiment/purple_similar/image_06714.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""vFbMfknsc7TsNLYpz""},""purple_11"":{""label"":""purple_11"",""location"":""/experiment/purple_similar/image_07517.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_7"":{""label"":""purple_7"",""location"":""/experiment/purple_similar/image_05355.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_2"":{""label"":""purple_2"",""location"":""/experiment/purple_similar/image_01664.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""vFbMfknsc7TsNLYpz""}}",,0,3,3,3,"{""text"":""speckled"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":null,""playerId"":""DgHvsMothZmmKKwa6"",""type"":""alert""},{""text"":""lol all those decimal places in the bonus"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":null,""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""alert""},{""text"":""5 legs is almost full again"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""speckle indeed"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":null,""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""alert""}",FALSE,purple_9,25412,purple_9,7186,purple_9,11087,,,,,,
uR7j7qsrD443q2KGs,4,"mKb5FrmJkMjFp7WrW,PT4f7P6YpXv4fmPFR",dze8j8adozpxbehCk,2021-05-27T01:08:24Z,"{""purple_4"":{""label"":""purple_4"",""location"":""/experiment/purple_similar/image_04133.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_9"":{""label"":""purple_9"",""location"":""/experiment/purple_similar/image_06714.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_2"":{""label"":""purple_2"",""location"":""/experiment/purple_similar/image_01664.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""vFbMfknsc7TsNLYpz""},""purple_5"":{""label"":""purple_5"",""location"":""/experiment/purple_similar/image_04335.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_7"":{""label"":""purple_7"",""location"":""/experiment/purple_similar/image_05355.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_1"":{""label"":""purple_1"",""location"":""/experiment/purple_similar/image_00450.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""vFbMfknsc7TsNLYpz""}}",,0,4,4,3,"{""text"":""oh spikey one"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""the hedgehog one"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""almost full"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""most flowers is 90%"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":"":spiderman-point:"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""lol"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":null,""playerId"":""DgHvsMothZmmKKwa6"",""type"":""alert""},{""text"":""like the smooth ones"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":null,""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""alert""},{""text"":null,""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""alert""}",FALSE,purple_1,29366,purple_4,20194,purple_4,26846,,,,,,
m5q4b7RgAnt57QbCB,5,"Fww25YYvyEvEZYhBJ,3YbcnwDTp5ziFx25T",dze8j8adozpxbehCk,2021-05-27T01:08:24Z,"{""purple_12"":{""label"":""purple_12"",""location"":""/experiment/purple_similar/image_07752.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_8"":{""label"":""purple_8"",""location"":""/experiment/purple_similar/image_05639.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_10"":{""label"":""purple_10"",""location"":""/experiment/purple_similar/image_07320.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""vFbMfknsc7TsNLYpz""},""purple_9"":{""label"":""purple_9"",""location"":""/experiment/purple_similar/image_06714.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_5"":{""label"":""purple_5"",""location"":""/experiment/purple_similar/image_04335.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_2"":{""label"":""purple_2"",""location"":""/experiment/purple_similar/image_01664.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""vFbMfknsc7TsNLYpz""}}",,0,5,5,3,"{""text"":""oh all mine suck"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""three is most for me"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""like 75%"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""three flowers in a row is best for me"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""like 80%"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""alright"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":null,""playerId"":""DgHvsMothZmmKKwa6"",""type"":""alert""},{""text"":null,""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""alert""},{""text"":null,""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""alert""}",FALSE,purple_5,24556,purple_5,22707,purple_5,25880,,,,,,
hzdzE3nXetvsixTtv,6,"yF6A9krmN77neY87A,FrjYD5wv2HLZGbzLq",dze8j8adozpxbehCk,2021-05-27T01:08:24Z,"{""purple_8"":{""label"":""purple_8"",""location"":""/experiment/purple_similar/image_05639.jpg"",""utility"":4,""utility_image"":""/experiment/prop_bars/4.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_12"":{""label"":""purple_12"",""location"":""/experiment/purple_similar/image_07752.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_2"":{""label"":""purple_2"",""location"":""/experiment/purple_similar/image_01664.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""vFbMfknsc7TsNLYpz""},""purple_1"":{""label"":""purple_1"",""location"":""/experiment/purple_similar/image_00450.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_4"":{""label"":""purple_4"",""location"":""/experiment/purple_similar/image_04133.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_6"":{""label"":""purple_6"",""location"":""/experiment/purple_similar/image_04700.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""vFbMfknsc7TsNLYpz""}}",,0,6,6,3,"{""text"":""swirly petals"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""is best"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""swirly for me too"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""ok"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":null,""playerId"":""DgHvsMothZmmKKwa6"",""type"":""alert""},{""text"":null,""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""alert""},{""text"":null,""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""alert""}",FALSE,purple_6,16291,purple_6,15140,purple_6,16480,,,,,,
pgWGWbanECo8puD3b,7,"4EsdHLEkpYAg7yPaw,XwG5o9fgBrPdvYCXN",dze8j8adozpxbehCk,2021-05-27T01:08:24Z,"{""purple_4"":{""label"":""purple_4"",""location"":""/experiment/purple_similar/image_04133.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_3"":{""label"":""purple_3"",""location"":""/experiment/purple_similar/image_03085.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_10"":{""label"":""purple_10"",""location"":""/experiment/purple_similar/image_07320.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""vFbMfknsc7TsNLYpz""},""purple_2"":{""label"":""purple_2"",""location"":""/experiment/purple_similar/image_01664.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_1"":{""label"":""purple_1"",""location"":""/experiment/purple_similar/image_00450.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_11"":{""label"":""purple_11"",""location"":""/experiment/purple_similar/image_07517.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""vFbMfknsc7TsNLYpz""}}",,0,7,7,3,"{""text"":""swirly again"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""smooth is almost full"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""dark pink bottoms"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""is almost full"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""dark bottoms yup"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""better than swirly?"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""which one is swirly"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""oh"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""sorry not swirly"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""the one with the white house in the back"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""idk"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""dark bottom's better"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""okay cool"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":null,""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""alert""},{""text"":null,""playerId"":""DgHvsMothZmmKKwa6"",""type"":""alert""},{""text"":null,""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""alert""}",FALSE,purple_1,51336,purple_1,52979,purple_1,53346,,,,,,
BcSLtESNXspqfv3xA,8,"pktC3NE4YzZhLZfgQ,68862Pnuhk7grCBDr",dze8j8adozpxbehCk,2021-05-27T01:08:24Z,"{""purple_9"":{""label"":""purple_9"",""location"":""/experiment/purple_similar/image_06714.jpg"",""utility"":1,""utility_image"":""/experiment/prop_bars/1.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_1"":{""label"":""purple_1"",""location"":""/experiment/purple_similar/image_00450.jpg"",""utility"":10,""utility_image"":""/experiment/prop_bars/10.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_7"":{""label"":""purple_7"",""location"":""/experiment/purple_similar/image_05355.jpg"",""utility"":9,""utility_image"":""/experiment/prop_bars/9.png"",""blinded"":""vFbMfknsc7TsNLYpz""},""purple_11"":{""label"":""purple_11"",""location"":""/experiment/purple_similar/image_07517.jpg"",""utility"":3,""utility_image"":""/experiment/prop_bars/3.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_8"":{""label"":""purple_8"",""location"":""/experiment/purple_similar/image_05639.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_4"":{""label"":""purple_4"",""location"":""/experiment/purple_similar/image_04133.jpg"",""utility"":8,""utility_image"":""/experiment/prop_bars/8.png"",""blinded"":""vFbMfknsc7TsNLYpz""}}",,0,8,8,3,"{""text"":""the fluffy one is pretty good"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""cant tell what the tall one is"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""dark bottom p good again, like 80%"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""hmm is the fluffy one better than pink bottoms?"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""but I don't have a bar for the fluffy one"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""repi its up to u"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""whch one is fluffy?"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""spiky I think?"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""it looks like a cluster?"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""round but not spikey"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""spiky i understand"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""oh that one"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""spiky is less"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""dark bottom is btter"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""and the other round one?"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""dark bottom still better"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""ok"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""okay cool"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":null,""playerId"":""DgHvsMothZmmKKwa6"",""type"":""alert""},{""text"":null,""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""alert""},{""text"":null,""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""alert""}",FALSE,purple_1,80295,purple_1,79719,purple_1,80018,,,,,,
wpiuAnyzMvY6dzDE9,9,"2CppbWsuJcRxqNGHg,xtyf9i7NnSKKYfR2r",dze8j8adozpxbehCk,2021-05-27T01:08:24Z,"{""purple_6"":{""label"":""purple_6"",""location"":""/experiment/purple_similar/image_04700.jpg"",""utility"":6,""utility_image"":""/experiment/prop_bars/6.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_7"":{""label"":""purple_7"",""location"":""/experiment/purple_similar/image_05355.jpg"",""utility"":7,""utility_image"":""/experiment/prop_bars/7.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_2"":{""label"":""purple_2"",""location"":""/experiment/purple_similar/image_01664.jpg"",""utility"":11,""utility_image"":""/experiment/prop_bars/11.png"",""blinded"":""vFbMfknsc7TsNLYpz""},""purple_10"":{""label"":""purple_10"",""location"":""/experiment/purple_similar/image_07320.jpg"",""utility"":5,""utility_image"":""/experiment/prop_bars/5.png"",""blinded"":""7HJYhZpJ86FEXBTiL""},""purple_9"":{""label"":""purple_9"",""location"":""/experiment/purple_similar/image_06714.jpg"",""utility"":2,""utility_image"":""/experiment/prop_bars/2.png"",""blinded"":""DgHvsMothZmmKKwa6""},""purple_5"":{""label"":""purple_5"",""location"":""/experiment/purple_similar/image_04335.jpg"",""utility"":12,""utility_image"":""/experiment/prop_bars/12.png"",""blinded"":""vFbMfknsc7TsNLYpz""}}",,0,9,9,3,"{""text"":""mine all sad"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":""ooo"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""3 in a row is v good"",""playerId"":""DgHvsMothZmmKKwa6"",""type"":""message""},{""text"":""three in a row is almost full"",""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""message""},{""text"":""ok"",""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""message""},{""text"":null,""playerId"":""DgHvsMothZmmKKwa6"",""type"":""alert""},{""text"":null,""playerId"":""vFbMfknsc7TsNLYpz"",""type"":""alert""},{""text"":null,""playerId"":""7HJYhZpJ86FEXBTiL"",""type"":""alert""}",FALSE,purple_5,20619,purple_5,18353,purple_5,19541,,,,,,
