_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
axuyHJ4wGph2me6jY,1,simple,true,2021-05-28T20:47:56Z,2021-06-01T16:05:16Z,finished,,qLo2QcKMsPKNBdhHv,2021-05-28T20:45:08Z,
yrSLj8tArnyJ8YbQR,2,simple,false,,,cancelled,,Ap98yvhnXRoWKbwct,2021-05-28T20:45:11Z,2021-05-28T20:47:07Z
HEzQaeTxt5ouarQYz,3,simple,false,2021-05-28T20:47:57Z,,cancelled,,6BPuGoFGbQNrFo7zq,2021-05-28T20:47:39Z,2021-05-28T20:48:59Z
CLHYz2B7kBdBoc5yy,4,simple,true,2021-05-28T20:47:58Z,2021-06-01T16:59:17Z,finished,,rtnDKeowXkSmYzi2R,2021-05-28T20:47:43Z,
Af538TT6smJXKm2SE,5,simple,false,2021-05-28T20:47:58Z,,cancelled,,PRoMHqedhwqAkdg9i,2021-05-28T20:47:44Z,2021-05-28T20:49:00Z
LoSDsFv5LdrfAaa22,6,simple,true,2021-05-28T20:47:59Z,2021-06-01T16:29:26Z,finished,,baRCsJKHvpDXbDwcd,2021-05-28T20:47:45Z,
RRFvHEhALm8t7ZYG4,7,simple,false,2021-05-28T20:47:59Z,,cancelled,,C2amRu3kRtHYzdxXp,2021-05-28T20:47:46Z,2021-05-28T20:49:00Z
Ao2gJkToB5phRwLji,8,simple,false,2021-05-28T20:47:59Z,,running,,r7Mj5jZegq2vYgsuJ,2021-05-28T20:47:48Z,
RL6JYvqKnatALkh7A,9,simple,false,2021-05-28T20:48:00Z,,cancelled,,Bw5a7PGWtHsrtQCam,2021-05-28T20:47:49Z,2021-05-28T20:49:00Z
pumoPwW3zxTzPTot2,10,simple,false,2021-05-28T20:49:29Z,,running,,ESxkwjwsYtadnxw8D,2021-05-28T20:49:27Z,
4B8qjkmgQKeLhLLzG,11,simple,false,2021-05-28T20:49:30Z,,running,,R2xvQdPMYaMRk8Cgn,2021-05-28T20:49:28Z,
ZJHMfAarK8TbfAfHn,12,simple,false,2021-05-28T21:04:38Z,,running,,ukkkeJHmfXAioNSTS,2021-05-28T21:04:32Z,
MgKtAXSNPdMzBF586,13,simple,false,2021-05-28T21:04:39Z,,running,,XvaAndsTFRA7m4rfG,2021-05-28T21:04:33Z,
LNYu6ojXH62osR2uX,14,simple,false,2021-06-01T15:40:52Z,,running,,X47ZwckA78ikcWo7R,2021-06-01T15:40:50Z,
v9QgjbgREGL5RZtcu,15,simple,false,2021-06-01T15:40:53Z,,running,,RTYPLFZyie8LjNsbd,2021-06-01T15:40:51Z,
sSLKMv6KPRmKKAaSj,16,simple,false,,,cancelled,,7F4tgXmYTkB3P5Rci,2021-06-01T16:14:57Z,
