_id,finishedAt,gameLobbyId,treatmentId,roundIds,playerIds,batchId,createdAt,data.targetSet,data.sequence,data.numBlocks,data.condition,data.justStarted
iq5rfhiAyYcCuotiP,2021-06-29T15:42:49Z,iq5rfhiAyYcCuotiP,QLbwbXnmCyu34Cqf8,"Dwm6cjw8EuP3Qq6jY,AvoNdR4wWgRQM7KxT,fD9XAyQBGyun6GdqF,yi4gDGQDrdbcduZRY,sxcNHiH3rDJ5JGscT,68LAgY3CG79Mv3bhX,bTWYfMT78ePWdJixp,knpPa6GmednCyHvCC,KF4pJQtpi57EtSfES,pgmyi9gprhQ2YpPtG,sgnh3HiD9RyfJzFWM,dn3RQSHZh6FWo9cnv,yWGFoKFzNkk2gRLtk,LH3gghcDPxwc2pmna,X6MxeFgw4dsEtrjA4,hKMecArqkt2qaCQ8e,tovfDuoXsh5gPziqA,eDagEMrN4KGZkRzqs,6dShLLzr7Dyno9pA2,vRYDev5T5DdyGJS3X,9Mueiw4Jy3iXSnosM,DprhvLYvemWNC5t88,D52apu4XApRQfK7r8,WwLcC8TrA3toRpFxC,iRFkSbYH694eYsNbT,h99fgtvrm26cH8vFN,xG4DEWWCEACvNLpGc,M2wpfLqz4b8YfCiPa,rd8iqH75GkXmaQLb8,NeQ9dBCRYSE2bpGz2,NekAwZZWL2EhdJzeH,R6hiJPreJBwFJXySb,cPoNBMNxvfd8QLKWh,HXaFhxLSm8DaiCcKX,3nr4kWq2ejmnRW9Fq,z87CSaTksnxTEyQ6Y,dh4SHkiwzC32KfCnz,QnnDhLoDQGh4v57tN,NcuwMBeQNFPhgcd8R,hxneuYRRqCh6D8oTE,LEmr9ZGy7qnMuNmNz,xYtyPZvthBqJEvg25,wM5MMyTctKGj4JWCz,J736ZZfBKPNtnnhas,pHhTYbsA8GZny9ZYB,J7XpArqivPjrWgZXN,v7HkGt6QsTEQfj4Kj,xGQvJMmHNa59BQDLn","P5RE77g8pm2dtqawA,YEiw6MqCWovNFp4Bq,pC3zCwiFyCFD6siWo",eazz2anwmzPh4CMi9,2021-06-29T15:18:39Z,setA,"yellow,white,red,purple",4,coopCartel,false
6o4WJuZBT3QSNRQRq,2021-06-29T15:52:36Z,6o4WJuZBT3QSNRQRq,QLbwbXnmCyu34Cqf8,"WduhXfQSwxiAGLpCY,KcF5vkqpx4F4EKH4y,FokNu9odpXcWvquQh,heXQvnmiabDPucKuu,DaQD94ixcSFQsLLcR,9KdYuZS8ycA7fLcZM,o3Ka2uGZPHWqTgWRN,T4ny27qFP8EXiHZSp,sJaPxsFvNoi73NbdE,mKG3Z8Go5q6KeddyC,KLBCNroySxwmrqJZL,m9q5Gy6pCTRjMQ9me,nB2eLqXuYMCuvmSeR,65bR2bD6sCEv4iw4i,L3j7QirkfLtRGNc4B,tL5jtbMaGyqqtoxSL,jnzoyGPaSeGqBnHNL,4tmkQaTMkCRoLSLKP,WDHAH9eCFmxW8CQz6,hMLrv27NezGESzcHt,MmvfaxvQCzwgMs92T,7jobLfjNicN8FcKFF,ZocfjyAkAWYBpGgtc,LAqY5rXK9wNk427aA,yfEAToKyrccnAFYTn,d2G4rp8WL6tjHoqZE,YQWg4THZDZeziP4eM,vroXyJnukzTihZqto,WxGzJ3hoAPRAySm3p,fk9sPDuPAzSiiQCbq,T37pgFfhD9qkv4djL,QFQKq6n869XNTnCFB,SYGprQ7dwmXmtY6ET,WY62R4b6bwByyDLB9,Dt59EdEx3mmFtyTCj,8TjfhyY3vHMXDqbeG,bztCGruiTTdiTMNza,7KiG8PBCFedjobg84,c2uubnmZJhqoDc7Jb,L5j23HupJyRJk9r3b,PZwkgjJak2tFksQjZ,z7CuYWhTWp6hH4KZQ,gN5QeFCXiZmhTySv2,43RutwTyHwp8dRj35,L7rZgj8rRHgy9tZSK,a4kgX2nz6GHnyeEn9,bTZ2ueRXjsfPz9bN4,Do3hBnBEQ5Xd5SRGk","bTQTvtfRHrBMramdR,oTkbdCgvWKvaCqQb7,uc4ByKKGRrb7R7ARW",LirgBpcyvfkGuWsW8,2021-06-29T15:19:38Z,setA,"purple,yellow,red,white",4,coopCartel,false
KGzHLWpxZmZgGxzm5,2021-06-29T15:43:47Z,KGzHLWpxZmZgGxzm5,QLbwbXnmCyu34Cqf8,"g7hJ49yopXTckPDg2,CSJdNPMP8B4KYHJWQ,ExPhgNB8xdJG8debw,fAmpsZgA2ipEKm3Qq,Rqiaz4yNoaEY9yihP,kKjQqaqErSMYzvqBj,JMN9LoDFk9CKFtAhk,Zfyv7LFRBCfHd3txr,3FBGq6fPAuZQzPTrf,jSvR3HjXc6yjY4bpm,W34d5Wbo2uBH6u72P,PsgfxBpc6NkJz3q7s,jSuTDcnQYM2yF4BzA,yuEfrapmrgBFmnA8M,GGiumhNNMT29CqD6j,sktiJdcXZEa6EZSQB,g25wzrj9cft5JjmhS,sdhjq3gMmXChN9waZ,5GZWFqgrAEcLCB55i,siF5mWEdQZQorB7MB,68npasSLQ6FWEFKRv,Cq8aeB2oXHEWFWcBX,Nd2BaW2LrM36QKTZL,KEDqkR3X97RaddRoZ,yGjx5Z6K6snejxWcQ,PcocsFKmMAyEhqYhQ,fDEkBwSN4EHh6zWFD,yTa66ecxd64FnR4qS,wuNmKD92pmy8vCLW8,PAhnHuPpy9uBxZnpa,kY3KG5XB2derAapxz,sydCkpSZrCREQhufu,enTqD9iNqcKW5N52s,75Pk3u6T3nkdsSwQa,t7A9q9rycHGEmrzCE,LZn26t3dqsF6fH3Yb,4xtZ7E3kydM7AQKir,sgZR4YLSrWzLQKtdr,BxPhmJeFzJeEtrGwq,wsDQDXDEGEei2k5Xa,z9Q8G3E64m3sC2c2e,sM66oqk8bvZQd6GAL,BTnzKBCEz7vM4W7Ca,EXAeTh4oQFr2sPEJj,aJnn6biFL2XHBcSBc,a3aa7F3EC3sb2MrbL,oQMazfNyMtRRoyAGc,X9eC9xjbRDibfKNvp","HeXYRpJ7znQZ6BP6v,kdsKqKyWdXwmeE6WR,qGZ6HcXYeYgshiPmH",hgzn2988PuzC9LDH5,2021-06-29T15:20:39Z,setA,"purple,yellow,red,white",4,coopCartel,false
66vT9mE6yqptQDdXG,2021-06-29T15:47:02Z,66vT9mE6yqptQDdXG,QLbwbXnmCyu34Cqf8,"XqnWF5MCouFq5nobY,Ze4ePoCXBZsHRNLxu,DZDvK63jR23q8pZhC,WscB3E5pAxGQCAFkx,8e5T5fSapNKcxjb32,dam2LynDNkmQpnavM,TAJt45fZJ2MX33giu,joi5AgmWG88jE6bXf,SjdPpmFzca92nckWY,M4uvzdCGHCvMZFJEa,oQ2kfaY8RkjHQiDKG,uYXwnSAPvXpNpb7RZ,CKZXrAvA9aTYvMcsg,KyNJ8pqnvWXtoZuqT,kti3Ry6Lgnt7MucT2,gnTRN5PKPMdiQyC3d,tiGtZXntJ3q26j4gR,dPRa2crMyPy65xtqg,34YoLfDyHeDySmbcC,deu5gyLiCBqJCmmmE,hcA94wkjeJSTr4dXz,wjG8ueHELfAed2D5G,Q7NDaEwh243q75b2P,WKWcxZjWR2DCG6BnQ,QNqRAdbC3j2PbKXgy,spQ9G4cYQtay7A2DG,xuTCoy4bKcfivXtLL,txnavPL3WE2cDYaya,uyuRCCq7qpWXCv4WQ,dyafRrvjjGPK5EFAo,dpjHJRK2Ycta5JxEf,JRp9M7nBXt4ZdCY5k,7LkCgj8bBW96e8pNS,Qxqnv8jqpnk8FwDiP,TQ35vwh8gE8CPoBf3,hBucEFqERBw5fQmaX,x7sFWHcbcYhpsrvCz,vRwyPPPcDeD57cAds,DFRQNnLHQWHMnzaP4,MzK7v99osBRbtaS3c,3AwmuKztwy7fyyD7Q,h4zHgxtBEpesgheRw,aK5x4MRBy37PEmoxh,oa4qnA7pdReyk7pvc,aoRyadQcCoDPiywPg,9M6qr8NEezt2gStAn,uCoiFEmJkfSsGuD22,QNJ5truCYSYfjKLBG","8tuNKShzayef5Ysjb,9EbggWY5eJWruGqJG,tCeuNLPHtpWrzutp9",boJLoNQMfAkhctQfg,2021-06-29T15:21:30Z,setA,"red,yellow,white,purple",4,coopCartel,false
8B8kmeMWWri8xpL4k,2021-06-29T16:35:20Z,8B8kmeMWWri8xpL4k,QLbwbXnmCyu34Cqf8,"rQHyZ2ypbGYTkF8db,BBwFBi5ZohLpBZcPP,LfLRkFEmNmJjGWHBX,qPZ5fH2mMsv5ZgRMT,9xoJYh96PtzcGh85L,hnCGancKuz39e97RS,gqK5rfELJgbpWBiEx,DdG6LggKKJWTH2q3k,Y4q3qAJqW3NvHHLEY,wJLzPKDGZsvJ6y9YL,69e6eQiFEjWJxZczi,tG8Cs9y7SJMmH7War,Nc8ZtyWAo2nGsByZS,2ZytfBCrSyGqRbsG4,PPovRvM9SCpmb8igj,S939gTHjKGBkkCY7d,tZAguMmDEgks7yBus,3JdxC6LQEpQDzcnoJ,fZF6vYgtthYLCfNog,X22R293tZWdmZZ8hj,7LYA9uFsNjwaQo5xY,CeKuhgyKaqq6wfPPq,5i9hzgHKaz6Ncjfe7,QuEWKC9uPHWFKZgH4,yuG663Hy522is5BMb,dot9fscdWSh9ii2cM,So6wSPLCnhNHKSrEp,5Bz2oRyLY5hzCwcAX,idCMvMEBDrhXx8X2a,MmBrHHWMmFjLBcqHE,Qv6TnirAHnN3nwTup,GezGGSFQD65uByEux,tFTTBEQ34QkbbB7aJ,3p2S2vK6NfAG6LRcf,XxvXkW4Ks7DW48hqN,pFbnxZP7nMyhbkJ5Q,WS7XSZjRkixKymWo8,dcemMk6DL7ZjLWAcb,YKgpm5H5pxtzGXNsv,ujugY6XQN6eSAidqe,KSqtS9PsqsYqfNeWL,ukWtx5gqJyqjeBdcY,WzqCxmg9c68vPcs8Z,HfpwWcwiatKNoKWtc,bRQMSgvwgtoiuEHLS,Gi3wh2W8wSkqTnBhv,G29r4xwij8mtkAWrG,Cgye5WQXRxi9PBKec","W5Rugu8ZJ3ezTAgvy,dGZRCmnE7qCJsuwYP,rSdBjHwfmWwz3Zwxq",BtSxfhJ2CvvvAk5Hj,2021-06-29T15:22:12Z,setA,"purple,red,white,yellow",4,coopCartel,false
S7SBYP8ab6RFccN9u,2021-06-29T15:55:09Z,S7SBYP8ab6RFccN9u,m3z8dqhudkrWmtgGE,"AgAdHggtYb5tq6hkn,LhFPtsmzYNCz7RWSK,qevBG29pkhGqeemxX,dsLaRAudAbtBSfqca,czMvCbHx9SvZKXdqf,kC3BDstjw7entcRhP,8cDWDLJZ6wKuFrKQ7,ytttgHJmGPFNeZ5i4,bZpzE8ojdNuTthdn2,QvAr2LMhWvt76urHK,ZzkzTNBLnHTfmu6HF,FMeTy569mHQhhem9P,35eJiJuJB9CgaL8pu,GZymqn9ek8AFZZjdS,Gu7d59C44cjTDcqhM,gFciFrtBkXEPZj73b,QEQkK5Q6FovvWRzg7,54oEq68cFfLzQXBYW,kueWgxSJo8xMaXyPb,ghBgHA7K8Xv7nLX3D,cWvRsKp24wHEbJ3TS,u3He9wMPxqPHhz5Hn,pqfFR9NXnNLrCRGDM,gaAqseKf8p2ZoEL9p,5RWoxHAsmRshCjit5,F9wGXHq6x2ZoJ92aA,uZ9MiCKRRHxkQaeun,f8573Aw29y4wmjW5k,TQayXvHacseYFKACQ,TjKXWunHaHjgmJjG4,Fa9Gpt28zTc9XMZTB,7Rtw7M2WT8RLWLHoo,APfBjRxwinu9XpWPE,HxpFhM3nRD3rvWe2W,n4YPeEYDfANbMoMzx,QJctJjgYCP9v2SwvX,PA4JEE8T6juDkixAP,HkqhJ5y83gMqhPXpb,57qcCCee7sGoPsz6t,tKE2Jir3DvwmFrM6F,m5jEcC2jMSQs3K28P,riQDpJJM23mMcADhZ,G7PBqTdJ378TWL3iH,Yiv7s8cS5eq2bMK8S,sbRrsBcbEpuyeNqm7,2LNRjHpZon2AhXSvb,5bDPvDFYgju64McZF,TeGS2FLcBBuYcg7vX","PaLwLpZj4Zvfsn7gN,SKWQPkZ2HtvFefYTK,pjA4f6As8cAmCxWap",TQ3AqptDmRKkBYZc2,2021-06-29T15:41:44Z,setA,"red,purple,yellow,white",4,competCartel,false
K3BiGhNQsyeoGmKhr,2021-06-29T16:03:12Z,K3BiGhNQsyeoGmKhr,m3z8dqhudkrWmtgGE,"umKgRdPc5iFaagJsu,bF8vBF8FgmiyfzXbA,H8CnT3jQjqeHw2fY2,cbFkdgXLrFA5Q7uae,nCf69pB2PYaPqxHzA,KMDth3A3y4pZ5pwBv,GrtGSapMNeqaCBkxs,eiSz59BPnoqXWBA9E,FL7Gt3zSis7vHptan,hCGX6hJgk9sEkiWxp,c8RkGKiTFLnDB6YsZ,wJGXb4A2E74n8sKdF,hL9h3XWhCXiSdhdmG,LyFLBDj8f4uai7ZRe,NcFBDk3BwX4oaDWyM,cms39e4kFnknipDGJ,9u4Yf8SLwr8TRZLNp,nTP6NcSSeMyqHS6RK,WwkWtTpkmQ2hkBYZy,Bt2cGYEuNBdKhPZgL,kc9xHDzMdk32WyQ95,EogaEBBYWPd8nLthn,tgFmGeKkfmqbS2Xts,d484vjZonJT8iFvd2,4QR4LMHGGrn7tkrYa,SkxXT7ehiKv4iLPJN,yJmDPMGtj8JYq949m,djiXGmJmoPY3cboj7,gFESf5Hc7whS8872m,p6jgi8nGh6RYsvG8v,EYJhx3T7swtcuGXcg,SAA9gS7JQ9y9m2v4H,jp3aLvYNr3uZ4goiq,igcftuF7iXdvTFp9D,QkL6kSRceTRSQKDnY,j32LSjrX3vztr27ZF,SJ9vv9JP7opZ7izbW,BxHkZhHJSaXwbvNye,ngnr4fzqEDJnWpsgQ,sqZtN64pB3KDKCFk5,LQt6F9Jb9wAMgwWqm,Tqd4cqsiBf6aQwNeH,5F5yQ9JeYFL7QEKTg,tcN5anv5788dkhYgG,r8YSjGxwJ5DLjSKZ4,fxJkB9aP2GZinf8Qr,AhiqSzou5LtEm8Nws,LDJ9D4AqgTBwm5uLS","77bwzC5dryaJr5pmL,CtYHeSzgGLySWPJ7M,RdPK8e4LCw5LqZBMr",TpY7vQ9WnSn8wYecB,2021-06-29T15:57:50Z,setA,"yellow,white,red,purple",4,competCartel,false
SihDfEzMcyhNqCP46,2021-06-30T17:44:36Z,SihDfEzMcyhNqCP46,o8gX4JTt8Yyq9kmCT,"v9hjDPRPGpvb2XjDu,ZXPNf2N7QEDLooLPH,8mrkHZBtGTzo4vpZF,EumRC8Ct7wvz9Yovh,wm96QEYsWSDE74cYN,suXxKdCrKNb4j3KQa,srDj5ng4nHy5SpfhZ,uBapEc4xwBDvKA3He,3xFedGruqPCKkjkcs,LbEmRX5PNhxDP32nS,F78QtJvDu2xdXAKoG,4SB7Zw4uRNoPQuB7v,e38kaPyg273W8dTvF,5XKRGBhSp2YGodbvG,7rNp9SfQ7m88Me59K,HZt5obWfNBvw7ewn5,oDZTsBcCsBdbhtZm7,Lq9J5xk29onerMLos,QTRyiXdZcHe4JxYbs,LBGKwRNF8J64vCqjg,WvzfjvKytGZkH3qaG,Es7spFBh5jDCrRuPd,Lqou8F9GpStGzFnSf,WwEAEhZHrYpcsCEyq,8YXyftSd6wezTa7CG,QBnYxKtr2ZkjtGrrX,hthLzuR78KwKY7wAf,xsBRDMFL9tSZGPLZw,7cKTYm3mXuz6Mg5ss,DfcZXKPuBQjwGWz7e,RCyFCkumkMiAt9gC5,3WZZWLKntBC6J2FCx,kwvYBvrXJ95vnySew,7QPABwSyGiQG5PJu5,kjqMCCP4qxxSbNQKX,2fRBhjC4z8B4xa4cE,Hunx99BSST2XKeEe7,h4x3AN66nSfhLL4RK,JHz9gGqCzzrrvjrKc,foAwuy8d7RfTKPA6g,EQZncYDHX8XZq5fjt,E6K8Eg3Pbuco5ncBG,CHF7weTvtJyqhB9Th,3SonXt7wc33hdibkH,FKuHPPvFMh3tbu5gt,fPDcvKdRpdpXCvmeK,9wdevF3PqhYpasxiz,BNN2dYqaTP9iMH2uh","BiKzWfhjXPp2RcaMv,Cm5auRoPbDGaDN5QP,nFqTBtKEKpFBGNMXC",vzDrcZtmRpHpouY5P,2021-06-30T17:10:07Z,setA,"purple,red,white,yellow",4,coopCartel,false
Srn7AwTSi5u2Fcxfw,2021-06-30T17:49:39Z,Srn7AwTSi5u2Fcxfw,o8gX4JTt8Yyq9kmCT,"B7pjL8v9ADMCfnrG7,oJ5J4qtrpR7KcZSRp,dhP2e7uBJySm4qxEP,tWFGM785rJ8xLQrrg,FL4dhv9p8nLRkvXg8,hLr22Z78nhZiCvbJ7,cbc3c9MwGkXvz2fqK,fPyfomio8QknQi636,qWA3K7eXriGJMLhKN,Q2w9kYgT4mzByziQa,HLo9rfpwKp2xDvDr5,Gw9DeD3P8gKbRhanm,meYvEoCQpSbxT4oFM,BCwTMvSqqNbAHfppb,mFbpQWECbsjyHbk3t,PS3wjbsnHPXu8B5Wf,eRzAqbZuyu7MbwTLR,WTFbqtvnTiWytmyHP,zgnKzNvpu7DqLsNC3,ZjtR2vgAAEAKiyTR7,stnzYwBwQ6w3YrY4u,XbxYeNEzAwc3re8Dv,WFxuzXY7WGHNr4YDB,dYT6TjPfj5jHqWaJf,9fDc8Lve2WP8MqgHp,m2rBJuJQd6TthmL2z,RrmhamGnYmDLFFnFt,iH8DH3ZT3pXLwwvK7,HWiz7RTKYR2bp6RvC,QbGtBsiTanqFqyhH7,T48FSarvXqdEfTGoM,NBEX5xdTYmN9FTiF3,gKxFjPmFPYhed2wks,eCWzE9hK6fLTgdy2w,yA7iZFnxS9asoauKM,jhayjrXprPADKEh8d,4uCinnLprtAg7s2b9,tT8YWCgEbMTkdcYqT,Lx2JPfLsgPYbyDDpo,HvbuHBb34ir9JA3wN,pjZnPt3pEJRdnofcN,hixrWvKCDL3cGxSXb,MXLcyTmjvEJJtWwMJ,2XKnuRfSxcv6fDx9u,gXP4onf2L7tx2Gut5,7wqqANwEcpExLjZWY,JQyuwYcZfhvYBKK5y,ndq2tic237bTEvHfs","DP6g2ZQPajwv9TXJ7,kSEJFwmMYWRn3uDHA,nMzWar2T9QiwnZuhh",YnxFoWJjEmcnKYCw3,2021-06-30T17:12:49Z,setA,"purple,red,white,yellow",4,coopCartel,false
dTQ4ShjHCzgL6QoGk,2021-06-30T17:58:53Z,dTQ4ShjHCzgL6QoGk,o8gX4JTt8Yyq9kmCT,"5ct2BTpamXssNGpth,mgoGDBMPdALDa38dG,rvTNdfnAFd5tvCf9G,GPhm4YJcGo8J8oNbe,Gie66AXcsCv7Q4nvN,Q3TjpTr2KrxBp87Kf,L3nsTnCsojrmd8dBG,DayDC7jMzHuPJoECo,KYY9YCftqhqCapYmt,cM7MBdM7Kc6PhCXN3,CDLTeCLS2WmdFiFke,WgFBtQ6rK8TRtsijd,u4HrwPuKo3xypTQ9Z,kgFMtBM5jffRycQ5K,E5oSxMdPscvmbQFKZ,QhBpe4noAkgbdn2EW,HWtCkXb8zt9A8Qzdh,mMC4PP8v3z3BDXxgK,fZRLFFReTnMTBs2be,TDZiqpLSwnchNGQ5h,viQ3FbpxGYzQPNaRo,cxZPpNZNktSyw4CwQ,WYW492F2JEcX9RAfQ,EuCc7v6AoAe2J3kCP,hXbH79Zqd9Ry63baT,gKXRgtZJheAePPWBb,RirM6Zy2CQbHksNQu,y3RZ6AtFAchFqYmKw,EN5fSqhExQeefsY4g,KbKpdPPP8BogeXk7S,uyWQvJoF8jeGRcbMw,4FxM25cCNmGkKbLTs,FeJoHJyTFoTu9Tp8f,8e9dL3XMc9mofRAf9,Fcs4x8dCbeuEpMtxk,44pNc7pWtKFYfryEd,KHHXBAEpbab8qqSLS,LZJ4YdtdcAwzgp4Eg,oZq6HPeDwzSK5aLFp,4KnGptdMcpKJBmWmF,ZMr7FrdjyEPaRT7CG,Xxc4YiyDJtikfnSkb,sijck5ha4QYxKsa9P,vrzXTuBjHrCLkEge3,9528wSp5rL2torsDD,uxjJ7zfPqrkxAGqdo,dnSGi9zqSKCDkcGQX,3m3NNH7Nnxs7JkTkn","4FwqwuBg8THopjzYt,4WPuaCAupZXaSurmk,TTX3BhByCsjDdKQo6",65ziqBb4op3g3SSWi,2021-06-30T17:16:44Z,setA,"purple,white,yellow,red",4,coopCartel,false
