_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.name,data.avatar,data.nameColor,data.bonus,data.clicked,data.timeClick,data.imageOrder,data.scoreIncrement,data.clickLength,data.rawScore,data.exitTimeoutId,data.exited
pC3zCwiFyCFD6siWo,,2021-06-29T15:17:20Z,2021-06-29T15:17:20Z,1,ExitSurvey,2021-06-29T15:42:49Z,finished,,,,2021-06-29T15:14:06Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,1.7460000000000007,purple_10,5300,"purple_1,purple_4,purple_7,purple_3,purple_11,purple_10",0.03,2,20,,
qGZ6HcXYeYgshiPmH,,2021-06-29T15:20:39Z,2021-06-29T15:20:39Z,1,ExitSurvey,2021-06-29T15:43:47Z,finished,,,,2021-06-29T15:14:07Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,2.127000000000001,white_7,14518,"white_9,white_7,white_6,white_1,white_11,white_4",0.0495,3,33,,
P5RE77g8pm2dtqawA,,2021-06-29T15:17:35Z,2021-06-29T15:17:35Z,1,ExitSurvey,2021-06-29T15:42:49Z,finished,,,,2021-06-29T15:14:08Z,Repi,/avatars/jdenticon/Samuel,#8138A8,1.5030000000000003,purple_1,16703,"purple_11,purple_7,purple_3,purple_10,purple_1,purple_4",0.012,1,8,,
9EbggWY5eJWruGqJG,,2021-06-29T15:21:28Z,2021-06-29T15:21:28Z,1,ExitSurvey,2021-06-29T15:47:02Z,finished,,,,2021-06-29T15:14:13Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.1015,purple_10,33982,"purple_8,purple_11,purple_1,purple_10,purple_12,purple_7",0.045,3,30,,
J8JGEiFgXBdWxNTDw,,,,,,2021-06-29T15:22:12Z,gameFull,,2021-06-29T15:27:56Z,gameFull,2021-06-29T15:14:13Z,,,,,,,,,,,,
uc4ByKKGRrb7R7ARW,,2021-06-29T15:19:16Z,2021-06-29T15:19:16Z,1,ExitSurvey,2021-06-29T15:52:36Z,finished,,,,2021-06-29T15:14:14Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,2.0100000000000007,white_11,18432,"white_8,white_7,white_1,white_10,white_2,white_11",0.045,3,30,,
bTQTvtfRHrBMramdR,,2021-06-29T15:19:27Z,2021-06-29T15:19:27Z,1,ExitSurvey,2021-06-29T15:52:36Z,finished,,,,2021-06-29T15:14:17Z,Repi,/avatars/jdenticon/Samuel,#8138A8,1.9560000000000004,white_11,22846,"white_2,white_7,white_10,white_11,white_8,white_1",0.045,3,30,,
cHzxXyJndfavAZomQ,,,,,,2021-06-29T15:22:12Z,gameFull,,2021-06-29T15:27:56Z,gameFull,2021-06-29T15:14:23Z,,,,,,,,,,,,
8tuNKShzayef5Ysjb,,2021-06-29T15:21:31Z,2021-06-29T15:21:31Z,1,ExitSurvey,2021-06-29T15:47:02Z,finished,,,,2021-06-29T15:14:30Z,Repi,/avatars/jdenticon/Samuel,#8138A8,2.1420000000000003,purple_10,34158,"purple_1,purple_12,purple_7,purple_11,purple_10,purple_8",0.045,3,30,,
vEypwrN9hMxwzfCDS,,,,,,2021-06-29T15:22:12Z,gameFull,,2021-06-29T15:27:56Z,gameFull,2021-06-29T15:14:33Z,,,,,,,,,,,,
